sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local
609,2,Composition,,Purchase Order Line.Order Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Purchase,0,PR08_GE13_13,,
817,1,Class,,Purchase Requisition,,,,,,A class representing an internal document requesting the procurement of goods or services.,Purchase,100,PR09,,
818,2,Attribute,PK,Purchase Requisition,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a purchase requisition.,Purchase,100,PR09_01,,
819,2,Attribute,,Purchase Requisition,Number,0..1,Char,Char Long,,The number for a material purchase requisition document.,Purchase,100,PR09_02,,
820,2,Attribute,,Purchase Requisition,Date,0..1,Date,DATE,,The date on which a purchase requisition is officially submitted.,Purchase,100,PR09_03,,
821,2,Attribute,,Purchase Requisition,Status,0..1,Code,STATUS CODE,,The current state of the purchase requisition's lifecycle.,Purchase,100,PR09_04,,
822,2,Attribute,,Purchase Requisition,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for a purchase requisition.,Purchase,100,PR09_05,,
825,2,Reference Association,,Purchase Requisition,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,100,PR09_08,,
823,2,Composition,,Purchase Requisition,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,100,PR09_06,,
824,2,Composition,,Purchase Requisition,,0..*,,,Purchase Requisition Line,"A class detailing each requested item in a purchase requisition, outlining quantities and intended purchase details.",Purchase,100,PR09_07,,
826,1,Class,,Purchase Requisition Line,,,,,,A class representing the specifics of goods or services requested in a purchase requisition.,Purchase,102,PR10,,
827,2,Attribute,PK,Purchase Requisition Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line within a purchase requisition.,Purchase,102,PR10_01,,
828,2,Attribute,,Purchase Requisition Line,Number,0..1,Char,Char Short,,The number for a specific line within a purchase requisition document.,Purchase,102,PR10_02,,
829,2,Attribute,,Purchase Requisition Line,Due Date,0..1,Date,DATE,,The final date on which delivery of materials specified in a purchase requisition is requested.,Purchase,102,PR10_03,,
830,2,Attribute,,Purchase Requisition Line,Status,0..1,Code,STATUS CODE,,The current state of the purchase requisition line item's lifecycle.,Purchase,102,PR10_04,,
833,2,Reference Association,,Purchase Requisition Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,102,PR10_07,,
834,2,Reference Association,,Purchase Requisition Line,Purchase Organization,0..1,,,Business Segment,The business segment relevant to the organization requesting the purchase through a requisition line.,Purchase,102,PR10_08,,
835,2,Reference Association,,Purchase Requisition Line,Requisition Organization,0..1,,,Business Segment,The business segment concerning the requisition of specific line items in a purchase order.,Purchase,102,PR10_09,,
836,2,Reference Association,,Purchase Requisition Line,,0..1,,,Inventory Product,The inventory product listed on a purchase requisition line item.,Purchase,102,PR10_10,,
837,2,Reference Association,,Purchase Requisition Line,Purchase,0..1,,,Measurement Unit,The unit of measure for the quantity of an inventory product requested on a purchase requisition line.,Purchase,102,PR10_11,,
838,2,Reference Association,,Purchase Requisition Line,,0..1,,,Project,A class that outlines the comprehensive details of a project in the context of purchase requisitions.,Purchase,102,PR10_12,,
839,2,Reference Association,,Purchase Requisition Line,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,102,PR10_13,,
831,2,Composition,,Purchase Requisition Line,Approved,0..1,,,Quantity,The quantity of items that have been authorized on a purchase requisition line.,Purchase,102,PR10_05,,
832,2,Composition,,Purchase Requisition Line,Requisition,0..1,,,Quantity,The quantity of items requested on a purchase requisition line.,Purchase,102,PR10_06,,
840,1,Class,,Quantity,,,,,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",General,0,GE14,,
841,2,Attribute,,Quantity,Value,0..1,Decimal,QUANTITY,,The numerical amount of a specified item or resource.,General,0,GE14_01,,
842,2,Reference Association,,Quantity,,0..1,,,Measurement Unit,The base unit of measure used to quantify a meaured value.,General,0,GE14_02,,
843,1,Class,,Sales Contract,,,,,,"A legal agreement between a seller and a buyer related to the sale of goods or services, specifying the obligations and rights of both parties involved in the transaction.",Sales,72,SL01,,
223,2,Attribute,PK,Sales Contract.Contract,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a contract.,Sales,0,SL01_GE08_01,,
224,2,Attribute,,Sales Contract.Contract,Number,0..1,Char,Char Long,,"The number for a contract, facilitating its recognition and retrieval within a system.",Sales,0,SL01_GE08_02,,
225,2,Attribute,,Sales Contract.Contract,Type Name,0..1,Name,Name Medium,,The classification title given to a contract that specifies its nature and terms within the context of sales and purchase activities.,Sales,0,SL01_GE08_03,,
226,2,Attribute,,Sales Contract.Contract,Beginning Date,0..1,Date,DATE,,The date on which the terms of a contract become effective.,Sales,0,SL01_GE08_04,,
227,2,Attribute,,Sales Contract.Contract,Ending Date,0..1,Date,DATE,,The date on which the terms of a contract conclude or expire.,Sales,0,SL01_GE08_05,,
228,2,Attribute,,Sales Contract.Contract,Status,0..1,Code,STATUS CODE,,The current state of the contract's lifecycle.,Sales,0,SL01_GE08_06,,
229,2,Attribute,,Sales Contract.Contract,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for a contract.,Sales,0,SL01_GE08_07,,
231,2,Reference Association,,Sales Contract.Contract,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL01_GE08_09,,
232,2,Reference Association,,Sales Contract.Contract,Transaction,0..1,,,Currency,The currency in which the financial transaction for contracts denominated.,Sales,0,SL01_GE08_10,,
233,2,Reference Association,,Sales Contract.Contract,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Sales,0,SL01_GE08_11,,
234,2,Reference Association,,Sales Contract.Contract,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Sales,0,SL01_GE08_12,,
846,2,Reference Association,,Sales Contract,Sales Organization,0..1,,,Business Segment,The business segment involving the organization responsible for sales contracts.,Sales,72,SL01_02,,
847,2,Reference Association,,Sales Contract,,0..1,,,Customer,A class that records broad customer information related to sales contracts.,Sales,72,SL01_03,,
848,2,Reference Association,,Sales Contract,Salesperson,0..1,,,Employee,The employee acting as a salesperson in a sales contract.,Sales,72,SL01_04,,
230,2,Composition,,Sales Contract.Contract,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,0,SL01_GE08_08,,
845,2,Composition,,Sales Contract,,0..*,,,Sales Contract Line,"A class detailing the terms of individual items within a sales contract, including product details and financial terms.",Sales,72,SL01_01,,
849,1,Class,,Sales Contract Line,,,,,,A class representing the specifics of goods or services agreed upon in a sales contract.,Sales,74,SL02,,
236,2,Attribute,PK,Sales Contract Line.Contract Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line item within a contract.,Sales,0,SL02_GE09_01,,
237,2,Attribute,,Sales Contract Line.Contract Line,Number,0..1,Char,Char Short,,"The number for a specific line within a contract, enabling distinction and reference.",Sales,0,SL02_GE09_02,,
238,2,Attribute,,Sales Contract Line.Contract Line,Due Date,0..1,Date,DATE,,The final date by which delivery of products or materials is requested.,Sales,0,SL02_GE09_03,,
239,2,Attribute,,Sales Contract Line.Contract Line,Status,0..1,Code,STATUS CODE,,The current state of the contract line item's lifecycle.,Sales,0,SL02_GE09_04,,
246,2,Reference Association,,Sales Contract Line.Contract Line,Settlement Organization,0..1,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL02_GE09_11,,
247,2,Reference Association,,Sales Contract Line.Contract Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL02_GE09_12,,
248,2,Reference Association,,Sales Contract Line.Contract Line,,0..1,,,Inventory Product,The inventory product specified in a contract line item.,Sales,0,SL02_GE09_13,,
851,2,Reference Association,,Sales Contract Line,Dispatch Organization,0..1,,,Business Segment,The business segment of the organization tasked with the dispatch of sales contract line items.,Sales,74,SL02_01,,
240,2,Composition,,Sales Contract Line.Contract Line,Tax Exclude,0..1,,,Amount,"The monetary amount of a contract line item without tax, recorded in the transaction currency.",Sales,0,SL02_GE09_05,,
241,2,Composition,,Sales Contract Line.Contract Line,Tax Exclude Unit Price,0..1,,,Amount,"The price per unit of a contract line item with tax included, recorded in the transaction currency.",Sales,0,SL02_GE09_06,,
242,2,Composition,,Sales Contract Line.Contract Line,Tax Include,0..1,,,Amount,"The monetary amount of a contract line item including tax, recorded in the transaction currency.",Sales,0,SL02_GE09_07,,
243,2,Composition,,Sales Contract Line.Contract Line,Tax Include Unit Price,0..1,,,Amount,Unit price (including tax) in transaction currency.,Sales,0,SL02_GE09_08,,
244,2,Composition,,Sales Contract Line.Contract Line,,0..1,,,Quantity,The quantity of items detailed in a contract line item.,Sales,0,SL02_GE09_09,,
245,2,Composition,,Sales Contract Line.Contract Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,SL02_GE09_10,,
852,1,Class,,Sales Invoice,,,,,,A class representing a document that details charges for goods or services delivered to a customer within a specified period.,Sales,80,SL03,,
524,2,Attribute,PK,Sales Invoice.Invoice,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an invoice.,Sales,0,SL03_GE10_01,,
525,2,Attribute,,Sales Invoice.Invoice,Number,0..1,Char,Char Long,,The number for an invoice.,Sales,0,SL03_GE10_02,,
526,2,Attribute,,Sales Invoice.Invoice,Official Invoice Code,0..1,Char,Char Short,,The identifier for an invoice that is assigned by tax authorities.,Sales,0,SL03_GE10_03,,
527,2,Attribute,,Sales Invoice.Invoice,Type Name,0..1,Name,Name Short,,The descriptor that categorizes the nature of an invoice.,Sales,0,SL03_GE10_04,,
528,2,Attribute,,Sales Invoice.Invoice,Date,0..1,Date,DATE,,The official date recorded on an invoice which initiates the calculation period for payment due.,Sales,0,SL03_GE10_05,,
529,2,Attribute,,Sales Invoice.Invoice,Due Date,0..1,Date,DATE,,The date by which payment for an invoice is required.,Sales,0,SL03_GE10_06,,
530,2,Attribute,,Sales Invoice.Invoice,Terms Discount Percentage,0..1,Decimal,Percent,,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Sales,0,SL03_GE10_07,,
531,2,Attribute,,Sales Invoice.Invoice,Terms Discount Days,0..1,Integer,INTEGER,,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,Sales,0,SL03_GE10_08,,
532,2,Attribute,,Sales Invoice.Invoice,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Sales,0,SL03_GE10_09,,
533,2,Attribute,,Sales Invoice.Invoice,Grouping Code,0..1,Char,Char Long,,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,Sales,0,SL03_GE10_10,,
534,2,Attribute,,Sales Invoice.Invoice,Status,0..1,Code,STATUS CODE,,The current state of the invoice's lifecycle.,Sales,0,SL03_GE10_11,,
535,2,Attribute,,Sales Invoice.Invoice,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an invoice.,Sales,0,SL03_GE10_12,,
539,2,Reference Association,,Sales Invoice.Invoice,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Sales,0,SL03_GE10_16,,
540,2,Reference Association,,Sales Invoice.Invoice,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL03_GE10_17,,
541,2,Reference Association,,Sales Invoice.Invoice,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Sales,0,SL03_GE10_18,,
542,2,Reference Association,,Sales Invoice.Invoice,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Sales,0,SL03_GE10_19,,
855,2,Reference Association,,Sales Invoice,,0..1,,,Customer,A class that records comprehensive customer information pertaining to sales invoices.,Sales,80,SL03_02,,
536,2,Composition,,Sales Invoice.Invoice,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,0,SL03_GE10_13,,
537,2,Composition,,Sales Invoice.Invoice,Transaction,0..1,,,Amount,"The total monetary amount of all items on an invoice, summing the transaction amounts of individual lines.",Sales,0,SL03_GE10_14,,
538,2,Composition,,Sales Invoice.Invoice,,0..*,,,Tax,"The class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,SL03_GE10_15,,
854,2,Composition,,Sales Invoice,,0..*,,,Sales Invoice Line,"A class detailing individual products on sales invoices, integral to the three-way matching process that ensures billing accuracy and proper revenue reporting.",Sales,80,SL03_01,,
856,1,Class,,Sales Invoice Line,,,,,,A class representing detailed charges for individual goods or services delivered as listed on a sales invoice.,Sales,82,SL04,,
544,2,Attribute,PK,Sales Invoice Line.Invoice Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line within an invoice.,Sales,0,SL04_GE11_01,,
545,2,Attribute,,Sales Invoice Line.Invoice Line,Number,0..1,Char,Char Short,,The number for a particular line of an invoice.,Sales,0,SL04_GE11_02,,
546,2,Attribute,,Sales Invoice Line.Invoice Line,Grouping Code,0..1,Char,Char Long,,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,Sales,0,SL04_GE11_03,,
555,2,Reference Association,,Sales Invoice Line.Invoice Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL04_GE11_12,,
556,2,Reference Association,,Sales Invoice Line.Invoice Line,,0..1,,,Inventory Product,The inventory product detailed in an invoice line item.,Sales,0,SL04_GE11_13,,
557,2,Reference Association,,Sales Invoice Line.Invoice Line,Credit,0..1,,,Ledger Account,The ledger account associated with credit transactions on invoice lines.,Sales,0,SL04_GE11_14,,
558,2,Reference Association,,Sales Invoice Line.Invoice Line,Debit,0..1,,,Ledger Account,The ledger account associated with debit transactions on inThe ledger account that is part of a subsidiary grouping within an account hierarchy.voice lines.,Sales,0,SL04_GE11_15,,
858,2,Reference Association,,Sales Invoice Line,,0..1,,,Sales Order,"A class capturing the details of sales orders, which form the basis for the three-way matching process by providing a record to match against customer deliveries and invoicing for transaction validation.",Sales,82,SL04_01,,
859,2,Reference Association,,Sales Invoice Line,,0..1,,,Sales Order Line,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,82,SL04_02,,
547,2,Composition,,Sales Invoice Line.Invoice Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an invoice line item before tax inclusion, recorded in the transaction currency.",Sales,0,SL04_GE11_04,,
548,2,Composition,,Sales Invoice Line.Invoice Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an invoice line item before tax, recorded in the transaction currency.",Sales,0,SL04_GE11_05,,
549,2,Composition,,Sales Invoice Line.Invoice Line,Tax Include,0..1,,,Amount,"The monetary amount of an invoice line item with tax included, recorded in the transaction currency.",Sales,0,SL04_GE11_06,,
550,2,Composition,,Sales Invoice Line.Invoice Line,Tax Include Unit Price,0..1,,,Amount,"The unit price for an invoice line item with tax, recorded in the transaction currency.",Sales,0,SL04_GE11_07,,
551,2,Composition,,Sales Invoice Line.Invoice Line,Transaction,0..1,,,Amount,"The monetary amount of a single item within an invoice, representing the transaction amount for that specific line.",Sales,0,SL04_GE11_08,,
552,2,Composition,,Sales Invoice Line.Invoice Line,Basic UOM,0..1,,,Quantity,The quantity of items on an invoice line as measured by the basic unit of measure.,Sales,0,SL04_GE11_09,,
553,2,Composition,,Sales Invoice Line.Invoice Line,Invoice,0..1,,,Quantity,The quantity of items listed on an invoice line.,Sales,0,SL04_GE11_10,,
554,2,Composition,,Sales Invoice Line.Invoice Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,SL04_GE11_11,,
860,1,Class,,Sales Order,,,,,,A class representing a formal request from a customer for the delivery of goods or services within a specified period.,Sales,76,SL05,,
584,2,Attribute,PK,Sales Order.Order,ID,1..1,Identifier,Identifier Long,,The unique identifier for an order.,Sales,0,SL05_GE12_01,,
585,2,Attribute,,Sales Order.Order,Number,0..1,Char,Char Long,,"The number for an order, generated manually or by the system.",Sales,0,SL05_GE12_02,,
586,2,Attribute,,Sales Order.Order,Type Name,0..1,Name,Name Medium,,The label that specifies the type of order within sales or purchasing activities.,Sales,0,SL05_GE12_03,,
587,2,Attribute,,Sales Order.Order,Date,0..1,Date,DATE,,"The date on which a purchase order is made effective, distinct from the date of system entry.",Sales,0,SL05_GE12_04,,
588,2,Attribute,,Sales Order.Order,Status,0..1,Code,STATUS CODE,,The current state of the order's lifecycle.,Sales,0,SL05_GE12_05,,
589,2,Attribute,,Sales Order.Order,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an order.,Sales,0,SL05_GE12_06,,
592,2,Reference Association,,Sales Order.Order,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Sales,0,SL05_GE12_09,,
593,2,Reference Association,,Sales Order.Order,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL05_GE12_10,,
594,2,Reference Association,,Sales Order.Order,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Sales,0,SL05_GE12_11,,
595,2,Reference Association,,Sales Order.Order,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Sales,0,SL05_GE12_12,,
863,2,Reference Association,,Sales Order,Sales Organization,0..1,,,Business Segment,The business segment pertaining to the organization that processes sales orders.,Sales,76,SL05_02,,
864,2,Reference Association,,Sales Order,,0..1,,,Customer,A class that records broad customer information related to sales orders.,Sales,76,SL05_03,,
865,2,Reference Association,,Sales Order,Salesperson,0..1,,,Employee,The employee responsible for the sales order as a salesperson.,Sales,76,SL05_04,,
590,2,Composition,,Sales Order.Order,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,0,SL05_GE12_07,,
591,2,Composition,,Sales Order.Order,Transaction,0..1,,,Amount,"The total monetary amount for all lines within an order, recorded in the transaction currency specified for the entire order.",Sales,0,SL05_GE12_08,,
862,2,Composition,,Sales Order,,0..*,,,Sales Order Line,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,76,SL05_01,,
866,1,Class,,Sales Order Line,,,,,,A class representing the detailed specifications for goods or services requested in a sales order.,Sales,78,SL06,,
597,2,Attribute,PK,Sales Order Line.Order Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line item within an order.,Sales,0,SL06_GE13_01,,
598,2,Attribute,,Sales Order Line.Order Line,Number,0..1,Char,Char Short,,"The number for a specific line within an order, generated manually or by the system.",Sales,0,SL06_GE13_02,,
599,2,Attribute,,Sales Order Line.Order Line,Payer ID,0..1,Char,Char Medium,,The unique identifier for the entity responsible for making payment on an order line.,Sales,0,SL06_GE13_03,,
600,2,Attribute,,Sales Order Line.Order Line,Due Date,0..1,Date,DATE,,The ultimate date by which the order is requested.,Sales,0,SL06_GE13_04,,
601,2,Attribute,,Sales Order Line.Order Line,Status,0..1,Code,STATUS CODE,,The current state of the order line item's lifecycle.,Sales,0,SL06_GE13_05,,
610,2,Reference Association,,Sales Order Line.Order Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL06_GE13_14,,
611,2,Reference Association,,Sales Order Line.Order Line,Settlement Organization,0..1,,,Business Segment,The business segment of the organization responsible for the settlement of an order line.,Sales,0,SL06_GE13_15,,
612,2,Reference Association,,Sales Order Line.Order Line,,0..1,,,Inventory Product,The inventory product listed on an order line item.,Sales,0,SL06_GE13_16,,
868,2,Reference Association,,Sales Order Line,Dispatch Organization,0..1,,,Business Segment,The business segment concerning the organisation that handles the dispatch of sales shipments.,Sales,78,SL06_01,,
869,2,Reference Association,,Sales Order Line,,0..1,,,Sales Contract,"A class providing an overview of sales agreements, documenting the commitment to sell products or services within a specific period.",Sales,78,SL06_02,,
870,2,Reference Association,,Sales Order Line,,0..1,,,Sales Contract Line,"A class detailing the terms of individual items within a sales contract, including product details and financial terms.",Sales,78,SL06_03,,
602,2,Composition,,Sales Order Line.Order Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an order line item excluding tax, recorded in the transaction currency.",Sales,0,SL06_GE13_06,,
603,2,Composition,,Sales Order Line.Order Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an order line item excluding tax, recorded in the transaction currency.",Sales,0,SL06_GE13_07,,
604,2,Composition,,Sales Order Line.Order Line,Tax Include,0..1,,,Amount,"The monetary amount of an order line item including tax, recorded in the transaction currency.",Sales,0,SL06_GE13_08,,
605,2,Composition,,Sales Order Line.Order Line,Tax Include Unit Price,0..1,,,Amount,"The unit price of an order line item including tax, recorded in the transaction currency.",Sales,0,SL06_GE13_09,,
606,2,Composition,,Sales Order Line.Order Line,Transaction,0..1,,,Amount,"The monetary amount of a single line within an order, recorded in the transaction currency specified for that order line.",Sales,0,SL06_GE13_10,,
607,2,Composition,,Sales Order Line.Order Line,,0..1,,,Quantity,The quantity of items listed on an order line.,Sales,0,SL06_GE13_11,,
608,2,Composition,,Sales Order Line.Order Line,Basic UOM,0..1,,,Quantity,The quantity of items on an order line as measured by the basic unit of measure.,Sales,0,SL06_GE13_12,,
609,2,Composition,,Sales Order Line.Order Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,SL06_GE13_13,,
871,1,Class,,Sales Shipment Made,,,,,,A class capturing the details of goods shipped to customers in fulfillment of sales orders within a specified period.,Sales,84,SL07,,
872,2,Attribute,PK,Sales Shipment Made,ID,1..1,Identifier,Identifier Long,,The unique identifier for a shipment.,Sales,84,SL07_01,,
873,2,Attribute,,Sales Shipment Made,Number,0..1,Char,Char Long,,The number for a specific sales shipment.,Sales,84,SL07_02,,
874,2,Attribute,,Sales Shipment Made,Date,0..1,Date,DATE,,The date on which goods were shipped to the buyer.,Sales,84,SL07_03,,
875,2,Attribute,,Sales Shipment Made,Reference Number,0..1,Char,Char Long,,"The number for a specific shipment, such as a company reference or an official waybill number from a logistics company.",Sales,84,SL07_04,,
876,2,Attribute,,Sales Shipment Made,Shipping Method,0..1,Char,Char Medium,,"The specific process or service selected to convey goods from sender to receiver, applicable to both outbound and inbound logistics.",Sales,84,SL07_05,,
877,2,Attribute,,Sales Shipment Made,Shipping Company,0..1,Name,Name Short,,"A shipping company is an entity engaged in the transportation of goods across various modes of transport, providing logistical and support services to ensure safe and timely delivery.",Sales,84,SL07_06,,
878,2,Attribute,,Sales Shipment Made,Adjustment Indicator,0..1,Indicator,Indicator,,The indicator signifying that the transaction reflects a shipment adjustment rather than the original shipment.,Sales,84,SL07_07,,
879,2,Attribute,,Sales Shipment Made,Adjustment Description,0..1,Text,Text Medium,,"Textual clarification provided when changes are made to a recorded shipment, specifying the cause and nature of the adjustment.",Sales,84,SL07_08,,
883,2,Reference Association,,Sales Shipment Made,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Sales,84,SL07_12,,
884,2,Reference Association,,Sales Shipment Made,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,84,SL07_13,,
885,2,Reference Association,,Sales Shipment Made,Dispatch Organization,0..1,,,Business Segment,The business segment concerning the organization that handles the dispatch of completed sales shipments.,Sales,84,SL07_14,,
886,2,Reference Association,,Sales Shipment Made,,0..1,,,Customer,A class that records broad customer information pertaining to made shipments.,Sales,84,SL07_15,,
887,2,Reference Association,,Sales Shipment Made,,0..1,,,Sales Order,"A class capturing the details of sales orders, which form the basis for the three-way matching process by providing a record to match against customer deliveries and invoicing for transaction validation.",Sales,84,SL07_16,,
880,2,Composition,,Sales Shipment Made,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,84,SL07_09,,
881,2,Composition,,Sales Shipment Made,Shipping Transaction,0..1,,,Amount,"The total monetary amount for shipping all items in a sales shipment, recorded in the transaction currency.",Sales,84,SL07_10,,
882,2,Composition,,Sales Shipment Made,,0..*,,,Sales Shipment Made Line,"A class detailing the specifics of items shipped, verified in the three-way matching process against sales orders and invoices to ensure accuracy and completeness of the sales cycle.",Sales,84,SL07_11,,
888,1,Class,,Sales Shipment Made Line,,,,,,"A class detailing the specifics of each item shipped, including the quantity, unit price, and total amount related to the sale.",Sales,86,SL08,,
889,2,Attribute,PK,Sales Shipment Made Line,ID,1..1,Identifier,Identifier Long,,The unique identifier for a line within a shipment document.,Sales,86,SL08_01,,
890,2,Attribute,,Sales Shipment Made Line,Number,0..1,Char,Char Short,,The number for a particular line within a shipping document.,Sales,86,SL08_02,,
894,2,Reference Association,,Sales Shipment Made Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,86,SL08_06,,
895,2,Reference Association,,Sales Shipment Made Line,,0..1,,,Inventory Product,The inventory product detailed in a sales shipment made line item.,Sales,86,SL08_07,,
896,2,Reference Association,,Sales Shipment Made Line,,0..1,,,Sales Order Line,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,86,SL08_08,,
891,2,Composition,,Sales Shipment Made Line,Shipping Transaction,0..1,,,Amount,"The monetary amount of a specific line item in a sales shipment, recorded in the transaction currency, representing the cost of shipping.",Sales,86,SL08_03,,
892,2,Composition,,Sales Shipment Made Line,Shipping Unit Price,0..1,,,Amount,"The unit price for shipping a specific item in a sales shipment, recorded in the transaction currency.",Sales,86,SL08_04,,
893,2,Composition,,Sales Shipment Made Line,Shipping,0..1,,,Quantity,The quantity of items listed as shipped on a sales shipment line.,Sales,86,SL08_05,,
897,1,Class,,Settlement Method,,,,,,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Base,28,BS15,,
898,2,Attribute,PK,Settlement Method,Code,1..1,Identifier,Identifier Medium,,The unique code describing how a transaction is settled.,Base,28,BS15_01,,
899,2,Attribute,,Settlement Method,Name,0..1,Name,Name Short,,The designation of the procedure used for financial settlement.,Base,28,BS15_02,,
900,2,Attribute,,Settlement Method,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a settlement method is currently valid for settling transactions.,Base,28,BS15_03,,
901,1,Class,,Supplier,,,,,,A class containing essential information about suppliers.,Base,18,BS16,,
902,2,Attribute,PK,Supplier,Account ID,1..1,Identifier,Identifier Long,,The unique identifier for a supplier account.,Base,18,BS16_01,,
903,2,Attribute,,Supplier,Account Number,0..1,Char,Char Long,,The number for a supplier's account.,Base,18,BS16_02,,
904,2,Attribute,,Supplier,Account Name,0..1,Name,Name Medium,,The legal or registered name of the supplier.,Base,18,BS16_03,,
905,2,Attribute,,Supplier,Abbreviation,0..1,Name,Name Medium,,The shortened form of the supplier's name.,Base,18,BS16_04,,
