sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
862,2,Composition,,Sales Order,,0..*,,,Sales Order Line,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,76,SL05_01
863,2,Reference Association,,Sales Order,Sales Organization,0..1,,,Business Segment,The business segment pertaining to the organization that processes sales orders.,Sales,76,SL05_02
864,2,Reference Association,,Sales Order,,0..1,,,Customer,A class that records broad customer information related to sales orders.,Sales,76,SL05_03
865,2,Reference Association,,Sales Order,Salesperson,0..1,,,Employee,The employee responsible for the sales order as a salesperson.,Sales,76,SL05_04
866,1,Class,,Sales Order Line,,,,,,A class representing the detailed specifications for goods or services requested in a sales order.,Sales,78,SL06
597,2,Attribute,PK,Sales Order Line.Order Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line item within an order.,Sales,0,SL06_GE14_01
598,2,Attribute,,Sales Order Line.Order Line,Number,0..1,Char,Char Short,,"The number for a specific line within an order, generated manually or by the system.",Sales,0,SL06_GE14_02
599,2,Attribute,,Sales Order Line.Order Line,Payer ID,0..1,Char,Char Medium,,The unique identifier for the entity responsible for making payment on an order line.,Sales,0,SL06_GE14_03
600,2,Attribute,,Sales Order Line.Order Line,Due Date,0..1,Date,DATE,,The ultimate date by which the order is requested.,Sales,0,SL06_GE14_04
601,2,Attribute,,Sales Order Line.Order Line,Status,0..1,Code,STATUS CODE,,The current state of the order line item's lifecycle.,Sales,0,SL06_GE14_05
602,2,Composition,,Sales Order Line.Order Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an order line item excluding tax, recorded in the transaction currency.",Sales,0,SL06_GE14_06
603,2,Composition,,Sales Order Line.Order Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an order line item excluding tax, recorded in the transaction currency.",Sales,0,SL06_GE14_07
604,2,Composition,,Sales Order Line.Order Line,Tax Include,0..1,,,Amount,"The monetary amount of an order line item including tax, recorded in the transaction currency.",Sales,0,SL06_GE14_08
605,2,Composition,,Sales Order Line.Order Line,Tax Include Unit Price,0..1,,,Amount,"The unit price of an order line item including tax, recorded in the transaction currency.",Sales,0,SL06_GE14_09
606,2,Composition,,Sales Order Line.Order Line,Transaction,0..1,,,Amount,"The monetary amount of a single line within an order, recorded in the transaction currency specified for that order line.",Sales,0,SL06_GE14_10
607,2,Composition,,Sales Order Line.Order Line,,0..1,,,Quantity,The quantity of items listed on an order line.,Sales,0,SL06_GE14_11
608,2,Composition,,Sales Order Line.Order Line,Basic UOM,0..1,,,Quantity,The quantity of items on an order line as measured by the basic unit of measure.,Sales,0,SL06_GE14_12
609,2,Composition,,Sales Order Line.Order Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,SL06_GE14_13
610,2,Reference Association,,Sales Order Line.Order Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL06_GE14_14
611,2,Reference Association,,Sales Order Line.Order Line,Settlement Organization,0..1,,,Business Segment,The business segment of the organization responsible for the settlement of an order line.,Sales,0,SL06_GE14_15
612,2,Reference Association,,Sales Order Line.Order Line,,0..1,,,Inventory Product,The inventory product listed on an order line item.,Sales,0,SL06_GE14_16
868,2,Reference Association,,Sales Order Line,Dispatch Organization,0..1,,,Business Segment,The business segment concerning the organisation that handles the dispatch of sales shipments.,Sales,78,SL06_01
869,2,Reference Association,,Sales Order Line,,0..1,,,Sales Contract,"A class providing an overview of sales agreements, documenting the commitment to sell products or services within a specific period.",Sales,78,SL06_02
870,2,Reference Association,,Sales Order Line,,0..1,,,Sales Contract Line,"A class detailing the terms of individual items within a sales contract, including product details and financial terms.",Sales,78,SL06_03
852,1,Class,,Sales Invoice,,,,,,A class representing a document that details charges for goods or services delivered to a customer within a specified period.,Sales,80,SL03
524,2,Attribute,PK,Sales Invoice.Invoice,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an invoice.,Sales,0,SL03_GE11_01
525,2,Attribute,,Sales Invoice.Invoice,Number,0..1,Char,Char Long,,The number for an invoice.,Sales,0,SL03_GE11_02
526,2,Attribute,,Sales Invoice.Invoice,Official Invoice Code,0..1,Char,Char Short,,The identifier for an invoice that is assigned by tax authorities.,Sales,0,SL03_GE11_03
527,2,Attribute,,Sales Invoice.Invoice,Type Name,0..1,Name,Name Short,,The descriptor that categorizes the nature of an invoice.,Sales,0,SL03_GE11_04
528,2,Attribute,,Sales Invoice.Invoice,Date,0..1,Date,DATE,,The official date recorded on an invoice which initiates the calculation period for payment due.,Sales,0,SL03_GE11_05
529,2,Attribute,,Sales Invoice.Invoice,Due Date,0..1,Date,DATE,,The date by which payment for an invoice is required.,Sales,0,SL03_GE11_06
530,2,Attribute,,Sales Invoice.Invoice,Terms Discount Percentage,0..1,Decimal,Percent,,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Sales,0,SL03_GE11_07
531,2,Attribute,,Sales Invoice.Invoice,Terms Discount Days,0..1,Integer,INTEGER,,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,Sales,0,SL03_GE11_08
532,2,Attribute,,Sales Invoice.Invoice,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Sales,0,SL03_GE11_09
533,2,Attribute,,Sales Invoice.Invoice,Grouping Code,0..1,Char,Char Long,,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,Sales,0,SL03_GE11_10
534,2,Attribute,,Sales Invoice.Invoice,Status,0..1,Code,STATUS CODE,,The current state of the invoice's lifecycle.,Sales,0,SL03_GE11_11
535,2,Attribute,,Sales Invoice.Invoice,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an invoice.,Sales,0,SL03_GE11_12
536,2,Composition,,Sales Invoice.Invoice,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,0,SL03_GE11_13
537,2,Composition,,Sales Invoice.Invoice,Transaction,0..1,,,Amount,"The total monetary amount of all items on an invoice, summing the transaction amounts of individual lines.",Sales,0,SL03_GE11_14
538,2,Composition,,Sales Invoice.Invoice,,0..*,,,Tax,"The class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,SL03_GE11_15
539,2,Reference Association,,Sales Invoice.Invoice,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Sales,0,SL03_GE11_16
540,2,Reference Association,,Sales Invoice.Invoice,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL03_GE11_17
541,2,Reference Association,,Sales Invoice.Invoice,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Sales,0,SL03_GE11_18
542,2,Reference Association,,Sales Invoice.Invoice,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Sales,0,SL03_GE11_19
854,2,Composition,,Sales Invoice,,0..*,,,Sales Invoice Line,"A class detailing individual products on sales invoices, integral to the three-way matching process that ensures billing accuracy and proper revenue reporting.",Sales,80,SL03_01
855,2,Reference Association,,Sales Invoice,,0..1,,,Customer,A class that records comprehensive customer information pertaining to sales invoices.,Sales,80,SL03_02
856,1,Class,,Sales Invoice Line,,,,,,A class representing detailed charges for individual goods or services delivered as listed on a sales invoice.,Sales,82,SL04
544,2,Attribute,PK,Sales Invoice Line.Invoice Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line within an invoice.,Sales,0,SL04_GE12_01
545,2,Attribute,,Sales Invoice Line.Invoice Line,Number,0..1,Char,Char Short,,The number for a particular line of an invoice.,Sales,0,SL04_GE12_02
546,2,Attribute,,Sales Invoice Line.Invoice Line,Grouping Code,0..1,Char,Char Long,,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,Sales,0,SL04_GE12_03
547,2,Composition,,Sales Invoice Line.Invoice Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an invoice line item before tax inclusion, recorded in the transaction currency.",Sales,0,SL04_GE12_04
548,2,Composition,,Sales Invoice Line.Invoice Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an invoice line item before tax, recorded in the transaction currency.",Sales,0,SL04_GE12_05
549,2,Composition,,Sales Invoice Line.Invoice Line,Tax Include,0..1,,,Amount,"The monetary amount of an invoice line item with tax included, recorded in the transaction currency.",Sales,0,SL04_GE12_06
550,2,Composition,,Sales Invoice Line.Invoice Line,Tax Include Unit Price,0..1,,,Amount,"The unit price for an invoice line item with tax, recorded in the transaction currency.",Sales,0,SL04_GE12_07
551,2,Composition,,Sales Invoice Line.Invoice Line,Transaction,0..1,,,Amount,"The monetary amount of a single item within an invoice, representing the transaction amount for that specific line.",Sales,0,SL04_GE12_08
552,2,Composition,,Sales Invoice Line.Invoice Line,Basic UOM,0..1,,,Quantity,The quantity of items on an invoice line as measured by the basic unit of measure.,Sales,0,SL04_GE12_09
553,2,Composition,,Sales Invoice Line.Invoice Line,Invoice,0..1,,,Quantity,The quantity of items listed on an invoice line.,Sales,0,SL04_GE12_10
554,2,Composition,,Sales Invoice Line.Invoice Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,SL04_GE12_11
555,2,Reference Association,,Sales Invoice Line.Invoice Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,0,SL04_GE12_12
556,2,Reference Association,,Sales Invoice Line.Invoice Line,,0..1,,,Inventory Product,The inventory product detailed in an invoice line item.,Sales,0,SL04_GE12_13
557,2,Reference Association,,Sales Invoice Line.Invoice Line,Credit,0..1,,,Ledger Account,The ledger account associated with credit transactions on invoice lines.,Sales,0,SL04_GE12_14
558,2,Reference Association,,Sales Invoice Line.Invoice Line,Debit,0..1,,,Ledger Account,The ledger account associated with debit transactions on inThe ledger account that is part of a subsidiary grouping within an account hierarchy.voice lines.,Sales,0,SL04_GE12_15
858,2,Reference Association,,Sales Invoice Line,,0..1,,,Sales Order,"A class capturing the details of sales orders, which form the basis for the three-way matching process by providing a record to match against customer deliveries and invoicing for transaction validation.",Sales,82,SL04_01
859,2,Reference Association,,Sales Invoice Line,,0..1,,,Sales Order Line,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,82,SL04_02
871,1,Class,,Sales Shipment Made,,,,,,A class capturing the details of goods shipped to customers in fulfillment of sales orders within a specified period.,Sales,84,SL07
872,2,Attribute,PK,Sales Shipment Made,ID,1..1,Identifier,Identifier Long,,The unique identifier for a shipment.,Sales,84,SL07_01
873,2,Attribute,,Sales Shipment Made,Number,0..1,Char,Char Long,,The number for a specific sales shipment.,Sales,84,SL07_02
874,2,Attribute,,Sales Shipment Made,Date,0..1,Date,DATE,,The date on which goods were shipped to the buyer.,Sales,84,SL07_03
875,2,Attribute,,Sales Shipment Made,Reference Number,0..1,Char,Char Long,,"The number for a specific shipment, such as a company reference or an official waybill number from a logistics company.",Sales,84,SL07_04
876,2,Attribute,,Sales Shipment Made,Shipping Method,0..1,Char,Char Medium,,"The specific process or service selected to convey goods from sender to receiver, applicable to both outbound and inbound logistics.",Sales,84,SL07_05
877,2,Attribute,,Sales Shipment Made,Shipping Company,0..1,Name,Name Short,,"A shipping company is an entity engaged in the transportation of goods across various modes of transport, providing logistical and support services to ensure safe and timely delivery.",Sales,84,SL07_06
878,2,Attribute,,Sales Shipment Made,Adjustment Indicator,0..1,Indicator,Indicator,,The indicator signifying that the transaction reflects a shipment adjustment rather than the original shipment.,Sales,84,SL07_07
879,2,Attribute,,Sales Shipment Made,Adjustment Description,0..1,Text,Text Medium,,"Textual clarification provided when changes are made to a recorded shipment, specifying the cause and nature of the adjustment.",Sales,84,SL07_08
880,2,Composition,,Sales Shipment Made,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,84,SL07_09
881,2,Composition,,Sales Shipment Made,Shipping Transaction,0..1,,,Amount,"The total monetary amount for shipping all items in a sales shipment, recorded in the transaction currency.",Sales,84,SL07_10
882,2,Composition,,Sales Shipment Made,,0..*,,,Sales Shipment Made Line,"A class detailing the specifics of items shipped, verified in the three-way matching process against sales orders and invoices to ensure accuracy and completeness of the sales cycle.",Sales,84,SL07_11
883,2,Reference Association,,Sales Shipment Made,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Sales,84,SL07_12
884,2,Reference Association,,Sales Shipment Made,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,84,SL07_13
885,2,Reference Association,,Sales Shipment Made,Dispatch Organization,0..1,,,Business Segment,The business segment concerning the organization that handles the dispatch of completed sales shipments.,Sales,84,SL07_14
886,2,Reference Association,,Sales Shipment Made,,0..1,,,Customer,A class that records broad customer information pertaining to made shipments.,Sales,84,SL07_15
887,2,Reference Association,,Sales Shipment Made,,0..1,,,Sales Order,"A class capturing the details of sales orders, which form the basis for the three-way matching process by providing a record to match against customer deliveries and invoicing for transaction validation.",Sales,84,SL07_16
888,1,Class,,Sales Shipment Made Line,,,,,,"A class detailing the specifics of each item shipped, including the quantity, unit price, and total amount related to the sale.",Sales,86,SL08
889,2,Attribute,PK,Sales Shipment Made Line,ID,1..1,Identifier,Identifier Long,,The unique identifier for a line within a shipment document.,Sales,86,SL08_01
890,2,Attribute,,Sales Shipment Made Line,Number,0..1,Char,Char Short,,The number for a particular line within a shipping document.,Sales,86,SL08_02
891,2,Composition,,Sales Shipment Made Line,Shipping Transaction,0..1,,,Amount,"The monetary amount of a specific line item in a sales shipment, recorded in the transaction currency, representing the cost of shipping.",Sales,86,SL08_03
892,2,Composition,,Sales Shipment Made Line,Shipping Unit Price,0..1,,,Amount,"The unit price for shipping a specific item in a sales shipment, recorded in the transaction currency.",Sales,86,SL08_04
893,2,Composition,,Sales Shipment Made Line,Shipping,0..1,,,Quantity,The quantity of items listed as shipped on a sales shipment line.,Sales,86,SL08_05
894,2,Reference Association,,Sales Shipment Made Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,86,SL08_06
895,2,Reference Association,,Sales Shipment Made Line,,0..1,,,Inventory Product,The inventory product detailed in a sales shipment made line item.,Sales,86,SL08_07
896,2,Reference Association,,Sales Shipment Made Line,,0..1,,,Sales Order Line,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,86,SL08_08
43,1,Class,,Account Payable Open Account,,,,,,"A class records the total amount due to suppliers from unresolved payable transactions as of a particular date, summarized at the invoice level.",Accounts Payable,89,AP04
44,2,Attribute,PK,Account Payable Open Account,Transaction ID,1..1,Identifier,Identifier Medium,,The unique identifier for a financial transaction.,Accounts Payable,89,AP04_01
45,2,Attribute,,Account Payable Open Account,Transaction Date,0..1,Date,DATE,,"The recorded date of a transaction in an open accounts payable account, which is used as the basis for calculating payment due dates.",Accounts Payable,89,AP04_02
46,2,Attribute,,Account Payable Open Account,Transaction Due Date,0..1,Date,DATE,,The date by which payment for a transaction in an open accounts payable account is due.,Accounts Payable,89,AP04_03
47,2,Attribute,,Account Payable Open Account,Reference Number,0..1,Char,Char Long,,The number for a transaction related to an open accounts payable account.,Accounts Payable,89,AP04_04
48,2,Attribute,,Account Payable Open Account,Reference Date,0..1,Date,DATE,,The date associated with a transaction related to an open accounts payable account.,Accounts Payable,89,AP04_05
49,2,Attribute,,Account Payable Open Account,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the open accounts payable.,Accounts Payable,89,AP04_06
50,2,Attribute,,Account Payable Open Account,Grouping Code,0..1,Char,Char Long,,The code that groups related accounts payable items for organizational or processing activities.,Accounts Payable,89,AP04_07
51,2,Composition,,Account Payable Open Account,,0..1,,,Amounts,The multi-currency monetary amounts representing the Open Account transaction amount within a specified accounting period.,Accounts Payable,89,AP04_08
52,2,Composition,,Account Payable Open Account,Balance,0..1,,,Amounts,The multi-currency monetary balance amounts representing the Open Account remaining balance unpaid or needing settlement.definition.,Accounts Payable,89,AP04_09
53,2,Reference Association,,Account Payable Open Account,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,89,AP04_10
54,2,Reference Association,,Account Payable Open Account,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,89,AP04_11
55,2,Reference Association,,Account Payable Open Account,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,89,AP04_12
56,2,Reference Association,,Account Payable Open Account,,0..1,,,Project,"A class that provides detailed records of a project's facets, pertinent to open accounts payable.",Accounts Payable,89,AP04_13
57,2,Reference Association,,Account Payable Open Account,,0..1,,,Purchase Contract,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Accounts Payable,89,AP04_14
58,2,Reference Association,,Account Payable Open Account,,0..1,,,Purchase Invoice,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,89,AP04_15
59,2,Reference Association,,Account Payable Open Account,,0..1,,,Supplier,A class containing essential information about suppliers.,Accounts Payable,89,AP04_16
60,1,Class,,Account Payable Payment Made,,,,,,"A class documents the details of payment transactions to suppliers, including payment amounts and dates, conducted during a specified period.",Accounts Payable,91,AP05
61,2,Attribute,PK,Account Payable Payment Made,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a payment transaction.,Accounts Payable,91,AP05_01
62,2,Attribute,,Account Payable Payment Made,Number,0..1,Char,Char Long,,The number for the transactional document associated with an accounts payable payment.,Accounts Payable,91,AP05_02
63,2,Attribute,,Account Payable Payment Made,Payment Date,0..1,Date,DATE,,The date on which a payment to a supplier is recorded as made on the accounts payable.,Accounts Payable,91,AP05_03
64,2,Attribute,,Account Payable Payment Made,Reference Number,0..1,Char,Char Long,,The number for a payment transaction for accounts payable.,Accounts Payable,91,AP05_04
65,2,Attribute,,Account Payable Payment Made,Reference Date,0..1,Date,DATE,,The date associated with a payment transaction for accounts payable.,Accounts Payable,91,AP05_05
66,2,Attribute,,Account Payable Payment Made,Debit or Credit Code,0..1,Code,DEBIT CREDIT CODE,,"A code that classifies a transaction as either increasing assets and expenses, denoted  by 'D' for debit, or increasing liabilities, equity, and revenues, denoted by 'C' for credit.",Accounts Payable,91,AP05_06
67,2,Attribute,,Account Payable Payment Made,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the payments made in accounts payable.,Accounts Payable,91,AP05_07
68,2,Composition,,Account Payable Payment Made,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,91,AP05_08
69,2,Composition,,Account Payable Payment Made,,0..1,,,Amounts,The multi-currency monetary amounts representing the total cash paid amount within a specified accounting period.,Accounts Payable,91,AP05_09
70,2,Reference Association,,Account Payable Payment Made,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,91,AP05_10
71,2,Reference Association,,Account Payable Payment Made,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,91,AP05_11
72,2,Reference Association,,Account Payable Payment Made,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,91,AP05_12
73,2,Reference Association,,Account Payable Payment Made,Credit,0..1,,,Ledger Account,The ledger account for payments made that result in credit to accounts payable.,Accounts Payable,91,AP05_13
74,2,Reference Association,,Account Payable Payment Made,Debit,0..1,,,Ledger Account,The ledger account for payments made that result in a debit to accounts payable.,Accounts Payable,91,AP05_14
75,2,Reference Association,,Account Payable Payment Made,,0..1,,,Project,"A class that provides a comprehensive record of a project's financial details and progress, related to made payments in accounts payable.",Accounts Payable,91,AP05_15
76,2,Reference Association,,Account Payable Payment Made,,0..1,,,Purchase Contract,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Accounts Payable,91,AP05_16
77,2,Reference Association,,Account Payable Payment Made,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Accounts Payable,91,AP05_17
78,2,Reference Association,,Account Payable Payment Made,,0..1,,,Supplier,A class containing essential information about suppliers.,Accounts Payable,91,AP05_18
29,1,Class,,Account Payable Cash Application,,,,,,A class details the application of cash payments against supplier invoice obligations within a specific period.,Accounts Payable,93,AP03
30,2,Attribute,PK,Account Payable Cash Application,ID,1..1,Identifier,Identifier Long,,The unique identifier for the application of cash to an invoice in accounts payable.,Accounts Payable,93,AP03_01
31,2,Attribute,,Account Payable Cash Application,Date,0..1,Date,DATE,,"The date on which the cash was applied to the invoice, regardless of the date when the transaction was created.",Accounts Payable,93,AP03_02
32,2,Attribute,,Account Payable Cash Application,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the cash application in accounts payable.,Accounts Payable,93,AP03_03
33,2,Composition,,Account Payable Cash Application,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,93,AP03_04
34,2,Composition,,Account Payable Cash Application,,0..1,,,Amounts,The multi-currency monetary amounts representing the total cash applied to payable account within a specified accounting period.,Accounts Payable,93,AP03_05
35,2,Reference Association,,Account Payable Cash Application,,0..1,,,Account Payable Payment Made,"A class documents the details of payment transactions to suppliers, including payment amounts and dates, conducted during a specified period.",Accounts Payable,93,AP03_06
36,2,Reference Association,,Account Payable Cash Application,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,93,AP03_07
37,2,Reference Association,,Account Payable Cash Application,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,93,AP03_08
38,2,Reference Association,,Account Payable Cash Application,Credit,0..1,,,Ledger Account,The ledger account for cash credits applied to accounts payable.,Accounts Payable,93,AP03_09
39,2,Reference Association,,Account Payable Cash Application,Debit,0..1,,,Ledger Account,The ledger account for cash debits applied to accounts payable.,Accounts Payable,93,AP03_10
40,2,Reference Association,,Account Payable Cash Application,,0..1,,,Purchase Invoice,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,93,AP03_11
41,2,Reference Association,,Account Payable Cash Application,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Accounts Payable,93,AP03_12
42,2,Reference Association,,Account Payable Cash Application,,0..1,,,Supplier,A class containing essential information about suppliers.,Accounts Payable,93,AP03_13
1,1,Class,,Account Payable Adjustment,,,,,,"A class records adjustments to invoice balances due to suppliers, capturing each unique adjustment within the specified period.",Accounts Payable,95,AP01
2,2,Attribute,PK,Account Payable Adjustment,ID,1..1,Identifier,Identifier Long,,The unique identifier for the adjustment record.,Accounts Payable,95,AP01_01
3,2,Attribute,,Account Payable Adjustment,Number,0..1,Char,Char Long,,"The number for an adjustment record, ensuring the uniqueness of each adjustment transaction",Accounts Payable,95,AP01_02
4,2,Attribute,,Account Payable Adjustment,Type Name,0..1,Name,Name Short,,Name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the supplier.,Accounts Payable,95,AP01_03
5,2,Attribute,,Account Payable Adjustment,Document Number,0..1,Char,Char Long,,The number for a document associated with an adjustment,Accounts Payable,95,AP01_04
6,2,Attribute,,Account Payable Adjustment,Date,0..1,Date,DATE,,the date on which an adjustment is recorded.,Accounts Payable,95,AP01_05
7,2,Composition,,Account Payable Adjustment,,0..*,,,Account Payable Adjustment Line,A class provides details of how adjustments affect specific line items on supplier invoices.,Accounts Payable,95,AP01_06
8,2,Composition,,Account Payable Adjustment,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,95,AP01_07
9,2,Composition,,Account Payable Adjustment,,0..1,,,Amounts,The multi-currency monetary amounts representing adjustments made to accounts payable balances within a specified accounting period.,Accounts Payable,95,AP01_08
10,2,Composition,,Account Payable Adjustment,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Payable,95,AP01_09
11,2,Reference Association,,Account Payable Adjustment,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,95,AP01_10
12,2,Reference Association,,Account Payable Adjustment,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,95,AP01_11
13,2,Reference Association,,Account Payable Adjustment,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,95,AP01_12
14,2,Reference Association,,Account Payable Adjustment,Credit,0..1,,,Ledger Account,The ledger account for credit adjustments to accounts payable.,Accounts Payable,95,AP01_13
15,2,Reference Association,,Account Payable Adjustment,Debit,0..1,,,Ledger Account,The ledger account for debit adjustments to accounts payable.,Accounts Payable,95,AP01_14
16,2,Reference Association,,Account Payable Adjustment,,0..1,,,Purchase Invoice,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,95,AP01_15
17,2,Reference Association,,Account Payable Adjustment,,0..1,,,Supplier,A class containing essential information about suppliers.,Accounts Payable,95,AP01_16
18,1,Class,,Account Payable Adjustment Line,,,,,,A class provides details of how adjustments affect specific line items on supplier invoices.,Accounts Payable,97,AP02
19,2,Attribute,PK,Account Payable Adjustment Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for the line within an adjustment record.,Accounts Payable,97,AP02_01
20,2,Attribute,,Account Payable Adjustment Line,Number,0..1,Char,Char Short,,The number of a line item within an account payable adjustment record,Accounts Payable,97,AP02_02
21,2,Composition,,Account Payable Adjustment Line,,0..1,,,Amounts,The multi-currency monetary amounts representing adjustments made to accounts payable balances within a specified accounting period.,Accounts Payable,97,AP02_03
22,2,Composition,,Account Payable Adjustment Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Payable,97,AP02_04
23,2,Reference Association,,Account Payable Adjustment Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,97,AP02_05
24,2,Reference Association,,Account Payable Adjustment Line,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,97,AP02_06
25,2,Reference Association,,Account Payable Adjustment Line,Credit,0..1,,,Ledger Account,The ledger account line item for credit adjustments within accounts payable.,Accounts Payable,97,AP02_07
26,2,Reference Association,,Account Payable Adjustment Line,Debit,0..1,,,Ledger Account,The ledger account line item for debit adjustments within accounts payable.,Accounts Payable,97,AP02_08
