No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain,Action
487,2,Attribute,,Purchase Requisition Line,Number,Char,,0..1,The number for a specific line within a purchase requisition document.,Purchase,102,Char Short,
488,2,Attribute,,Purchase Requisition Line,Due Date,Date,,0..1,The final date on which delivery of materials specified in a purchase requisition is requested.,Purchase,102,DATE,
489,2,Attribute,,Purchase Requisition Line,Status,Code,,0..1,The current state of the purchase requisition line item's lifecycle.,Purchase,102,STATUS CODE,
490,2,Composition,,Purchase Requisition Line,Approved,,Quantity,0..1,The quantity of items that have been authorized on a purchase requisition line.,Purchase,102,,
491,2,Composition,,Purchase Requisition Line,Requisition,,Quantity,0..1,The quantity of items requested on a purchase requisition line.,Purchase,102,,
492,2,Reference Association,,Purchase Requisition Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,102,,
493,2,Reference Association,,Purchase Requisition Line,Purchase Organization,,Business Segment,0..1,The business segment relevant to the organization requesting the purchase through a requisition line.,Purchase,102,,
494,2,Reference Association,,Purchase Requisition Line,Requisition Organization,,Business Segment,0..1,The business segment concerning the requisition of specific line items in a purchase order.,Purchase,102,,
495,2,Reference Association,,Purchase Requisition Line,,,Inventory Product,0..1,The inventory product listed on a purchase requisition line item.,Purchase,102,,
496,2,Reference Association,,Purchase Requisition Line,Purchase,,Measurement Unit,0..1,The unit of measure for the quantity of an inventory product requested on a purchase requisition line.,Purchase,102,,
497,2,Reference Association,,Purchase Requisition Line,,,Project,0..1,A class that outlines the comprehensive details of a project in the context of purchase requisitions.,Purchase,102,,
498,2,Reference Association,,Purchase Requisition Line,,,Supplier,0..1,A class containing essential information about suppliers.,Purchase,102,,
499,1,Abstract Class,,Contract,,,,,An abstract class that encapsulates the terms and agreements between parties.,General,,,
500,2,Attribute,PK,Contract,ID,Identifier,,1..1,The unique identifier for a contract.,General,,Identifier Medium,
501,2,Attribute,,Contract,Number,Char,,0..1,"The number for a contract, facilitating its recognition and retrieval within a system.",General,,Char Long,
502,2,Attribute,,Contract,Type Name,Name,,0..1,The classification title given to a contract that specifies its nature and terms within the context of sales and purchase activities.,General,,Name Medium,
503,2,Attribute,,Contract,Beginning Date,Date,,0..1,The date on which the terms of a contract become effective.,General,,DATE,
504,2,Attribute,,Contract,Ending Date,Date,,0..1,The date on which the terms of a contract conclude or expire.,General,,DATE,
505,2,Attribute,,Contract,Status,Code,,0..1,The current state of the contract's lifecycle.,General,,STATUS CODE,
506,2,Attribute,,Contract,Remark,Text,,0..1,Annotations or supplemental information for a contract.,General,,Text Medium,
507,2,Composition,,Contract,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,,
508,2,Reference Association,,Contract,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,,
509,2,Reference Association,,Contract,Transaction,,Currency,0..1,The currency in which the financial transaction for contracts denominated.,General,,,
510,2,Reference Association,,Contract,,,Payment Term,0..1,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",General,,,
511,2,Reference Association,,Contract,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General,,,
512,1,Abstract Class,,Contract Line,,,,,An abstract class that details individual terms or items within a contract.,General,,,
513,2,Attribute,PK,Contract Line,ID,Identifier,,1..1,The unique identifier for a line item within a contract.,General,,Identifier Medium,
514,2,Attribute,,Contract Line,Number,Char,,0..1,"The number for a specific line within a contract, enabling distinction and reference.",General,,Char Short,
515,2,Attribute,,Contract Line,Due Date,Date,,0..1,The final date by which delivery of products or materials is requested.,General,,DATE,
516,2,Attribute,,Contract Line,Status,Code,,0..1,The current state of the contract line item's lifecycle.,General,,STATUS CODE,
517,2,Composition,,Contract Line,Tax Exclude,,Amount,0..1,"The monetary amount of a contract line item without tax, recorded in the transaction currency.",General,,,
518,2,Composition,,Contract Line,Tax Exclude Unit Price,,Amount,0..1,"The price per unit of a contract line item with tax included, recorded in the transaction currency.",General,,,
519,2,Composition,,Contract Line,Tax Include,,Amount,0..1,"The monetary amount of a contract line item including tax, recorded in the transaction currency.",General,,,
520,2,Composition,,Contract Line,Tax Include Unit Price,,Amount,0..1,Unit price (including tax) in transaction currency.,General,,,
521,2,Composition,,Contract Line,,,Quantity,0..1,The quantity of items detailed in a contract line item.,General,,,
522,2,Composition,,Contract Line,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,,
523,2,Reference Association,,Contract Line,Settlement Organization,,Business Segment,0..1,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,,
524,2,Reference Association,,Contract Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,,
525,2,Reference Association,,Contract Line,,,Inventory Product,0..1,The inventory product specified in a contract line item.,General,,,
526,1,Class,,Sales Contract,,,,,"A legal agreement between a seller and a buyer related to the sale of goods or services, specifying the obligations and rights of both parties involved in the transaction.",Sales,72,,
527,2,Specialization,,Sales Contract,,,Contract,1..1,"A legal agreement between a seller and a buyer related to the sale of goods or services, specifying the obligations and rights of both parties involved in the transaction.",Sales,72,,
528,2,Composition,,Sales Contract,,,Sales Contract Line,0..*,"A class detailing the terms of individual items within a sales contract, including product details and financial terms.",Sales,72,,
529,2,Reference Association,,Sales Contract,Sales Organization,,Business Segment,0..1,The business segment involving the organization responsible for sales contracts.,Sales,72,,
530,2,Reference Association,,Sales Contract,,,Customer,0..1,A class that records broad customer information related to sales contracts.,Sales,72,,
531,2,Reference Association,,Sales Contract,Salesperson,,Employee,0..1,The employee acting as a salesperson in a sales contract.,Sales,72,,
532,1,Class,,Sales Contract Line,,,,,A class representing the specifics of goods or services agreed upon in a sales contract.,Sales,74,,
533,2,Specialization,,Sales Contract Line,,,Contract Line,1..1,A specific item within a sales contract that details the individual terms related to the sale of goods or services.,Sales,74,,
534,2,Reference Association,,Sales Contract Line,Dispatch Organization,,Business Segment,0..1,The business segment of the organization tasked with the dispatch of sales contract line items.,Sales,74,,
535,1,Class,,Purchase Contract,,,,,A class representing an agreement with a vendor for the provision of goods or services within a specified period.,Purchase,104,,
536,2,Specialization,,Purchase Contract,,,Contract,1..1,"A legal agreement between a buyer and a seller pertaining to the procurement of goods or services, detailing the terms and conditions of the purchase.",Purchase,104,,
537,2,Composition,,Purchase Contract,,,Purchase Contract Line,0..*,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",Purchase,104,,
538,2,Reference Association,,Purchase Contract,Purchase Organization,,Business Segment,0..1,The business segment pertaining to the organization that manages purchase contracts.,Purchase,104,,
539,2,Reference Association,,Purchase Contract,Purchaser,,Employee,0..1,The employee who is designated as the purchaser in a purchase contract.,Purchase,104,,
540,2,Reference Association,,Purchase Contract,,,Supplier,0..1,A class containing essential information about suppliers.,Purchase,104,,
541,1,Class,,Purchase Contract Line,,,,,A class containing essential information about suppliers.,Purchase,106,,
542,2,Specialization,,Purchase Contract Line,,,Contract Line,1..1,A specific item within a purchase contract that outlines details pertaining to the individual purchase agreement.,Purchase,106,,
543,2,Reference Association,,Purchase Contract Line,Receipt Organization,,Business Segment,0..1,The business segment related to the organization that handles the receipt of purchase contract lines.,Purchase,106,,
544,1,Abstract Class,,Order,,,,,An abstract class that summarizes requests for goods or services.,General,,,
545,2,Attribute,PK,Order,ID,Identifier,,1..1,The unique identifier for an order.,General,,Identifier Long,
546,2,Attribute,,Order,Number,Char,,0..1,"The number for an order, generated manually or by the system.",General,,Char Long,
547,2,Attribute,,Order,Type Name,Name,,0..1,The label that specifies the type of order within sales or purchasing activities.,General,,Name Medium,
548,2,Attribute,,Order,Date,Date,,0..1,"The date on which a purchase order is made effective, distinct from the date of system entry.",General,,DATE,
549,2,Attribute,,Order,Status,Code,,0..1,The current state of the order's lifecycle.,General,,STATUS CODE,
550,2,Attribute,,Order,Remark,Text,,0..1,Annotations or supplemental information for an order.,General,,Text Medium,
551,2,Composition,,Order,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,,
552,2,Composition,,Order,Transaction,,Amount,0..1,"The total monetary amount for all lines within an order, recorded in the transaction currency specified for the entire order.",General,,,
553,2,Reference Association,,Order,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General,,,
554,2,Reference Association,,Order,,,Customer,0..1,A class that records broad customer information related to sales orders.,General,76,,
555,2,Reference Association,,Order,,,Supplier,0..1,A class containing essential information about suppliers.,General,108,,
556,2,Reference Association,,Order,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,,
557,2,Reference Association,,Order,,,Payment Term,0..1,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",General,,,
558,2,Reference Association,,Order,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General,,,
559,1,Abstract Class,,Order Line,,,,,An abstract class that details individual requests or items within an order.,General,,,
560,2,Attribute,PK,Order Line,ID,Identifier,,1..1,The unique identifier for a line item within an order.,General,,Identifier Medium,
561,2,Attribute,,Order Line,Number,Char,,0..1,"The number for a specific line within an order, generated manually or by the system.",General,,Char Short,
562,2,Attribute,,Order Line,Payer ID,Char,,0..1,The unique identifier for the entity responsible for making payment on an order line.,General,,Char Medium,
563,2,Attribute,,Order Line,Due Date,Date,,0..1,The ultimate date by which the order is requested.,General,,DATE,
564,2,Attribute,,Order Line,Status,Code,,0..1,The current state of the order line item's lifecycle.,General,,STATUS CODE,
565,2,Composition,,Order Line,Tax Exclude,,Amount,0..1,"The monetary amount of an order line item excluding tax, recorded in the transaction currency.",General,,,
566,2,Composition,,Order Line,Tax Exclude Unit Price,,Amount,0..1,"The unit price of an order line item excluding tax, recorded in the transaction currency.",General,,,
567,2,Composition,,Order Line,Tax Include,,Amount,0..1,"The monetary amount of an order line item including tax, recorded in the transaction currency.",General,,,
568,2,Composition,,Order Line,Tax Include Unit Price,,Amount,0..1,"The unit price of an order line item including tax, recorded in the transaction currency.",General,,,
569,2,Composition,,Order Line,Transaction,,Amount,0..1,"The monetary amount of a single line within an order, recorded in the transaction currency specified for that order line.",General,,,
570,2,Composition,,Order Line,,,Quantity,0..1,The quantity of items listed on an order line.,General,,,
571,2,Composition,,Order Line,Basic UOM,,Quantity,0..1,The quantity of items on an order line as measured by the basic unit of measure.,General,,,
572,2,Composition,,Order Line,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,,
573,2,Reference Association,,Order Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,,
574,2,Reference Association,,Order Line,Settlement Organization,,Business Segment,0..1,The business segment of the organization responsible for the settlement of an order line.,General,,,
575,2,Reference Association,,Order Line,,,Inventory Product,0..1,The inventory product listed on an order line item.,General,,,
576,1,Class,,Purchase Order,,,,,A class representing a formal request to a vendor for the supply of goods or services within a specified period.,Purchase,108,,
577,2,Specialization,,Purchase Order,,,Order,1..1,The documented request for the supply of products or services generated by a purchaser.,Purchase,108,,
578,2,Reference Association,,Purchase Order,,,Customer,0,A class containing essential information about suppliers.,Purchase,108,,
579,2,Reference Association,,Purchase Order,Purchase Organization,,Business Segment,0..1,The business segment involved with the organization placing the purchase order.,Purchase,108,,
580,2,Reference Association,,Purchase Order,Purchaser,,Employee,0..1,The employee designated as the purchaser on a purchase order.,Purchase,108,,
581,2,Composition,,Purchase Order,,,Purchase Order Line,0..*,"A class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,108,,
582,1,Class,,Purchase Order Line,,,,,A class representing the detailed specifications for goods or services requested in a purchase order.,Purchase,110,,
583,2,Specialization,,Purchase Order Line,,,Order Line,1..1,The individual entry on a purchase order that details a product or service requested.,Purchase,110,,
584,2,Reference Association,,Purchase Order Line,Receipt Organization,,Business Segment,0..1,The business segment associated with the organization responsible for receiving order line items.,Purchase,110,,
585,2,Reference Association,,Purchase Order Line,,,Project,0..1,"A class that records the comprehensive details of a project, related to purchase order lines.",Purchase,110,,
586,2,Reference Association,,Purchase Order Line,,,Purchase Contract,0..1,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Purchase,110,,
587,2,Reference Association,,Purchase Order Line,,,Purchase Contract Line,0..1,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",Purchase,110,,
588,2,Reference Association,,Purchase Order Line,,,Purchase Requisition,0..1,"A class summarizing requests to procure goods or services, indicating organizational needs during the review period.",Purchase,110,,
589,2,Reference Association,,Purchase Order Line,,,Purchase Requisition Line,0..1,"A class detailing each requested item in a purchase requisition, outlining quantities and intended purchase details.",Purchase,110,,
590,1,Class,,Sales Order,,,,,A class representing a formal request from a customer for the delivery of goods or services within a specified period.,Sales,76,,
591,2,Specialization,,Sales Order,,,Order,1..1,The recorded agreement to sell specific products or services as confirmed by a seller.,Sales,76,,
592,2,Reference Association,,Sales Order,,,Supplier,0,A class that records broad customer information related to sales orders.,Sales,76,,
593,2,Reference Association,,Sales Order,Sales Organization,,Business Segment,0..1,The business segment pertaining to the organization that processes sales orders.,Sales,76,,
594,2,Reference Association,,Sales Order,Salesperson,,Employee,0..1,The employee responsible for the sales order as a salesperson.,Sales,76,,
595,2,Composition,,Sales Order,,,Sales Order Line,0..*,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,76,,
596,1,Class,,Sales Order Line,,,,,A class representing the detailed specifications for goods or services requested in a sales order.,Sales,78,,
597,2,Specialization,,Sales Order Line,,,Order Line,1..1,The individual entry on a sales order that specifies the product or service to be sold.,Sales,78,,
598,2,Reference Association,,Sales Order Line,Dispatch Organization,,Business Segment,0..1,The business segment concerning the organisation that handles the dispatch of sales shipments.,Sales,78,,
599,2,Reference Association,,Sales Order Line,,,Sales Contract,0..1,"A class providing an overview of sales agreements, documenting the commitment to sell products or services within a specific period.",Sales,78,,
600,2,Reference Association,,Sales Order Line,,,Sales Contract Line,0..1,"A class detailing the terms of individual items within a sales contract, including product details and financial terms.",Sales,78,,
601,1,Class,,Purchase Materials Received,,,,,A class capturing the details of goods received against purchase orders within a specified period.,Purchase,116,,
602,2,Attribute,PK,Purchase Materials Received,ID,Identifier,,1..1,The unique identifier for a particular materials receipt transaction.,Purchase,116,Identifier Long,
603,2,Attribute,,Purchase Materials Received,Number,Char,,0..1,The number for a receipt documenting the reception of purchased materials.,Purchase,116,Char Long,
604,2,Attribute,,Purchase Materials Received,Date,Date,,0..1,The date when materials purchased by the company are recorded as received.,Purchase,116,DATE,
605,2,Attribute,,Purchase Materials Received,Reference Number,Char,,0..1,"The number for a materials receipt, such as a company reference or official logistics waybill number.",Purchase,116,Char Long,
606,2,Attribute,,Purchase Materials Received,Shipping Method,Char,,0..1,"The specific process or service selected to convey goods from sender to receiver, applicable to both outbound and inbound logistics.",Purchase,116,Char Medium,
607,2,Attribute,,Purchase Materials Received,Shipping Company,Name,,0..1,"A shipping company is an entity engaged in the transportation of goods across various modes of transport, providing logistical and support services to ensure safe and timely delivery.",Purchase,116,Name Short,
608,2,Attribute,,Purchase Materials Received,Adjustment Indicator,Indicator,,0..1,The indicator signifying that the transaction reflects a shipment adjustment rather than the original shipment,Purchase,116,Indicator,
609,2,Attribute,,Purchase Materials Received,Adjustment Description,Text,,0..1,"Textual clarification provided when changes are made to a recorded receipt, specifying the cause and nature of the adjustment.",Purchase,116,Text Medium,
610,2,Composition,,Purchase Materials Received,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,116,,
611,2,Composition,,Purchase Materials Received,Transaction,,Amount,0..1,"The cumulative monetary amount for all materials received within a purchase, recorded in the transaction currency specified for the entire receipt.",Purchase,116,,
612,2,Composition,,Purchase Materials Received,,,Purchase Materials Received Line,0..*,"A class providing the details of each material line received during the period under review, essential for the three-way matching process that checks received quantities and conditions against the purchase order specifications.",Purchase,116,,
613,2,Reference Association,,Purchase Materials Received,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Purchase,116,,
614,2,Reference Association,,Purchase Materials Received,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,116,,
615,2,Reference Association,,Purchase Materials Received,Receipt Organization,,Business Segment,0..1,The business segment of the organization that receives purchased materials.,Purchase,116,,
616,2,Reference Association,,Purchase Materials Received,,,Purchase Order,0..1,"A class capturing purchase orders placed during the period under review, serving as a control point in the three-way matching process for accounts payable, ensuring orders are matched with invoices and received goods.",Purchase,116,,
617,2,Reference Association,,Purchase Materials Received,,,Supplier,0..1,A class containing essential information about suppliers.,Purchase,116,,
618,1,Class,,Purchase Materials Received Line,,,,,"A class detailing the specifics of each item received, including the quantity, unit price, and total amount related to the purchase.",Purchase,118,,
619,2,Attribute,PK,Purchase Materials Received Line,ID,Identifier,,1..1,The unique identifier for a specific line within a materials receipt record.,Purchase,118,Identifier Medium,
620,2,Attribute,,Purchase Materials Received Line,Number,Char,,0..1,The number for a specific line within a materials receipt document.,Purchase,118,Char Long,
621,2,Composition,,Purchase Materials Received Line,Transaction,,Amount,0..1,"The monetary amount for a line of received materials within a purchase, recorded in the transaction currency specified for the receipt of that line.",Purchase,118,,
622,2,Composition,,Purchase Materials Received Line,Unit Price,,Amount,0..1,"The monetary amount per unit for a line of materials received as part of a purchase, recorded in the transaction currency specified for the receipt line.",Purchase,118,,
623,2,Composition,,Purchase Materials Received Line,,,Quantity,0..1,The quantity of items recorded as received on a purchase receipt line.,Purchase,118,,
624,2,Reference Association,,Purchase Materials Received Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,118,,
625,2,Reference Association,,Purchase Materials Received Line,,,Inventory Product,0..1,The inventory product specified in a purchase materials received line item.,Purchase,118,,
626,2,Reference Association,,Purchase Materials Received Line,,,Purchase Order Line,0..1,"The class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,118,,
627,1,Class,,Sales Shipment Made,,,,,A class capturing the details of goods shipped to customers in fulfillment of sales orders within a specified period.,Sales,84,,
628,2,Attribute,PK,Sales Shipment Made,ID,Identifier,,1..1,The unique identifier for a shipment.,Sales,84,Identifier Long,
629,2,Attribute,,Sales Shipment Made,Number,Char,,0..1,The number for a specific sales shipment.,Sales,84,Char Long,
630,2,Attribute,,Sales Shipment Made,Date,Date,,0..1,The date on which goods were shipped to the buyer.,Sales,84,DATE,
631,2,Attribute,,Sales Shipment Made,Reference Number,Char,,0..1,"The number for a specific shipment, such as a company reference or an official waybill number from a logistics company.",Sales,84,Char Long,
632,2,Attribute,,Sales Shipment Made,Shipping Method,Char,,0..1,"The specific process or service selected to convey goods from sender to receiver, applicable to both outbound and inbound logistics.",Sales,84,Char Medium,
633,2,Attribute,,Sales Shipment Made,Shipping Company,Name,,0..1,"A shipping company is an entity engaged in the transportation of goods across various modes of transport, providing logistical and support services to ensure safe and timely delivery.",Sales,84,Name Short,
634,2,Attribute,,Sales Shipment Made,Adjustment Indicator,Indicator,,0..1,The indicator signifying that the transaction reflects a shipment adjustment rather than the original shipment.,Sales,84,Indicator,
635,2,Attribute,,Sales Shipment Made,Adjustment Description,Text,,0..1,"Textual clarification provided when changes are made to a recorded shipment, specifying the cause and nature of the adjustment.",Sales,84,Text Medium,
636,2,Composition,,Sales Shipment Made,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,84,,
637,2,Composition,,Sales Shipment Made,Transaction,,Amount,0..1,"The total monetary amount for shipping all items in a sales shipment, recorded in the transaction currency.",Sales,84,,
638,2,Composition,,Sales Shipment Made,,,Sales Shipment Made Line,0..*,"A class detailing the specifics of items shipped, verified in the three-way matching process against sales orders and invoices to ensure accuracy and completeness of the sales cycle.",Sales,84,,
639,2,Reference Association,,Sales Shipment Made,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Sales,84,,
640,2,Reference Association,,Sales Shipment Made,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,84,,
641,2,Reference Association,,Sales Shipment Made,Dispatch Organization,,Business Segment,0..1,The business segment concerning the organization that handles the dispatch of completed sales shipments.,Sales,84,,
642,2,Reference Association,,Sales Shipment Made,,,Customer,0..1,A class that records broad customer information pertaining to made shipments.,Sales,84,,
643,2,Reference Association,,Sales Shipment Made,,,Sales Order,0..1,"A class capturing the details of sales orders, which form the basis for the three-way matching process by providing a record to match against customer deliveries and invoicing for transaction validation.",Sales,84,,
644,1,Class,,Sales Shipment Made Line,,,,,"A class detailing the specifics of each item shipped, including the quantity, unit price, and total amount related to the sale.",Sales,86,,
645,2,Attribute,PK,Sales Shipment Made Line,ID,Identifier,,1..1,The unique identifier for a line within a shipment document.,Sales,86,Identifier Long,
646,2,Attribute,,Sales Shipment Made Line,Number,Char,,0..1,The number for a particular line within a shipping document.,Sales,86,Char Short,
647,2,Composition,,Sales Shipment Made Line,Transaction,,Amount,0..1,"The monetary amount of a specific line item in a sales shipment, recorded in the transaction currency, representing the cost of shipping.",Sales,86,,
648,2,Composition,,Sales Shipment Made Line,Unit Price,,Amount,0..1,"The unit price for shipping a specific item in a sales shipment, recorded in the transaction currency.",Sales,86,,
649,2,Composition,,Sales Shipment Made Line,,,Quantity,0..1,The quantity of items listed as shipped on a sales shipment line.,Sales,86,,
650,2,Reference Association,,Sales Shipment Made Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,86,,
651,2,Reference Association,,Sales Shipment Made Line,,,Inventory Product,0..1,The inventory product detailed in a sales shipment made line item.,Sales,86,,
652,2,Reference Association,,Sales Shipment Made Line,,,Sales Order Line,0..1,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,86,,
653,1,Abstract Class,,Invoice,,,,,An abstract class that summarizes the billing information for transactions.,General,,,
654,2,Attribute,PK,Invoice,ID,Identifier,,1..1,The unique identifier for an invoice.,General,,Identifier Medium,
655,2,Attribute,,Invoice,Number,Char,,0..1,The number for an invoice.,General,,Char Long,
656,2,Attribute,,Invoice,Official Invoice Code,Char,,0..1,The identifier for an invoice that is assigned by tax authorities.,General,,Char Short,
657,2,Attribute,,Invoice,Type Name,Name,,0..1,The descriptor that categorizes the nature of an invoice.,General,,Name Short,
658,2,Attribute,,Invoice,Date,Date,,0..1,The official date recorded on an invoice which initiates the calculation period for payment due.,General,,DATE,
659,2,Attribute,,Invoice,Due Date,Date,,0..1,The date by which payment for an invoice is required.,General,,DATE,
660,2,Attribute,,Invoice,Terms Discount Percentage,Decimal,,0..1,The percentage of discount offered by a supplier when payment is made within the specified discount days.,General,,Percent,
661,2,Attribute,,Invoice,Terms Discount Days,Integer,,0..1,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,General,,INTEGER,
662,2,Attribute,,Invoice,Terms Due Days,Integer,,0..1,The standard time period in days before a customer's payment is considered overdue.,General,,INTEGER,
663,2,Attribute,,Invoice,Grouping Code,Char,,0..1,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,General,,Char Long,
664,2,Attribute,,Invoice,Status,Code,,0..1,The current state of the invoice's lifecycle.,General,,STATUS CODE,
665,2,Attribute,,Invoice,Remark,Text,,0..1,Annotations or supplemental information for an invoice.,General,,Text Medium,
666,2,Composition,,Invoice,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,,
667,2,Composition,,Invoice,Transaction,,Amount,0..1,"The total monetary amount of all items on an invoice, summing the transaction amounts of individual lines.",General,,,
668,2,Composition,,Invoice,,,Tax,0..*,"The class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,,
669,2,Reference Association,,Invoice,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General,,,
670,2,Reference Association,,Invoice,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,,
671,2,Reference Association,,Invoice,,,Payment Term,0..1,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",General,,,
672,2,Reference Association,,Invoice,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General,,,
673,1,Abstract Class,,Invoice Line,,,,,An abstract class that details individual charges or items on an invoice.,General,,,
674,2,Attribute,PK,Invoice Line,ID,Identifier,,1..1,The unique identifier for a line within an invoice.,General,,Identifier Medium,
675,2,Attribute,,Invoice Line,Number,Char,,0..1,The number for a particular line of an invoice.,General,,Char Short,
676,2,Attribute,,Invoice Line,Grouping Code,Char,,0..1,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,General,,Char Long,
677,2,Composition,,Invoice Line,Tax Exclude,,Amount,0..1,"The monetary amount of an invoice line item before tax inclusion, recorded in the transaction currency.",General,,,
678,2,Composition,,Invoice Line,Tax Exclude Unit Price,,Amount,0..1,"The unit price of an invoice line item before tax, recorded in the transaction currency.",General,,,
679,2,Composition,,Invoice Line,Tax Include,,Amount,0..1,"The monetary amount of an invoice line item with tax included, recorded in the transaction currency.",General,,,
680,2,Composition,,Invoice Line,Tax Include Unit Price,,Amount,0..1,"The unit price for an invoice line item with tax, recorded in the transaction currency.",General,,,
681,2,Composition,,Invoice Line,Transaction,,Amount,0..1,"The monetary amount of a single item within an invoice, representing the transaction amount for that specific line.",General,,,
682,2,Composition,,Invoice Line,Basic UOM,,Quantity,0..1,The quantity of items on an invoice line as measured by the basic unit of measure.,General,,,
683,2,Composition,,Invoice Line,Invoice,,Quantity,0..1,The quantity of items listed on an invoice line.,General,,,
684,2,Composition,,Invoice Line,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,,
685,2,Reference Association,,Invoice Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,,
686,2,Reference Association,,Invoice Line,,,Inventory Product,0..1,The inventory product detailed in an invoice line item.,General,,,
687,2,Reference Association,,Invoice Line,Credit,,Ledger Account,0..1,The ledger account associated with credit transactions on invoice lines.,General,,,
688,2,Reference Association,,Invoice Line,Debit,,Ledger Account,0..1,The ledger account associated with debit transactions on inThe ledger account that is part of a subsidiary grouping within an account hierarchy.voice lines.,General,,,
689,1,Class,,Purchase Invoice,,,,,A class representing a vendor-issued document that details charges for goods or services provided within a specified period.,Purchase,112,,
690,2,Specialization,,Purchase Invoice,,,Invoice,1..1,A class contains the summary information for the invoices.,Purchase,112,,
