seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,LocalLabel,LocalDocumentation
299,2,Attribute,,Detail_ Measurable,Schema for Secondary Identification,String,,0..1,URI or other identifier for schema with which measurable ID Other can be validated,bus,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。
300,2,Attribute,,Detail_ Measurable,Description,String,,0..1,Text description of measurable (e.g. inventory item or other identifier),bus,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）
301,2,Attribute,,Detail_ Measurable,Quantity,Decimal,,0..1,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",bus,数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。
302,2,Attribute,,Detail_ Measurable,Qualifier,Token,,0..1,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",bus,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。
303,2,Attribute,,Detail_ Measurable,Unit of Measure,String,,0..1,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",bus,計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。
304,2,Attribute,,Detail_ Measurable,Per Unit Cost/Price,Monetary,,0..1,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",bus,単価,"計測可能物の単価。
measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。"
305,2,Attribute,,Detail_ Measurable,Start Time,Date Time,,0..1,Start time of the duration being measured,bus,開始日時,計量期間の開始時刻。
306,2,Attribute,,Detail_ Measurable,End Time,Date Time,,0..1,End time of the duration being measured,bus,終了日時,計量期間の終了時刻。
307,2,Attribute,,Detail_ Measurable,Active,Boolean,,0..1,"Boolean to indicate whether the measurable is active (=""true"") or inactive (=""false"")",bus,計測可能物有効性,計測可能物が有効か無効かを示すブール値。
308,1,Abstract Class,,Job,,,,0..*,"Class for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",bus,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のクラス。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。
309,2,Attribute,PK,Job,ID,String,,0..1,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",usk,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。
310,2,Attribute,,Job,Description,String,,0..1,Description of job,usk,ジョブ説明,ジョブの説明。
311,2,Attribute,,Job,Phase,String,,0..1,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",usk,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。
312,2,Attribute,,Job,Phase Description,String,,0..1,"Description of Job code, phase, activity",usk,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。
313,2,Attribute,,Job,Active,Boolean,,0..1,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",usk,ジョブ有効性,ジョブが有効か無効かを示すブール値。
314,1,Class,,Detail_ Job,,,,0..*,"Class for holding job related information applied at the transaction detail (line) level, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",bus,【行ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のクラス。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。
315,2,Specialization,,Detail_ Job,,,Job,1,,bus,,
316,2,Attribute,PK,Detail_ Job,ID,String,,0..1,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",usk,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。
317,2,Attribute,,Detail_ Job,Description,String,,0..1,Description of job,usk,ジョブ説明,ジョブの説明。
318,2,Attribute,,Detail_ Job,Phase,String,,0..1,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",usk,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。
319,2,Attribute,,Detail_ Job,Phase Description,String,,0..1,"Description of Job code, phase, activity",usk,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。
320,2,Attribute,,Detail_ Job,Active,Boolean,,0..1,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",usk,ジョブ有効性,ジョブが有効か無効かを示すブール値。
321,1,Abstract Class,,Depreciation Mortgage,,,,0..*,"Parent for information related to depreciation, mortgages, etc.",bus,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。
322,2,Attribute,,Depreciation Mortgage,Depreciation Mortgage Jurisdiction,Token,,0..1,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",bus,抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。
[設定値のリスト]
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)"
323,2,Attribute,,Depreciation Mortgage,Depreciation Method,String,,0..1,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",bus,減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。
324,2,Attribute,,Depreciation Mortgage,Depreciation Mortgage Life,Decimal,,0..1,Length of life in number of periods.,bus,抵当債務期間,存在する期間数。
325,2,Attribute,,Depreciation Mortgage,Depreciation Mortgage Description,String,,0..1,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。
326,2,Attribute,,Depreciation Mortgage,Depreciation Mortgage Start Date,Date Time,,0..1,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。
327,2,Attribute,,Depreciation Mortgage,Depreciation Mortgage End Date,Date Time,,0..1,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。
328,2,Attribute,,Depreciation Mortgage,Depreciation Mortgage Amount,Monetary,,0..1,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",bus,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。
329,1,Class,,Detail_ Depreciation Mortgage,,,,0..*,"Parent for information related to depreciation, mortgages, etc.　applied at the transaction detail (line) level.",bus,【行減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。
330,2,Specialization,,Detail_ Depreciation Mortgage,,,Depreciation Mortgage,1,,bus,,
331,2,Attribute,,Detail_ Depreciation Mortgage,Depreciation Mortgage Jurisdiction,Token,,0..1,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",bus,抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。
[設定値のリスト]
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)"
332,2,Attribute,,Detail_ Depreciation Mortgage,Depreciation Method,String,,0..1,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",bus,減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。
333,2,Attribute,,Detail_ Depreciation Mortgage,Depreciation Mortgage Life,Decimal,,0..1,Length of life in number of periods.,bus,抵当債務期間,存在する期間数。
334,2,Attribute,,Detail_ Depreciation Mortgage,Depreciation Mortgage Description,String,,0..1,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。
335,2,Attribute,,Detail_ Depreciation Mortgage,Depreciation Mortgage Start Date,Date Time,,0..1,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。
336,2,Attribute,,Detail_ Depreciation Mortgage,Depreciation Mortgage End Date,Date Time,,0..1,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",bus,終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。
337,2,Attribute,,Detail_ Depreciation Mortgage,Depreciation Mortgage Amount,Monetary,,0..1,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",bus,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。
338,1,Abstract Class,,Serial or Lot,,,,0..*,"Class for holding information about serial numbers or lots (batches). As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",ehm,【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するクラス。単一の構造内に複数のシリアル番号やロット情報を保持可能。
339,2,Attribute,PK,Serial or Lot,Code,Token,,0..1,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the class, neither is assumed.",ehm,シリアル・ロット識別コード,この項目はシリアル番号またはロット番号で管理されているか？シリアル番号は一意に付番されたもので、ロット番号は同一バッチの区別を目的に使用される。
340,2,Attribute,,Serial or Lot,Description,String,,0..1,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,ehm,シリアル・ロットの説明,gl-ehm:serialLotCode の「その他」の値のための自由記述の説明（例：バッチ、グループなど）。
341,2,Attribute,,Serial or Lot,Number,String,,0..1,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,ehm,シリアル番号・ロット番号,対象アイテムやロットに割り当てられた実際の番号／コードを保持する。
342,2,Attribute,,Serial or Lot,Next Number,String,,0..1,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",ehm,次のシリアル・ロット番号,今後割り当て予定の次のシリアル／ロット番号や、既に割り当てられたアイテムの連結に使用。
343,2,Attribute,,Serial or Lot,Quantity,Decimal,,0..1,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,ehm,シリアル・ロットの数量,該当ロット内の単位数。単位は gl-bus:measurableUnitofMeasure に基づく。
344,2,Attribute,,Serial or Lot,Original Quantity,Decimal,,0..1,The quantity of units in this batch on inception.,ehm,シリアル・ロット元数量,このロットが生成された時点の元の数量。
345,2,Attribute,,Serial or Lot,Remaining Quantity,Decimal,,0..1,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,ehm,シリアル・ロット残数量,元ロットからの残りの数量。
346,2,Attribute,,Serial or Lot,Origination,Date Time,,0..1,Date of manufacture or creation.,ehm,シリアル・ロット生成日,製造日または作成日。
347,2,Attribute,,Serial or Lot,Expiration,Date Time,,0..1,Expiration date of the batch.,ehm,シリアル・ロット有効期限,ロットの有効期限。
348,2,Attribute,,Serial or Lot,Manufacturer,String,,0..1,Manufacturer of the item (serial) or items (lot/batch).,ehm,シリアル・ロット製造元,シリアル番号またはロットの製造者。
349,2,Attribute,,Serial or Lot,Batch Description,String,,0..1,A name or description of the items in the lot or batch.,ehm,シリアル・ロットバッチの説明,ロットまたはバッチ内のアイテムの名称や説明。
350,2,Attribute,,Serial or Lot,Warranty Start Date,Date Time,,0..1,"If the items are covered by warranty, when that warranty covered will begin or has begun.",ehm,保証開始日,保証対象となる場合の保証開始日。
351,2,Attribute,,Serial or Lot,Warranty End Date,Date Time,,0..1,"If the items are covered by warranty, when that warranty covered will end or ended.",ehm,保証終了日,保証対象となる場合の保証終了日。
352,2,Attribute,,Serial or Lot,Warranty Period,Decimal,,0..1,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",ehm,保証期間（数値）,保証期間の数値部分（例：30日保証の場合は「30」）。
353,2,Attribute,,Serial or Lot,Warrant Period Unit,String,,0..1,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",ehm,保証期間（単位）,保証期間の単位（例：日、月、年、km、機械サイクルなど）。
354,2,Attribute,,Serial or Lot,Warranty Vendor,String,,0..1,The vendor providing warranty; this may differ from the manufacturer.,ehm,保証提供業者,保証を提供するベンダー（製造者とは異なる可能性あり）。
355,2,Attribute,,Serial or Lot,Warranty Contract,String,,0..1,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",ehm,保証契約情報,保証に関する契約番号、日付、URL などの情報。
356,2,Attribute,,Serial or Lot,Comment,String,,0..1,Free format text related to the serial number or lot.,ehm,シリアル・ロット備考,シリアルまたはロットに関する自由形式のテキスト。
357,1,Class,,Detail_ Serial or Lot,,,,0..*,"Class for holding information about serial numbers or lots (batches) applied at the transaction detail (line) level. As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",ehm,【行シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するクラス。単一の構造内に複数のシリアル番号やロット情報を保持可能。
358,2,Specialization,,Detail_ Serial or Lot,,,Serial or Lot,1,,ehm,,
359,2,Attribute,PK,Detail_ Serial or Lot,Code,Token,,0..1,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the class, neither is assumed.",ehm,シリアル・ロット識別コード,この項目はシリアル番号またはロット番号で管理されているか？シリアル番号は一意に付番されたもので、ロット番号は同一バッチの区別を目的に使用される。
360,2,Attribute,,Detail_ Serial or Lot,Description,String,,0..1,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,ehm,シリアル・ロットの説明,gl-ehm:serialLotCode の「その他」の値のための自由記述の説明（例：バッチ、グループなど）。
361,2,Attribute,,Detail_ Serial or Lot,Number,String,,0..1,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,ehm,シリアル番号・ロット番号,対象アイテムやロットに割り当てられた実際の番号／コードを保持する。
362,2,Attribute,,Detail_ Serial or Lot,Next Number,String,,0..1,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",ehm,次のシリアル・ロット番号,今後割り当て予定の次のシリアル／ロット番号や、既に割り当てられたアイテムの連結に使用。
363,2,Attribute,,Detail_ Serial or Lot,Quantity,Decimal,,0..1,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,ehm,シリアル・ロットの数量,該当ロット内の単位数。単位は gl-bus:measurableUnitofMeasure に基づく。
364,2,Attribute,,Detail_ Serial or Lot,Original Quantity,Decimal,,0..1,The quantity of units in this batch on inception.,ehm,シリアル・ロット元数量,このロットが生成された時点の元の数量。
365,2,Attribute,,Detail_ Serial or Lot,Remaining Quantity,Decimal,,0..1,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,ehm,シリアル・ロット残数量,元ロットからの残りの数量。
366,2,Attribute,,Detail_ Serial or Lot,Origination,Date Time,,0..1,Date of manufacture or creation.,ehm,シリアル・ロット生成日,製造日または作成日。
367,2,Attribute,,Detail_ Serial or Lot,Expiration,Date Time,,0..1,Expiration date of the batch.,ehm,シリアル・ロット有効期限,ロットの有効期限。
368,2,Attribute,,Detail_ Serial or Lot,Manufacturer,String,,0..1,Manufacturer of the item (serial) or items (lot/batch).,ehm,シリアル・ロット製造元,シリアル番号またはロットの製造者。
369,2,Attribute,,Detail_ Serial or Lot,Batch Description,String,,0..1,A name or description of the items in the lot or batch.,ehm,シリアル・ロットバッチの説明,ロットまたはバッチ内のアイテムの名称や説明。
370,2,Attribute,,Detail_ Serial or Lot,Warranty Start Date,Date Time,,0..1,"If the items are covered by warranty, when that warranty covered will begin or has begun.",ehm,保証開始日,保証対象となる場合の保証開始日。
371,2,Attribute,,Detail_ Serial or Lot,Warranty End Date,Date Time,,0..1,"If the items are covered by warranty, when that warranty covered will end or ended.",ehm,保証終了日,保証対象となる場合の保証終了日。
372,2,Attribute,,Detail_ Serial or Lot,Warranty Period,Decimal,,0..1,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",ehm,保証期間（数値）,保証期間の数値部分（例：30日保証の場合は「30」）。
373,2,Attribute,,Detail_ Serial or Lot,Warrant Period Unit,String,,0..1,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",ehm,保証期間（単位）,保証期間の単位（例：日、月、年、km、機械サイクルなど）。
374,2,Attribute,,Detail_ Serial or Lot,Warranty Vendor,String,,0..1,The vendor providing warranty; this may differ from the manufacturer.,ehm,保証提供業者,保証を提供するベンダー（製造者とは異なる可能性あり）。
375,2,Attribute,,Detail_ Serial or Lot,Warranty Contract,String,,0..1,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",ehm,保証契約情報,保証に関する契約番号、日付、URL などの情報。
376,2,Attribute,,Detail_ Serial or Lot,Comment,String,,0..1,Free format text related to the serial number or lot.,ehm,シリアル・ロット備考,シリアルまたはロットに関する自由形式のテキスト。
377,1,Abstract Class,,Tax,,,,0..*,Class for holding tax related information,taf,【税情報】,税関連の情報のクラス。
378,2,Attribute,,Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,taf,課税庁,関係する課税庁の名前。
379,2,Attribute,,Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,taf,税率表コード,関係する課税庁で使用される税率表のコード。
380,2,Attribute,,Tax,Tax Description,String,,0..1,Description of tax authority,taf,課税庁説明,課税庁の説明。
381,2,Attribute,,Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,taf,税額,税額。
382,2,Attribute,,Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,taf,課税基準,課税基準。
383,2,Attribute,,Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,taf,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
384,2,Attribute,,Tax,Tax Category,String,,0..1,A class or category of taxes,taf,税区分,税のクラス又はカテゴリ。
385,2,Attribute,,Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",taf,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
386,2,Attribute,,Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,taf,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
387,2,Composition,,Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
388,1,Class,,Tax_ Multicurrency,,,,0..*,Class to provide additional information related to home currencies that differ from original currencies applicable to the document as a whole and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【税多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
389,2,Specialization,,Tax_ Multicurrency,,,Multicurrency,1,,muc,,
390,2,Attribute,,Tax_ Multicurrency,Exchange Rate Date,Date Time,,0..1,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,taf,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。
391,2,Attribute,,Tax_ Multicurrency,Foreign Currency Amount,Monetary,,0..1,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,btx,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。
392,2,Attribute,,Tax_ Multicurrency,Foreign Currency,QName,,0..1,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,btx,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。
393,2,Attribute,,Tax_ Multicurrency,Exchange Rate,Pure,,0..1,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),btx,換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）
394,2,Attribute,,Tax_ Multicurrency,Exchange Rate Source,String,,0..1,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",btx,換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
395,2,Attribute,,Tax_ Multicurrency,Exchange Rate Type,String,,0..1,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",btx,換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
396,2,Attribute,,Tax_ Multicurrency,Triangulation Currency Amount,Monetary,,0..1,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,btx,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。
397,2,Attribute,,Tax_ Multicurrency,Triangulation Currency,QName,,0..1,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,btx,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。
398,2,Attribute,,Tax_ Multicurrency,Triangulation Exchange Rate,Pure,,0..1,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),btx,トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）
399,2,Attribute,,Tax_ Multicurrency,Triangulation Exchange Rate Source,String,,0..1,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",btx,トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
400,2,Attribute,,Tax_ Multicurrency,Triangulation Exchange Rate Type,String,,0..1,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",btx,トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
401,2,Attribute,,Tax_ Multicurrency,Cross Triangulation Exchange Rate,Pure,,0..1,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),btx,換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）
402,2,Attribute,,Tax_ Multicurrency,Cross Triangulation Exchange Rate Source,String,,0..1,"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg",btx,換算通貨トライアンギュレーション通貨換算レート情報源,"外貨通貨とトライアンギュレーション通貨の間の換算レートの情報源。たとえば、Reuters, Bloomberg。"
403,2,Attribute,,Tax_ Multicurrency,Cross Triangulation Exchange Rate Type,String,,0..1,"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc.",btx,換算通貨トライアンギュレーション通貨換算レート種別,外貨通貨とトライアンギュレーション通貨の間の換算レートの種別。たとえば、スポット・レート、先物など。
404,2,Attribute,,Tax_ Multicurrency,Comment,String,,0..1,Comment describing the enclosing multicurrencyDetail class's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,btx,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。
405,1,Class,,Detail_ Tax,,,,0..*,Class for holding tax related information applied at the transaction detail (line) level.,cor,【行税情報】,税関連の情報のクラス。
406,2,Specialization,,Detail_ Tax,,,Tax,1,,taf,,
407,2,Attribute,,Detail_ Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,cor,課税庁,関係する課税庁の名前。
408,2,Attribute,,Detail_ Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,cor,税率表コード,関係する課税庁で使用される税率表のコード。
409,2,Attribute,,Detail_ Tax,Tax Description,String,,0..1,Description of tax authority,cor,課税庁説明,課税庁の説明。
410,2,Attribute,,Detail_ Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,cor,税額,税額。
411,2,Attribute,,Detail_ Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,cor,課税基準,課税基準。
412,2,Attribute,,Detail_ Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,cor,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
413,2,Attribute,,Detail_ Tax,Tax Category,String,,0..1,A class or category of taxes,cor,税区分,税のクラス又はカテゴリ。
414,2,Attribute,,Detail_ Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
415,2,Attribute,,Detail_ Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,cor,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
