seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Definition,module,LocalLabel,LocalDocumentation
260,2,Attribute,,Header_ XBRL,Summary Unit Numerator,Token,,1..1,This holds the list of measure information for unit numerator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,btx,集約ユニット分子,集約のユニットの分子の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。
261,2,Attribute,,Header_ XBRL,Summary Unit Denominator,Token,,0..1,This holds the list of measure information for unit denominator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,btx,集約ユニット分母,集約のユニットの分母の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。
262,2,Attribute,,Header_ XBRL,Summary Reporting Taxonomy ID Reference,String,,0..1,"Reference to the ID of the relevant target reporting taxonomy, defined in the [summaryReportingTaxonomies] class at [documentInfo] level. Allows consuming applications to identify sets of [xbrlInfo] classs that point to a specific taxonomy.",btx,集約報告タクソノミ識別子参照情報,関連する報告タクソノミの識別子への参照情報。documentInfo内のsummaryReportingTaxonomies構造体で定義される。特定のタクソノミを示すxbrlInfo構造体の集合を、アプリケーションが識別できるようにする。
263,1,Class,,Header_ Tax,,,,0..*,Class for holding tax related information applied at the document or transaction header level.,btx,【ヘッダ税情報】,税関連の情報のクラス。
264,2,Specialization,,Header_ Tax,,,Tax,1,,taf,,
265,2,Attribute,,Header_ Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,btx,課税庁,関係する課税庁の名前。
266,2,Attribute,,Header_ Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,税率表コード,関係する課税庁で使用される税率表のコード。
267,2,Attribute,,Header_ Tax,Tax Description,String,,0..1,Description of tax authority,btx,課税庁説明,課税庁の説明。
268,2,Attribute,,Header_ Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,btx,税額,税額。
269,2,Attribute,,Header_ Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,課税基準,課税基準。
270,2,Attribute,,Header_ Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
271,2,Attribute,,Header_ Tax,Tax Category,String,,0..1,A class or category of taxes,btx,税区分,税のクラス又はカテゴリ。
272,2,Attribute,,Header_ Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
273,2,Attribute,,Header_ Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
274,2,Composition,,Header_ Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
275,1,Class,,Business Transactions,,,,1..*,"Economic event represented by one or more business documents and corresponding accounting entries, such as orders, shipments, invoices, and journal entries.",btx,【ビジネス取引】,XBRL GLのルート要素。 注文、出荷、請求書およびそれに対応する仕訳など、1つまたは複数の業務文書と会計仕訳によって表現される経済事象。
276,2,Composition,,Business Transactions,,,Document Information,1..1,Parent for descriptive information about the Transaction Entries Class in which it is contained.,bus,【文書情報】,この取引文書に関する情報の親タグ。
277,2,Composition,,Business Transactions,,,Entity_ Party,0..1,Holder for entity information - information about the reporting organization.,cor,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。
278,2,Composition,,Business Transactions,,,Transaction_ Header,0..*,Parent class grouping transaction document header records.,btx,【取引ヘッダ】,取引文書のヘッダ・レコードをまとめて保持する親クラス。
279,1,Class,,Transaction_ Header,,,,0..*,Parent class grouping transaction document header records.,btx,【取引ヘッダ】,取引文書のヘッダ・レコードをまとめて保持する親クラス。
280,2,Specialization,,Transaction_ Header,,,Header,1,,cor,,
281,2,Attribute,PK,Transaction_ Header,Entry Number Counter,Decimal,,0..1,Unique reference for the entry - a numeric counter,btx,文書番号カウンタ,文書の一意なリファレンス　　カウンタ
282,2,Attribute,,Transaction_ Header,Date Posted,Date Time,,0..1,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,cor,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。
283,2,Attribute,,Transaction_ Header,Entry Creator,String,,0..1,Initials/name of operator originally entering.,cor,仕訳作成者,最初に入力したオペレータのイニシャル/名前。
284,2,Attribute,,Transaction_ Header,Entry Last Modifier,String,,0..1,Identification for the last person modifying this entry before posting.,bus,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。
285,2,Attribute,,Transaction_ Header,Entry Date,Date Time,,0..1,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",cor,入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。
286,2,Attribute,,Transaction_ Header,Responsible Person,String,,0..1,Identifier of person who created or originated or is otherwise responsible for the entry.,bus,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。
287,2,Attribute,,Transaction_ Header,Type Identifier,Token,,0..1,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",btx,種別識別子,"以下の値のうちのひとつ。
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他
[設定値のリスト]
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)"
288,2,Attribute,,Transaction_ Header,Posting Code,String,,0..1,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",bus,転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。
289,2,Attribute,,Transaction_ Header,Number of Entries,Integer,,0..1,The total number of entries.,bus,仕訳総数,仕訳の総数。
290,2,Attribute,,Transaction_ Header,Comment,String,,0..1,Comment of the entry,cor,仕訳摘要,仕訳の摘要
291,2,Attribute,,Transaction_ Header,Document Name Code,Code,,0..1,UNTDED 1001 Document name code. Code specifying the document name.,btx,文書名コード,文書の名称を指定するコード（UNTDED 1001）。
292,2,Attribute,,Transaction_ Header,Message Function Code,Code,,0..1,"UNTDED 1225 Message function code. Code specifying the function of the message (e.g., original, cancellation, replacement).",btx,メッセージ機能コード,メッセージの機能（原本、取消、置換など）を指定するコード（UNTDED 1225）。
293,2,Attribute,,Transaction_ Header,Response Type Code,Code,,0..1,UNTDED 4343 Response type code. Code specifying the type of response requested or provided.,btx,応答種別コード,要求または提供される応答の種別を指定するコード（UNTDED 4343）。
294,2,Attribute,,Transaction_ Header,Type Identifier,Token,,0..1,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",btx,種別識別子,以下の値のうちのひとつ。\n整理、予算、比較、外部会計士、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他\n[設定値のリスト]\n(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計士)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)
295,2,Attribute,,Transaction_ Header,Document Type,Token,,0..1,"An enumerated field describing the original source document, with invoice, voucher, check and other enumerated entries",btx,元文書種別,顧客への請求書、ベンダからの請求書、小切手、その他の列挙値による、元文書の説明。\n[設定値のリスト]\n(check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他)
296,2,Attribute,,Transaction_ Header,Document Type Description,String,,0..1,Free format description of the document type,btx,元文書種別説明,元文書の種別の説明。
297,2,Attribute,,Transaction_ Header,Invoice Type,Token,,0..1,"Invoice Type  (self-billed, ePoS enumerated values)",btx,請求書種別,請求書の種別。(self-billed、ePoS)\n[設定値のリスト]\n(ePos：POSシステムからの発行)、(self-billed：手動発行)
298,2,Attribute,,Transaction_ Header,Document Number,String,,0..1,"Invoice, check, voucher, or other source document identifier",btx,元文書番号,請求書、小切手、証憑、その他の元文書の識別子。
299,2,Attribute,,Transaction_ Header,Apply To Number,String,,0..1,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",btx,適用先番号,支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。
300,2,Attribute,,Transaction_ Header,Document Reference,String,,0..1,Internal reference for the document above; number assigned internally to track the document,btx,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。
301,2,Attribute,,Transaction_ Header,Document Date,Date Time,,0..1,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",btx,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。
302,2,Attribute,,Transaction_ Header,Received Date,Date Time,,0..1,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,btx,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。
303,2,Attribute,,Transaction_ Header,Document Location,String,,0..1,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",btx,元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。
304,2,Attribute,,Transaction_ Header,Payment Method,String,,0..1,Method used or to be used to make the payment,btx,支払方法,支払いのために使用された、または使用される方法。
305,2,Attribute,,Transaction_ Header,Posting Status,Token,,0..1,"deferred: although entered, it cannot be posted until a later time\nposted: already posted\nproposed: a proposed item that must be approved\nsimulated: a simulated item, for what-if\ntax: a tax-specific entry\nunposted:entered but not yet posted or validated\ncancelled:entered and later cancelled\nother:other status - should be described in postingStatusDescription",btx,転記状態,・据置：入力されたが、まだ転記できない。\n・転記済：転記済み。\n・提案済：検証が必要な項目。\n・シミュレーション：仮定のためにシミュレートされた項目。\n・税：税項目。\n・未転記：入力されたが、まだ検証も転記もされていない。\n・取消済：入力されたが、取り消された。\n・その他：その他の状態。postingStatusDescriptionで説明されるべき。\n[設定値のリスト]\n(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)
306,2,Attribute,,Transaction_ Header,Posting Status Description,String,,0..1,Free format description of the posting status,btx,転記状態説明,転記状態の説明。
307,2,Attribute,,Transaction_ Header,Acknowledgement Date,Date Time,,0..1,Date of acknowledgement of goods/services shipped/received.,btx,承認日付,出荷/受領済みの物品/サービスを承認した日付。
308,2,Attribute,,Transaction_ Header,Confirmation Date,Date Time,,0..1,Date of confirmation of shipment/receipt.,btx,確認日付,出荷/受領を確認した日付。
309,2,Attribute,,Transaction_ Header,Ship From,String,,0..1,References Organization Address Location Identifier where used. Otherwise free form.,btx,出荷元,使用されていれば住所識別子の参照情報。または自由記述。
310,2,Attribute,,Transaction_ Header,Date Shipped/Received,Date Time,,0..1,Date goods/services are shipped/received.,btx,出荷/受領日付,物品/サービスを出荷/受領した日付。
311,2,Attribute,,Transaction_ Header,Maturity Date or Date Due,Date Time,,0..1,Due date or other maturity date.,btx,支払期日,支払期日やその他の期日。
312,2,Attribute,,Transaction_ Header,Payment Terms,String,,0..1,Discount/payment terms.,btx,支払条件,割引/支払い条件。
313,2,Attribute,,Transaction_ Header,Payment Terms Type Code Qualifier,Code,,0..1,UNTDED 4279 Payment terms type code qualifier. Qualifier identifying the type of payment terms.,btx,支払条件種別コード修飾子,支払条件の種別を識別する修飾子（UNTDED 4279）。
314,2,Attribute,,Transaction_ Header,Payment Means Code,Code,,0..1,UNTDED 4461 Payment means code. Code specifying the means of payment.,btx,支払手段コード,支払手段を指定するコード（UNTDED 4461）。
315,2,Reference Association,,Transaction_ Header,,,Header_ Account Identifier,0..*,"Class: parent container for account numbers and identifiers applied at the document level. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",btx,【ヘッダ科目識別子】,"クラス。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
316,2,Composition,,Transaction_ Header,,,Header_ Amount,0..*,"Structure representing monetary amounts and currency information applicable to the document as a whole, such as document-level totals or aggregated tax amounts.",btx,【ヘッダー金額構造】,文書全体に適用される金額や通貨情報（文書レベルの合計額や集計された税額など）を表現する構造。
317,2,Composition,,Transaction_ Header,,,Header_ Multicurrency,0..*,Class to provide additional information related to home currencies that differ from original currencies applicable to the document as a whole and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,btx,【ヘッダ多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
318,2,Composition,,Transaction_ Header,,,Header_ Tax,0..*,Class for holding tax related information,btx,【ヘッダ税情報】,税関連の情報のタプル。
319,2,Composition,,Transaction_ Header,,,Header_ Withholding_ Tax,0..*,Tax withheld by the payer at the time of payment and remitted to a tax authority on behalf of the payee applied at the document or transaction header level.,btx,【ヘッダ源泉徴収税】,支払時に支払者が受取人に代わって控除し、税務当局へ納付する税を表す抽象クラス。
320,2,Composition,,Transaction_ Header,,,Header_ Adjustment,0..*,"Class representing an adjustment applied at the document or transaction header level. It is used to record corrections or modifications that apply to the entire document or transaction, including the adjustment direction (addition/subtraction), reason information, actual values (amount, quantity, and date/time), and references to related parties, invoices, and taxes.",btx,【ヘッダ調整】,文書または取引のヘッダレベルで適用される調整を表すクラス。文書全体または取引全体に適用される補正または修正を、加算／減算区分、理由情報、実績値（金額・数量・日時）、および関連当事者・請求書参照・税参照とともに記録するために使用される。
321,2,Composition,,Transaction_ Header,,,Header_ Originating_ Document,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",btx,【ヘッダ発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
322,2,Composition,,Transaction_ Header,,,Header_ Identifier Reference,0..*,"Identification for customer, vendor, or employee.",btx,【ヘッダ文書CVE情報】,顧客、仕入先、従業員のための識別子。
323,2,Composition,,Transaction_ Header,,,Transaction_ Detail,0..*,Parent for document line,btx,【ヘッダ文書明細】,文書明細の親タグ。
324,1,Class,,Transaction_ Detail,,,,0.*, Parent class grouping transaction detail (line) level records.,btx,【取引行】,取引文書明細行。
325,2,Specialization,,Transaction_ Detail,,,Detail,1,,cor,,
326,2,Attribute,PK,Transaction_ Detail,Line Number Counter,Decimal,,0..1,Unique reference for the line - a numeric counter,cor,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ
327,2,Attribute,,Transaction_ Detail,Line Number,String,,0..1,Identifier for a particular entry detail,cor,明細行番号,仕訳明細の識別子。
328,2,Attribute,,Transaction_ Detail,Posting Date,Date Time,,0..1,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",cor,転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。
329,2,Attribute,,Transaction_ Detail,Memo Line,Boolean,,0..1,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,bus,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。
330,2,Attribute,,Transaction_ Detail,Document Type,Token,,0..1,"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",cor,元文書種別,"小切手、借方メモ、貸方メモ、財務費用、顧客への請求書、顧客オーダー、仕入先オーダー、その他支払い、督促状、手形、ベンダからの請求書、出荷票、受領票、手修正、その他の列挙値による、元文書の説明。[設定値のリスト]
 (check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他)"
331,2,Attribute,,Transaction_ Detail,Document Type Description,String,,0..1,Free format description of the document type,cor,元文書種別説明,元文書の種別の説明。
332,2,Attribute,,Transaction_ Detail,Document Number,String,,0..1,"Invoice, check, voucher, or other source document identifier",cor,元文書番号,請求書、小切手、証憑、その他の元文書の識別子。
333,2,Attribute,,Transaction_ Detail,Apply To Number,String,,0..1,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",cor,適用先番号,"支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。
未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。"
334,2,Attribute,,Transaction_ Detail,Document Reference,String,,0..1,Internal reference for the document above; number assigned internally to track the document,cor,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。
335,2,Attribute,,Transaction_ Detail,Document Date,Date Time,,0..1,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",cor,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。
336,2,Attribute,,Transaction_ Detail,Received Date,Date Time,,0..1,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,bus,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。
337,2,Attribute,,Transaction_ Detail,Document Location,String,,0..1,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",bus,元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。
338,2,Attribute,,Transaction_ Detail,Posting Status,Token,,0..1,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
other:other status - should be described in postingStatusDescription",cor,転記状態,"据置：入力されたが、まだ転記できない。
転記済：転記済み。
提案済：検証が必要な項目。
シミュレーション：仮定のためにシミュレートされた項目。
税：税項目。
未転記：入力されたが、まだ検証も転記もされていない。
取消済：入力されたが、取り消された。
その他：その他の状態。postingStatusDescriptionで説明されるべき。
[設定値のリスト]
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)"
339,2,Attribute,,Transaction_ Detail,Posting Status Description,String,,0..1,Free format description of the posting status,cor,転記状態説明,転記状態の説明。
340,2,Attribute,,Transaction_ Detail,Description,String,,0..1,Description of this line of detail only,cor,説明,この明細行のみに対する説明。
341,2,Attribute,,Transaction_ Detail,Acknowledgement Date,Date Time,,0..1,Date of acknowledgement of goods/services shipped/received.,cor,承認日付,出荷/受領済みの物品/サービスを承認した日付。
342,2,Attribute,,Transaction_ Detail,Confirmation Date,Date Time,,0..1,Date of confirmation of shipment/receipt.,cor,確認日付,出荷/受領を確認した日付。
343,2,Attribute,,Transaction_ Detail,Measurable Class Identifier,Token,,0..1,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",btx,測定可能分類コード,在庫、固定資産、その他の測定可能な分類を識別するための列挙コード。列挙例：原材料、仕掛品、製品、組立品、備品、土地、建物、機械、家具、車両、その他。
344,2,Attribute,,Transaction_ Detail,Measurable Class Description,String,,0..1,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,ehm,測定可能分類の説明,「その他」の列挙値を補足・特定するための自由記述形式の説明。
345,2,Attribute,,Transaction_ Detail,Geospatial Coordinate,String,,0..1,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",ehm,地理座標,"本項目の関連位置を入力。形式は以下のいずれか：
・度分秒 (DMS): 41°24'12.2""N 2°10'26.5""E
・度と小数分 (DMM): 41 24.2028, 2 10.4418
・10進度 (DD): 41.40338, 2.17403"
346,2,Reference Association,,Transaction_ Detail,,,Detail_ Account Identifier,0..*,"Class: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",cor,【行科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
347,2,Composition,,Transaction_ Detail,,,Detail_ Amount,0..*,"Structure representing monetary amounts and currency information applicable to an individual line, such as line-level net amounts, tax calculation bases, allowances, or charges.",btx,【行金額構造】,個々の明細行に適用される金額や通貨情報（行レベルの正味金額、税計算基礎額、値引または追加請求など）を表現する構造。
348,2,Composition,,Transaction_ Detail,,,Detail_ Multicurrency,0..*,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,muc,【行多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
349,2,Composition,,Transaction_ Detail,,,Detail_ Tax,0..*,Class for holding tax related information,cor,【行税情報】,税関連の情報のタプル。
350,2,Composition,,Transaction_ Detail,,,Detail_ Withholding_ Tax,0..*,Tax withheld by the payer at the time of payment and remitted to a tax authority on behalf of the payee applied at the transaction detail (line) level.,btx,【行源泉徴収税】,支払時に支払者が受取人に代わって控除し、税務当局へ納付する税を表す抽象クラス。
351,2,Composition,,Transaction_ Detail,,,Detail_ Adjustment,0..*,"Class representing an adjustment applied at the transaction detail (line) level. It is used to record corrections or modifications specific to a line item or detail record, including the adjustment direction (addition/subtraction), reason information, actual values (amount, quantity, and date/time), and references to related parties, invoices, and taxes.",btx,【行明細調整】,文書または取引のヘッダレベルで適用される調整を表すクラス。文書全体または取引全体に適用される補正または修正を、加算／減算区分、理由情報、実績値（金額・数量・日時）、および関連当事者・請求書参照・税参照とともに記録するために使用される。
352,2,Composition,,Transaction_ Detail,,,Detail_ Originating_ Document,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",taf,【行発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
