seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,Element,LocalLabel,LocalDocumentation
225,2,Attribute,,Identifier Reference,Identifier Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",gl-cor,gl-cor:identifierActive,CVE有効性,CVE識別子が有効か無効かを示すブール値。
204,2,Attribute,,Identifier Reference,Identifier Organization Type,xbrli:tokenItemType,,0..1,"Identifier Organization Type. Enumerated as: individual, organization, other.",gl-cor,gl-cor:identifierOrganizationType,CVE組織種別,"CVE識別子の組織種別。
[設定値のリスト]
(individual：個人)、(organization：組織)、(other：その他)"
205,2,Attribute,,Identifier Reference,Identifier Organization Type Description,xbrli:stringItemType,,0..1,Free format description of the identifier organization type,gl-cor,gl-cor:identifierOrganizationTypeDescription,CVE組織種別説明,CVE識別子の組織種別の説明。
206,2,Attribute,,Identifier Reference,Identifier Description,xbrli:stringItemType,,0..1,Textual description of identifierReference.,gl-cor,gl-cor:identifierDescription,CVE説明,identifierReferenceの説明。
207,2,Attribute,,Identifier Reference,Identifier Type,xbrli:tokenItemType,,0..1,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",gl-cor,gl-cor:identifierType,CVE種別,"実体の種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)"
208,2,Attribute,,Identifier Reference,Identifier Category,xbrli:stringItemType,,0..1,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",gl-cor,gl-cor:identifierCategory,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。
226,2,Composition,,Identifier Reference,,,External Authority,0..*,Structure containing references to an external authority associated with identifier,gl-cor,,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。
227,2,Composition,,Identifier Reference,,,Identifier Email,0..*,Email address for Identifier.,gl-cor,,【CVEEメールアドレス】,CVE識別子のEメールアドレス。
228,2,Composition,,Identifier Reference,,,Identifier Phone,0..*,Phone number related to Identifier.,gl-cor,,【電話番号】,CVE識別子の電話番号。
229,2,Composition,,Identifier Reference,,,Identifier Fax,0..*,Fax number structure related to identifier.,gl-cor,,【FAX番号】,CVE識別子のFAX番号の構造体。
230,2,Composition,,Identifier Reference,,,Identifier Address,0..*,"Address (block) of customer, vendor, employee for integration purposes, VAT.",gl-bus,,【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。
231,2,Composition,,Identifier Reference,,,Identifier Contact,0..*,Identifier Contact Information Structure,gl-cor,,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
232,1,Class,,XBRL,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,gl-cor,gl-cor:xbrlInfo,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
233,2,Attribute,,XBRL,XBRL Allocation,xbrli:tokenItemType,,0..1,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",gl-cor,gl-cor:xbrlInclude,XBRL割当,"与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。
[設定値のリスト]
(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減)"
234,2,Attribute,,XBRL,Summary Reporting Element,xbrli:QNameItemType,,0..1,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,gl-cor,gl-cor:summaryReportingElement,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。
235,2,Attribute,,XBRL,Detail Matching Element,xbrli:QNameItemType,,0..1,Associated XBRL element in XBRL-GL instance.,gl-cor,gl-cor:detailMatchingElement,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。
236,2,Attribute,,XBRL,Summary Tuple Path,xbrli:stringItemType,,0..1,Specific filter for parent tuple structure. This value must be valid XPath. And the result of the XPath must be resolved to a node.,gl-srcd,gl-srcd:summaryTuplePath,集約タプルパス,親タグ構造を特定するフィルタ。妥当なXPath記述でなければならない。XPathの結果はノードでなければならない。
237,2,Attribute,,XBRL,Detailed Content Filter,xbrli:stringItemType,,0..1,"Filtering mechanism. This value must be valid XPath. And the result of the XPath must be resolved to boolean. If the resulting value is false, the entry  must not mapped into specified facts in F/S.",gl-srcd,gl-srcd:detailedContentFilter,明細コンテントフィルタ,フィルタリング手段。妥当なXPath記述でなければならない。XPathの結果はブール値でなければならない。結果がfalseの場合は、仕訳はF/S内の特定のfactsにマッピングされてはならない。
238,2,Attribute,,XBRL,Reporting Date Selector,xbrli:tokenItemType,,0..1,This holds the concepts in GL data to create FS contexts.  The value must be a list of QName. Each QName must be resolved to GL items. Order of the items defines priority to access.,gl-srcd,gl-srcd:reportingDateSelector,報告日付セレクタ,F/Sのコンテキストを生成するためのGLデータの概念を示す。QNameのリストでなければならない。個々のQNameはGL項目を示さなければならない。項目の並びはアクセスの優先度を示す。
239,2,Attribute,,XBRL,Summary Operator,xbrli:stringItemType,,0..1,The operator applied to the amount or quantity when it is rolled up to a summary reporting element.,gl-srcd,gl-srcd:summaryOperator,,
,2,Attribute,,XBRL,Summary Unit Numerator,xbrli:tokenItemType,,1..1,This holds the list of measure information for unit numerator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,gl-srcd,gl-srcd:summaryNumerator,集約ユニット分子,集約のユニットの分子の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。
,2,Attribute,,XBRL,Summary Unit Denominator,xbrli:tokenItemType,,0..1,This holds the list of measure information for unit denominator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,gl-srcd,gl-srcd:summaryDenominator,集約ユニット分母,集約のユニットの分母の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。
,2,Attribute,,XBRL,Summary Reporting Taxonomy ID Reference,xbrli:stringItemType,,0..1,"Reference to the ID of the relevant target reporting taxonomy, defined in the [summaryReportingTaxonomies] structure at [documentInfo] level. Allows consuming applications to identify sets of [xbrlInfo] structures that point to a specific taxonomy.",gl-srcd,gl-srcd:summaryReportingTaxonomyIDRef,集約報告タクソノミ識別子参照情報,関連する報告タクソノミの識別子への参照情報。documentInfo内のsummaryReportingTaxonomies構造体で定義される。特定のタクソノミを示すxbrlInfo構造体の集合を、アプリケーションが識別できるようにする。
244,1,Class,,Measurable,,,,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-bus,gl-bus:measurable,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。
245,2,Attribute,,Measurable,Measurable Code,xbrli:tokenItemType,,0..1,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",gl-bus,gl-bus:measurableCode,計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他
[設定値のリスト]
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)"
246,2,Attribute,,Measurable,Measurable Code Description,xbrli:stringItemType,,0..1,Free format description of the measurable code,gl-bus,gl-bus:measurableCodeDescription,計測可能物コード説明,計測可能物のコードの説明。
247,2,Attribute,,Measurable,Measurable Category,xbrli:stringItemType,,0..1,Category of the measurable,gl-bus,gl-bus:measurableCategory,計測可能物カテゴリ,計測可能物のカテゴリ。
248,2,Attribute,,Measurable,Measurable Identification,xbrli:stringItemType,,0..1,Internal inventory part or SKU number or other code identifier for the measurable.,gl-bus,gl-bus:measurableID,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。
249,2,Attribute,,Measurable,Schema for Measurable Identification,xbrli:stringItemType,,0..1,URI or other identifier for schema with which measurable ID can be validated,gl-bus,gl-bus:measurableIDSchema,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。
250,2,Attribute,,Measurable,Secondary Measurable Identifier,xbrli:stringItemType,,0..1,Second identifier (such as vendor's item number),gl-bus,gl-bus:measurableIDOther,計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。
251,2,Attribute,,Measurable,Schema for Secondary Measurable Identification,xbrli:stringItemType,,0..1,URI or other identifier for schema with which measurable ID Other can be validated,gl-bus,gl-bus:measurableIDOtherSchema,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。
252,2,Attribute,,Measurable,Measurable Description,xbrli:stringItemType,,0..1,Text description of measurable (e.g. inventory item or other identifier),gl-bus,gl-bus:measurableDescription,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）
253,2,Attribute,,Measurable,Quantity,xbrli:decimalItemType,,0..1,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",gl-bus,gl-bus:measurableQuantity,数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。
254,2,Attribute,,Measurable,Qualifier,xbrli:tokenItemType,,0..1,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",gl-bus,gl-bus:measurableQualifier,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。
255,2,Attribute,,Measurable,Unit of Measure,xbrli:stringItemType,,0..1,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",gl-bus,gl-bus:measurableUnitOfMeasure,計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。
256,2,Attribute,,Measurable,Per Unit Cost/Price,xbrli:monetaryItemType,,0..1,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",gl-bus,gl-bus:measurableCostPerUnit,単価,"計測可能物の単価。
measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。"
257,2,Attribute,,Measurable,Start Time,xbrli:dateTimeItemType,,0..1,Start time of the duration being measured,gl-bus,gl-bus:measurableStartDateTime,開始日時,計量期間の開始時刻。
258,2,Attribute,,Measurable,End Time,xbrli:dateTimeItemType,,0..1,End time of the duration being measured,gl-bus,gl-bus:measurableEndDateTime,終了日時,計量期間の終了時刻。
259,2,Attribute,,Measurable,Measurable Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the measurable is active (=""true"") or inactive (=""false"")",gl-bus,gl-bus:measurableActive,計測可能物有効性,計測可能物が有効か無効かを示すブール値。
260,1,Class,,Job,,,,0..*,"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one.",gl-bus,gl-bus:jobInfo,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。
261,2,Attribute,,Job,Job Identifier,xbrli:stringItemType,,0..1,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",gl-usk,gl-usk:jobCode,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。
262,2,Attribute,,Job,Job Description,xbrli:stringItemType,,0..1,Description of job,gl-usk,gl-usk:jobDescription,ジョブ説明,ジョブの説明。
263,2,Attribute,,Job,Job Phase,xbrli:stringItemType,,0..1,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",gl-usk,gl-usk:jobPhaseCode,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。
264,2,Attribute,,Job,Job Phase Description,xbrli:stringItemType,,0..1,"Description of Job code, phase, activity",gl-usk,gl-usk:jobPhaseDescription,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。
265,2,Attribute,,Job,Job Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",gl-usk,gl-usk:jobActive,ジョブ有効性,ジョブが有効か無効かを示すブール値。
266,1,Class,,Depreciation Mortgage,,,,0..*,"Parent for information related to depreciation, mortgages, etc.",gl-bus,gl-bus:depreciationMortgage,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。
267,2,Attribute,,Depreciation Mortgage,Mortgage Jurisdiction,xbrli:tokenItemType,,0..1,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",gl-bus,gl-bus:dmJurisdiction,抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。
[設定値のリスト]
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)"
268,2,Attribute,,Depreciation Mortgage,Depreciation Method,xbrli:stringItemType,,0..1,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",gl-bus,gl-bus:dmMethodType,減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。
269,2,Attribute,,Depreciation Mortgage,Mortgage Life,xbrli:decimalItemType,,0..1,Length of life in number of periods.,gl-bus,gl-bus:dmLifeLength,抵当債務期間,存在する期間数。
270,2,Attribute,,Depreciation Mortgage,Description,xbrli:stringItemType,,0..1,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,gl-bus:dmComment,債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。
271,2,Attribute,,Depreciation Mortgage,Start Date,xbrli:dateTimeItemType,,0..1,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,gl-bus:dmStartDate,開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。
272,2,Attribute,,Depreciation Mortgage,End Date,xbrli:dateTimeItemType,,0..1,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,gl-bus:dmEndDate,終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。
273,2,Attribute,,Depreciation Mortgage,Amount,xbrli:monetaryItemType,,0..1,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",gl-bus,gl-bus:dmAmount,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。
274,1,Class,,Serial or Lot,,,,0..*,"Tuple for holding information about serial numbers or lots (batches). As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure.",gl-ehm,gl-ehm:serialLot,【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。
275,2,Attribute,,Serial or Lot,Serial or Lot Code,xbrli:tokenItemType,,0..1,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the tuple, neither is assumed.",gl-ehm,gl-ehm:serialLotCode,シリアル・ロット識別コード,この項目はシリアル番号またはロット番号で管理されているか？シリアル番号は一意に付番されたもので、ロット番号は同一バッチの区別を目的に使用される。
276,2,Attribute,,Serial or Lot,Serial Lot Description,xbrli:stringItemType,,0..1,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,gl-ehm,gl-ehm:serialLotDescription,シリアル・ロットの説明,gl-ehm:serialLotCode の「その他」の値のための自由記述の説明（例：バッチ、グループなど）。
277,2,Attribute,,Serial or Lot,Serial or Lot Number,xbrli:stringItemType,,0..1,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,gl-ehm,gl-ehm:serialLotNumber,シリアル番号・ロット番号,対象アイテムやロットに割り当てられた実際の番号／コードを保持する。
278,2,Attribute,,Serial or Lot,Next Serial or Lot Number,xbrli:stringItemType,,0..1,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",gl-ehm,gl-ehm:nextSerialLotNumber,次のシリアル・ロット番号,今後割り当て予定の次のシリアル／ロット番号や、既に割り当てられたアイテムの連結に使用。
279,2,Attribute,,Serial or Lot,Serial or Lot Quantity,xbrli:decimalItemType,,0..1,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,gl-ehm,gl-ehm:serialLotQuantity,シリアル・ロットの数量,該当ロット内の単位数。単位は gl-bus:measurableUnitofMeasure に基づく。
280,2,Attribute,,Serial or Lot,Serial or Lot Original Quantity,xbrli:decimalItemType,,0..1,The quantity of units in this batch on inception.,gl-ehm,gl-ehm:serialLotOriginalQuantity,シリアル・ロット元数量,このロットが生成された時点の元の数量。
281,2,Attribute,,Serial or Lot,Serial or Lot Remaining Quantity,xbrli:decimalItemType,,0..1,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,gl-ehm,gl-ehm:serialLotRemainingQuantity,シリアル・ロット残数量,元ロットからの残りの数量。
282,2,Attribute,,Serial or Lot,Serial or Lot Origination,xbrli:dateTimeItemType,,0..1,Date of manufacture or creation.,gl-ehm,gl-ehm:serialLotOrigination,シリアル・ロット生成日,製造日または作成日。
283,2,Attribute,,Serial or Lot,Serial or Lot Expiration,xbrli:dateTimeItemType,,0..1,Expiration date of the batch.,gl-ehm,gl-ehm:serialLotExpiration,シリアル・ロット有効期限,ロットの有効期限。
284,2,Attribute,,Serial or Lot,Serial or Lot Manufacturer,xbrli:stringItemType,,0..1,Manufacturer of the item (serial) or items (lot/batch).,gl-ehm,gl-ehm:serialLotManufacturer,シリアル・ロット製造元,シリアル番号またはロットの製造者。
285,2,Attribute,,Serial or Lot,Serial or Lot Batch Description,xbrli:stringItemType,,0..1,A name or description of the items in the lot or batch.,gl-ehm,gl-ehm:serialLotBatchDescription,シリアル・ロットバッチの説明,ロットまたはバッチ内のアイテムの名称や説明。
286,2,Attribute,,Serial or Lot,Serial or Lot Warranty Start Date,xbrli:dateTimeItemType,,0..1,"If the items are covered by warranty, when that warranty covered will begin or has begun.",gl-ehm,gl-ehm:serialLotWarrantyStartDate,保証開始日,保証対象となる場合の保証開始日。
287,2,Attribute,,Serial or Lot,Serial or Lot Warranty End Date,xbrli:dateTimeItemType,,0..1,"If the items are covered by warranty, when that warranty covered will end or ended.",gl-ehm,gl-ehm:serialLotWarrantyEndDate,保証終了日,保証対象となる場合の保証終了日。
288,2,Attribute,,Serial or Lot,Serial or Lot Warranty Period,xbrli:decimalItemType,,0..1,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",gl-ehm,gl-ehm:serialLotWarrantyPeriod,保証期間（数値）,保証期間の数値部分（例：30日保証の場合は「30」）。
289,2,Attribute,,Serial or Lot,Serial or Lot Warrant Period Unit,xbrli:stringItemType,,0..1,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",gl-ehm,gl-ehm:serialLotWarrantyPeriodUnit,保証期間（単位）,保証期間の単位（例：日、月、年、km、機械サイクルなど）。
290,2,Attribute,,Serial or Lot,Warranty Vendor,xbrli:stringItemType,,0..1,The vendor providing warranty; this may differ from the manufacturer.,gl-ehm,gl-ehm:serialLotWarrantyVendor,保証提供業者,保証を提供するベンダー（製造者とは異なる可能性あり）。
291,2,Attribute,,Serial or Lot,Warranty Contract,xbrli:stringItemType,,0..1,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",gl-ehm,gl-ehm:serialLotWarrantyContract,保証契約情報,保証に関する契約番号、日付、URL などの情報。
292,2,Attribute,,Serial or Lot,Serial or Lot Comment,xbrli:stringItemType,,0..1,Free format text related to the serial number or lot.,gl-ehm,gl-ehm:serialLotComment,シリアル・ロット備考,シリアルまたはロットに関する自由形式のテキスト。
293,1,Class,,Tax,,,,0..*,Tuple for holding tax related information,gl-cor,gl-cor:taxes,【税情報】,税関連の情報のタプル。
294,2,Attribute,,Tax,Tax Authority,xbrli:stringItemType,,0..1,Name of the relevant tax authority,gl-cor,gl-cor:taxAuthority,課税庁,関係する課税庁の名前。
295,2,Attribute,,Tax,Tax Table Code,xbrli:stringItemType,,0..1,Tax table code used by the relevant tax authority,gl-cor,gl-cor:taxTableCode,税率表コード,関係する課税庁で使用される税率表のコード。
296,2,Attribute,,Tax,Tax Description,xbrli:stringItemType,,0..1,Description of tax authority,gl-cor,gl-cor:taxDescription,課税庁説明,課税庁の説明。
297,2,Attribute,,Tax,Amount of Taxes,xbrli:monetaryItemType,,0..1,Amount of taxes,gl-cor,gl-cor:taxAmount,税額,税額。
298,2,Attribute,,Tax,Basis for Taxation,xbrli:monetaryItemType,,0..1,Basis for taxation,gl-cor,gl-cor:taxBasis,課税基準,課税基準。
299,2,Attribute,,Tax,[DEPRECATED. taxExchangeRate should be used one in gl-muc pallette] Exchange Rate for Tax,xbrli:pureItemType,,0..1,[DEPRECATED. taxExchangeRate should be used one in gl-muc pallette] Amount for foreign currency tracking in original currency,gl-cor,gl-cor:taxExchangeRate,[非推奨] 税額換算用レート,[非推奨 gl-mucで定義されているtaxExchangeRateを使用すべき] 原取引通貨に外貨を適用するための値。
300,2,Attribute,,Tax,Tax Percentage Rate,xbrli:pureItemType,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,gl-cor,gl-cor:taxPercentageRate,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
301,2,Attribute,,Tax,Tax Category,xbrli:stringItemType,,0..1,A class or category of taxes,gl-cor,gl-cor:taxCode,税区分,税のクラス又はカテゴリ。
302,2,Attribute,,Tax,Tax Comment/Exemption Reason,xbrli:stringItemType,,0..1,Additional text/code for exemption reasons or other comments.,gl-cor,gl-cor:taxCommentExemption,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
303,2,Attribute,,Tax,Tax Amount in Foreign Currency,xbrli:monetaryItemType,,0..1,"If the tax is in a foreign currency, the amount of tax in that currency",gl-muc,gl-muc:taxAmountForeignCurrency,外貨建税額,税が外貨建ての場合の、税額。
304,2,Attribute,,Tax,Tax Foreign Currency,xbrli:QNameItemType,,0..1,"If the tax is in a foreign currency, that currency",gl-muc,gl-muc:taxCurrency,外貨建税額通貨,税が外貨建ての場合の、通貨。
305,2,Attribute,,Tax,Tax Exchange Rate Date,xbrli:dateTimeItemType,,0..1,"If the tax is in a foreign currency, the date or date and time of the exchange rate used",gl-muc,gl-muc:taxExchangeRateDate,税額換算レート日付,税が外貨建ての場合の、換算レートの日付または日付/時刻。
306,2,Attribute,,Tax,Tax Exchange Rate,xbrli:pureItemType,,0..1,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",gl-muc,gl-muc:taxExchangeRate,税額換算レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。
307,2,Attribute,,Tax,Tax Exchange Rate Source,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, source of exchange rate - for example, Reuters, Bloomberg",gl-muc,gl-muc:taxExchangeRateSource,税額換算レート情報源,"税が外貨建ての場合の、換算レートの情報源。たとえば、Reuters, Bloomberg"
308,2,Attribute,,Tax,Tax Exchange Rate Type,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, type of exchange rate - for example, spot rate, forward contract etc.",gl-muc,gl-muc:taxExchangeRateType,税額換算レート種別,税が外貨建ての場合の、換算レートの種別。たとえば、スポット・レート、先物など。
309,2,Attribute,,Tax,Tax Exchange Rate Comment,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency, comment about exchange rate used",gl-muc,gl-muc:taxExchangeRateComment,税額換算レートコメント,税が外貨建ての場合の、換算レートに関するコメント。
310,2,Attribute,,Tax,Tax Amount in Triangulation Currency,xbrli:monetaryItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, the amount of that tax in the triangulation currency",gl-muc,gl-muc:taxAmountTriangulationCurrency,税額トライアンギュレーション通貨換算額,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨での税額。
311,2,Attribute,,Tax,Tax Triangulation Currency,xbrli:QNameItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, the triangulation currency",gl-muc,gl-muc:taxTriangulationCurrency,税額換算トライアンギュレーション通貨,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨。
312,2,Attribute,,Tax,Tax Triangulation Currency Exchange Rate,xbrli:pureItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, the exchange rate used expressed as national currency divided by triangulation currency",gl-muc,gl-muc:taxTriangulationExchangeRate,税額トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。自国通貨をトライアンギュレーション通貨で割った値。
313,2,Attribute,,Tax,Tax Triangulation Currency Exchange Rate Source,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",gl-muc,gl-muc:taxTriangulationExchangeRateSource,税額トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg"
314,2,Attribute,,Tax,Tax Triangulation Currency Exchange Rate Type,xbrli:stringItemType,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",gl-muc,gl-muc:taxTriangulationExchangeRateType,税額トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など
315,2,Attribute,,Tax,Tax Foreign to Triangulation Currency Exchange Rate,xbrli:pureItemType,,0..1,"If the tax is in a foreign currency and triangulation is used,  the exchange rate used expressed as foreign currency divided by triangulation currency",gl-muc,gl-muc:taxForeignTriangulationExchangeRate,税額外貨トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。外貨をトライアンギュレーション通貨で割った値。
