seq,level,Property type,Identifier,class,Property term,representation,Associate class,card,description,module,table,domain_name,element,label_local,definition_local,note
175,2,Attribute,,Entry Header,Batch ID for Entry Group,xbrli:stringItemType,,0..1,ID for a batch for this group of entries,gl-bus,,,gl-bus:batchID,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。,
176,2,Attribute,,Entry Header,Batch Description,xbrli:stringItemType,,0..1,Description of this batch,gl-bus,,,gl-bus:batchDescription,仕訳グループ説明,この仕訳の束の説明。,
177,2,Attribute,,Entry Header,Number of Entries,xbrli:stringItemType,,0..1,The total number of entries.,gl-bus,,,gl-bus:numberOfEntries,仕訳総数,仕訳の総数。,
178,2,Attribute,,Entry Header,Total Debits,xbrli:stringItemType,,0..1,The total of all debit amounts.,gl-bus,,,gl-bus:totalDebit,借方合計,借方金額の合計値。,
179,2,Attribute,,Entry Header,Total Credits,xbrli:stringItemType,,0..1,The total of all credit amounts.,gl-bus,,,gl-bus:totalCredit,貸方合計,貸方金額の合計値。,
180,2,Attribute,,Entry Header,Type of Difference Between Book and Tax,xbrli:stringItemType,,0..1,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",gl-cor,,,gl-cor:bookTaxDifference,帳簿価税務簿価差異種別,帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。\n[設定値のリスト]\n(permanent：永久)、(temporary：一時的)、(none：無し),
181,2,Attribute,,Entry Header,Elimination Code,xbrli:stringItemType,,0..1,Informs destination ledger this is an intracompany entry which eliminates in consolidation,gl-bus,,,gl-bus:eliminationCode,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。,
182,2,Attribute,,Entry Header,Budget Scenario Period Start,xbrli:stringItemType,,0..1,Start of period covered by associated budgetScenario,gl-bus,,,gl-bus:budgetScenarioPeriodStart,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。,
183,2,Attribute,,Entry Header,Budget Scenario Period End,xbrli:stringItemType,,0..1,End of period covered by associated budgetScenario,gl-bus,,,gl-bus:budgetScenarioPeriodEnd,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。,
184,2,Attribute,,Entry Header,Scenario Description,xbrli:stringItemType,,0..1,Text related to budgetScenario,gl-bus,,,gl-bus:budgetScenarioText,シナリオ説明,budgetScenarioに関する記述。,
185,2,Attribute,,Entry Header,Scenario Code,xbrli:stringItemType,,0..1,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",gl-bus,,,gl-bus:budgetScenario,シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。,
186,2,Attribute,,Entry Header,Budget Allocation Code,xbrli:stringItemType,,0..1,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-bus,,,gl-bus:budgetAllocationCode,予算配分コード,計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計\n[設定値のリスト]\n(D：期間数での分割)、(T：与えられた期間の合計) ,
187,2,Attribute,,Entry Header,"ID for Reversing, Standard or Master Entry",xbrli:stringItemType,,0..1,"For standard, reversing, master, cancelling or other entries an ID associated with those entries.",gl-usk,,,gl-usk:reversingStdId,反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。,
188,2,Attribute,,Entry Header,Recurring Standard Description,xbrli:stringItemType,,0..1,Description to accompany standard or recurring ID,gl-usk,,,gl-usk:recurringStdDescription,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。,
189,2,Attribute,,Entry Header,Frequency Interval,xbrli:stringItemType,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.\n",gl-usk,,,gl-usk:frequencyInterval,頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。,
190,2,Attribute,,Entry Header,Frequency Unit,xbrli:stringItemType,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.\n",gl-usk,,,gl-usk:frequencyUnit,頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。,
191,2,Attribute,,Entry Header,Repetitions Remaining,xbrli:stringItemType,,0..1,Number of times that the recurring entry will repeat,gl-usk,,,gl-usk:repetitionsRemaining,反復残回数,反復仕訳の繰り返し予定数。,
192,2,Attribute,,Entry Header,Next Date Repeat,xbrli:stringItemType,,0..1,Date next repeated or standard posted,gl-usk,,,gl-usk:nextDateRepeat,次回反復日付,次回の反復あるいは通常の転記日。,
193,2,Attribute,,Entry Header,Last Date Repeat,xbrli:stringItemType,,0..1,Date last repeated or standard posted,gl-usk,,,gl-usk:lastDateRepeat,前回反復日付,前回の反復あるいは通常の転記日。,
194,2,Attribute,,Entry Header,End Date of Repeating Entry,xbrli:stringItemType,,0..1,"For standard or recurring journals, stop date/time for repetitive entry.",gl-usk,,,gl-usk:endDateRepeatingEntry,反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。,
195,2,Attribute,,Entry Header,Reverse,xbrli:stringItemType,,0..1,Should entry be reversed?,gl-usk,,,gl-usk:reverse,反対仕訳要否,仕訳が取り消されるべきか。,
196,2,Attribute,,Entry Header,Reversing Date,xbrli:stringItemType,,0..1,Date this entry should be reversed,gl-usk,,,gl-usk:reversingDate,反対仕訳日付,この仕訳が取り消されるべき日付。,
197,2,Attribute,,Entry Header,Entry Number Counter,xbrli:stringItemType,,0..1,Unique reference for the entry - a numeric counter,gl-cor,,,gl-cor:entryNumberCounter,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ,
198,2,Composition,,Entry Header,,,Entry Detail,0..*,Parent for entry detail,gl-cor,,,,【仕訳明細】,仕訳明細の親タグ。,
199,1,Class,,External Authority,,,,,Structure containing references to an external authority associated with identifier,gl-cor,,,gl-cor:identifierExternalReference,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,
200,2,Attribute,,External Authority,External Authority ID Number,xbrli:stringItemType,,0..1,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",gl-cor,,,gl-cor:identifierAuthorityCode,外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,
201,2,Attribute,,External Authority,External Authority,xbrli:stringItemType,,0..1,Name of External Authority (e.g. Tax Authority),gl-cor,,,gl-cor:identifierAuthority,外部機関名,外部機関の名前（たとえば、税務署）,
202,2,Attribute,,External Authority,External Authority Verification Date,xbrli:stringItemType,,0..1,Date on which the External Authority last performed a verification,gl-cor,,,gl-cor:identifierAuthorityVerificationDate,外部機関認証日付,外部機関が最後に認証した日付。,
203,1,Class,,Fax Number,,,,,Fax Number Structure,gl-gen,,,gl-gen:fax,【FAX番号】,FAX番号の構造体。,
204,2,Attribute,,Fax Number,Number,xbrli:stringItemType,,0..1,Fax Number,gl-gen,,,gl-gen:faxNumber,FAX番号,FAX番号。,
205,2,Attribute,,Fax Number,Usage,xbrli:stringItemType,,0..1,"Fax Number Usage (e.g. orders, head office, IR)",gl-gen,,,gl-gen:faxNumberUsage,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),
206,1,Class,,Job,,,,,"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one.",gl-bus,,,gl-bus:jobInfo,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,
207,2,Attribute,,Job,Job Identifier,xbrli:stringItemType,,0..1,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",gl-usk,,,gl-usk:jobCode,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。,
208,2,Attribute,,Job,Job Description,xbrli:stringItemType,,0..1,Description of job,gl-usk,,,gl-usk:jobDescription,ジョブ説明,ジョブの説明。,
209,2,Attribute,,Job,Job Phase,xbrli:stringItemType,,0..1,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",gl-usk,,,gl-usk:jobPhaseCode,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。,
210,2,Attribute,,Job,Job Phase Description,xbrli:stringItemType,,0..1,"Description of Job code, phase, activity",gl-usk,,,gl-usk:jobPhaseDescription,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。,
211,2,Attribute,,Job,Job Active,xbrli:stringItemType,,0..1,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",gl-usk,,,gl-usk:jobActive,ジョブ有効性,ジョブが有効か無効かを示すブール値。,
212,1,Class,,Measurable,,,,,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-bus,,,gl-bus:measurable,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,
213,2,Attribute,,Measurable,Measurable Code,xbrli:stringItemType,,0..1,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",gl-bus,,,gl-bus:measurableCode,計測可能物コード,計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他\n[設定値のリスト]\n(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他),
214,2,Attribute,,Measurable,Measurable Code Description,xbrli:stringItemType,,0..1,Free format description of the measurable code,gl-bus,,,gl-bus:measurableCodeDescription,計測可能物コード説明,計測可能物のコードの説明。,
215,2,Attribute,,Measurable,Measurable Category,xbrli:stringItemType,,0..1,Category of the measurable,gl-bus,,,gl-bus:measurableCategory,計測可能物カテゴリ,計測可能物のカテゴリ。,
216,2,Attribute,,Measurable,Measurable Identification,xbrli:stringItemType,,0..1,Internal inventory part or SKU number or other code identifier for the measurable.,gl-bus,,,gl-bus:measurableID,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,
217,2,Attribute,,Measurable,Schema for Measurable Identification,xbrli:stringItemType,,0..1,URI or other identifier for schema with which measurable ID can be validated,gl-bus,,,gl-bus:measurableIDSchema,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,
218,2,Attribute,,Measurable,Secondary Measurable Identifier,xbrli:stringItemType,,0..1,Second identifier (such as vendor's item number),gl-bus,,,gl-bus:measurableIDOther,計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,
219,2,Attribute,,Measurable,Schema for Secondary Measurable Identification,xbrli:stringItemType,,0..1,URI or other identifier for schema with which measurable ID Other can be validated,gl-bus,,,gl-bus:measurableIDOtherSchema,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,
220,2,Attribute,,Measurable,Measurable Description,xbrli:stringItemType,,0..1,Text description of measurable (e.g. inventory item or other identifier),gl-bus,,,gl-bus:measurableDescription,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）\n,
221,2,Attribute,,Measurable,Quantity,xbrli:stringItemType,,0..1,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",gl-bus,,,gl-bus:measurableQuantity,数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。,
222,2,Attribute,,Measurable,Qualifier,xbrli:stringItemType,,0..1,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",gl-bus,,,gl-bus:measurableQualifier,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。,
223,2,Attribute,,Measurable,Unit of Measure,xbrli:stringItemType,,0..1,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",gl-bus,,,gl-bus:measurableUnitOfMeasure,計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。,
224,2,Attribute,,Measurable,Per Unit Cost/Price,xbrli:stringItemType,,0..1,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",gl-bus,,,gl-bus:measurableCostPerUnit,単価,計測可能物の単価。measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。,
225,2,Attribute,,Measurable,Start Time,xbrli:stringItemType,,0..1,Start time of the duration being measured,gl-bus,,,gl-bus:measurableStartDateTime,開始日時,計量期間の開始時刻。,
226,2,Attribute,,Measurable,End Time,xbrli:stringItemType,,0..1,End time of the duration being measured,gl-bus,,,gl-bus:measurableEndDateTime,終了日時,計量期間の終了時刻。,
227,2,Attribute,,Measurable,Measurable Active,xbrli:stringItemType,,0..1,"Boolean to indicate whether the measurable is active (=""true"") or inactive (=""false"")",gl-bus,,,gl-bus:measurableActive,計測可能物有効性,計測可能物が有効か無効かを示すブール値。,
228,2,Attribute,,Measurable,Measurable Class ID,xbrli:stringItemType,,0..1,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",gl-ehm,,,gl-ehm:measurableClassID,測定可能なクラスID,在庫、固定資産、またはその他の測定可能なクラスを識別するための列挙されたコード。列挙：原材料、仕掛品、完成品、組立品、消耗品、土地、建物、機械、家具、車両、その他。,
229,2,Attribute,,Measurable,Measurable Class Description,xbrli:stringItemType,,0..1,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,gl-ehm,,,gl-ehm:measurableClassDescription,測定可能なクラスの説明,gl-ehm：measurableClassIDに関連付けられた自由形式の説明で、他の列挙値の特殊化または明確化を提供します。,
230,2,Attribute,,Measurable,Costing Method Code,xbrli:stringItemType,,0..1,"An enumerated code for the inventory (or other measurable) costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other.",gl-ehm,,,gl-ehm:costingMethodCode,原価計算方法コード,在庫（または他の測定可能な）原価計算方法の列挙されたコード。列挙：LIFO、FIFO、平均、加重平均、標準コスト、税ベース、帳簿ベース、その他。,
231,2,Attribute,,Measurable,Costing Method Description,xbrli:stringItemType,,0..1,Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.,gl-ehm,,,gl-ehm:costingMethodDescription,原価計算方法の説明,gl-ehm：costingMethodCodeに関連付けられた自由形式の説明。他の列挙値の明確化を専門化します。,
232,2,Attribute,,Measurable,Geospatial Coordinate,xbrli:stringItemType,,0..1,"Enter a relevant location for this item. Format can be either:\n- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E\n- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418\n- Decimal degrees (DD): 41.40338, 2.17403",gl-ehm,,,gl-ehm:geospatialCoordinate,地理空間座標,"このアイテムに関連する場所を入力します。形式は次のいずれかになります。\n-度、分、秒（DMS）：41°24'12.2""N2°10'26.5""E \ n-度と小数分（DMM）：41 24.2028、2 10.4418 \ n -10度（DD）：41.40338、2.17403",
233,2,Composition,,Measurable,,,Serial Lot,0..1,"Tuple for holding information about serial numbers or lots (batches). As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure.",gl-ehm,,,,シリアルロット,シリアル番号またはロット（バッチ）に関する情報を保持するためのタプル。タプルとして、これにより、単一のgl-cor：measurable構造内で複数のシリアル番号または複数のロット番号のバッチが許可されます。,
234,1,Class,,Multicurrency Amount,,,,,Section to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,gl-muc,,,gl-muc:multicurrencyDetail,【多通貨明細】,原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。\nトライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。,
235,2,Attribute,,Multicurrency Amount,Date of Exchange Rate,xbrli:stringItemType,,0..1,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,gl-muc,,,gl-muc:multicurrencyDetailExchangeRateDate,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。,
236,2,Attribute,,Multicurrency Amount,Restated Amount,xbrli:stringItemType,,0..1,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,gl-muc,,,gl-muc:amountRestatedAmount,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。,
237,2,Attribute,,Multicurrency Amount,Restated Currency,xbrli:stringItemType,,0..1,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,gl-muc,,,gl-muc:amountRestatedCurrency,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。,
238,2,Attribute,,Multicurrency Amount,Restated Exchange Rate,xbrli:stringItemType,,0..1,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),gl-muc,,,gl-muc:amountRestatedExchangeRate,換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）\n,
239,2,Attribute,,Multicurrency Amount,Restated Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:amountRestatedExchangeRateSource,換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。",
240,2,Attribute,,Multicurrency Amount,Restated Exchange Rate Type,xbrli:stringItemType,,0..1,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",gl-muc,,,gl-muc:amountRestatedExchangeRateType,換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。,
241,2,Attribute,,Multicurrency Amount,Triangulation Amount,xbrli:stringItemType,,0..1,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,gl-muc,,,gl-muc:amountTriangulationAmount,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。,
242,2,Attribute,,Multicurrency Amount,Triangulation Currency,xbrli:stringItemType,,0..1,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,gl-muc,,,gl-muc:amountTriangulationCurrency,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。,
243,2,Attribute,,Multicurrency Amount,National to Triangulation Exchange Rate,xbrli:stringItemType,,0..1,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),gl-muc,,,gl-muc:amountTriangulationExchangeRate,トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）,
244,2,Attribute,,Multicurrency Amount,National to Triangulation Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:amountTriangulationExchangeRateSource,トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。",
245,2,Attribute,,Multicurrency Amount,National to Triangulation Exchange Rate Type,xbrli:stringItemType,,0..1,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",gl-muc,,,gl-muc:amountTriangulationExchangeRateType,トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。,
246,2,Attribute,,Multicurrency Amount,Restated to Triangulation Exchange Rate,xbrli:stringItemType,,0..1,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),gl-muc,,,gl-muc:restatedTriangulationExchangeRate,換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）,
247,2,Attribute,,Multicurrency Amount,Restated to Triangulation Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:restatedExchangeRateTriangulationSource,換算通貨トライアンギュレーション通貨換算レート情報源,"外貨通貨とトライアンギュレーション通貨の間の換算レートの情報源。たとえば、Reuters, Bloomberg。",
248,2,Attribute,,Multicurrency Amount,Restated to Triangulation Exchange Rate Type,xbrli:stringItemType,,0..1,"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc.",gl-muc,,,gl-muc:restatedExchangeRateTriangulationType,換算通貨トライアンギュレーション通貨換算レート種別,外貨通貨とトライアンギュレーション通貨の間の換算レートの種別。たとえば、スポット・レート、先物など。,
249,2,Attribute,,Multicurrency Amount,Multicurrency Detail Comment,xbrli:stringItemType,,0..1,Comment describing the enclosing multicurrencyDetail tuple's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,gl-muc,,,gl-muc:multicurrencyDetailComment,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。,
250,1,Class,,Organization Identifier,,,,,Section which contains various identifiers for the company.,gl-bus,,,gl-bus:organizationIdentifiers,【識別子】,組織に関する様々な識別子を含むセクション。,
251,2,Attribute,,Organization Identifier,Organization Identifier,xbrli:stringItemType,,0..1,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",gl-bus,,,gl-bus:organizationIdentifier,事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,
252,2,Attribute,,Organization Identifier,Organization Description,xbrli:stringItemType,,0..1,Text for organization identified by organizationIdentifier. Any descriptive information about the code.,gl-bus,,,gl-bus:organizationDescription,事業体説明,organizationIdentifierによって特定された組織の説明文。 コードに関するなんらかの記述情報。,
253,1,Class,,Originating Document,,,,,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents.",gl-taf,,,gl-taf:originatingDocumentStructure,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,
254,2,Attribute,,Originating Document,Originating Document Type,xbrli:stringItemType,,0..1,"Originating document type - order, acknowledgement, confirmation, shipment, delivery/receipt, invoice, payment, etc.",gl-taf,,,gl-taf:originatingDocumentType,発生元文書種別,発生元文書の種別。発注、通知、確認、出荷、配送/受領、請求、支払、など。,
255,2,Attribute,,Originating Document,Originating Document Number,xbrli:stringItemType,,0..1,Originating document number,gl-taf,,,gl-taf:originatingDocumentNumber,発生元文書番号,発生元文書の番号。,
256,2,Attribute,,Originating Document,Originating Document Date,xbrli:stringItemType,,0..1,Originating document date,gl-taf,,,gl-taf:originatingDocumentDate,発生元文書日付,発生元文書の日付。,
257,2,Attribute,,Originating Document,Originating Document Identifier Type,xbrli:stringItemType,,0..1,"Originating document identifier type: e.g. Customer, Vendor, Employee, Other",gl-taf,,,gl-taf:originatingDocumentIdentifierType,発生元文書対象CVE種別,発生元文書の対象となるCVEの種別。例えば、顧客、仕入先、従業員、その他。\n[設定値のリスト]\n(C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者) ,
258,2,Attribute,,Originating Document,Originating Document Identifier Code,xbrli:stringItemType,,0..1,Originating document identifier code,gl-taf,,,gl-taf:originatingDocumentIdentifierCode,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。,
259,2,Attribute,,Originating Document,Originating Document Identifier Tax Code,xbrli:stringItemType,,0..1,Originating document identifier tax code,gl-taf,,,gl-taf:originatingDocumentIdentifierTaxCode,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。,
260,1,Class,,Party,,,,,"Identification for customer, vendor, or employee.",gl-cor,,,gl-cor:identifierReference,【CVE情報】,顧客、仕入先、従業員のための識別子。,
261,2,Attribute,,Party,ID Number (internal),xbrli:stringItemType,,0..1,Internal ID Number associated with identifierReference,gl-cor,,,gl-cor:identifierCode,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。,
262,2,Composition,,Party,,,External Authority,0..1,Structure containing references to an external authority associated with identifier,gl-cor,,,,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,
263,2,Attribute,,Party,Identifier Organization Type,xbrli:stringItemType,,0..1,Identifier Organization Type,gl-cor,,,gl-cor:identifierOrganizationType,CVE組織種別,CVE識別子の組織種別。\n[設定値のリスト]\n(individual：個人)、(organization：組織)、(other：その他) ,
264,2,Attribute,,Party,Identifier Organization Type Description,xbrli:stringItemType,,0..1,Free format description of the identifier organization type,gl-cor,,,gl-cor:identifierOrganizationTypeDescription,CVE組織種別説明,CVE識別子の組織種別の説明。,
265,2,Attribute,,Party,Identifier Description,xbrli:stringItemType,,0..1,Textual description of identifierReference.,gl-cor,,,gl-cor:identifierDescription,CVE説明,identifierReferenceの説明。,
