No.,Level,Property type,Identifier,Class,Property Term,Representation Term,Associate Object Class Term,Multiplicity,Description,Module,Table,Value Domain,XBRL-GL
1312,2,Attribute,,Payment Type,Payment Type Description,Text,,0..1,"The description of the code value indicating the type of transaction (for example, check, wire transfer, cash, and so on).",P2P,43.5,TEXT100,gl-cor:documentTypeDescription
1313,1,Class,,Accounts Payable Cash Application,,,,0..1,"The AP Cash Application YYYYMMDD YYYYMMDD file contains all cash payments applied against the invoice during the period under review. The file will have one record for each application of a cash payment to an invoice. For example, if a cash payment was applied to three invoices, there will be three records for that payment - one for each of the invoices to which the cash was applied.",P2P,44,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:AP_Cash_Application_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As cash applications often reflect multiple invoices, and invoices may cross shipments and orders, association of each payment allocation line will appear as an independent entryDetail to differentiate between allocations and underlying originating documents."
1314,2,Attribute,PK,Accounts Payable Cash Application,AP Application ID,Identifier,,1,"Unique identifier for each transaction. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction.",P2P,44,TEXT100,gl-cor:documentReference
1315,2,Attribute,,Accounts Payable Cash Application,AP Application Date,Date,,0..1,"The date of the cash application transaction, regardless of the date the transaction is entered.",P2P,44,DATE,gl-cor:documentDate
1316,2,Attribute,,Accounts Payable Cash Application,AP Application Fiscal Year,Code,,0..1,"Fiscal year in which the AP Application Date occurs - YYYY for delimited, CCYY-MM-DD fiscal year end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL).",P2P,44,TEXT4,gl-bus:fiscalYearEnd
1317,2,Attribute,,Accounts Payable Cash Application,AP Application Period,Code,,0..1,"Fiscal period in which the AP Application Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",P2P,44,TEXT10,gl-bus:postingCode
1318,2,Reference Association,,Accounts Payable Cash Application,,,Supplier,0..1,Identifier of the supplier to whom payment is due or from whom unused credits have been applied. Must match the Supplier Account ID in the Supplier Listing YYYYMMDD file.,P2P,44,TEXT100,gl-cor:identifierCode with gl-cor:identifierType = 'vendor'
1319,2,Reference Association,,Accounts Payable Cash Application,,,Payment Made,0..1,Unique identifier of the transaction in the Payments Made YYYYMMDD YYYYMMD D file for which some or all of the payment is being applied to the supplier's accounts receivable.,P2P,44,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'check'*
1320,2,Reference Association,,Accounts Payable Cash Application,,,Invoice Received,0..1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Received YYYYMMDD YYYYMM DD, Open Accounts Payables YYYYMMDD, AP Cash Application YYYYMMDD YYYYM MDD, and AP Adjustments YYYYMMDD YYYYMMDD). Leave blank if cash application is at customer (not invoice) level.",P2P,44,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'invoice'*
1321,2,Reference Association,,Accounts Payable Cash Application,,,Business Unit,0..1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match the Business Unit Code in the Business Unit Listing file.",P2P,44,TEXT50,gl-cor:organizationIdentifier
1322,2,Composition,,Accounts Payable Cash Application,,,Activity Records,0..1,,P2P,44,,
1323,2,Reference Association,,Accounts Payable Cash Application,Debit,,Ledger Account Number,0..1,GL account number on which the debit side of the transaction has been posted.,P2P,44,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'debit-value' in a second account structure
1324,2,Reference Association,,Accounts Payable Cash Application,Credit,,Ledger Account Number,0..1,GL account number on which the credit side of the transaction has been posted.,P2P,44,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'credit-value' in a second account structure
1325,2,Composition,,Accounts Payable Cash Application,,,Segment,0..*,,P2P,44,,
1326,1,Class,,Accounts Payable Adjustment,,,,0..1,"The AP Adjustments YYYYMMDD YYYYMMDD file contains all adjustments (for example, write-offs, credit memos, and other adjustments) recorded against the invoice and impacting the invoice balance during the period. It does not include the application of cash paid (which is contained in the table AP Cash Application YYYYMMDD).<br>The file will have one record for each adjustment to each invoice. For example, if an adjustment transaction impacted three invoices, there will be three records for that adjustment - one for each of the invoices impacted by the adjustment.",P2P,45,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:AP_Adjustments_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As adjustments may reflect multiple underlying originating documents, association of each adjustment will appear as an independent entryDetail to differentiate between adjustments and underlying originating documents."
1327,2,Attribute,PK,Accounts Payable Adjustment,Adjustment ID,Identifier,,1,"Unique identifier for the adjustment of record. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction.",P2P,45,TEXT100,gl-cor:documentReference
1328,2,Reference Association,,Accounts Payable Adjustment,,,Accounts Receivable Adjustment Type,0..1,"The code value or indicator of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the supplier (for example, credit memo, debit memo, finance charge, other adjustments, and so on). See 1.9 AP Adjustment Type Listing YYYYMM DD.",P2P,45,TEXT25,gl-cor:documentType using provided enumerations or gl-cor:documentType = {other} and gl-bus:paymentMethod with codes from AP_Adjustment_Type_Listing_YY YYMMDD
1329,2,Attribute,,Accounts Payable Adjustment,Adjustment Document Number,Code,,0..1,"The identification number on an externally generated adjustment document (for example, credit memo).",P2P,45,TEXT100,gl-cor:documentNumber
1330,2,Reference Association,,Accounts Payable Adjustment,,,Invoice Generated,0..1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Received YYYYMMDD YYYY MMDD, Open Accounts Payables YYYYMMDD, AP Cash Application YYYYMMDD YYY YMMDD, and AP Adjustments YYYYMMDD YYYYMM DD). Leave blank if adjustment is at customer (not invoice) level.",P2P,45,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'invoice'
1331,2,Attribute,,Accounts Payable Adjustment,Adjustment Date,Date,,0..1,"The date of the transaction, regardless of the date the transaction is entered.",P2P,45,DATE100,gl-cor:postingDate
1332,2,Attribute,,Accounts Payable Adjustment,Adjustment Fiscal Year,Code,,0..1,"Fiscal year in which the Receipt Date occurs - YYYY for delimited, CCYY-MM- DD fiscal year end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL).",P2P,45,TEXT4,gl-bus:fiscalYearEnd
1333,2,Attribute,,Accounts Payable Adjustment,Adjustment Period,Code,,0..1,"Fiscal period in which the Receipt Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",P2P,45,TEXT10,gl-bus:postingCode
1334,2,Reference Association,,Accounts Payable Adjustment,,,Business Unit,0..1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match the Business Unit Code in the Business Unit Listing file.",P2P,45,TEXT50,gl-bus:organizationIdentifier
1335,2,Reference Association,,Accounts Payable Adjustment,,,Supplier,0..1,Identifier of the supplier to whom payment is due or from whom unused credits have been applied. Must match the Supplier Account ID in the Supplier Listing YYYYMMDD file.,P2P,45,TEXT100,gl-cor:identifierCode with gl-cor:identifierType = 'vendor'
1336,2,Composition,,Accounts Payable Adjustment,,,Activity Records,0..1,,P2P,45,,
1337,2,,,Accounts Payable Adjustment,NOTE: THE FOLLOWING FIELDS MAY BE OMITTED IF DETAILED (LINE ITEM) DATA IS PROVIDED,,,,,P2P,45,,
1338,2,Composition,,Accounts Payable Adjustment,,,Multi Currency Amount,0..1,,P2P,45,,gl-muc:multicurrencyDetail
1339,2,Composition,,Accounts Payable Adjustment,,,Charged Tax,0..*,"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD",P2P,45,,
1340,2,Reference Association,,Accounts Payable Adjustment,Debit,,Ledger Account Number,0..1,GL account number on which the debit side of the transaction has been posted.,P2P,45,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'debit-value' in a second account structure
1341,2,Reference Association,,Accounts Payable Adjustment,Credit,,Ledger Account Number,0..1,GL account number on which the credit side of the transaction has been posted.,P2P,45,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'credit-value' in a second account structure
1342,2,Composition,,Accounts Payable Adjustment,,,Segment,0..*,,P2P,45,,
1343,1,Class,,Accounts Payable Adjustment Line,,,,0..1,"The AP Adjustments Lines YYYYMMDD YYYYMMDD file contains line item detail for the invoices included in the file AP Adjustments YYYYMMDD YYYYMMDD. This file is optional, but is preferred unless the quantity of data is unmanageable.<br>The file will have one record for each invoice line item impacted by each adjustment.",P2P,46,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:AP_Adjustments_Lines_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As adjustments may reflect multiple underlying originating documents, association of each adjustment line will appear as an independent entryDetail to differentiate between adjustments and underlying originating documents."
1344,2,Reference Association,PK,Accounts Payable Adjustment Line,,,Accounts Receivable Adjustment,0..1,"Unique identifier for the adjustment of record. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction.",P2P,46,TEXT100,gl-cor:documentReference
1345,2,Reference Association,PK,Accounts Payable Adjustment Line,,,Invoice Received,0..1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Received YYYYMMDD YYYYM MDD, Open Accounts Payables YYYYMMDD, AP Cash Application YYYYMMDD YYY YMMDD, and AP Adjustments YYYYMMDD YYYYMM DD). Leave blank if adjustment is at customer (not invoice) level.",P2P,46,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'invoice'
1346,2,Reference Association,PK,Accounts Payable Adjustment Line,,,Invoice Received Lines,0..1,Line item number of the invoice. Leave blank if adjustment is at customer (not invoice) level.,P2P,46,TEXT10,gl-cor:lineNumber*
1347,2,Composition,,Accounts Payable Adjustment Line,,,Multi Currency Amount,0..1,,P2P,46,,gl-muc:multicurrencyDetail
1348,2,Composition,,Accounts Payable Adjustment Line,,,Charged Tax,0..*,"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD",P2P,46,,
1349,2,Reference Association,,Accounts Payable Adjustment Line,Debit,,Ledger Account Number,0..1,GL account number on which the debit side of the transaction has been posted.,P2P,46,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'debit-value' in a second account structure
1350,2,Reference Association,,Accounts Payable Adjustment Line,Credit,,Ledger Account Number,0..1,GL account number on which the credit side of the transaction has been posted.,P2P,46,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'credit-value' in a second account structure
1351,2,Composition,,Accounts Payable Adjustment Line,,,Segment,0..*,,P2P,46,,
1352,1,Class,,Accounts Payable Adjustment Type,,,,0..1,The AP Adjustment Type Listing YYYYMMDD file contains detailed descriptions of AP Adjustment Type codes.,P2P,46.5,,"XBRL GL uses enumerated values for the gl-cor:documentType to differentiate between different types of trade documents and related purposes. The difference between the entries in the Payment_Type_Listing_YYYYMMDD and AP_Adjustment_Type_Listing will be by including gl-cor:documentType to indicate the type of payment (for example, check, payment-other) for Payment_Type_Listing_YYYYMMDD and the type of adjustment (for example, debitmemo, credit-memo, finance-charge, manual-adjustment) for the AP_Adjustment_Type_Listing_YYYYMMDD.<br>The enumerations most widely used in procure-to-pay include<br>  check<br>  debit-memo<br>  credit-memo<br>  finance-charge<br>  invoice<br>  order-customer<br>  payment-other<br>  reminder<br>  tegata<br>  shipment<br>  receipt<br>  manual-adjustment<br>  other<br>gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:AP_Adjustment_Type_Listing_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."
1353,2,Attribute,PK,Accounts Payable Adjustment Type,AP Adjustment Type,Code,,0..1,The code value or indicator of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the supplier.,P2P,46.5,TEXT25,gl-bus:paymentMethod
1354,2,Attribute,,Accounts Payable Adjustment Type,AP Adjustment Type Description,Text,,0..1,"The description of the code value indicating the type of transaction (for example, credit memo, debit memo, finance charge, other adjustments, and so on).",P2P,46.5,TEXT100,gl-cor:documentTypeDescription
1355,1,Class,,Purchase Order,,,,0..1,"The Purchase Orders YYYYMMDD YYYYMMDD file contains, at a minimum, all purchase orders placed during the period under review. Ideally this file also includes all purchase orders, both current and prior period, associated with transactions recorded during the period under review but because some of those purchase orders could have been placed far in the past, the client and auditor should use his or her judgment in deciding which historical purchase orders to include.   The file will have one record for each purchase order",P2P,51,,gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:Purchase_Orders_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.
1356,2,Attribute,PK,Purchase Order,Purchase Order ID,Identifier,,1,"Unique identifier for each purchase order. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each purchase order.",P2P,51,TEXT100,gl-cor:documentReference with gl-cor:documentType = 'order-vendor'
1357,2,Attribute,,Purchase Order,Purchase Order Document ID,Code,,0..1,Identification number or code on the purchase order.,P2P,51,TEXT100,gl-cor:documentNumber
1358,2,Attribute,,Purchase Order,Purchase Order Date,Date,,0..1,"The date of the purchase order, regardless of the date the order is entered.",P2P,51,DATE,gl-cor:documentDate
1359,2,Attribute,,Purchase Order,Purchase Order Fiscal Year,Code,,0..1,"Fiscal year in which the Purchase Order Date occurs - YYYY for delimited, CCYY-MM-DD fiscal year end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL).",P2P,51,TEXT4,gl-bus:fiscalYearEnd
1360,2,Attribute,,Purchase Order,Purchase Order Period,Code,,0..1,"Fiscal period in which the Purchase Order Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",P2P,51,TEXT10,gl-bus:postingCode
1361,2,Reference Association,,Purchase Order,,,Business Unit,0..1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match a Business Unit Code in the Business Unit Listing file.",P2P,51,TEXT50,gl-bus:organizationIdentifier
1362,2,Reference Association,,Purchase Order,,,Supplier,0..1,Identifier of the supplier to whom payment is due or from whom unused credits have been applied. Must match the Supplier Account ID in the Supplier Listing YYYYMMDD file.,P2P,51,TEXT100,gl-cor:identifierCode with gl-cor:identifierType = 'vendor'
1363,2,Attribute,,Purchase Order,Purchase Order Requisition ID,Code,,0..1,Identifier that is unique for each purchase order requisition. May require concatenation of multiple fields.,P2P,51,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'order-requisition'*
1364,2,Composition,,Purchase Order,,,Activity Records,0..1,,P2P,51,,
1365,2,,,Purchase Order,NOTE: THE FOLLOWING FIELDS MAY BE OMITTED IF DETAILED (LINE ITEM) DATA IS PROVIDED,,,,,P2P,51,,
1366,2,Composition,,Purchase Order,,,Local Currency Amount,0..1,,P2P,51,,
1367,2,Composition,,Purchase Order,,,Segment,0..*,,P2P,51,,
1368,1,Class,,Purchase Order Line,,,,0..1,"The Purchase Orders Lines YYYYMMDD YYYYMMDD file contains line item detail for the purchase orders included in the file Purchase Orders YYYYMMDD YYYYMMDD. This file is optional, but is preferred unless the quantity of data is unmanageable. The file will have one record for each purchase order line item.",P2P,52,,gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:Purchase_Orders_Lines_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.
1369,2,Reference Association,PK,Purchase Order Line,,,Purchase Order,0..1,"Unique identifier for each purchase order. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each purchase order.",P2P,52,TEXT100,gl-cor:documentReference with gl-cor:documentType = 'order-vendor'
1370,2,Attribute,PK,Purchase Order Line,Purchase Order Line ID,Identifier,,1,Identifier for purchase order line number.,P2P,52,TEXT10,gl-cor:lineNumber
1371,2,Reference Association,,Purchase Order Line,,,Inventory Product,0..1,"Unique identifier for each purchased product. This ID may need to be created by concatenating fields (for example, business unit, product number, year, and so on) to uniquely identify each product.",P2P,52,TEXT25,gl-bus:measurableID
1372,2,Attribute,,Purchase Order Line,Purchase Order Line Product Description,Text,,0..1,Product description (plain English) to indicate the name or other identifying characteristics of the product.,P2P,52,TEXT100,gl-bus:measurableDescription
1373,2,Attribute,,Purchase Order Line,Purchase Order Line Product Group 01,Code,,0..1,"Product descriptor #1, for example, tires or accessories.",P2P,52,TEXT25,gl-bus:measurableCodeDescription
1374,2,Attribute,,Purchase Order Line,Purchase Order Line Product Group 02,Code,,0..1,"Product descriptor #2, for example, brand.",P2P,52,TEXT25,gl-bus:measurableCategory
1375,2,Composition,,Purchase Order Line,,,Quantity,0..1,Purchase order line quantity.,P2P,52,NUMERIC,gl-bus:measurableQuantity
1376,2,Attribute,,Purchase Order Line,Purchase Order Line Unit of Measure,Code,,0..1,Purchase order line base unit of measure.,P2P,52,TEXT25,gl-bus:measurableUnitOfMeasure
1377,2,Composition,,Purchase Order Line,,,Unit Price Amount,0..1,Purchase order line price per unit.,P2P,52,NUMERIC,gl-bus:measurableCostPerUnit
1378,2,Composition,,Purchase Order Line,,,Local Currency Amount,0..1,,P2P,52,,
1379,2,Composition,,Purchase Order Line,,,Segment,0..*,,P2P,52,,
1380,1,Class,,Invoice Received,,,,0..1,"The Invoices Received  YYYYMMDD YYYYMMDD file contains, at a minimum, all invoices received during the period under review. Ideally this file also includes all invoices associated with transactions (for example, payments made) during the period under review, even if those invoices were received in a prior period. The auditor should use his or her judgment in deciding which historical invoices to include. The flat file format will have one record for each purchase order associated with each invoice. For example, if an invoice includes items from three purchase orders, there will be three records for that invoice, one for the items in the invoice associated with each of the three purchase orders. XBRL GL leverages the gl-taf:originatingDocumentNumber to associate gl-cor:entryDetail lines with associated trade documents; however, the design can use separate gl-cor:entryHeader records for greater comparability with the flat-file format. ",P2P,53,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:Invoices_Received_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As invoices often reflect receipts, and receipts may cross orders, association of each invoice line from the order or receipt associated with the originating order number will appear as an independent entryDetail to differentiate between order lines (with originating order information) and invoice lines (without originating order information, associated by entry header groupings)."
1381,2,Attribute,PK,Invoice Received,Invoice ID,Identifier,,1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Received YYYYMMDD YYYYMM DD, Open Accounts Payables YYYYMMDD, AP Cash Application YYYYMMDD YYYYM MDD, and AP Adjustments YYYYMMDD YYYYMMDD).",P2P,53,TEXT100,gl-cor:documentReference
1382,2,Attribute,,Invoice Received,Invoice Number,Code,,0..1,Identification number for an externally generated invoice.,P2P,53,TEXT100,gl-cor:documentNumber with gl-cor:documentType = 'invoice'
1383,2,Attribute,,Invoice Received,Invoice Date,Date,,0..1,"The date of the invoice, regardless of the date the invoice is entered. This is the date from which the due date is calculated based on the invoice terms.",P2P,53,DATE,gl-cor:documentDate
1384,2,Attribute,,Invoice Received,Invoice Fiscal Year,Code,,0..1,"Fiscal year in which the Invoice Date occurs - YYYY for delimited, CCYY-MM-DD fiscal year end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL).",P2P,53,TEXT4,gl-bus:fiscalYearEnd
1385,2,Attribute,,Invoice Received,Invoice Period,Code,,0..1,"Fiscal period in which the Invoice Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",P2P,53,TEXT10,gl-bus:postingCode
1386,2,Attribute,,Invoice Received,Invoice Due Date,Date,,0..1,"The date payment is due to the supplier. Not all transactions will have a due date (for example, credit memos). Aging of a payable is usually calculated based on this date.",P2P,53,DATE,gl-cor:MaturityDate
1387,2,Reference Association,,Invoice Received,,,Purchase Order,0..1,"Unique identifier for each purchase order. Must match Purchase Order ID in the Purchase Orders YYYYMMDD YYYYMMD D file. If no purchase order, leave blank.",P2P,53,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'order-vendor'*
1388,2,Reference Association,,Invoice Received,,,Business Unit,0..1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match the Business Unit Code in the Business Unit Listing file.",P2P,53,TEXT50,gl-cor:organizationidentifier
1389,2,Reference Association,,Invoice Received,,,Supplier,0..1,Identifier of the supplier to whom payment is due or from whom unused credits have been applied. Must match the Supplier Account ID in the Supplier Listing YYYYMMDD file.,P2P,53,TEXT100,gl-cor:identifierCode with gl-identifierType = 'vendor'
1390,2,Attribute,,Invoice Received,Terms Discount Percentage,Percentage,,0..1,"The discount percentage the supplier may provide if an invoice is paid before a certain number of days. In the flat file, terms are represented as digits to one decimal place (for example, 10% would be represented as 10.0). In extensible business reporting language global ledger taxonomy framework (XBRL GL), the three fields Terms Discount Percentage, Terms Discount Days and Terms Due Days would be entered in the form 'xx.x% dd Net dd,' such as 2% 10 Net 30 for 2% discount if paid within 10 days, with the net due in 30 days.",P2P,53,NUMERIC,gl-cor:terms
1391,2,Attribute,,Invoice Received,Terms Discount Days,Numeric,,0..1,"The number of days from the invoice date the supplier allows to take advantage of discounted terms. Terms are represented as digits with no decimal places (for example, nnn).",P2P,53,NUMERIC,See description for field #10
1392,2,Attribute,,Invoice Received,Terms Due Days,Numeric,,0..1,The number of days allowed to meet the obligation before an invoice becomes overdue.,P2P,53,NUMERIC,See description for field #10 explicit in gl-cor:maturityDate
1393,2,Composition,,Invoice Received,,,Activity Records,0..1,,P2P,53,,
1394,2,Composition,,Invoice Received,,,Segment,0..*,,P2P,53,,
1395,2,,,Invoice Received,NOTE: THE FOLLOWING FIELDS MAY BE OMITTED IF DETAILED (LINE ITEM) DATA IS PROVIDED,,,,,P2P,53,,
1396,2,Composition,,Invoice Received,,,Multi Currency Amount,0..1,,P2P,53,,gl-muc:multicurrencyDetail
1397,2,Composition,,Invoice Received,,,Charged Tax,0..*,"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD",P2P,53,TEXT25,gl-cor:taxCode (Note that XBRL GL permits an unlimited number of tax codes and amounts with the gl-cor:taxes structure.)
1398,1,Class,,Invoice Received Line,,,,0..1,"The Invoices Received Lines YYYYMMDD YYYYMMDD file contains line item details for the invoices included in the file Invoices Received YYYYMMDD YYYYMMDD. This file is optional, but is preferred unless the quantity of data is unmanageable.<br>The file will have one record for each invoice line item or purchase order line item combination. Usually, each invoice line item will relate on only one purchase order line item, and therefore this file will have one record for each invoice line item. In those rare cases when an invoice line item relates to multiple purchase order line items, this file will have one record for each purchase order line item related to the invoice line item.",P2P,54,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:Invoices_Received_Line_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As invoices often reflect receipts and receipts may cross orders, association of each invoice line from the order or receipt associated with the originating order number will appear as an independent entryDetail to differentiate between order lines (with originating order information) and invoice lines (without originating order information, associated by entry header groupings)."
1399,2,Reference Association,PK,Invoice Received Line,,,Invoice Received,0..1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Received YYYYMMDD YYY YMMDD, Open Accounts Payables YYYYMMDD, AP Cash Application YYYYMMDD YY YYMMDD, and AP Adjustments YYYYMMDD YYYYM MDD).",P2P,54,TEXT100,gl-cor:documentReference
1400,2,Attribute,PK,Invoice Received Line,Invoice Line ID,Identifier,,1,Line item number of the invoice.,P2P,54,TEXT10,gl-cor:lineNumber*
1401,2,Reference Association,,Invoice Received Line,,,Purchase Order,0..1,"Unique identifier for each purchase order. Must match Purchase Order ID in the Purchase Orders YYYYMMDD YYYY MMDD file. If no purchase order, leave blank.",P2P,54,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'order-vendor'*
1402,2,Reference Association,,Invoice Received Line,,,Purchase Order Lines,0..1,"Identifier for purchase order line number. Must match Purchase Order Line ID used in Purchase Orders Lines YYYYMMDD YYYYMMDD file. If no purchase order, leave blank.",P2P,54,TEXT10,gl-cor:lineNumber*
1403,2,Reference Association,,Invoice Received Line,,,Inventory Product,0..1,Identifier that is unique for each purchased product.,P2P,54,TEXT25,gl-bus:measurableID
1404,2,Attribute,,Invoice Received Line,Invoice Product Description,Text,,0..1,Product (plain English) description to indicate the name or other identifying characteristics of the product.,P2P,54,TEXT100,gl-bus:measurableDescription
1405,2,Attribute,,Invoice Received Line,Invoice Product Group 01,Code,,0..1,"Product descriptor #1, for example, tires or accessories.",P2P,54,TEXT25,gl-bus:measurableCodeDescription
1406,2,Attribute,,Invoice Received Line,Invoice Product Group 02,Code,,0..1,"Product descriptor #2, for example, brand.",P2P,54,TEXT25,gl-bus:measurableCategory
1407,2,Composition,,Invoice Received Line,,,Charged Tax,0..*,"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD",P2P,54,TEXT25,gl-cor:taxCode (Note that XBRL GL permits an unlimited number of tax codes and amounts with the gl-cor:taxes structure.)
1408,2,Reference Association,,Invoice Received Line,Debit,,Ledger Account Number,0..1,GL account number on which the debit side of the transaction has been posted.,P2P,54,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'debit-value' in a second account structure
1409,2,Reference Association,,Invoice Received Line,Credit,,Ledger Account Number,0..1,GL account number on which the credit side of the transaction has been posted.,P2P,54,TEXT100,"gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'credit-value' in a second account structure (Note: XBRL GL permits an unlimited number of accounts or values with a transaction, and is not limited to a single debit or credit value.)"
,,Composition,,Invoice Received Line,Balance,,Multi Currency Amount,0..1,,P2P,54,,
,,Composition,,Invoice Received Line,,,Multi Currency Amount,0..1,,P2P,54,,
1410,2,Composition,,Invoice Received Line,,,Segment,0..*,,P2P,54,,
