No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain
865,2,Reference Association,,Sales Order,Salesperson,,Employee,0..1,The employee responsible for the sales order as a salesperson.,Sales,76,
866,1,Class,,Sales Order Line,,,,,A class representing the detailed specifications for goods or services requested in a sales order.,Sales,78,
867,2,Specialization,,Sales Order Line,,,Order Line,1..1,The individual entry on a sales order that specifies the product or service to be sold.,Sales,78,
868,2,Reference Association,,Sales Order Line,Dispatch Organization,,Business Segment,0..1,The business segment concerning the organisation that handles the dispatch of sales shipments.,Sales,78,
869,2,Reference Association,,Sales Order Line,,,Sales Contract,0..1,"A class providing an overview of sales agreements, documenting the commitment to sell products or services within a specific period.",Sales,78,
870,2,Reference Association,,Sales Order Line,,,Sales Contract Line,0..1,"A class detailing the terms of individual items within a sales contract, including product details and financial terms.",Sales,78,
871,1,Class,,Sales Shipment Made,,,,,A class capturing the details of goods shipped to customers in fulfillment of sales orders within a specified period.,Sales,84,
872,2,Attribute,PK,Sales Shipment Made,ID,Identifier,,1..1,The unique identifier for a shipment.,Sales,84,Identifier Long
873,2,Attribute,,Sales Shipment Made,Number,Char,,0..1,The number for a specific sales shipment.,Sales,84,Char Long
874,2,Attribute,,Sales Shipment Made,Date,Date,,0..1,The date on which goods were shipped to the buyer.,Sales,84,DATE
875,2,Attribute,,Sales Shipment Made,Reference Number,Char,,0..1,"The number for a specific shipment, such as a company reference or an official waybill number from a logistics company.",Sales,84,Char Long
876,2,Attribute,,Sales Shipment Made,Shipping Method,Char,,0..1,"The specific process or service selected to convey goods from sender to receiver, applicable to both outbound and inbound logistics.",Sales,84,Char Medium
877,2,Attribute,,Sales Shipment Made,Shipping Company,Name,,0..1,"A shipping company is an entity engaged in the transportation of goods across various modes of transport, providing logistical and support services to ensure safe and timely delivery.",Sales,84,Name Short
878,2,Attribute,,Sales Shipment Made,Adjustment Indicator,Indicator,,0..1,The indicator signifying that the transaction reflects a shipment adjustment rather than the original shipment.,Sales,84,Indicator
879,2,Attribute,,Sales Shipment Made,Adjustment Description,Text,,0..1,"Textual clarification provided when changes are made to a recorded shipment, specifying the cause and nature of the adjustment.",Sales,84,Text Medium
880,2,Composition,,Sales Shipment Made,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Sales,84,
881,2,Composition,,Sales Shipment Made,Shipping Transaction,,Amount,0..1,"The total monetary amount for shipping all items in a sales shipment, recorded in the transaction currency.",Sales,84,
882,2,Composition,,Sales Shipment Made,,,Sales Shipment Made Line,0..*,"A class detailing the specifics of items shipped, verified in the three-way matching process against sales orders and invoices to ensure accuracy and completeness of the sales cycle.",Sales,84,
883,2,Reference Association,,Sales Shipment Made,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Sales,84,
884,2,Reference Association,,Sales Shipment Made,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,84,
885,2,Reference Association,,Sales Shipment Made,Dispatch Organization,,Business Segment,0..1,The business segment concerning the organization that handles the dispatch of completed sales shipments.,Sales,84,
886,2,Reference Association,,Sales Shipment Made,,,Customer,0..1,A class that records broad customer information pertaining to made shipments.,Sales,84,
887,2,Reference Association,,Sales Shipment Made,,,Sales Order,0..1,"A class capturing the details of sales orders, which form the basis for the three-way matching process by providing a record to match against customer deliveries and invoicing for transaction validation.",Sales,84,
888,1,Class,,Sales Shipment Made Line,,,,,"A class detailing the specifics of each item shipped, including the quantity, unit price, and total amount related to the sale.",Sales,86,
889,2,Attribute,PK,Sales Shipment Made Line,ID,Identifier,,1..1,The unique identifier for a line within a shipment document.,Sales,86,Identifier Long
890,2,Attribute,,Sales Shipment Made Line,Number,Char,,0..1,The number for a particular line within a shipping document.,Sales,86,Char Short
891,2,Composition,,Sales Shipment Made Line,Shipping Transaction,,Amount,0..1,"The monetary amount of a specific line item in a sales shipment, recorded in the transaction currency, representing the cost of shipping.",Sales,86,
892,2,Composition,,Sales Shipment Made Line,Shipping Unit Price,,Amount,0..1,"The unit price for shipping a specific item in a sales shipment, recorded in the transaction currency.",Sales,86,
893,2,Composition,,Sales Shipment Made Line,Shipping,,Quantity,0..1,The quantity of items listed as shipped on a sales shipment line.,Sales,86,
894,2,Reference Association,,Sales Shipment Made Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Sales,86,
895,2,Reference Association,,Sales Shipment Made Line,,,Inventory Product,0..1,The inventory product detailed in a sales shipment made line item.,Sales,86,
896,2,Reference Association,,Sales Shipment Made Line,,,Sales Order Line,0..1,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,86,
897,1,Class,,Settlement Method,,,,,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Base,28,
898,2,Attribute,PK,Settlement Method,Code,Identifier,,1..1,The unique code describing how a transaction is settled.,Base,28,Identifier Medium
899,2,Attribute,,Settlement Method,Name,Name,,0..1,The designation of the procedure used for financial settlement.,Base,28,Name Short
900,2,Attribute,,Settlement Method,Active Indicator,Indicator,,0..1,The flag indicating if a settlement method is currently valid for settling transactions.,Base,28,Indicator
901,1,Class,,Supplier,,,,,A class containing essential information about suppliers.,Base,18,
902,2,Attribute,PK,Supplier,Account ID,Identifier,,1..1,The unique identifier for a supplier account.,Base,18,Identifier Long
903,2,Attribute,,Supplier,Account Number,Char,,0..1,The number for a supplier's account.,Base,18,Char Long
904,2,Attribute,,Supplier,Account Name,Name,,0..1,The legal or registered name of the supplier.,Base,18,Name Medium
905,2,Attribute,,Supplier,Abbreviation,Name,,0..1,The shortened form of the supplier's name.,Base,18,Name Medium
906,2,Attribute,,Supplier,TIN,Char,,0..1,The tax identification number assigned to the supplier by tax authorities.,Base,18,TAX IDENTIFICATION NUMBER
907,2,Attribute,,Supplier,Group,Char,,0..1,The classification of the supplier within an organization's segmentation system.,Base,18,Char Long
908,2,Attribute,,Supplier,Inactive Date,Date,,0..1,"The date marking the change of a supplier's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or insolvency.",Base,18,DATE
909,2,Attribute,,Supplier,Terms Discount Percentage,Decimal,,0..1,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Base,18,Percent
910,2,Attribute,,Supplier,Terms Discount Days,Integer,,0..1,"The number of days from the invoice date that the customer is eligible for the discount if payment is made.
",Base,18,INTEGER
911,2,Attribute,,Supplier,Terms Due Days,Integer,,0..1,The standard time period in days before a customer's payment is considered overdue.,Base,18,INTEGER
912,2,Composition,,Supplier,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,18,
913,2,Composition,,Supplier,Billing,,Address,0..1,"The address where billing-related documents should be sent for a supplier, typically used for remitting payments and financial documentation.",Base,18,
914,2,Composition,,Supplier,Physical,,Address,0..1,"The geographic location of a supplier's premises, comprising street, number, city, and postal code, corresponding to the supplier's actual physical site.",Base,18,
915,2,Composition,,Supplier,Total Credit Limit,,Amount,0..1,The maximum monetary amount of credit that a supplier is willing to extend to its customers.,Base,18,
916,2,Composition,,Supplier,Transaction Credit Limit,,Amount,0..1,The maximum monetary amount a supplier permits a customer to owe for a single transaction.,Base,18,
917,2,Composition,,Supplier,Primary,,Contact,0..1,"The principal point of contact for a supplier, typically accountable for managing correspondence and agreements with customers or clients.",Base,18,
918,2,Reference Association,,Supplier,Corresponding,,Customer,0..1,The customer associated with or equivalent to a specific supplier in business transactions.,Base,18,
919,2,Reference Association,,Supplier,,,Supplier Type,0..1,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,18,
920,1,Class,,Supplier Hierarchy,,,,,A class that shows the organized relationships among suppliers.,Base,18,
921,2,Reference Association,PK,Supplier Hierarchy,Child,,Supplier,1..1,The supplier that is classified at a subordinate level within a supplier hierarchy.,Base,18,
922,2,Reference Association,PK,Supplier Hierarchy,Parent,,Supplier,1..1,The supplier that is classified at a superior level within a supplier hierarchy.,Base,18,
923,1,Class,,Supplier Type,,,,,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,16,
924,2,Attribute,PK,Supplier Type,ID,Identifier,,1..1,The unique identifier for the type of supplier.,Base,16,Identifier Medium
925,2,Attribute,,Supplier Type,Code,Code,,0..1,The identifier that categorizes the type of supplier within an organizational system.,Base,16,SUPPLIER TYPE CODE
926,2,Attribute,,Supplier Type,Name,Name,,0..1,"The designation for the category of supplier based on their attributes.
",Base,16,Name Medium
927,1,Class,,Supplier Type Hierarchy,,,,,A class representing the hierarchical categorization of supplier types for organizational and strategic purposes.,Base,16,
928,2,Reference Association,PK,Supplier Type Hierarchy,Child,,Supplier Type,1..1,The specific category of supplier that is classified at a subordinate level within a supplier hierarchy.,Base,16,
929,2,Reference Association,PK,Supplier Type Hierarchy,Parent,,Supplier Type,1..1,The specific category of supplier that is classified at a superior level within a supplier hierarchy.,Base,16,
930,1,Class,,Tax,,,,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,
931,2,Composition,,Tax,Local,,Amount,0..1,"The monetary amount of tax assessed based on local tax regulations, recorded in the local currency.",General,,
932,2,Composition,,Tax,Transaction,,Amount,0..1,"The total monetary amount of tax applied to a specific transaction, recorded in the transaction currency.",General,,
933,2,Reference Association,,Tax,Credit,,Ledger Account,0..1,The ledger account that records credits related to tax transactions.,General,,
934,2,Reference Association,,Tax,Debit,,Ledger Account,0..1,The ledger account that records debits related to tax transactions.,General,,
935,2,Reference Association,,Tax,,,Tax Type,0..1,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",General,,
936,1,Class,,Tax Regulatory,,,,,"A class that includes regulatory information for taxation, offering instructions for compliance with tax laws in various jurisdictions.",Base,40,
937,2,Attribute,PK,Tax Regulatory,Code,Identifier,,1..1,The unique code for a regulatory body or jurisdiction.,Base,40,REGULATOR CODE
938,2,Attribute,,Tax Regulatory,Country Code,Code,,0..1,"The code for the country in which the tax regulator operates, as per ISO 3166-1.",Base,40,COUNTRY CODE
939,2,Attribute,,Tax Regulatory,Region,Name,,0..1,The specific area within a country that falls under the jurisdiction of a tax regulator.,Base,40,REGION
940,2,Attribute,,Tax Regulatory,Name,Name,,0..1,The name of the entity responsible for tax regulation.,Base,40,Name Medium
941,2,Attribute,,Tax Regulatory,Role,Char,,0..1,"The jurisdictional level at which the regulator operates, such as federal, regional, or local.",Base,40,Char Short
942,2,Attribute,,Tax Regulatory,Regulator ID,Char,,0..1,The identifier for the reporting organization as assigned by the tax regulator.,Base,40,Char Short
943,2,Attribute,,Tax Regulatory,Active Indicator,Indicator,,0..1,The binary indicator of whether a regulatory code is currently active.,Base,40,Indicator
944,2,Reference Association,,Tax Regulatory,Reporting Organization,,Business Segment,0..1,The class represents tax reporting entities within the auditee's organization.,Base,40,
945,2,Reference Association,,Tax Regulatory,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,40,
946,2,Reference Association,,Tax Regulatory,Accrual,,Ledger Account,0..1,The ledger account used for recording accrued taxes as per regulatory requirements.,Base,40,
947,2,Reference Association,,Tax Regulatory,Expense,,Ledger Account,0..1,The ledger account used for recording tax expenses as per regulatory requirements.,Base,40,
948,2,Reference Association,,Tax Regulatory,Payable,,Ledger Account,0..1,The ledger account used for recording taxes payable as per regulatory requirements.,Base,40,
949,1,Class,,Tax Type,,,,,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Base,42,
950,2,Attribute,PK,Tax Type,Code,Identifier,,1..1,The unique code used to classify a tax type.,Base,42,TAX TYPE CODE
951,2,Attribute,,Tax Type,Tax Name,Name,,0..1,The official title assigned to a category of tax.,Base,42,Name Medium
952,2,Attribute,,Tax Type,Description,Text,,0..1,The details that define and categorize a specific tax type.,Base,42,Text Medium
953,2,Attribute,,Tax Type,Tax Code Description,Text,,0..1,The narrative that clarifies the specific tax code and its application within the broader tax type.,Base,42,Text Medium
954,2,Attribute,,Tax Type,Tax Percentage,Decimal,,0..1,The standard rate applied to a specific tax type and code.,Base,42,Percent
955,2,Reference Association,,Tax Type,,,Business Segment,0..*,The class represents the business unit associated with reporting activities within the auditee's organization.,Base,42,
956,2,Reference Association,,Tax Type,,,Tax Regulatory,0..1,"The class that holds regulatory information related to taxation, providing instructions for compliance with tax laws across different jurisdictions.",Base,42,
957,1,Class,,User,,,,,"A class with user details, important for overseeing access, maintaining security, and tracking system use.",Base,10,
958,2,Attribute,PK,User,ID,Identifier,,1..1,"The unique identifier for individuals entering transactions into the accounting and/or ERP system.
",Base,10,Identifier Short
959,2,Attribute,,User,Active Indicator,Indicator,,0..1,The flag indicating the active status of a user within the system. An active status signifies that the user is authorized and able to access system functionalities.,Base,10,Indicator
960,2,Attribute,,User,Status Modified Date,Date,,0..1,The date on which the activation or termination status of the user was last modified.,Base,10,DATE
961,2,Attribute,,User,Name,Name,,0..1,The identifying label assigned to an individual within the system.,Base,10,Name Medium
962,2,Attribute,,User,Job Title,Char,,0..1,"The designation of the individual's role within the system, indicating their position or responsibility.",Base,10,Char Long
963,2,Attribute,,User,Role Responsibility,Char,,0..1,A descriptive depiction of the functional role or primary responsibility of the individual within the system.,Base,10,Char Long
964,2,Reference Association,,User,Department,,Business Segment,0..1,The department within a business segment that is associated with a particular user.,Base,10,
