sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path
6092,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Property Plant Equipment,4,Business Segment,BS04f6,/PE04d_11/BS04f6,/PPE Depreciation/Business Segment
6093,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Property Plant Equipment,4,Business Segment,BS04f6_01,/PE04d_11/BS04f6/BS04f6_01,/PPE Depreciation/Business Segment/Code
6094,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Property Plant Equipment,4,Business Segment,BS04f6_03,/PE04d_11/BS04f6/BS04f6_03,/PPE Depreciation/Business Segment/Segment Reference Level
6095,1,C,,Supplier Type,,,,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,16,Supplier Type,BS25g,/BS25g,/Supplier Type
6096,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for the type of supplier.,Base,16,Supplier Type,BS25g_01,/BS25g/BS25g_01,/Supplier Type/ID
6097,2,A,,Code,Code,0..1,SUPPLIER TYPE CODE,The identifier that categorizes the type of supplier within an organizational system.,Base,16,Supplier Type,BS25g_02,/BS25g/BS25g_02,/Supplier Type/Code
6098,2,A,,Name,Name,0..1,Name Medium,"The designation for the category of supplier based on their attributes.
",Base,16,Supplier Type,BS25g_03,/BS25g/BS25g_03,/Supplier Type/Name
6099,1,C,,Supplier Type Hierarchy,,,,A class representing the hierarchical categorization of supplier types for organizational and strategic purposes.,Base,16,Supplier Type Hierarchy,BS26b,/BS26b,/Supplier Type Hierarchy
6100,2,R,,(Child) Supplier Type,,1..1,,"The reference association to the Child Supplier Type class, which is a class with comprehensive descriptions of supplier classifications based on defined criteria.",Base,16,(Child) Supplier Type,BS25h,/BS26b/BS25h,/Supplier Type Hierarchy/(Child) Supplier Type
6101,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for the type of supplier.,Base,16,(Child) Supplier Type,BS25h_01,/BS26b/BS25h_01,/Supplier Type Hierarchy/(Child) Supplier Type/ID
6102,2,R,,(Parent) Supplier Type,,1..1,,"The reference association to the Parent Supplier Type class, which is a class with comprehensive descriptions of supplier classifications based on defined criteria.",Base,16,(Parent) Supplier Type,BS25i,/BS26b/BS25i,/Supplier Type Hierarchy/(Parent) Supplier Type
6103,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for the type of supplier.,Base,16,(Parent) Supplier Type,BS25i_01,/BS26b/BS25i_01,/Supplier Type Hierarchy/(Parent) Supplier Type/ID
6104,1,C,,Supplier Hierarchy,,,,A class that shows the organized relationships among suppliers.,Base,18,Supplier Hierarchy,BS24b,/BS24b,/Supplier Hierarchy
6105,2,R,,(Child) Supplier,,1..1,,"The reference association to the Child Supplier class, which is a class containing essential information about suppliers.",Base,18,(Child) Supplier,BS23a6,/BS24b/BS23a6,/Supplier Hierarchy/(Child) Supplier
6106,3,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a supplier account.,Base,18,(Child) Supplier,BS23a6_01,/BS24b/BS23a6_01,/Supplier Hierarchy/(Child) Supplier/Account ID
6107,2,R,,(Parent) Supplier,,1..1,,"The reference association to the Parent Supplier class, which is a class containing essential information about suppliers.",Base,18,(Parent) Supplier,BS23a7,/BS24b/BS23a7,/Supplier Hierarchy/(Parent) Supplier
6108,3,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a supplier account.,Base,18,(Parent) Supplier,BS23a7_01,/BS24b/BS23a7_01,/Supplier Hierarchy/(Parent) Supplier/Account ID
6109,1,C,,Ledger Account,,,,A class stores information about General Ledger accounts.,Base,20,Ledger Account,BS16ce,/BS16ce,/Ledger Account
6110,2,A,PK,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The unique identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,Ledger Account,BS16ce_01,/BS16ce/BS16ce_01,/Ledger Account/Account Number
6111,2,A,,Account Name,Name,0..1,Name Medium,The official title assigned to a general ledger account that uniquely identifies it within an accounting framework.,Base,20,Ledger Account,BS16ce_02,/BS16ce/BS16ce_02,/Ledger Account/Account Name
6112,2,A,,Description,Text,0..1,Text Medium,The descriptive label or text providing additional details about a general ledger account that corresponds to the General Ledger Account Number.,Base,20,Ledger Account,BS16ce_03,/BS16ce/BS16ce_03,/Ledger Account/Description
6113,2,A,,Financial Statement Caption,Char,0..1,Char Long,"The label utilized within financial statements to aggregate and present related financial account details, facilitating the organization and understanding of a company's financial data as reported in its financial statements.",Base,20,Ledger Account,BS16ce_04,/BS16ce/BS16ce_04,/Ledger Account/Financial Statement Caption
6114,2,A,,Account Type,Char,0..1,ACCOUNT TYPE,The classification of an account reflecting its nature and purpose.,Base,20,Ledger Account,BS16ce_05,/BS16ce/BS16ce_05,/Ledger Account/Account Type
6115,2,A,,Account Subtype,Char,0..1,ACCOUNT TYPE,The classification detailing a more specific categorization within an account type.,Base,20,Ledger Account,BS16ce_06,/BS16ce/BS16ce_06,/Ledger Account/Account Subtype
6116,2,A,,Account Hierarchy,Code,0..1,ACCOUNT HIERARCHY,The class representing the structured levels of account classification within an organization's accounting system.,Base,20,Ledger Account,BS16ce_07,/BS16ce/BS16ce_07,/Ledger Account/Account Hierarchy
6117,2,A,,Balance Debit Or Credit Code,Code,0..1,DEBIT CREDIT CODE,"The classification identifying the natural balance of an account, denoted by 'D' for a debit balance, or 'C' for a credit balance.",Base,20,Ledger Account,BS16ce_08,/BS16ce/BS16ce_08,/Ledger Account/Balance Debit Or Credit Code
6118,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Base,4,Business Segment,BS04f7,/BS16ce/BS04f7,/Ledger Account/Business Segment
6119,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Base,4,Business Segment,BS04f7_01,/BS16ce/BS04f7/BS04f7_01,/Ledger Account/Business Segment/Code
6120,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,Business Segment,BS04f7_03,/BS16ce/BS04f7/BS04f7_03,/Ledger Account/Business Segment/Segment Reference Level
6121,1,C,,Ledger Account Hierarchy,,,,A class records the structural relationships between individual ledger accounts.,Base,20,Ledger Account Hierarchy,BS17b,/BS17b,/Ledger Account Hierarchy
6122,2,R,,(Child) Ledger Account,,1..1,,"The reference association to the Child Ledger Account class, which is a class stores information about General Ledger accounts.",Base,20,(Child) Ledger Account,BS16cf,/BS17b/BS16cf,/Ledger Account Hierarchy/(Child) Ledger Account
6123,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,(Child) Ledger Account,BS16cf_01,/BS17b/BS16cf_01,/Ledger Account Hierarchy/(Child) Ledger Account/Account Number
6124,2,R,,(Parent) Ledger Account,,1..1,,"The reference association to the Parent Ledger Account class, which is a class stores information about General Ledger accounts.",Base,20,(Parent) Ledger Account,BS16dg,/BS17b/BS16dg,/Ledger Account Hierarchy/(Parent) Ledger Account
6125,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,(Parent) Ledger Account,BS16dg_01,/BS17b/BS16dg_01,/Ledger Account Hierarchy/(Parent) Ledger Account/Account Number
6126,1,C,,Accounting Period,,,,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Base,22,Accounting Period,BS01aa,/BS01aa,/Accounting Period
6127,2,A,PK,Fiscal Year,Identifier,1..1,YEAR,"The year for which financial records are kept, expressed in four digits.",Base,22,Accounting Period,BS01aa_01,/BS01aa/BS01aa_01,/Accounting Period/Fiscal Year
6128,2,A,PK,ID,Identifier,1..1,PERIOD IDENTIFIER,The span of time covered by an accounting record.,Base,22,Accounting Period,BS01aa_02,/BS01aa/BS01aa_02,/Accounting Period/ID
6129,2,A,,Beginning Date,Date,0..1,DATE,The start date for a given accounting period.,Base,22,Accounting Period,BS01aa_03,/BS01aa/BS01aa_03,/Accounting Period/Beginning Date
6130,2,A,,Ending Date,Date,0..1,DATE,The close date for a given accounting period.,Base,22,Accounting Period,BS01aa_04,/BS01aa/BS01aa_04,/Accounting Period/Ending Date
6131,1,C,,Journal Entry Type,,,,A class details the types of journal entries in the General Ledger such as cash receipts and cash disbursements.,Base,24,Journal Entry Type,BS15d,/BS15d,/Journal Entry Type
6132,2,A,PK,Code,Identifier,1..1,Identifier Medium,The unique code specifying the type of journal entry.,Base,24,Journal Entry Type,BS15d_01,/BS15d/BS15d_01,/Journal Entry Type/Code
6133,2,A,,Name,Name,0..1,Name Short,The label that identifies the category of a journal entry within the accounting system.,Base,24,Journal Entry Type,BS15d_02,/BS15d/BS15d_02,/Journal Entry Type/Name
6134,2,A,,Abbreviation,Char,0..1,Char Short,The shortened for the label that identifies the category of a journal entry within the accounting system.m representing the type of a journal entry.,Base,24,Journal Entry Type,BS15d_03,/BS15d/BS15d_03,/Journal Entry Type/Abbreviation
6135,1,C,,Bill Type,,,,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",Base,26,Bill Type,BS03d,/BS03d,/Bill Type
6136,2,A,PK,Code,Identifier,1..1,Identifier Medium,The unique code that classifies the type of bill.,Base,26,Bill Type,BS03d_01,/BS03d/BS03d_01,/Bill Type/Code
6137,2,A,,Name,Name,0..1,Name Short,The classification or designation of a bill reflecting its nature.,Base,26,Bill Type,BS03d_02,/BS03d/BS03d_02,/Bill Type/Name
6138,1,C,,Settlement Method,,,,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Base,28,Settlement Method,BS22u,/BS22u,/Settlement Method
6139,2,A,PK,Code,Identifier,1..1,Identifier Medium,The unique code describing how a transaction is settled.,Base,28,Settlement Method,BS22u_01,/BS22u/BS22u_01,/Settlement Method/Code
6140,2,A,,Name,Name,0..1,Name Short,The designation of the procedure used for financial settlement.,Base,28,Settlement Method,BS22u_02,/BS22u/BS22u_02,/Settlement Method/Name
6141,1,C,,Currency,,,,A class holds information about different currencies.,Base,30,Currency,BS06mh,/BS06mh,/Currency
6142,2,A,PK,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,Currency,BS06mh_01,/BS06mh/BS06mh_01,/Currency/Code
6143,2,A,,Name,Name,0..1,Name Short,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,Currency,BS06mh_02,/BS06mh/BS06mh_02,/Currency/Name
6144,2,A,,Minor Unit,Integer,0..1,UNIT,The subdivision of a currency unit that indicates the decimal relationship to the main currency unit as defined by ISO 4217.,Base,30,Currency,BS06mh_03,/BS06mh/BS06mh_03,/Currency/Minor Unit
6145,1,C,,Measurement Unit,,,,A class documents the units of measure utilized across various business documents and accounting ledgers.,Base,32,Measurement Unit,BS18di,/BS18di,/Measurement Unit
6146,2,A,PK,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Base,32,Measurement Unit,BS18di_01,/BS18di/BS18di_01,/Measurement Unit/UOM Code
6147,2,A,,UOM Name,Name,0..1,Name Medium,The designation of the measurement unit used for quantifying materials or other entities.,Base,32,Measurement Unit,BS18di_02,/BS18di/BS18di_02,/Measurement Unit/UOM Name
6148,2,A,,UOM Abbreviation,Char,0..1,Char Short,An abbreviation representing the name of a measurement unit.,Base,32,Measurement Unit,BS18di_03,/BS18di/BS18di_03,/Measurement Unit/UOM Abbreviation
6149,1,C,,Payment Term,,,,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Base,34,Payment Term,BS19o,/BS19o,/Payment Term
6150,2,A,PK,Code,Identifier,1..1,PAYMENT TERM CODE,The unique code denoting the terms of payment.,Base,34,Payment Term,BS19o_01,/BS19o/BS19o_01,/Payment Term/Code
6151,2,A,,Name,Name,0..1,Name Long,The official designation of a set of payment terms.,Base,34,Payment Term,BS19o_02,/BS19o/BS19o_02,/Payment Term/Name
6152,2,A,,Number,Char,0..1,Char Short,The number for the position of a line within a set of payment terms.,Base,34,Payment Term,BS19o_03,/BS19o/BS19o_03,/Payment Term/Number
6153,2,A,,Description,Text,0..1,Text Medium,The text that describes the conditions of a specific line within a payment term.,Base,34,Payment Term,BS19o_04,/BS19o/BS19o_04,/Payment Term/Description
6154,1,C,,Project,,,,"A class designed for specific projects that can vary from construction to research and may receive public or private funding. It methodically logs key information such as organizational hierarchy, strategic approaches, processes, steps taken, records, budgetary outlines, actual expenses, and the progress made toward set goals.",Base,36,Project,BS21p,/BS21p,/Project
6155,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a project.,Base,36,Project,BS21p_01,/BS21p/BS21p_01,/Project/ID
6156,2,A,,Code,Char,0..1,Char Long,The unique identifier assigned to a project.,Base,36,Project,BS21p_02,/BS21p/BS21p_02,/Project/Code
6157,2,A,,Name,Name,0..1,Name Medium,The designated title of a project within the context of operations and administration.,Base,36,Project,BS21p_03,/BS21p/BS21p_03,/Project/Name
6158,2,A,,Beginning Date,Date,0..1,DATE,The date on which a project is scheduled to start.,Base,36,Project,BS21p_04,/BS21p/BS21p_04,/Project/Beginning Date
6159,2,A,,Ending Date,Date,0..1,DATE,The date on which a project is scheduled to conclude.,Base,36,Project,BS21p_05,/BS21p/BS21p_05,/Project/Ending Date
6160,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Base,4,Business Segment,BS04f8,/BS21p/BS04f8,/Project/Business Segment
6161,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Base,4,Business Segment,BS04f8_01,/BS21p/BS04f8/BS04f8_01,/Project/Business Segment/Code
6162,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,Business Segment,BS04f8_03,/BS21p/BS04f8/BS04f8_03,/Project/Business Segment/Segment Reference Level
6163,1,C,,Bank Account,,,,A class includes details associated with a bank account.,Base,38,Bank Account,BS02e,/BS02e,/Bank Account
6164,2,A,PK,Number,Identifier,1..1,Identifier Medium,"The unique number for an account within a financial institution, for which the use of ISO 13616-2 International Bank Account Number (IBAN) format is recommended when applicable.",Base,38,Bank Account,BS02e_01,/BS02e/BS02e_01,/Bank Account/Number
6165,2,A,,Name,Name,0..1,Name Medium,The designated title of an account established at a financial institution such as a bank or settlement center.,Base,38,Bank Account,BS02e_02,/BS02e/BS02e_02,/Bank Account/Name
6166,2,A,,Bank Code,Code,0..1,BANK CODE,"The unique identifier for a financial institution, compliant with ISO 9362 (Business Identifier Code, BIC) or ISO 17442 (Legal Entity Identifier, LEI), with ISO 17442 being preferred.",Base,38,Bank Account,BS02e_03,/BS02e/BS02e_03,/Bank Account/Bank Code
6167,2,A,,Bank Name,Name,0..1,Name Medium,"The official legal name of a financial institution, including banks and settlement centers.",Base,38,Bank Account,BS02e_04,/BS02e/BS02e_04,/Bank Account/Bank Name
6168,2,A,,Branch Code,Code,0..1,BRANCH CODE,The identifier assigned to a specific branch of a financial institution.,Base,38,Bank Account,BS02e_05,/BS02e/BS02e_05,/Bank Account/Branch Code
6169,2,A,,Branch Name,Name,0..1,Name Long,The official name of a branch of a financial institution.,Base,38,Bank Account,BS02e_06,/BS02e/BS02e_06,/Bank Account/Branch Name
6170,2,A,,Branch Country Code,Code,0..1,COUNTRY CODE,"The code indicating a financial institution's branch country, compliant with ISO 3166-1 standards.",Base,38,Bank Account,BS02e_07,/BS02e/BS02e_07,/Bank Account/Branch Country Code
6171,2,A,,Branch Region,Name,0..1,Name Short,"The regional area, such as a state or province, within a country where the branch is located.",Base,38,Bank Account,BS02e_08,/BS02e/BS02e_08,/Bank Account/Branch Region
6172,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Base,4,Business Segment,BS04f9,/BS02e/BS04f9,/Bank Account/Business Segment
6173,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Base,4,Business Segment,BS04f9_01,/BS02e/BS04f9/BS04f9_01,/Bank Account/Business Segment/Code
6174,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,Business Segment,BS04f9_03,/BS02e/BS04f9/BS04f9_03,/Bank Account/Business Segment/Segment Reference Level
6175,1,C,,Tax Regulatory,,,,"A class that includes regulatory information for taxation, offering instructions for compliance with tax laws in various jurisdictions.",Base,40,Tax Regulatory,BS27m,/BS27m,/Tax Regulatory
6176,2,A,PK,Code,Identifier,1..1,REGULATOR CODE,The unique code for a regulatory body or jurisdiction.,Base,40,Tax Regulatory,BS27m_01,/BS27m/BS27m_01,/Tax Regulatory/Code
6177,2,A,,Country Code,Code,0..1,COUNTRY CODE,"The code for the country in which the tax regulator operates, as per ISO 3166-1.",Base,40,Tax Regulatory,BS27m_02,/BS27m/BS27m_02,/Tax Regulatory/Country Code
6178,2,A,,Region,Name,0..1,REGION,The specific area within a country that falls under the jurisdiction of a tax regulator.,Base,40,Tax Regulatory,BS27m_03,/BS27m/BS27m_03,/Tax Regulatory/Region
6179,2,A,,Name,Name,0..1,Name Medium,The name of the entity responsible for tax regulation.,Base,40,Tax Regulatory,BS27m_04,/BS27m/BS27m_04,/Tax Regulatory/Name
6180,2,A,,Role,Char,0..1,Char Short,"The jurisdictional level at which the regulator operates, such as federal, regional, or local.",Base,40,Tax Regulatory,BS27m_05,/BS27m/BS27m_05,/Tax Regulatory/Role
6181,2,A,,Regulator ID,Char,0..1,Char Short,The identifier for the reporting organization as assigned by the tax regulator.,Base,40,Tax Regulatory,BS27m_06,/BS27m/BS27m_06,/Tax Regulatory/Regulator ID
6182,2,R,,(Reporting Organization) Business Segment,,0..1,,"The reference association to the Reporting Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Base,4,(Reporting Organization) Business Segment,BS04fa,/BS27m/BS04fa,/Tax Regulatory/(Reporting Organization) Business Segment
6183,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Base,4,(Reporting Organization) Business Segment,BS04fa_01,/BS27m/BS04fa_01,/Tax Regulatory/(Reporting Organization) Business Segment/Code
6184,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,(Reporting Organization) Business Segment,BS04fa_03,/BS27m/BS04fa_03,/Tax Regulatory/(Reporting Organization) Business Segment/Segment Reference Level
6185,2,R,,(Accrual) Ledger Account,,0..1,,"The reference association to the Accrual Ledger Account class, which is a class stores information about General Ledger accounts.",Base,20,(Accrual) Ledger Account,BS16dh,/BS27m/BS16dh,/Tax Regulatory/(Accrual) Ledger Account
6186,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,(Accrual) Ledger Account,BS16dh_01,/BS27m/BS16dh_01,/Tax Regulatory/(Accrual) Ledger Account/Account Number
6187,2,R,,(Expense) Ledger Account,,0..1,,"The reference association to the Expense Ledger Account class, which is a class stores information about General Ledger accounts.",Base,20,(Expense) Ledger Account,BS16di,/BS27m/BS16di,/Tax Regulatory/(Expense) Ledger Account
6188,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,(Expense) Ledger Account,BS16di_01,/BS27m/BS16di_01,/Tax Regulatory/(Expense) Ledger Account/Account Number
6189,2,R,,(Payable) Ledger Account,,0..1,,"The reference association to the Payable Ledger Account class, which is a class stores information about General Ledger accounts.",Base,20,(Payable) Ledger Account,BS16dj,/BS27m/BS16dj,/Tax Regulatory/(Payable) Ledger Account
6190,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,(Payable) Ledger Account,BS16dj_01,/BS27m/BS16dj_01,/Tax Regulatory/(Payable) Ledger Account/Account Number
6191,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Base,4,Business Segment,BS04fb,/BS27m/BS04fb,/Tax Regulatory/Business Segment
6192,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Base,4,Business Segment,BS04fb_01,/BS27m/BS04fb/BS04fb_01,/Tax Regulatory/Business Segment/Code
6193,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,Business Segment,BS04fb_03,/BS27m/BS04fb/BS04fb_03,/Tax Regulatory/Business Segment/Segment Reference Level
6194,1,C,,Tax Type,,,,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Base,42,Tax Type,BS28r,/BS28r,/Tax Type
6195,2,A,PK,Code,Identifier,1..1,TAX TYPE CODE,The unique code used to classify a tax type.,Base,42,Tax Type,BS28r_01,/BS28r/BS28r_01,/Tax Type/Code
6196,2,A,,Tax Name,Name,0..1,Name Medium,The official title assigned to a category of tax.,Base,42,Tax Type,BS28r_02,/BS28r/BS28r_02,/Tax Type/Tax Name
6197,2,A,,Description,Text,0..1,Text Medium,The details that define and categorize a specific tax type.,Base,42,Tax Type,BS28r_03,/BS28r/BS28r_03,/Tax Type/Description
6198,2,A,,Tax Code Description,Text,0..1,Text Medium,The narrative that clarifies the specific tax code and its application within the broader tax type.,Base,42,Tax Type,BS28r_04,/BS28r/BS28r_04,/Tax Type/Tax Code Description
6199,2,A,,Tax Percentage,Decimal,0..1,Percent,The standard rate applied to a specific tax type and code.,Base,42,Tax Type,BS28r_05,/BS28r/BS28r_05,/Tax Type/Tax Percentage
6200,2,R,,Tax Regulatory,,0..1,,"The reference association to the Tax Regulatory class, which is a class that includes regulatory information for taxation, offering instructions for compliance with tax laws in various jurisdictions.",Base,40,Tax Regulatory,BS27n,/BS28r/BS27n,/Tax Type/Tax Regulatory
6201,3,A,REF,Code,Identifier,1..1,REGULATOR CODE,The unique code for a regulatory body or jurisdiction.,Base,40,Tax Regulatory,BS27n_01,/BS28r/BS27n_01,/Tax Type/Tax Regulatory/Code
6202,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Base,4,Business Segment,BS04fc,/BS28r/BS04fc,/Tax Type/Business Segment
6203,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Base,4,Business Segment,BS04fc_01,/BS28r/BS04fc/BS04fc_01,/Tax Type/Business Segment/Code
6204,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,Business Segment,BS04fc_03,/BS28r/BS04fc/BS04fc_03,/Tax Type/Business Segment/Segment Reference Level
6205,1,C,,Customized Account Segment,,,,The unique category within audit data services holds financial details that extend beyond standard account segments.,Base,44,Customized Account Segment,BS11d,/BS11d,/Customized Account Segment
6206,2,A,PK,Code,Identifier,1..1,Identifier Medium,The unique code for a non-standard account segment relevant to audit data.,Base,44,Customized Account Segment,BS11d_01,/BS11d/BS11d_01,/Customized Account Segment/Code
6207,2,A,,Name,Name,0..1,Name Long,The name for a non-standard account segment relevant to audit data.,Base,44,Customized Account Segment,BS11d_02,/BS11d/BS11d_02,/Customized Account Segment/Name
6208,2,A,,Description,Text,0..1,Text Medium,The detailed explanation of a customized account segment pertinent to audit requirements.,Base,44,Customized Account Segment,BS11d_03,/BS11d/BS11d_03,/Customized Account Segment/Description
6209,2,A,,Customized Account Encoding Rule,Code,0..1,ENCODING RULE CODE,"The structured format for the values within a customized account segment, often delineating hierarchical levels.",Base,44,Customized Account Segment,BS11d_04,/BS11d/BS11d_04,/Customized Account Segment/Customized Account Encoding Rule
6210,2,A,,Hierarchy Indicator,Indicator,0..1,Indicator,"The binary indicator that signifies whether an account segment value is part of a hierarchical arrangement, with '1' representing presence and '0' representing absence of hierarchy.",Base,44,Customized Account Segment,BS11d_05,/BS11d/BS11d_05,/Customized Account Segment/Hierarchy Indicator
6211,1,C,,Customized Account Value,,,,The unique code representing a value within a customized account segment.,Base,46,Customized Account Value,BS12d,/BS12d,/Customized Account Value
6212,2,A,PK,Code,Identifier,1..1,Identifier Medium,The unique code representing a value within a customized account segment.,Base,46,Customized Account Value,BS12d_01,/BS12d/BS12d_01,/Customized Account Value/Code
6213,2,A,,Name,Name,0..1,Name Long,The identifier for a specific value within an account segment.,Base,46,Customized Account Value,BS12d_02,/BS12d/BS12d_02,/Customized Account Value/Name
6214,2,A,,Description,Text,0..1,Text Medium,The explanation of the significance or content of an account segment's value.,Base,46,Customized Account Value,BS12d_03,/BS12d/BS12d_03,/Customized Account Value/Description
6215,2,A,,Hierarchy,Identifier,0..1,HIERARCHY LEVEL,The designated level within the hierarchical structure of customized account values.,Base,46,Customized Account Value,BS12d_04,/BS12d/BS12d_04,/Customized Account Value/Hierarchy
6216,2,R,,Customized Account Segment,,0..1,,The unique category within audit data services holds financial details that extend beyond standard account segments.,Base,44,Customized Account Segment,BS11e,/BS12d/BS11e,/Customized Account Value/Customized Account Segment
6217,3,A,REF,Code,Identifier,1..1,Identifier Medium,The unique code for a non-standard account segment relevant to audit data.,Base,44,Customized Account Segment,BS11e_01,/BS12d/BS11e_01,/Customized Account Value/Customized Account Segment/Code
6218,1,C,,Customized Account Value Hierarchy,,,,A class establishes the hierarchical relationships among individual customized account values.,Base,46,Customized Account Value Hierarchy,BS13b,/BS13b,/Customized Account Value Hierarchy
6219,2,R,,(Child) Customized Account Value,,1..1,,The unique code representing a value within a customized account segment.,Base,46,(Child) Customized Account Value,BS12e,/BS13b/BS12e,/Customized Account Value Hierarchy/(Child) Customized Account Value
6220,3,A,REF,Code,Identifier,1..1,Identifier Medium,The unique code representing a value within a customized account segment.,Base,46,(Child) Customized Account Value,BS12e_01,/BS13b/BS12e_01,/Customized Account Value Hierarchy/(Child) Customized Account Value/Code
6221,2,R,,(Parent) Customized Account Value,,1..1,,The unique code representing a value within a customized account segment.,Base,46,(Parent) Customized Account Value,BS12f,/BS13b/BS12f,/Customized Account Value Hierarchy/(Parent) Customized Account Value
6222,3,A,REF,Code,Identifier,1..1,Identifier Medium,The unique code representing a value within a customized account segment.,Base,46,(Parent) Customized Account Value,BS12f_01,/BS13b/BS12f_01,/Customized Account Value Hierarchy/(Parent) Customized Account Value/Code
6223,1,C,,Profile,,,,"A class contains information on industry standards and software versions, profiling data such as fiscal years, developers, software names and versions, functional currencies, standards, and extraction dates.",Base,48,Profile,BS20b,/BS20b,/Profile
6224,2,A,PK,Number,Identifier,1..1,Identifier Short,The unique number identifying a data collection instance.,Base,48,Profile,BS20b_01,/BS20b/BS20b_01,/Profile/Number
6225,2,A,,Name,Name,0..1,Name Short,The title of a specific data collection profile.,Base,48,Profile,BS20b_02,/BS20b/BS20b_02,/Profile/Name
