sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local,xpath
210,2,Attribute,,Serial Lot,Code,0..1,Char,,,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the tuple, neither is assumed.",gl-ehm,0,EH02_01,シリアルロットコード,このアイテムはシリアル番号またはロット番号で追跡されていますか？シリアル番号は通常、単一に割り当てられた一意の番号です。アイテムのバッチがファンジブルであるが、他のバッチの同様のアイテムと区別する必要がある場合は、ロット番号またはバッチ番号が提供されます。シリアルまたはロットアイテムの列挙型インジケーター。列挙は、シリアル、ロット、その他、どちらでもありません。タプルに含まれていない場合、どちらも想定されません。,gl-ehm:serialLotCode
211,2,Attribute,,Serial Lot,Description,0..1,Text,,,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,gl-ehm,0,EH02_02,シリアルロットの説明,gl-ehm：serialLotCodeに関連付けられた自由形式の説明。特殊化を提供し、特にserialLotCode内の他の列挙値を明確にします。例としては、「バッチ」や「グループ」などがあります。,gl-ehm:serialLotDescription
212,2,Attribute,,Serial Lot,Number,0..1,Char,,,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,gl-ehm,0,EH02_03,シリアルロット番号,アイテムまたはアイテムのバッチに割り当てられた実際のシリアル番号またはロット（バッチ）番号/コードの所有者。,gl-ehm:serialLotNumber
213,2,Attribute,,Serial Lot,Next Number,0..1,Char,,,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",gl-ehm,0,EH02_04,次のシリアルロット番号,将来の割り当てに与えられる次の予想されるシリアル番号またはロット番号を保持するためのフィールド、またはすでに割り当てられたアイテム間のチェーンのためのフィールド。,gl-ehm:nextSerialLotNumber
214,2,Attribute,,Serial Lot,Origination,0..1,Date,,,Date of manufacture or creation.,gl-ehm,0,EH02_05,シリアルロットオリジネーション,製造日または作成日。,gl-ehm:serialLotOrigination
215,2,Attribute,,Serial Lot,Expiration,0..1,Date,,,Expiration date of the batch.,gl-ehm,0,EH02_06,シリアルロットの有効期限,バッチの有効期限。,gl-ehm:serialLotExpiration
216,2,Attribute,,Serial Lot,Manufacturer,0..1,Name,,,Manufacturer of the item (serial) or items (lot/batch).,gl-ehm,0,EH02_07,シリアルロットメーカー,アイテム（シリアル）またはアイテム（ロット/バッチ）のメーカー。,gl-ehm:serialLotManufacturer
217,2,Attribute,,Serial Lot,Batch Description,0..1,Text,,,A name or description of the items in the lot or batch.,gl-ehm,0,EH02_08,シリアルロットバッチの説明,ロットまたはバッチ内のアイテムの名前または説明。,gl-ehm:serialLotBatchDescription
218,2,Attribute,,Serial Lot,Comment,0..1,Text,,,Free format text related to the serial number or lot.,gl-ehm,0,EH02_09,シリアルロットコメント,シリアル番号またはロットに関連するフリーフォーマットのテキスト。,gl-ehm:serialLotComment
219,2,Composition,,Serial Lot,,0..1,,,Quantity,The quantity of units in this particular batch. Unit of measure is the gl-gl-bus:measurableUnitofMeasure.,gl-ehm,0,EH02_10,シリアルロット数量,この特定のバッチのユニット数。測定単位はgl-gl-bus：measurableUnitofMeasureです。,
220,2,Composition,,Serial Lot,Original,0..1,,,Quantity,The quantity of units in this batch on inception.,gl-ehm,0,EH02_11,シリアルロット元の数量,開始時のこのバッチのユニット数。,
221,2,Composition,,Serial Lot,Remaining,0..1,,,Quantity,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,gl-ehm,0,EH02_12,シリアルロット残量,元のバッチの残りのユニット数。このバッチの数量と同じであるか、同じ元のバッチの他のバッチが含まれている可能性があります。,
222,2,Composition,,Serial Lot,,0..1,,,Warranty,warranty covering the items.,gl-ehm,0,EH02_13,保証,アイテムの保証,
223,1,Class,,Measurable,,,,,,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-bus,0,BU12,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,gl-bus:measurable
224,2,Attribute,,Measurable,Code,0..1,Char,,,"Code for measurable item including BP - gl-business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",gl-bus,0,BU12_01,計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他
[設定値のリスト]
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)",gl-bus:measurableCode
225,2,Attribute,,Measurable,Code Description,0..1,Text,,,Free format description of the measurable code,gl-bus,0,BU12_02,計測可能物コード説明,計測可能物のコードの説明。,gl-bus:measurableCodeDescription
226,2,Attribute,,Measurable,Measurable Category,0..1,Char,,,Category of the measurable,gl-bus,0,BU12_03,計測可能物カテゴリ,計測可能物のカテゴリ。,gl-bus:measurableCategory
227,2,Attribute,,Measurable,Measurable Identification,0..1,Char,,,Internal inventory part or SKU number or other code identifier for the measurable.,gl-bus,0,BU12_04,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,gl-bus:measurableID
228,2,Attribute,,Measurable,Schema for Measurable Identification,0..1,Char,,,URI or other identifier for schema with which measurable ID can be validated,gl-bus,0,BU12_05,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,gl-bus:measurableIDSchema
229,2,Attribute,,Measurable,Secondary Measurable Identifier,0..1,Char,,,Second identifier (such as vendor's item number),gl-bus,0,BU12_06,計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,gl-bus:measurableIDOther
230,2,Attribute,,Measurable,Schema for Secondary Measurable Identification,0..1,Char,,,URI or other identifier for schema with which measurable ID Other can be validated,gl-bus,0,BU12_07,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,gl-bus:measurableIDOtherSchema
231,2,Attribute,,Measurable,Measurable Description,0..1,Text,,,Text description of measurable (e.g. inventory item or other identifier),gl-bus,0,BU12_08,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）,gl-bus:measurableDescription
232,2,Composition,,Measurable,,0..1,,,Quantity,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",gl-bus,0,BU12_09,数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。,
233,2,Attribute,,Measurable,Qualifier,0..1,Char,,,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Sgl-corecard information",gl-bus,0,BU12_10,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。,gl-bus:measurableQualifier
234,2,Composition,,Measurable,,0..1,,,Unit Price,"Per unit price of the measurable. Although one might expect that Quantity * Cost Per Unit = amount, this is not mandated except by external rules sets.",gl-bus,0,BU12_11,単価,計測可能物の単価。measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。,
235,2,Attribute,,Measurable,Start Time,0..1,DateTime,,,Start time of the duration being measured,gl-bus,0,BU12_12,開始日時,計量期間の開始時刻。,gl-bus:measurableStartDateTime
236,2,Attribute,,Measurable,End Time,0..1,DateTime,,,End time of the duration being measured,gl-bus,0,BU12_13,終了日時,計量期間の終了時刻。,gl-bus:measurableEndDateTime
237,2,Attribute,,Measurable,Active,0..1,Boolean,,,"Boolean to indicate whether the measurable is active (=""true"") or inactive (=""false"")",gl-bus,0,BU12_14,計測可能物有効性,計測可能物が有効か無効かを示すブール値。,
238,2,Attribute,,Measurable,Measurable Class ID,0..1,Char,,,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",gl-bus,0,BU12_EH12_15,測定可能なクラスID,在庫、固定資産、またはその他の測定可能なクラスを識別するための列挙されたコード。列挙：原材料、仕掛品、完成品、組立品、消耗品、土地、建物、機械、家具、車両、その他。,gl-ehm:measurableClassID
239,2,Attribute,,Measurable,Measurable Class Description,0..1,Text,,,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,gl-bus,0,BU12_EH12_16,測定可能なクラスの説明,gl-ehm：measurableClassIDに関連付けられた自由形式の説明で、他の列挙値の特殊化または明確化を提供します。,gl-ehm:measurableClassDescription
240,2,Attribute,,Measurable,Costing Method Code,0..1,Char,,,"An enumerated code for the inventory (or other measurable) costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other.",gl-bus,0,BU12_EH12_17,原価計算方法コード,在庫（または他の測定可能な）原価計算方法の列挙されたコード。列挙：LIFO、FIFO、平均、加重平均、標準コスト、税ベース、帳簿ベース、その他。,gl-ehm:costingMethodCode
241,2,Attribute,,Measurable,Costing Method Description,0..1,Text,,,Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.,gl-bus,0,BU12_EH12_18,原価計算方法の説明,gl-ehm：costingMethodCodeに関連付けられた自由形式の説明。他の列挙値の明確化を専門化します。,gl-ehm:costingMethodDescription
242,2,Attribute,,Measurable,Geospatial Coordinate,0..1,Char,,,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",gl-bus,0,BU12_EH12_19,地理空間座標,"このアイテムに関連する場所を入力します。形式は次のいずれかになります。
-度、分、秒（DMS）：41°24'12.2""N2°10'26.5""E
-度と小数分（DMM）：41 24.2028、2 10.4418
-10度（DD）：41.40338、2.17403",gl-ehm:geospatialCoordinate
243,2,Composition,,Measurable,,0..*,,,Serial Lot,"Tuple for holding information about serial numbers or lots (batches). As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-gl-cor:measurable structure.",gl-bus,0,BU12_EH12_20,シリアルロット,シリアル番号またはロット（バッチ）に関する情報を保持するためのタプル。タプルとして、これにより、単一のgl-gl-cor：measurable構造内で複数のシリアル番号または複数のロット番号のバッチが許可されます。,gl-ehm:serialLot
244,1,Class,,Job,,,,,,"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one.",gl-bus,0,BU13,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,gl-bus:jobInfo
245,2,Attribute,,Job,Job Identifier,0..1,Char,,,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",gl-bus,0,BU13_UK13_01,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。,gl-usk:jobCode
246,2,Attribute,,Job,Job Description,0..1,Text,,,Description of job,gl-bus,0,BU13_UK13_02,ジョブ説明,ジョブの説明。,gl-usk:jobDescription
247,2,Attribute,,Job,Job Phase,0..1,Char,,,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the gl-core only reaches down from job to phases, this can be customized to extend down to cost codes.",gl-bus,0,BU13_UK13_03,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。,gl-usk:jobPhaseCode
248,2,Attribute,,Job,Job Phase Description,0..1,Text,,,"Description of Job code, phase, activity",gl-bus,0,BU13_UK13_04,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。,gl-usk:jobPhaseDescription
249,2,Attribute,,Job,Active,0..1,Boolean,,,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",gl-bus,0,BU13_UK13_05,ジョブ有効性,ジョブが有効か無効かを示すブール値。,
250,1,Class,,Depreciation Mortgage,,,,,,"Parent for information related to depreciation, mortgages, etc.",gl-bus,0,BU14,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,gl-bus:depreciationMortgage
251,2,Attribute,,Depreciation Mortgage,Mortgage Jurisdiction,0..1,Name,,,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier",gl-bus,0,BU14_01,抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。
[設定値のリスト]
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)",gl-bus:dmJurisdiction
252,2,Attribute,,Depreciation Mortgage,Depreciation Method,0..1,Char,,,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",gl-bus,0,BU14_02,減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。,gl-bus:dmMethodType
253,2,Attribute,,Depreciation Mortgage,Mortgage Life,0..1,Decimal,,,Length of life in number of periods.,gl-bus,0,BU14_03,抵当債務期間,存在する期間数。,gl-bus:dmLifeLength
254,2,Attribute,,Depreciation Mortgage,Description,0..1,Text,,,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,0,BU14_04,債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。,gl-bus:dmComment
255,2,Attribute,,Depreciation Mortgage,Start Date,0..1,Date,,,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,0,BU14_05,開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。,gl-bus:dmStartDate
256,2,Attribute,,Depreciation Mortgage,End Date,0..1,Date,,,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,0,BU14_06,終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。,gl-bus:dmEndDate
257,2,Composition,,Depreciation Mortgage,,0..1,,,Amount,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",gl-bus,0,BU14_07,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。,
258,1,Class,,Tax,,,,,,Tuple for holding tax related information,gl-cor,0,CO09,【税情報】,税関連の情報のタプル。,gl-cor:taxes
259,2,Attribute,,Tax,Tax Authority,0..1,Char,,,Name of the relevant tax authority,gl-cor,0,CO09_01,課税庁,関係する課税庁の名前。,gl-cor:taxAuthority
260,2,Attribute,,Tax,Tax Table Code,0..1,Char,,,Tax table code used by the relevant tax authority,gl-cor,0,CO09_02,税率表コード,関係する課税庁で使用される税率表のコード。,gl-cor:taxTableCode
261,2,Attribute,,Tax,Tax Description,0..1,Text,,,Description of tax authority,gl-cor,0,CO09_03,課税庁説明,課税庁の説明。,gl-cor:taxDescription
262,2,Composition,,Tax,Tax,0..1,,,Amount,Amount of taxes,gl-cor,0,CO09_04,税額,税額。,
263,2,Composition,,Tax,Taxable,0..1,,,Amount,Basis for taxation,gl-cor,0,CO09_05,課税基準,課税基準。,
265,2,Attribute,,Tax,Tax Percentage Rate,0..1,Decimal,,,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,gl-cor,0,CO09_07,税率,VAT(物品税)またはその他の税のパーセント比率。0から1.0の間の値。たとえば50%は0.5とあらわす。,gl-cor:taxPercentageRate
266,2,Attribute,,Tax,Tax Category,0..1,Char,,,A class or category of taxes,gl-cor,0,CO09_08,税区分,税のクラス又はカテゴリ。,gl-cor:taxCode
267,2,Attribute,,Tax,Tax Comment/Exemption Reason,0..1,Text,,,Additional text/code for exemption reasons or other comments.,gl-cor,0,CO09_09,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,gl-cor:taxCommentExemption
268,2,Composition,,Tax,,0..1,,,Multicurrency Amount,,gl-cor,0,CO09_MC09_10,税,税,
269,1,Class,,Originating Document,,,,,,"A tool to capture the flow of related documents in the gl-business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents.",gl-taf,0,TA01,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,
270,2,Attribute,PK,Originating Document,Number,0..1,Identifier,,,Originating document number,gl-taf,0,TA01_01,発生元文書番号,発生元文書の番号。,gl-cor:documentNumber
271,2,Attribute,,Originating Document,Type,0..1,Char,,,"Originating document type - order, acknowledgement, confirmation, shipment, delivery/receipt, invoice, payment, etc.",gl-taf,0,TA01_02,発生元文書種別,発生元文書の種別。発注、通知、確認、出荷、配送/受領、請求、支払、など。,gl-taf:originatingDocumentType
272,2,Attribute,,Originating Document,Date,0..1,Date,,,Originating document date,gl-taf,0,TA01_03,発生元文書日付,発生元文書の日付。,gl-taf:originatingDocumentDate
273,2,Attribute,,Originating Document,Identifier Type,0..1,Char,,,"Originating document identifier type: e.g. Customer, Vendor, Employee, Other",gl-taf,0,TA01_04,発生元文書対象CVE種別,"発生元文書の対象となるCVEの種別。例えば、顧客、仕入先、従業員、その他。
[設定値のリスト]
(C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者) ",gl-taf:originatingDocumentIdentifierType
274,2,Attribute,,Originating Document,Identifier Code,0..1,Char,,,Originating document identifier code,gl-taf,0,TA01_05,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。,gl-taf:originatingDocumentIdentifierCode
275,2,Attribute,,Originating Document,Identifier Tax Code,0..1,Char,,,Originating document identifier tax code,gl-taf,0,TA01_06,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。,gl-taf:originatingDocumentIdentifierTaxCode
276,1,Class,,Entry Detail,,,,,,Parent for entry detail,gl-cor,0,CO10,【仕訳明細】,仕訳明細の親タグ。,gl-cor:entryDetail
277,2,Attribute,,Entry Detail,Line Number,0..1,Char,,,Identifier for a particular entry detail,gl-cor,0,CO10_01,明細行番号,仕訳明細の識別子。,gl-cor:lineNumber
278,2,Attribute,,Entry Detail,Line Number Counter,0..1,Char,,,Unique reference for the line - a numeric counter,gl-cor,0,CO10_02,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,gl-cor:lineNumberCounter
279,2,Composition,,Entry Detail,,0..1,,,Amount,"This field (amount) represents the primary monetary amount related to the  subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number (either positive or negative itself) and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present.",gl-cor,0,CO10_03,金額,entryDetailの代表的な金額を示す。entryDetailごとにひとつの値を持つ。たとえば、仕訳帳の行、残高、請求書の行の金額。明細が会計業務用でなく、measurableQuantityなどの他の要素が設定されている場合は不要。符号付数値であり、金額を解釈するために用意されたsignOfAmountおよびdebitCreditCodeとあわせて使用される。通貨単位はamountCurrencyで決定される。amountCurrencyが指定されない場合は、既定または自国の通貨単位となる。,
280,2,Attribute,,Entry Detail,Original Exchange Rate Date,0..1,Date,,,Date of exchange rate used to regl-cord the original transaction.,gl-cor,0,CO10_MC10_04,原取引通貨換算レート日付,原取引の記録に使われた通貨換算レートの日付。,gl-muc:amountOriginalExchangeRateDate
281,2,Composition,,Entry Detail,Original Currency,0..1,,,Amount,"Amount in original (as opposed to home) currency, for multi-currency tracking.",gl-cor,0,CO10_MC10_05,原取引通貨換算額,多通貨取引のための、(自国通貨に対する)原取引通貨での金額。,
282,2,Attribute,,Entry Detail,Sign Indication for Amount,0..1,Char,,,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for gl-correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,gl-cor,0,CO10_06,金額符号,"金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。
[設定値のリスト]
(+)、(-)、(plus：プラス)、(minus：マイナス) ",gl-cor:signOfAmount
283,2,Attribute,,Entry Detail,Debit/Credit Identifier,0..1,Char,,,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",gl-cor,0,CO10_07,貸借区分コード,"金額が借方か貸方か不定かを示す識別子。
[設定値のリスト]
(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定) ",gl-cor:debitCreditCode
284,2,Attribute,,Entry Detail,Posting Date,0..1,Date,,,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",gl-cor,0,CO10_08,転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,gl-cor:postingDate
285,2,Attribute,,Entry Detail,Memo Line,0..1,Char,,,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,gl-cor,0,CO10_BU10_09,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,gl-bus:amountMemo
286,2,Attribute,,Entry Detail,Allocation Code,0..1,Char,,,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-cor,0,CO10_BU10_10,配分コード,計算方式に関するコード。例えば、(D)期間数で分割、(T)与えられた期間の合計。,gl-bus:budgetAllocationCode
287,2,Attribute,,Entry Detail,Document Type,0..1,Char,,,"An enumerated field describing the original source document, with invoice, voucher, check and other enumerated entries",gl-cor,0,CO10_11,元文書種別,"顧客への請求書、ベンダからの請求書、小切手、その他の列挙値による、元文書の説明。
[設定値のリスト]
(check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他)",gl-cor:entriesType
288,2,Attribute,,Entry Detail,Document Type Description,0..1,Text,,,Free format description of the document type,gl-cor,0,CO10_12,元文書種別説明,元文書の種別の説明。,gl-cor:documentTypeDescription
289,2,Attribute,,Entry Detail,Invoice Type,0..1,Char,,,"Invoice Type  (self-billed, ePoS enumerated values)",gl-cor,0,CO10_13,請求書種別,"請求書の種別。(self-billed、ePoS)
[設定値のリスト]
(ePos：POSシステムからの発行)、(self-billed：買い手が発行)",gl-cor:invoiceType
290,2,Attribute,,Entry Detail,Document Date,0..1,Date,,,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",gl-cor,0,CO10_14,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,gl-cor:documentDate
291,2,Attribute,,Entry Detail,Received Date,0..1,Date,,,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,gl-cor,0,CO10_BU10_15,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,gl-bus:documentReceivedDate
292,2,Attribute,,Entry Detail,Chargeable or Reimbursable,0..1,Char,,,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",gl-cor,0,CO10_BU10_16,請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。,gl-bus:documentChargeReimb
293,2,Attribute,,Entry Detail,Payment Method,0..1,Text,,,Method used or to be used to make the payment,gl-cor,0,CO10_BU10_17,支払方法,支払いのために使用された、または使用される方法。,gl-bus:paymentMethod
294,2,Attribute,,Entry Detail,Posting Status,0..1,Char,,,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
nother:other status - should be described in postingStatusDescription",gl-cor,0,CO10_18,転記状態,"・据置：入力されたが、まだ転記できない。
・転記済：転記済み。
・提案済：検証が必要な項目。
・シミュレーション：仮定のためにシミュレートされた項目。
・税：税項目。
・未転記：入力されたが、まだ検証も転記もされていない。
・取消済：入力されたが、取り消された。
・その他：その他の状態。postingStatusDescriptionで説明されるべき。
[設定値のリスト]
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)",gl-cor:postingStatus
295,2,Attribute,,Entry Detail,Posting Status Description,0..1,Text,,,Free format description of the posting status,gl-cor,0,CO10_19,転記状態説明,転記状態の説明。,gl-cor:postingStatusDescription
296,2,Attribute,,Entry Detail,Description,0..1,Text,,,Description of this line of detail only,gl-cor,0,CO10_20,説明,この明細行のみに対する説明。,gl-cor:detailComment
297,2,Attribute,,Entry Detail,Acknowledgement Date,0..1,Date,,,Date of acknowledgement of goods/services shipped/received.,gl-cor,0,CO10_21,承認日付,出荷/受領済みの物品/サービスを承認した日付。,gl-cor:dateAcknowledged
298,2,Attribute,,Entry Detail,Confirmation Date,0..1,Date,,,Date of confirmation of shipment/receipt.,gl-cor,0,CO10_22,確認日付,出荷/受領を確認した日付。,gl-cor:confirmedDate
299,2,Attribute,,Entry Detail,Ship From,0..1,Name,,,References organizationAddressLocationIdentifier where used. Otherwise freeform.,gl-cor,0,CO10_23,出荷元,organizationAddressLocationIdentifierの参照情報。または自由記述。,gl-cor:shipFrom
300,2,Attribute,,Entry Detail,Date Shipped/Received,0..1,Date,,,Date goods/services are shipped/received.,gl-cor,0,CO10_24,出荷/受領日付,物品/サービスを出荷/受領した日付。,gl-cor:shipReceivedDate
301,2,Attribute,,Entry Detail,Maturity Date or Date Due,0..1,Date,,,Due date or other maturity date.,gl-cor,0,CO10_25,支払期日,支払期日やその他の期日。,gl-cor:maturityDate
