Klassifikaatori elementide täielik loetelu. Viimati uuendatud seisuga 11.2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
B60504,B605,4,1,ProkS § 49 distsiplinaarsüütegu,"Disciplinary offence, § 49 of Prosecutor's Office Act","Дисциплинарный проступок, ст.49 (ProkS)","ProkS § 49. Teenistusest vabastamine distsiplinaarsüüteo eest
Distsiplinaarsüüteo eest vabastatakse prokurör teenistusest käesoleva seaduse 5. jaos sätestatud korras.
","§ 49 of the Prosecutor's Office Act. Release from service for disciplinary offence
A prosecutor shall be released from service for a disciplinary offence pursuant to the procedure provided for in Subchapter 5 of this Act.","Статья 49 Закона о прокуратуре. Освобождение от службы за совершение дисциплинарного проступка
Прокурора освобождают от службы за совершение дисциплинарного проступка в порядке, установленном разделом 5 настоящего Закона.
",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60505,B605,4,1,ProkS § 50 lg 4 ametiaja lõppemine ,"Expiry of term of office, § 50 (4) of Prosecutor's Office Act","Окончание срока службы, ч.4 ст.50 (ProkS)","ProkS§ 50. Riigi peaprokuröri ning juhtivprokuröri ametist vabastamine ametiaja lõppemise tõttu 
(4) Kui riigi peaprokurör või juhtivprokurör ei ole nõus käesoleva paragrahvi lõikes 1 sätestatud ametikohale nimetamisega või puudub vaba ametikoht, vabastatakse ta teenistusest.","§ 50 of the Prosecutor's Office Act. Release of Prosecutor General or chief prosecutor from service due to expiry of term of office
(4) If the Prosecutor General or a chief prosecutor does not consent to be appointed to a position provided for in subsection (1) of this section or if there is no vacant position, he or she shall be released from service.","Статья 50 Закона о прокуратуре. Освобождение от должности генерального прокурора государства и ведущих прокуроров в связи с истечением срока полномочий 
(4) В случае несогласия генерального прокурора государства или ведущего прокурора с назначением на должность, указанную в части 1 настоящей статьи, или отсутствия вакантной должности он освобождается от службы.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B606,B6,3,0,Vangistusseadus (VangS),Imprisonment Act,Закон о тюремном заключении (VangS),,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
B60601,B606,4,1,VangS § 152 lg 1 vanuse tõttu,"Due to age, § 152 (1) of Imprisonment Act","По возрасту, ч.1 ст.152 (VangS)","VangS § 152. Teenistusest vabastamine vanuse tõttu 
(1) Käesoleva seaduse § 112 lõike 1 punktis 1 nimetatud ametiastmel olev vanglaametnik vabastatakse teenistusest vanglaametnikuna üldise pensioniea saabumisel. Käesoleva seaduse § 112 lõike 1 punktides 2 ja 3 nimetatud ametiastmel olev vanglaametnik vabastatakse teenistusest vanglaametnikuna, kui ta on saanud 60 aastaseks. Käesoleva seaduse § 112 lõikes 1 punktides 4 ja 5 nimetatud vanglaametnik vabastatakse teenistusest vanglaametnikuna, kui ta on saanud 58 aastaseks.","§ 152 of the Imprisonment Act. Release from service due to age
(1) Prison officers who serve in the official rank specified in clause 1 of subsection 1 of § 112 of this Act shall be released from service as prison officers when they attain the general pensionable age. Prison officers who serve in the official ranks specified in clauses 2 and 3 of subsection 1 of § 112 of this Act shall be released from service as a prison officer when they attain 60 years of age. Prison officers specified in clauses 4 and 5 of sebsection 1 of § 112 of this Act shall be released from service as a prison officer when they attain 58 years of age.","Статья 152 Закона о тюремном заключении. Освобождение со службы по возрасту 
(1) Тюремные чиновники, имеющие классный чин, указанный в пункте 1 части 1 статьи 112 настоящего Закона, освобождаются со службы в качестве тюремного чиновника по достижении ими общего пенсионного возраста. Тюремные чиновники, имеющие классные чины, указанные в пунктах 2 и 3 части 1 статьи 112 настоящего Закона, освобождаются со службы в качестве тюремного чиновника по достижении ими возраста 60 лет. Тюремные чиновники, имеющие классные чины, указанные в пунктах 4 и 5 части 1 статьи 112 настоящего Закона, освобождаются со службы в качестве тюремного чиновника по достижении ими возраста 58 лет.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60603,B606,4,1,VangS § 154 lg 2 ettevalmistusteenistuse mitteläbimine,"Failure to complete preparatory service, § 154 (2) of Imprisonment Act","Не пройдена подготовительная служба, ч.2 ст.154 (VangS)","Vangs § 154. Teenistusest vabastamine ettenägematute asjaolude ilmnemise ja ametiastmele mittevastavuse tõttu 
(2) Vanglaametnik vabastatakse ametikohale mittevastavuse tõttu teenistusest, kui ta ei ole ettenähtud tähtaja jooksul läbinud ametisse nimetamise tingimuseks olnud ettevalmistusteenistust.","§ 154 of the Imprisonment Act. Release from service upon occurrence of unforeseen circumstances and unsuitability for position or official rank
(2) A prison officer shall be released from service due to unsuitability for position if he or she fails to complete the preparatory service which was the condition for appointment to office during the prescribed term.","Статья 154 Закона о тюремном заключении. Освобождение от службы в связи с возникновением непредвиденных обстоятельств и вследствие несоответствия классному чину
(2) Тюремный чиновник освобождается от службы вследствие несоответствия должности, если он не прошел в течение предусмотренного срока подготовительную службу, являвшуюся условием назначения на должность.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60604,B606,4,1,VangS § 154 lg 1 ettenägematute asjaolude ilmnemine,"Occurrence of unforeseen circumstances, § 154 (1) of Imprisonment Act","Непредвиденные обстоятельства, ч.1 ст.154 (VangS)","Vangs § 154. Teenistusest vabastamine ettenägematute asjaolude ilmnemise ja ametiastmele mittevastavuse tõttu  
(1) Vanglaametnik vabastatakse ettenägematute asjaolude ilmnemise tõttu teenistusest avaliku teenistuse seaduse §-s 92 sätestatud tingimustel ja korras.","§ 154 of the Imprisonment Act. Release from service upon occurrence of unforeseen circumstances and unsuitability for position or official rank
(1) Prison officers are released from service due to occurrence of unforeseen circumstances under the conditions and pursuant to the procedure provided for in § 92 of the Public Service Act.","Статья 154 Закона о тюремном заключении. Освобождение от службы в связи с возникновением непредвиденных обстоятельств и вследствие несоответствия классному чину  
(1) Тюремный чиновник освобождается от службы в связи с возникновением непредвиденных обстоятельств на условиях и в порядке, установленных статьей 92 Закона о публичной службе.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60605,B606,4,1,VangS § 153 ametivande andmisest keeldumine,"Refusal to take oath of office, § 153 of Imprisonment Act","Отказ от принесения должностной присяги, ст.153 (VangS)","VangS § 153. Teenistusest vabastamine ametivande andmisest keeldumise tõttu
Vanglaametnik, kes keeldub ametivande andmisest, vabastatakse teenistusest vande andmisest keeldumise päeval.
","§ 153 of the Imprisonment Act. Release from service due to refusal to take oath of office
A prison officer who refuses to take the oath of office shall be released from service on the date of his or her refusal to take the oath.","Статья 153 Закона о тюремном заключении. Освобождение со службы в связи с отказом от принесения должностной присяги
Тюремный чиновник, отказавшийся от принесения должностной присяги, освобождается со службы в день отказа от принесения присяги.
",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60607,B606,4,1,VangS § 128 lg 1 p 1 üleviimine omal soovil,"Transfer on proposal of a prison officer, § 128 (1) 1) of Imprisonment Act","Перевод по собственному желанию, п.1 ч.1 ст.128 (VangS)","VangS § 128. Vanglaametniku üleviimine
(1) Vanglaametnikku võib ühelt ametikohalt teisele üle viia:
1)  vanglaametniku ettepanekul ","§ 128 of the Imprisonment Act. Transfer of prison officers
(1) A prison officer may be transferred to another position in the following cases:
1) on proposal of a prison officer;","Статья 128 Закона о тюремном заключении. Перевод тюремного чиновника
(1) Тюремный чиновник может быть переведен с одной должности на другую:
1) по предложению тюремного чиновника",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60608,B606,4,1,VangS § 128 lg 1 p 2 üleviimine õigust omava isiku algatusel,"Transfer on initiative of a person who has the authority to transfer prison officers, § 128 (1) 2) of Imprisonment Act","Перевод по инициативе лица, обладающего правом перевода, п.2 ч.1 ст.128 (VangS)","VangS § 128. Vanglaametniku üleviimine
(1) Vanglaametnikku võib ühelt ametikohalt teisele üle viia
2) vanglaametniku üleviimise õigust omava isiku algatusel","§ 128 of the Imprisonment Act. Transfer of prison officers
(1) A prison officer may be transferred to another position in the following cases:
2) on initiative of a person who has the authority to transfer prison officers to other positions.","Статья 128 Закона о тюремном заключении. Перевод тюремного чиновника
(1) Тюремный чиновник может быть переведен с одной должности на другую:
2) по инициативе лица, обладающего правом перевода тюремного чиновника.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60609,B606,4,1,VangS § 129 lg 1  tähtajaline üleviimine teise riigiasutusse,"Transfer to another state agency for fixed term, § 129 (1) of Imprisonment Act","Перевод на государственную службу на другую должность, ч.1 ст. 129 (VangS)","VangS § 129. Vanglaametniku üleviimine muule ametikohale riigiasutuses
(1) Vanglaametniku võib tema nõusolekul üle viia riigiteenistusse muule ametikohale, mis ei kuulu vanglateenistusse.","§ 129 of the Imprisonment Act. Transfer of prison officer to other positions in state agencies
(1) A prison officer may be transferred with his or her consent to other positions of state service which do not belong to prison service.","Статья 129 Закона о тюремном заключении. Перевод тюремного чиновника на другую должность в государственном учреждении
(1) Тюремный чиновник может быть переведен с его согласия на государственную службу на другую должность, которая не относится к тюремной службе.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B607,B6,3,0,Õiguskantsleri seadus (ÕKS),Chancellor of Justice Act,Закон о канцлере юстиции (ÕKS),,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
B60701,B607,4,1,ÕKS § 8 p 1 tähtaja möödumine,"Expiry of term, § 8 1) of Chancellor of Justice Act","Истечение срока, п.1 ст.8 (ÕKS)","ÕKS § 8. Õiguskantsleri volituste lõppemine
Õiguskantsleri volitused loetakse lõppenuks:
1) käesoleva seaduse §-s 5 tähendatud seitsmeaastase tähtaja möödumise päevast;","§ 8 of the Chancellor of Justice Act. Termination of mandate of Chancellor of Justice
The mandate of the Chancellor of Justice is deemed to be terminated:
1) as of the date of expiry of the seven-year term referred to in § 5 of this Act;","Статья 8 Закона о канцлере юстиции. Прекращение полномочий канцлера юстиции 
Полномочия канцлера юстиции считаются прекращенными:
1) со дня истечения, указанного в статье 5 настоящего Закона, семилетнего срока;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60702,B607,4,1,ÕKS § 8 p 2 tagasiastumine,"Resignation, § 8 2) of Chancellor of Justice Act","Отставка, п.2 ст.8 (ÕKS)","ÕKS § 8. Õiguskantsleri volituste lõppemine
Õiguskantsleri volitused loetakse lõppenuks:
2) tema ametist tagasiastumise päevast;","§ 8 of the Chancellor of Justice Act. Termination of mandate of Chancellor of Justice
The mandate of the Chancellor of Justice is deemed to be terminated:
2) as of the date of their resignation from office;","Статья 8 Закона о канцлере юстиции.  Прекращение полномочий канцлера юстиции 
Полномочия канцлера юстиции считаются прекращенными:
2) со дня ухода его в отставку;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60703,B607,4,1,ÕKS § 8 p 3 kestev töövõimetus ,"Extended inability to perform functions, § 8 3) of Chancellor of Justice Act","Постоянная нетрудоспособность, п.3 ст.8 (ÕKS)","ÕKS § 8. Õiguskantsleri volituste lõppemine
Õiguskantsleri volitused loetakse lõppenuks:
3) tema kestva võimetuse korral üle kuue kuu järjest täita oma ametiülesandeid – Riigikohtu üldkogu otsuse jõustumise päevast;","§ 8 of the Chancellor of Justice Act. Termination of mandate of Chancellor of Justice
The mandate of the Chancellor of Justice is deemed to be terminated:
3) as of the date of entry into force of a judgment of the Supreme Court en banc in the case of their permanent incapability to perform their duties for more than six consecutive months;","Статья 8 Закона о канцлере юстиции. Прекращение полномочий канцлера юстиции 
Полномочия канцлера юстиции считаются прекращенными:
3) в случае его стойкой неспособности исполнять свои служебные обязанности более шести месяцев подряд - со дня вступления в законную силу решения пленума Государственного суда;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60704,B607,4,1,ÕKS § 8 p 4  süüdimõistev kohtuotsus,"Judgment of conviction, § 8 4) of Chancellor of Justice Act","Обвинительный приговор суда, п.4 ст.8 (ÕKS)","ÕKS § 8. Õiguskantsleri volituste lõppemine
Õiguskantsleri volitused loetakse lõppenuks:
4) tahtlikult toimepandud kuriteo eest süüdi mõistva kohtuotsuse jõustumise päevast;
 ","§ 8 of the Chancellor of Justice Act. Termination of mandate of Chancellor of Justice
The mandate of the Chancellor of Justice is deemed to be terminated:
4) as of the date of entry into force of a judgment of conviction against them for an intentionally committed criminal offence;","Статья 8 Закона о канцлере юстиции. Прекращение полномочий канцлера юстиции 
Полномочия канцлера юстиции считаются прекращенными:
4) со дня вступления в законную силу обвинительного приговора в связи с умышленно совершенным преступлением;
 ",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60705,B607,4,1,ÕKS § 8 p 5 süüdimõistev kohtuotsus,"Judgment of conviction, § 8 5) of Chancellor of Justice Act","Обвинительный приговор суда, п.5 ст.8 (ÕKS)","ÕKS § 8. Õiguskantsleri volituste lõppemine
Õiguskantsleri volitused loetakse lõppenuks:
5) ettevaatamatuse tõttu toimepandud kuriteo eest süüdi mõistva kohtuotsuse, millega on ette nähtud vabaduskaotuslik karistus, jõustumise päevast;
","§ 8 of the Chancellor of Justice Act. Termination of mandate of Chancellor of Justice
The mandate of the Chancellor of Justice is deemed to be terminated:
5) as of the date of entry into force of a judgment of conviction against them which prescribes imprisonment for a criminal offence committed due to negligence;","Статья 8 Закона о канцлере юстиции. Прекращение полномочий канцлера юстиции 
Полномочия канцлера юстиции считаются прекращенными:
5) со дня вступления в законную силу обвинительного приговора, которым предусмотрено наказание в виде лишения свободы, в связи с преступлением, совершенным по неосторожности;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60706,B607,4,1,ÕKS § 8 p 6 õiguskantsleri surm,"Death of Chancellor of Justice, § 8 6) of Chancellor of Justice Act","Смерть канцлера юстиции, п.6 ст.8 (ÕKS)","ÕKS § 8. Õiguskantsleri volituste lõppemine
Õiguskantsleri volitused loetakse lõppenuks:
6) tema surma korral.","§ 8 of the Chancellor of Justice Act. Termination of mandate of Chancellor of Justice
The mandate of the Chancellor of Justice is deemed to be terminated:
6) upon their death.","Статья 8 Закона о канцлере юстиции. Прекращение полномочий канцлера юстиции 
Полномочия канцлера юстиции считаются прекращенными:
6) в случае его смерти.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60707,B607,4,1,ÕKS § 37 lg 3 p 1 tagasiastumisega,"Resignation, § 37 (3) 1) of Chancellor of Justice Act","Отставка, п.1 ч.3 ст.37 (ÕKS)","ÕKS § 37. Õiguskantsleri asetäitja-nõunik
(3) Õiguskantsleri nõunik vabastatakse õiguskantsleri asetäitja-nõuniku ametist:
1) tema ametist tagasiastumise päevast;
  ","§ 37 of the Chancellor of Justice Act. Deputy Chancellor of Justice-Adviser
(3) An adviser to the Chancellor of Justice is released from the office of the Deputy Chancellor of Justice-Adviser:
1) as of the date of their resignation from office;","Статья 37 Закона о канцлере юстиции. Заместители канцлера юстиции - советники
(3) Советник канцлера юстиции освобождается от должности заместителя канцлера юстиции - советника:
1) со дня ухода его в отставку;
  ",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60708,B607,4,1,ÕKS § 37 lg 3 p 2 kestev töövõimetus,"Extended inability to perform functions, § 37 (3) 2) of Chancellor of Justice Act","Постоянная нетрудоспособность, п.2 ч.3 ст.37 (ÕKS)","ÕKS § 37. Õiguskantsleri asetäitja-nõunik
(3) Õiguskantsleri nõunik vabastatakse õiguskantsleri asetäitja-nõuniku ametist:
2) kui ta on kestvalt üle kuue kuu järjest võimetu täitma oma ülesandeid, õiguskantsleri ettepanekul uue õiguskantsleri asetäitja-nõuniku ametisse astumise päevast;
 ","§ 37 of the Chancellor of Justice Act. Deputy Chancellor of Justice-Adviser
(3) An adviser to the Chancellor of Justice is released from the office of the Deputy Chancellor of Justice-Adviser:
2) in the case of their extended inability to perform their duties for more than six consecutive months, as of the date on which a new Deputy Chancellor of Justice-Adviser assumes office on the proposal of the Chancellor of Justice;","Статья 37 Закона о канцлере юстиции. Заместители канцлера юстиции - советники
(3) Советник канцлера юстиции освобождается от должности заместителя канцлера юстиции - советника:
2) в случае его стойкой неспособности исполнять свои обязанности более шести месяцев подряд со дня вступления в должность по предложению канцлера юстиции нового заместителя канцлера юстиции - советника;
 ",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60709,B607,4,1,ÕKS § 37 lg 3 p 3  uus nõunik,"New adviser, § 37 (3) 3) of Chancellor of Justice Act","Новый советник, п.3 ч.3 ст.37 (ÕKS)","ÕKS § 37. Õiguskantsleri asetäitja-nõunik
(3) Õiguskantsleri nõunik vabastatakse õiguskantsleri asetäitja-nõuniku ametist:
3) uue õiguskantsleri poolt esitatud uue õiguskantsleri asetäitja-nõuniku ametisse astumise päevast;
  ","§ 37 of the Chancellor of Justice Act. Deputy Chancellor of Justice-Adviser
(3) An adviser to the Chancellor of Justice is released from the office of the Deputy Chancellor of Justice-Adviser:
3) as of the date on which a new Deputy Chancellor of Justice-Adviser appointed by a new Chancellor of Justice assumes office;","Статья 37 Закона о канцлере юстиции. Заместители канцлера юстиции - советники
(3) Советник канцлера юстиции освобождается от должности заместителя канцлера юстиции - советника:
3) со дня вступления в должность нового заместителя канцлера юстиции - советника, представленного новым канцлером юстиции;
  ",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60710,B607,4,1,ÕKS § 37 lg 3 p 4  süüdimõistev kohtuotsus,"Judgment of conviction, § 37 (3) 4) of Chancellor of Justice Act","Обвинительный приговор суда, п.4 ч.3 ст.37 (ÕKS)","ÕKS § 37. Õiguskantsleri asetäitja-nõunik
(3) Õiguskantsleri nõunik vabastatakse õiguskantsleri asetäitja-nõuniku ametist:
4) tahtlikult toimepandud kuriteo eest süüdi mõistva kohtuotsuse jõustumise päevast;
  ","§ 37 of the Chancellor of Justice Act. Deputy Chancellor of Justice-Adviser
(3) An adviser to the Chancellor of Justice is released from the office of the Deputy Chancellor of Justice-Adviser:
4) as of the date of entry into force of a judgment of conviction against them for an intentionally committed criminal offence;","Статья 37 Закона о канцлере юстиции. Заместители канцлера юстиции - советники
(3) Советник канцлера юстиции освобождается от должности заместителя канцлера юстиции - советника:
4) со дня вступления в законную силу обвинительного приговора в связи с умышленно совершенным преступлением;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60711,B607,4,1,ÕKS § 37 lg 3 p 5 süüdimõistev kohtuotsus,"Judgment of conviction, § 37 (3) 5) of Chancellor of Justice Act","Обвинительный приговор суда, п.5 ч.3 ст.37 (ÕKS)","ÕKS § 37. Õiguskantsleri asetäitja-nõunik
(3) Õiguskantsleri nõunik vabastatakse õiguskantsleri asetäitja-nõuniku ametist:
5) ettevaatamatuse tõttu toimepandud kuriteo eest süüdi mõistva kohtuotsuse, millega on ette nähtud vabaduskaotuslik karistus, jõustumise päevast;
  ","§ 37 of the Chancellor of Justice Act. Deputy Chancellor of Justice-Adviser
(3) An adviser to the Chancellor of Justice is released from the office of the Deputy Chancellor of Justice-Adviser:
5) as of the date of entry into force of a judgment of conviction against them which prescribes imprisonment for a criminal offence committed due to negligence;","Статья 37 Закона о канцлере юстиции. Заместители канцлера юстиции - советники
(3) Советник канцлера юстиции освобождается от должности заместителя канцлера юстиции - советника:
5) со дня вступления в законную силу обвинительного приговора, предусматривающего наказание в виде лишения свободы, в связи с преступлением, совершенным по неосторожности;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60712,B607,4,1,ÕKS § 37 lg 3 p 6 asetäitja-nõuniku  surm,"Death of Deputy Chancellor of Justice-Adviser, § 37 (3) 6) of Chancellor of Justice Act","Смерть заместителя-советника, п.6 ч.3 ст.37 (ÕKS)","ÕKS § 37. Õiguskantsleri asetäitja-nõunik
(3) Õiguskantsleri nõunik vabastatakse õiguskantsleri asetäitja-nõuniku ametist:
6) tema surma korral.","§ 37 of the Chancellor of Justice Act. Deputy Chancellor of Justice-Adviser
(3) An adviser to the Chancellor of Justice is released from the office of the Deputy Chancellor of Justice-Adviser:
6) upon their death.","Статья 37 Закона о канцлере юстиции. Заместители канцлера юстиции - советники
(3) Советник канцлера юстиции освобождается от должности заместителя канцлера юстиции - советника:
6) в случае его смерти.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B608,B6,3,0,Riigikontrolli seadus (RKS),National Audit Office Act,Закон о государственном контроле (RKS),,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
B60801,B608,4,1,RKS § 21 p 1 tähtaja möödumine,"Expiry of term, § 21 1) of National Audit Office Act","По истечению срока службы, п.1 ст.21 (RKS)","RKS § 21. Riigikontrolöri volituste lõppemine
Riigikontrolöri volitused loetakse lõppenuks:
1) käesoleva seaduse §-s 17 nimetatud viieaastase tähtaja möödumise päevast;
","§ 21 of the National Audit Office Act. Termination of powers of Auditor General
The powers of the Auditor General are deemed to be terminated:
1) as of the date of expiry of the five-year term specified in § 17 of this Act;","Статья 21 Закона о государственном контроле. Прекращение полномочий государственного контролёра
Полномочия государственного контролёра считаются прекращёнными:
1) со дня истечения, указанного в статье 17 настоящего Закона, пятилетнего срока;
",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60802,B608,4,1,RKS § 21 p 2 tagasiastumine,"Resignation, § 21 2) of National Audit Office Act","Отставка, п.2 ст.21 (RKS)","RKS § 21. Riigikontrolöri volituste lõppemine
Riigikontrolöri volitused loetakse lõppenuks:
2) tema ametist tagasiastumise avalduse rahuldamise päevast;
  ","§ 21 of the National Audit Office Act. Termination of powers of Auditor General
The powers of the Auditor General are deemed to be terminated:
2) as of the date of acceptance of their letter of resignation;","Статья 21 Закона о государственном контроле. Прекращение полномочий государственного контролёра
Полномочия государственного контролёра считаются прекращёнными:
2) со дня удовлетворения его заявления об отставке;
  ",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60803,B608,4,1,RKS § 21 p 3 kestev töövõimetus,"Resignation, § 21 3) of National Audit Office Act","Постоянная нетрудоспособность, п.3 ст.21 (RKS)","RKS § 21. Riigikontrolöri volituste lõppemine
Riigikontrolöri volitused loetakse lõppenuks:
3) tema kestva võimetuse korral üle kuue kuu järjest täita oma ametiülesandeid – Riigikohtu üldkogu otsuse jõustumise päevast;
 ","§ 21 of the National Audit Office Act. Termination of powers of Auditor General
The powers of the Auditor General are deemed to be terminated:
3) as of the date of entry into force of a judgment of the Supreme Court en banc in the case of their extended incapacity to perform their duties for more than six consecutive months;","Статья 21 Закона о государственном контроле. Прекращение полномочий государственного контролёра
Полномочия государственного контролёра считаются прекращёнными:
3) в случае его стойкой неспособности исполнять свои служебные обязанности более шести месяцев подряд - со дня вступления в законную силу решения пленума Государственного суда;
 ",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60804,B608,4,1,RKS § 21 p 4 süüdimõistev kohtuotsus,"Judgment of conviction, § 21 4) of National Audit Office Act","Обвинительный приговор суда, п.4 ст.21 (RKS)","RKS § 21. Riigikontrolöri volituste lõppemine
Riigikontrolöri volitused loetakse lõppenuks:
4) tahtlikult toimepandud kuriteo eest süüdimõistva kohtuotsuse jõustumise päevast;
 ","§ 21 of the National Audit Office Act. Termination of powers of Auditor General
The powers of the Auditor General are deemed to be terminated:
4) as of the date of entry into force of a judgment of conviction for an intentionally committed criminal offence;","Статья 21 Закона о государственном контроле. Прекращение полномочий государственного контролёра
Полномочия государственного контролёра считаются прекращёнными:
4) со дня вступления в законную силу обвинительного приговора за умышленно совершенное преступление;
 ",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60805,B608,4,1,RKS § 21 p 5 süüdimõistev kohtuotsus,"Judgment of conviction, § 21 5) of National Audit Office Act","Обвинительный приговор суда, п.5 ст.21 (RKS)","RKS § 21. Riigikontrolöri volituste lõppemine
Riigikontrolöri volitused loetakse lõppenuks:
5) ettevaatamatuse tõttu toimepandud kuriteo eest süüdimõistva kohtuotsuse jõustumise päevast, kui selle kohtuotsusega on määratud vabaduskaotuslik karistus;
","§ 21 of the National Audit Office Act. Termination of powers of Auditor General
The powers of the Auditor General are deemed to be terminated:
5) as of the date of entry into force of a judgment of conviction which prescribes imprisonment for a criminal offence committed due to negligence;","Статья 21 Закона о государственном контроле. Прекращение полномочий государственного контролёра
Полномочия государственного контролёра считаются прекращёнными:
5) со дня вступления в законную силу обвинительного приговора за преступление, совершенное по неосторожности, которым назначено наказание в виде лишения свободы;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60806,B608,4,1,RKS § 21 p 6 riigikontrolöri surm,"Death of Auditor General, § 21 6) of National Audit Office Act","Смерть государственного контролёра, п.6 ст.21 (RKS)","RKS § 21. Riigikontrolöri volituste lõppemine
Riigikontrolöri volitused loetakse lõppenuks:
6) tema surma korral.","§ 21 of the National Audit Office Act. Termination of powers of Auditor General
The powers of the Auditor General are deemed to be terminated:
6) upon their death.","Статья 21 Закона о государственном контроле. Прекращение полномочий государственного контролёра
Полномочия государственного контролёра считаются прекращёнными:
6) в случае его смерти.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B609,B6,3,0,Vabariigi Presidendi töökorra seadus (VPTKS),President of the Republic Work Procedure Act,Закон о распорядке работы Президента Республики (VPTKS),,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
B60901,B609,4,1,VPTKS § 8 volituste lõppemine,"Expiration of the mandate, § 8 of President of the Republic Work Procedure Act","Прекращение полномочий, ст.8 (VPTKS)","VPTKS § 8. Vabariigi Presidendi volituste korraline lõppemine
(1) Vabariigi Presidendi volitused lõpevad korraliselt, kui ametisse astub järgmine Vabariigi President.
(2) Vastavalt põhiseaduse §-le 131 ei valita Vabariigi Presidenti ega lõpe tema volitused erakorralise ega sõjaseisukorra ajal, välja arvatud kestva võimetuse korral oma ülesandeid täita.","§ 8 of the Act on Rules Governing the Work of the President of the Republic. Regular expiration of the President’s mandate
(1) Regular expiration of the mandate of the President occurs when a new President is inaugurated.
(2) Under § 131 of the Constitution, the President may not be elected, and their mandate does not expire, during the state of emergency or the state of war, except where the President is incapable of performing their duties for an indeterminate period of time.","Статья 8 Закона о распорядке работы Президента Республики. Прекращение полномочий Президента Республики в установленный срок
(1) Полномочия Президента Республики прекращаются в установленный срок с вступлением в должность следующего Президента Республики.
(2) В соответствии со статьей 131 Конституции во время чрезвычайного или военного положения не проводятся выборы Президента Республики и не прекращаются его полномочия, за исключением его стойкой неспособности исполнять свои обязанности.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60902,B609,4,1,VPTKS § 9 ennetähtaegne lõppemine,"Irregular expiration of the mandate, § 9 of President of the Republic Work Procedure Act","Досрочное прекращение полномочий, ст.9 (VPTKS)","VPTKS § 9. Vabariigi Presidendi volituste ennetähtaegne lõppemine
Vabariigi Presidendi volitused lõpevad enne tähtaega, kui:
1) ta astub ametist tagasi;
2) ta sureb;
3) jõustub teda süüdi mõistev kohtuotsus.","§ 9 of the Act on Rules Governing the Work of the President of the Republic. Premature expiration of the Presidents mandate
Premature expiration of the President’s mandate occurs when:
1) the President resigns their office;
2) the President dies;
3) a judgment of conviction entered against the President enters into effect;","Статья 9 Закона о распорядке работы Президента Республики. Досрочное прекращение полномочий Президента Республики
Полномочия Президента Республики прекращаются досрочно:
1) с уходом его в отставку;
2) в случае его смерти;
3) со вступлением в законную силу вынесенного в отношении него обвинительного приговора суда;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B610,B6,3,0,Riigikogu liikme staatuse seadus (RKLS),Status of Members of the Riigikogu Act,Закон о статусе члена Рийгикогу (RKLS),,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
