version,sme_nr,mbie_nr,level,identifier,UNID,acronym,class_term,sequence,multiplicity,multiplicity_SME,property_term,representation_term,associated_class,short_name,definition,label_local,definition_local,code_list,attribute,DEN,name,element,xpath
,,3580,,,UN01005559,BBIE,CI_ Note,2,0..1,0..0,Content,Code,,Content Code,The code specifying the content of this CI note.,,,UNCL4441,,CI_ Note. Content. Code,,ContentCode,
v4.1,540,3581,2,,UN01005560,BBIE,CI_ Note,3,0..n,0..1,Content,Text,,Content Text,"Content, expressed as text, of this CI note.",明細行注釈内容,"明細行の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",,,CI_ Note. Content. Text,SubordinateDocumentNoteContentText,ContentText,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/IncludedCINote/Content
,,3582,,,UN01005561,BBIE,CI_ Note,4,0..1,0..0,Subject,Subject_ Code,,Subject Code,The code specifying the subject of this CI note.,,,UNCL4451,,CI_ Note. Subject. Code,,SubjectCode,
v4.1,541,3583,2,,UN01005562,BBIE,CI_ Note,5,0..1,0..1,Identification,Identifier,,ID,The unique identifier for this CI note.,明細行注釈ID,"明細行注釈の識別ID
共通EDIプロバイダがシリアル番号をセット。標準仕様書３．３．５項参照",,,CI_ Note. Identification. Identifier,SubordinateDocumentNoteID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/IncludedCINote/ID
v4.1,697,3592,1,,UN01005567,ABIE,CI_ Product_ Characteristic,0,,,,,,CI Product Characteristic,A prominent attribute or aspect of a Cross Industry (CI) product.,品目特性クラス,取引品目の特性に関するクラス,,,CI_ Product_ Characteristic. Details,SubordinateDocumentProductCharacteristicDetails,CIProductCharacteristic,
,,3593,,,UN01005568,BBIE,CI_ Product_ Characteristic,1,0..n,0..0,Identification,Identifier,,ID,A unique identifier for this CI product characteristic.,,,,,CI_ Product_ Characteristic. Identification. Identifier,,ID,
,,3594,,,UN01005569,BBIE,CI_ Product_ Characteristic,2,0..1,0..0,Type,Code,,Type Code,The code specifying a type of CI product characteristic.,,,,,CI_ Product_ Characteristic. Type. Code,,TypeCode,
v4.1,698,3595,2,,UN01005570,BBIE,CI_ Product_ Characteristic,3,0..n,0..1,Description,Text,,Description,A textual description of this CI product characteristic.,取引品目特性内容,この取引品目内容を文字で説明したもの,,,CI_ Product_ Characteristic. Description. Text,SubordinateDocumentProductCharacteristicDescriptionText,DescriptionText,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/ApplicableCITradeProduct/ApplicableCIProductCharacteristic/Description
,,3596,,,UN01005571,BBIE,CI_ Product_ Characteristic,4,0..1,0..0,Value,Measure,,Value Measure,The measure of a value for this CI product characteristic.,,,,,CI_ Product_ Characteristic. Value. Measure,,ValueMeasure,
,,3597,,,UN01005572,BBIE,CI_ Product_ Characteristic,5,0..1,0..0,Measurement Method,Code,,Measurement Method Code,The code specifying a measurement method for this CI product characteristic.,,,,,CI_ Product_ Characteristic. Measurement Method. Code,,MeasurementMethodCode,
,,3598,,,UN01008297,BBIE,CI_ Product_ Characteristic,6,0..1,0..0,Content_ Type,Code,,Content Type Code,The code specifying the content type of this CI product characteristic.,,,,,CI_ Product_ Characteristic. Content_ Type. Code,,ContentTypeCode,
,,3599,,,UN01008298,BBIE,CI_ Product_ Characteristic,7,0..1,0..0,Value,Code,,Value Code,The code specifying the value of this CI product characteristic.,,,UNCL7111,,CI_ Product_ Characteristic. Value. Code,,ValueCode,
,,3600,,,UN01008299,BBIE,CI_ Product_ Characteristic,8,0..1,0..0,Value,Date Time,,Value Date Time,"The value for this CI product characteristic expressed as a date, time, date time, or other date time value.",,,,,CI_ Product_ Characteristic. Value. Date Time,,ValueDateTime,
,,3601,,,UN01008300,BBIE,CI_ Product_ Characteristic,9,0..1,0..0,Value,Indicator,,Value Indicator,The value for this CI product characteristic expressed as an indicator.,,,,,CI_ Product_ Characteristic. Value. Indicator,,ValueIndicator,
v4.1,699,3602,2,,UN01011457,BBIE,CI_ Product_ Characteristic,10,0..n,0..1,Value,Text,,Value Text,"A value, expressed as text, for this CI product characteristic.",品目特性値,この取引品目特性の値,,,CI_ Product_ Characteristic. Value. Text,SubordinateDocumentProductCharacteristicValueText,ValueText,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/ApplicableCITradeProduct/ApplicableCIProductCharacteristic/Value
,,3603,,,UN01008301,ASBIE,CI_ Product_ Characteristic,1,0..1,0..0,Applicable,,Referenced_ Standard,Applicable Referenced Standard,The referenced standard that is applicable to this CI product characteristic.,,,,,CI_ Product_ Characteristic. Applicable. Referenced_ Standard,,ApplicableStandard,
,,3604,,,UN01008302,ASBIE,CI_ Product_ Characteristic,2,0..n,0..0,Applicable,,Product Characteristic_ Condition,Applicable Condition,A condition applicable to this CI product characteristic.,,,,,CI_ Product_ Characteristic. Applicable. Product Characteristic_ Condition,,ApplicableCondition,
,,3605,,,UN01008303,ASBIE,CI_ Product_ Characteristic,3,0..1,0..0,Value,,Specified_ Binary File,Value Binary File,The value for this CI product characteristic expressed in a binary file.,,,,,CI_ Product_ Characteristic. Value. Specified_ Binary File,,ValueBinaryFile,
v4.2,694,3606,1,,UN01005573,ABIE,CI_ Product_ Classification,0,,,,,,CI Product Classification,A systematic arrangement of Cross Industry (CI) products in classes or categories according to established criteria.,品目分類クラス,取引品目の分類に関するクラス,,,CI_ Product_ Classification. Details,SubordinateDocumentProductClassificationDetails,CIProductClassification,
v4.2,695,3607,2,,UN01005574,BBIE,CI_ Product_ Classification,1,0..1,0..1,System,Identifier,,System ID,The unique identifier of the classification system for this CI product classification.,品目分類,この取引品目の分類のID,,,CI_ Product_ Classification. System. Identifier,SubordinateDocumentDesignatedProductClassificationSystemID,SystemID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/ApplicableCITradeProduct/DesignatedCIProductClassification/SystemID
,,3608,,,UN01005575,BBIE,CI_ Product_ Classification,2,0..n,0..0,System Name,Text,,System Name,"A name, expressed as text, of the classification system for this CI product classification.",,,UNCL9018,,CI_ Product_ Classification. System Name. Text,,SystemName,
,,3609,,,UN01005576,BBIE,CI_ Product_ Classification,3,0..1,0..0,Class,Code,,Class Code,The code specifying the class for this CI product classification.,,,UNCL9021,,CI_ Product_ Classification. Class. Code,,ClassCode,
,,3610,,,UN01005577,BBIE,CI_ Product_ Classification,4,0..n,0..0,Class Name,Text,,Class Name,"A class name, expressed as text, for this CI product classification.",,,UNCL9020,,CI_ Product_ Classification. Class Name. Text,,ClassName,
,,3611,,,UN01005578,BBIE,CI_ Product_ Classification,5,0..1,0..0,Sub_ Class,Code,,Sub-Class Code,The code specifying the sub class for this CI product classification.,,,,,CI_ Product_ Classification. Sub_ Class. Code,,SubClassCode,
,,3612,,,UN01007142,ASBIE,CI_ Product_ Classification,1,0..n,0..0,Class,,CI_ Product_ Characteristic,Product Class Characteristic,A product characteristic for this CI product classification.,,,,,CI_ Product_ Classification. Class. CI_ Product_ Characteristic,,ClassCharacteristic,
,,3613,,,UN01008310,ASBIE,CI_ Product_ Classification,2,0..1,0..0,Applicable,,Referenced_ Standard,Applicable Referenced Standard,The referenced standard that is applicable to this CI product classification.,,,,,CI_ Product_ Classification. Applicable. Referenced_ Standard,,ApplicableStandard,
v4,621,3614,1,,UN01005579,ABIE,CI_ Referenced_ Document,0,,,,,,CI Referenced Document,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",明細行インボイス対象物クラス,明細行が参照するインボイス対象物クラス,,,CI_ Referenced_ Document. Details,SubordinateDocumentReferencedDocumentDetails,CIReferencedDocument,
v4,622,3615,2,PK,UN01005580,BBIE,CI_ Referenced_ Document,1,0..1,1..1,Issuer Assigned_ Identification,Identifier,,Issuer Assigned ID,The issuer assigned identifier for this CI referenced document.,（明細行参照）インボイス対象物ID,この明細行が参照するインボイス対象物のID,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,SubordinateDocumentInvoiceReferencedDocumentIssuerAssignedID,IssuerAssignedID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/IssuerAssignedID
,,3616,,,UN01005581,BBIE,CI_ Referenced_ Document,2,0..1,0..0,URI_ Identification,Identifier,,URI,The unique Uniform Resource Identifier (URI) for this CI referenced document.,,,UNCL1004,,CI_ Referenced_ Document. URI_ Identification. Identifier,,URIID,
v4,623,3617,2,,UN01005582,BBIE,CI_ Referenced_ Document,3,0..1,0..1,Issue,Date Time,,Issue Date Time,The date or date time for the issuance of this CI referenced document.,（明細行参照）インボイス対象物発行日,この明細行が参照するインボイス対象物の発行日,,,CI_ Referenced_ Document. Issue. Date Time,SubordinateDocumentInvoiceReferencedDocumentIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/IssueDateTime
,,3618,,,UN01005583,BBIE,CI_ Referenced_ Document,4,0..1,0..0,Status,Document Status_ Code,,Status Code,The code specifying the status for this CI referenced document.,,,UNCL1373,,CI_ Referenced_ Document. Status. Code,,StatusCode,
,,3619,,,UN01005584,BBIE,CI_ Referenced_ Document,5,0..1,0..0,Copy,Indicator,,Copy Indicator,The indication of whether or not the CI referenced document is a copy.,,,,,CI_ Referenced_ Document. Copy. Indicator,,CopyIndicator,
v4,624,3620,2,PK,UN01005585,BBIE,CI_ Referenced_ Document,6,0..1,1..1,Line,Identifier,,Line ID,The unique identifier of a line in this CI referenced document.,（明細行参照）インボイス対象物明細行ID,この明細行が参照するインボイス対象物の明細行ID,,,CI_ Referenced_ Document. Line. Identifier,SubordinateItemInvoiceReferencedDocumentLineID,LineID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/LineID
v4.1,625,3621,2,,UN01005586,BBIE,CI_ Referenced_ Document,7,0..1,0..1,Reference_ Type,Code,,Reference Type Code,The code specifying the reference type of this CI referenced document.,（明細行参照）文書参照タイプコード,この明細行が参照する文書の参照タイプを識別するコード。,UNCL1153,,CI_ Referenced_ Document. Reference_ Type. Code,SubordinateDocumentInvoiceReferencedDocumentReferenceTypeCode,ReferenceTypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/ReferenceTypeCode
,,3622,,,UN01005587,BBIE,CI_ Referenced_ Document,8,0..1,0..0,Global_ Identification,Identifier,,Global ID,The unique global identifier for this CI referenced document.,,,UNCL1004,,CI_ Referenced_ Document. Global_ Identification. Identifier,,GlobalID,
v4,626,3623,2,,UN01005588,BBIE,CI_ Referenced_ Document,9,0..1,0..1,Revision_ Identification,Identifier,,Revision ID,The unique identifier for a revision of this CI referenced document.,（明細行参照）インボイス対象物履歴ID,この明細行が参照するインボイス対象物の変更履歴を管理するID。,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,SubordinateDocumentInvoiceReferencedDocumentRevisionID,RevisionID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/RevisionID
,,3624,,,UN01005589,BBIE,CI_ Referenced_ Document,10,0..n,0..0,Name,Text,,Name,"A name, expressed as text, for this CI referenced document.",,,UNCL1000,,CI_ Referenced_ Document. Name. Text,,Name,
,,3625,,,UN01006415,BBIE,CI_ Referenced_ Document,11,0..n,0..0,Information,Text,,Information,"Information, expressed as text, for this CI referenced document.",,,UNCL4142,,CI_ Referenced_ Document. Information. Text,,InformationText,
,,3626,,,UN01007143,BBIE,CI_ Referenced_ Document,12,0..n,0..0,Previous Revision_ Identification,Identifier,,Previous Revision ID,An identifier for a previous revision of this CI referenced document.,,,UNCL1004,,CI_ Referenced_ Document. Previous Revision_ Identification. Identifier,,PreviousRevisionID,
,,3627,,,UN01007144,BBIE,CI_ Referenced_ Document,13,0..n,0..0,Section Name,Text,,Section Name,"A section name, expressed as text, for this CI referenced document.",,,,,CI_ Referenced_ Document. Section Name. Text,,SectionName,
v4,627,3628,2,,UN01009672,BBIE,CI_ Referenced_ Document,14,0..1,0..1,Type,Code,,Type Code,The code specifying the type of CI referenced document.,（明細行参照）文書タイプコード,この明細行が参照する文書タイプを識別するコード,UNCL1001,,CI_ Referenced_ Document. Type. Code,SubordinateDocumentInvoiceReferencedDocumentTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/TypeCode
,,3629,,,UN01011455,BBIE,CI_ Referenced_ Document,15,0..n,0..0,Attachment,Binary Object,,Attached Binary Object,A binary object that is attached or otherwise appended to this CI referenced document.,,,,,CI_ Referenced_ Document. Attachment. Binary Object,,AttachmentBinaryObject,
,,3630,,,UN01012725,BBIE,CI_ Referenced_ Document,16,0..1,0..0,Page,Identifier,,Page ID,The identifier of the page for this CI referenced document.,,,UNCL1212,,CI_ Referenced_ Document. Page. Identifier,,PageID,
,,3631,,,UN01012922,BBIE,CI_ Referenced_ Document,17,0..1,0..0,Receipt,Date Time,,Receipt Date Time,"The date, time, date time, or other date time value for the receipt of this CI referenced document.",,,,,CI_ Referenced_ Document. Receipt. Date Time,,ReceiptDateTime,
,,3632,,,UN01012923,BBIE,CI_ Referenced_ Document,18,0..1,0..0,Subordinate Line,Identifier,,Subordinate Line ID,The identifier of the subordinate line of this CI referenced document.,,,,,CI_ Referenced_ Document. Subordinate Line. Identifier,,SubordinateLineID,
,,3633,,,UN01013317,BBIE,CI_ Referenced_ Document,19,0..1,0..0,Purpose,Message Function_ Code,,Purpose Code,The code specifying the purpose of this CI referenced document.,,,UNCL1225,,CI_ Referenced_ Document. Purpose. Code,,PurposeCode,
,,3634,,,UN01013318,BBIE,CI_ Referenced_ Document,20,0..1,0..0,Category,Code,,Category Code,The code specifying the category of this CI referenced document.,,,UNCL1003,,CI_ Referenced_ Document. Category. Code,,CategoryCode,
,,3635,,,UN01013374,BBIE,CI_ Referenced_ Document,21,0..1,0..0,Requisitioner Assigned_ Identification,Identifier,,Assigned ID,The requisitioner assigned identifier for this CI referenced document.,,,UNCL1004,,CI_ Referenced_ Document. Requisitioner Assigned_ Identification. Identifier,,RequisitionerAssignedID,
v4,628,3636,2,,UN01014899,BBIE,CI_ Referenced_ Document,22,0..n,0..1,Subtype,Code,,Subtype Code,A code specifying a subtype of this CI referenced document.,（明細行参照）文書サブタイプコード,この明細行が参照する文書の文書サブタイプコード,JECxxxx,,CI_ Referenced_ Document. Subtype. Code,SubordinateDocumentInvoiceReferencedDocumentSubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/SubtypeCode
,,3637,,,UN01005590,ASBIE,CI_ Referenced_ Document,1,0..1,0..0,Issuer,,CI_ Trade_ Party,Issuer,The trade party that issued this CI referenced document.,,,,,CI_ Referenced_ Document. Issuer. CI_ Trade_ Party,,IssuerParty,
,,3638,,,UN01005591,ASBIE,CI_ Referenced_ Document,2,0..n,0..0,Attached,,Specified_ Binary File,Attached Binary File,A specified binary file attached to this CI referenced document.,,,,,CI_ Referenced_ Document. Attached. Specified_ Binary File,,AttachedBinaryFile,
,,3639,,,UN01007145,ASBIE,CI_ Referenced_ Document,3,0..1,0..0,Effective,,CI_ Specified_ Period,Effective Period,The specified period within which this CI referenced document is effective.,,,,,CI_ Referenced_ Document. Effective. CI_ Specified_ Period,,EffectivePeriod,
,,3640,,,UN01012726,ASBIE,CI_ Referenced_ Document,4,0..n,0..0,Included,,CI_ Note,Included Note,A note included in this CI referenced document.,,,,,CI_ Referenced_ Document. Included. CI_ Note,,IncludedNote,
v4,675,3674,1,,UN01005608,ABIE,CI_ Specified_ Period,0,,,,,,CI Specified Period,An interval of time specified for Cross Industry (CI) purposes.,明細行取引期間クラス,明細行の取引期間に関する情報からなるクラス,,,CI_ Specified_ Period. Details,SubordinateDocumentPeriodDetails,CISpecifiedPeriod,
,,3675,,,UN01005609,BBIE,CI_ Specified_ Period,1,0..n,0..0,Duration,Measure,,Duration Measure,A measure of the length of time for this CI specified period.,,,,,CI_ Specified_ Period. Duration. Measure,,DurationMeasure,
,,3676,,,UN01005610,BBIE,CI_ Specified_ Period,2,0..1,0..0,Inclusive,Indicator,,Inclusive Indicator,The indication of whether or not start and end dates are included in this CI specified period.,,,,,CI_ Specified_ Period. Inclusive. Indicator,,InclusiveIndicator,
,,3677,,,UN01005611,BBIE,CI_ Specified_ Period,3,0..n,0..0,Description,Text,,Description,A textual description of this CI specified period of time.,,,UNCL2118,,CI_ Specified_ Period. Description. Text,,DescriptionText,
v4,676,3678,2,,UN01005612,BBIE,CI_ Specified_ Period,4,0..1,0..1,Start,Date Time,,Start Date Time,"The date, time, date time or other date time value for the start of this CI specified period of time.",明細行取引開始日,この明細行の取引開始日,,,CI_ Specified_ Period. Start. Date Time,SubordinateDocumentBillingPeriodStartDateTime,StartDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/BillingCISpecifiedPeriod/StartDateTime
v4,677,3679,2,,UN01005613,BBIE,CI_ Specified_ Period,5,0..1,0..1,End,Date Time,,End Date Time,"The date, time, date time or other date time value for the end of this CI specified period of time.",明細行取引終了日,この明細行の取引終了日,,,CI_ Specified_ Period. End. Date Time,SubordinateDocumentBillingPeriodEndDateTime,EndDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/BillingCISpecifiedPeriod/EndDateTime
,,3680,,,UN01005614,BBIE,CI_ Specified_ Period,6,0..1,0..0,Complete,Date Time,,Complete Date Time,"The date, time, date time or other date time value for a complete CI specified period of time, such as a specific month or a specific week.",,,,,CI_ Specified_ Period. Complete. Date Time,,CompleteDateTime,
,,3681,,,UN01005615,BBIE,CI_ Specified_ Period,7,0..1,0..0,Season,Code,,Season Code,The code specifying the season for this CI specified period.,,,,,CI_ Specified_ Period. Season. Code,,SeasonCode,
,,3682,,,UN01005616,BBIE,CI_ Specified_ Period,8,0..1,0..0,Identification,Identifier,,ID,The unique identifier of this CI specified period.,,,,,CI_ Specified_ Period. Identification. Identifier,,ID,
,,3683,,,UN01005617,BBIE,CI_ Specified_ Period,9,0..n,0..0,Name,Text,,Name,"A name, expressed as text, of this CI specified period.",,,,,CI_ Specified_ Period. Name. Text,,Name,
,,3684,,,UN01005618,BBIE,CI_ Specified_ Period,10,0..1,0..0,Sequence,Numeric,,Sequence Number,The sequence number for this CI specified period.,,,,,CI_ Specified_ Period. Sequence. Numeric,,SequenceNumeric,
,,3685,,,UN01005619,BBIE,CI_ Specified_ Period,11,0..1,0..0,Start Date Flexibility,Code,,Start Date Flexibility Code,The code specifying the flexibility of the start date of this CI specified period.,,,,,CI_ Specified_ Period. Start Date Flexibility. Code,,StartDateFlexibilityCode,
,,3686,,,UN01005620,BBIE,CI_ Specified_ Period,12,0..1,0..0,Continuous,Indicator,,Continuous Indicator,The indication of whether or not this CI specified period is continuous.,,,,,CI_ Specified_ Period. Continuous. Indicator,,ContinuousIndicator,
v4,418,3724,1,,UN01005626,ABIE,CI_ Supply Chain_ Event,0,,,,,,CI Supply Chain Event,An occurrence or a happening in a Cross Industry (CI) supply chain.,配送イベントクラス,配送にかかわるイベントのクラス,,,CI_ Supply Chain_ Event. Details,DocumentDeliveryEventDetails,CISupplyChainEvent,
,,3725,,,UN01005627,BBIE,CI_ Supply Chain_ Event,1,0..1,0..0,Identification,Identifier,,ID,The unique identifier for this CI supply chain event.,,,UNCL1007,,CI_ Supply Chain_ Event. Identification. Identifier,,ID,
v4,419,3726,2,,UN01005628,BBIE,CI_ Supply Chain_ Event,2,0..1,0..1,Occurrence,Date Time,,Occurrence Date Time,"The date, time, date time, or other date time value of an occurrence of this CI supply chain event.",配送日,納入先へ発送した日時,,,CI_ Supply Chain_ Event. Occurrence. Date Time,DocumentActualDeliveryEventOccurrenceDateTime,OccurrenceDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ActualDeliveryCISupplyChainEvent/OccurrenceDateTime
,,3727,,,UN01005629,BBIE,CI_ Supply Chain_ Event,3,0..1,0..0,Type,Code,,Type Code,The code specifying the type of CI supply chain event.,,,UNCL9171,,CI_ Supply Chain_ Event. Type. Code,,TypeCode,
,,3728,,,UN01005630,BBIE,CI_ Supply Chain_ Event,4,0..n,0..0,Description,Text,,Description,A textual description of this CI supply chain event.,,,,,CI_ Supply Chain_ Event. Description. Text,,DescriptionText,
,,3729,,,UN01005631,BBIE,CI_ Supply Chain_ Event,5,0..n,0..0,Description,Binary Object,,Description Binary Object,"Binary object data, such as a photograph, describing this CI supply chain event.",,,,,CI_ Supply Chain_ Event. Description. Binary Object,,DescriptionBinaryObject,
,,3730,,,UN01005632,BBIE,CI_ Supply Chain_ Event,6,0..1,0..0,Unit,Quantity,,Unit Quantity,The number of units for this CI supply chain event.,,,,,CI_ Supply Chain_ Event. Unit. Quantity,,UnitQuantity,
,,3731,,,UN01006683,BBIE,CI_ Supply Chain_ Event,7,0..1,0..0,Latest_ Occurrence,Date Time,,Latest Occurrence Date Time,"The date, time, date time, or other date time value of the latest occurrence of this CI supply chain event.",,,UNCL2193,,CI_ Supply Chain_ Event. Latest_ Occurrence. Date Time,,LatestOccurrenceDateTime,
,,3732,,,UN01006684,BBIE,CI_ Supply Chain_ Event,8,0..1,0..0,Earliest_ Occurrence,Date Time,,Earliest Occurrence Date Time,"The date, time, date time, or other date time value of the earliest occurrence of this CI supply chain event.",,,UNCL2193,,CI_ Supply Chain_ Event. Earliest_ Occurrence. Date Time,,EarliestOccurrenceDateTime,
,,3733,,,UN01011493,BBIE,CI_ Supply Chain_ Event,9,0..1,0..0,Time_ Occurrence,Time Only_ Formatted_ Date Time,,Occurrence Time,The time of an occurrence of this CI supply chain event.,,,UNCL2379,,CI_ Supply Chain_ Event. Time_ Occurrence. Date Time,,TimeOccurrenceDateTime,
,,3734,,,UN01013372,BBIE,CI_ Supply Chain_ Event,10,0..1,0..0,Due,Date Time,,Due Date Time,"The due date, time, date time, or other date time value of this CI supply chain event.",,,,,CI_ Supply Chain_ Event. Due. Date Time,,DueDateTime,
,,3735,,,UN01005633,ASBIE,CI_ Supply Chain_ Event,1,0..1,0..0,Occurrence,,CI_ Specified_ Period,Period,The specified period of time during which this CI supply chain event occurs.,,,,,CI_ Supply Chain_ Event. Occurrence. CI_ Specified_ Period,,OccurrencePeriod,
,,3736,,,UN01005634,ASBIE,CI_ Supply Chain_ Event,2,0..1,0..0,Occurrence,,CI_ Logistics_ Location,Location,The logistics location where this CI supply chain event occurs.,,,,,CI_ Supply Chain_ Event. Occurrence. CI_ Logistics_ Location,,OccurrenceLocation,
v4,284,3805,1,,UN01005670,ABIE,CI_ Trade Settlement_ Payment Means,0,,,,,,CI Trade Settlement Payment Means,The means by which a payment will be or has been made for Cross Industry (CI) trade settlement purposes.,支払手段クラス,取引決済の目的で支払が行われる、あるいは行われた手段のクラス,,,CI_ Trade Settlement_ Payment Means. Details,TransactionPaymentMeansDetails,CITradeSettlementPaymentMeans,
,,3806,,,UN01005671,BBIE,CI_ Trade Settlement_ Payment Means,1,0..1,0..0,Payment Channel,Payment Means Channel_ Code,,Payment Channel Code,The code specifying the payment channel through which this CI trade settlement payment means is to be processed (Reference United Nations Code List (UNCL) 4435).,,,UNCL4435,,CI_ Trade Settlement_ Payment Means. Payment Channel. Code,,PaymentChannelCode,
v4,285,3807,2,,UN01005672,BBIE,CI_ Trade Settlement_ Payment Means,2,0..1,0..1,Type,Code,,Type Code,"The code specifying the type of CI trade settlement payment means, such as cash or cheque.",支払手段タイプコード,取引決済手段のタイプを識別するコード,UNCL4461,,CI_ Trade Settlement_ Payment Means. Type. Code,PaymentMeansTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/TypeCode
,,3808,,,UN01005673,BBIE,CI_ Trade Settlement_ Payment Means,3,0..1,0..0,Guarantee Method,Payment Guarantee Means_ Code,,Guarantee Method Code,The code specifying the method of guarantee for this CI trade settlement payment means.,,,UNCL4431,,CI_ Trade Settlement_ Payment Means. Guarantee Method. Code,,GuaranteeMethodCode,
,,3809,,,UN01005674,BBIE,CI_ Trade Settlement_ Payment Means,4,0..1,0..0,Payment Method,Payment Method_ Code,,Payment Method Code,The code specifying the method by which a payment may be made for this CI trade settlement payment means.,,,UNCL4439,,CI_ Trade Settlement_ Payment Means. Payment Method. Code,,PaymentMethodCode,
,,3810,,,UN01005675,BBIE,CI_ Trade Settlement_ Payment Means,5,0..n,0..0,Identification,Identifier,,ID,An identifier for the CI trade settlement payment means.,,,UNCL4461,,CI_ Trade Settlement_ Payment Means. Identification. Identifier,,ID,
v4,286,3811,2,,UN01011456,BBIE,CI_ Trade Settlement_ Payment Means,6,0..n,0..1,Information,Text,,Information,"Information, expressed as text, for this CI trade settlement payment means.",支払手段情報,取引決済手段に関する情報,,,CI_ Trade Settlement_ Payment Means. Information. Text,PaymentMeansInformationText,InformationText,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/Information
v4.0.1,287,3812,2,,UN01015504,BBIE,CI_ Trade Settlement_ Payment Means,7,0..1,0..1,Paid,Amount,,Paid Amount,The monetary value paid or to be paid by this CI trade settlement payment means.,支払金額,取引決済手段で支払う金額,,,CI_ Trade Settlement_ Payment Means. Paid. Amount,PaymentMeansPaidAmount,PaidAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PaidAmount
