nr,category,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_ja,label_local,definition_local,multiplicity,selector,fixed_value,version,code_list,issueing_agency,input_method,input_value,xml_imput_sing,selfbilling,amendment_selfbilling,Id,Business Term,Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,ヘッダ部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,,,明細文書ヘッダ返金税クラス,明細文書ヘッダ返金の税クラス,－,,v4, , , , ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,ヘッダ部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,明細文書ヘッダ返金課税分類コード,明細文書ヘッダ返金の課税分類コード,1..1,,v4,UNCL5305,UN/CEFACT,"コード値
選択入力","デフォルト
＝S（標準税率）",,＊,＊,★,,IBT-096,?  Document level allowance TAX rate,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,ヘッダ部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,明細文書ヘッダ返金税率,明細文書ヘッダ返金の税率,0..1,,v4, , , , ,,＊,＊,★,,IBT-095,?  Document level allowance TAX category code,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,ヘッダ部,UN01005998,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,,,明細文書ヘッダ文書決済／明細文書ヘッダ追加請求グループ,明細文書ヘッダの明細文書ヘッダ追加請求のグループ,0..n,,v4.1, , , , ,,＊,＊,★,,IBG-21,DOCUMENT LEVEL CHARGES,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,ヘッダ部,UN01005706,ABIE,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,,,明細文書ヘッダ追加請求クラス,明細文書ヘッダ返金・追加請求のクラス, -,,v4.1, , , , ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,ヘッダ部,UN01005707,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,,,"明細文書ヘッダ返金・追加請求判別子
＝追加請求（Charge）","明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子
＝True(Charge)",1..1,,v4.1, ,UN/CEFACT,"判別子
固定入力",TRUE,,△,△,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,ヘッダ部,UN01005710,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Calculation. Percent,,,,,,,明細文書ヘッダ追加請求計算率,この明細文書ヘッダ追加請求を計算するための率,0..1,,v4.1,  ,  , , ,,＊,＊,★,,IBT-101,?  Document level charge percentage,"0,,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,ヘッダ部,UN01005713,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,,,明細文書ヘッダ追加請求金額,この明細文書ヘッダの明細文書ヘッダに紐付く追加請求金額,0..1,,v4.1,,,     ,     ,,＊,＊,★,,IBT-099,?  Document level charge amount,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,ヘッダ部,UN01005714,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,,,明細文書ヘッダ追加請求理由コード,この明細文書ヘッダ追加請求の理由を識別するコード,0..1,,v4.1,UNCL4465,UN/CEFACT, , ,,＊,＊,★,,IBT-105,?  Document level charge reason code,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,ヘッダ部,UN01005715,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,,,明細文書ヘッダ追加請求理由,この明細行の追加請求理由（内容）の説明,0..1,,v4.1,,, , ,,＊,＊,★,,IBT-104,?  Document level charge reason,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,ヘッダ部,UN01008286,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Basis. Amount,,,,,,,明細文書ヘッダ追加請求計算根拠金額,この明細文書ヘッダ追加請求の計算根拠となる金額,0..1,,v4.1,,, , ,,＊,＊,★,,IBT-100,?  Document level charge base amount,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,ヘッダ部,UN01005716,ASBIE,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,,,明細文書ヘッダ返金／明細文書ヘッダ追加請求税グループ,明細文書ヘッダ追加請求の税に関するグループ,0..n,,v4.1, , , , ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,ヘッダ部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,,,明細文書ヘッダ追加請求税クラス,明細文書ヘッダ追加請求の税クラス,－,,v4.1, , , , ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,ヘッダ部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,明細文書ヘッダ追加請求課税分類コード,明細文書ヘッダ追加請求の課税分類コード,1..1,,v4.1,UNCL5305,UN/CEFACT,"コード値
選択入力","デフォルト
＝S（標準税率）",,＊,＊,★,,IBT-103,?  Document level charge TAX rate,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,ヘッダ部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,明細文書ヘッダ追加請求税率,明細文書ヘッダ追加請求の税率,0..1,,v4.1, , , , ,,＊,＊,★,,IBT-102,?  Document level charge TAX category code,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,ヘッダ部,UN01005996,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,明細文書ヘッダ決済／明細文書ヘッダ税グループ,明細文書ヘッダの税に関するグループ。,1..n,,v1, , , , ,,○,○,☆,,IBG-23,TAX BREAKDOWN,1..n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,ヘッダ部,UN01005832,ABIE,,,,,,,CI_ Trade_ Tax. Details,,,,,,,,明細文書ヘッダ税クラス,明細文書ヘッダの税に関する情報からなるクラス, -,,v1, , , , ,,　,　,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,ヘッダ部,UN01005833,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,明細文書ヘッダ課税分類税額,"明細文書ヘッダの課税分類毎に端数処理計算した税額。
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする
＜税抜きの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率
＜税込みの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率／(１＋税率)",0..1,,v2,,,,,,◎,◎,☆,1,IBT-117,?  TAX category tax amount,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,ヘッダ部,UN01005834,BBIE,,,,,,,,CI_ Trade_ Tax. Type. Code,,,,,,,明細文書ヘッダ税タイプコード,"税の種類を識別するコード。デフォルトは消費税
消費税：VAT。源泉所得税：SWT",0..1,,v1/v2,UNCL5153,UN/CEFACT, , ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,ヘッダ部,UN01005839,BBIE,,,,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,,,明細文書ヘッダ課税分類課税対象合計金額（税抜き／税込み）,"=Σ明細行課税分類譲渡資産合計金額
JP PINT対応の場合は下記による
=Σ明細行課税分類譲渡資産合計金額＋Σ明細文書ヘッダ追加請求金額ーΣ明細文書ヘッダ返金金額",0..1,,v2/v4.3,,,,,,◎,◎,☆,1,IBT-116,?  TAX category taxable amount,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,ヘッダ部,UN01005841,BBIE,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,明細文書ヘッダ課税分類コード,"明細文書ヘッダの課税分類（標準税率、軽減税率、不課税、非課税、免税等）を識別するコード
課税分類ごとにクラスを設ける",1..1,,v3,UNCL5305,UN/CEFACT,"
コード値
選択入力
","デフォルト
＝S（標準税率）",,●,●,☆,1,IBT-118,?  TAX category code,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,ヘッダ部,UN01005842,BBIE,,,,,,,,CI_ Trade_ Tax. Currency. Code,,,,,,,課税分類税通貨コード,"=「JPY」または「外貨」。デフォルトは「JPY」
文書通貨コード（UN01005914）の指定と合わせる。文書通貨コードが「外貨」を指定された場合は明細文書ヘッダ税クラス（外貨建て適格請求書用）とセットで利用する",0..1,,v4,"通貨コード
ISO4217",ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,●,●,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,ヘッダ部,UN01005850,BBIE,,,,,,,,CI_ Trade_ Tax. Category Name. Text,,,,,,,明細文書ヘッダ課税分類名,明細文書ヘッダの課税分類（標準税率、軽減税率、不課税、非課税、免税等）の名称,0..1,,v2,,, , ,,＊,＊,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,ヘッダ部,UN01005836,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Rate,,,,,,,明細文書ヘッダ税率,明細文書ヘッダの課税分類毎の税額計算のための率。,0..1,,v1/v2,　,　, , ,,◎,◎,★,1,IBT-119,?  TAX category rate,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,ヘッダ部,UN01013040,BBIE,,,,,,,,CI_ Trade_ Tax. Grand Total. Amount,,,,,,,明細文書ヘッダ課税分類総合計金額,"＝明細文書ヘッダ課税分類課税対象合計金額（税抜き）＋明細文書ヘッダ課税分類税額
または
'＝明細文書ヘッダ課税分類課税対象合計金額（税込み）",0..1,,v2/v4.3,,,,,,●,●,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,ヘッダ部,UN01013096,BBIE,,,,,,,,CI_ Trade_ Tax. Calculation Method. Code,,,,,,,明細文書ヘッダ税計算方式,"仕入税額の消費税計算方式を指定
’＝外税計算（デフォルト）
　外税計算式：税率別仕入合計金額（税抜き）×税率",0..1,,v2/v3,JECxxxx,JEC,"
コード値
選択入力
","デフォルト
＝22（外税計算）",,●,●,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,ヘッダ部,UN01014650,BBIE,,,,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,,,明細文書ヘッダ適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",0..1,,v4,JECxxxx,JEC,"
コード値
選択入力
"," デフォルト
＝2019",,●,●,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,ヘッダ部,UN01005996,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,明細文書ヘッダ決済／税グループ,外貨建て仕入明細書の税率別課税分類合計額算出のための税グループ,0..n,,v4.1, , , , ,,●,●,★,,IBG-38,?  TAX BREAKDOWN IN ACCOUNTING CURRENCY,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,ヘッダ部,UN01005832,ABIE,,,,,,,CI_ Trade_ Tax. Details,,,,,,,,（外貨建て仕入明細書）明細文書ヘッダ税クラス,"外貨建て仕入明細書の明細文書ヘッダの税に関する情報からなるクラス
UN01005914文書通貨コード＝「外貨」、UN01005913税通貨コード＝[JPY」の場合に利用する'。（円建て請求書の場合は利用しない）", -,,v4.1, , , , ,,　,　,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,ヘッダ部,UN01005833,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,（外貨建て仕入明細書）明細文書ヘッダ課税分類税額,"外貨建て仕入明細書の明細明細文書ヘッダの課税分類毎に端数処理計算した税額。
属性＝「JPY」
外貨建て仕入明細書の明細明細文書ヘッダ課税分類資産譲渡合計金額×税率
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする",0..1,,v4.1,"通貨コード
ISO4217",ISO,"
属性コード値
固定入力
","金額/＠通貨コード値
＝JPY（日本円）",,●,●,★,,IBT-190,? ?  TAX category tax amount in accounting currency,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,ヘッダ部,UN01005839,BBIE,,,,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,,,（外貨建て仕入明細書）明細文書ヘッダ課税分類譲渡資産合計金額（税抜き）,"明細行の課税分類毎の税抜き譲渡資産金額の合計金額。属性＝「JPY」
「明細文書ヘッダ課税分類譲渡資産合計金額（税抜き）(外貨）」を為替レートで「JPY」に換算",0..1,,v4.1,"通貨コード
ISO4217",ISO,"
属性コード値
固定入力
","金額/＠通貨コード値
＝JPY（日本円）",,●,●, ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,ヘッダ部,UN01005841,BBIE,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,（外貨建て仕入明細書）明細文書ヘッダ課税分類コード,外貨建て仕入明細書の明細文書ヘッダの課税分類（標準税率、軽減税率）を識別するコード,1..1,,v4.1,UNCL5305,UN/CEFACT,"
コード値
選択入力
","デフォルト
＝S（標準税率）",,●,●,☆,,IBT-192,? ?  TAX category code for tax category tax amount in accounting currency,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,ヘッダ部,UN01005842,BBIE,,,,,,,,CI_ Trade_ Tax. Currency. Code,,,,,,,（外貨建て仕入明細書）課税分類税通貨コード,"外貨建て仕入明細書の税額を日本円で表示することを指定するコード
=「JPY」",0..1,,v4.1,"通貨コード
ISO4217",ISO,"コード値
固定入力",=JPY(日本円),,●,●, ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,ヘッダ部,UN01005836,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Rate,,,,,,,（外貨建て仕入明細書）明細文書ヘッダ税率,外貨建て仕入明細書の明細文書ヘッダの課税分類毎の税額計算のための率。,0..1,,v4.1,　,　, , ,,●,●,★,,IBT-193,? ?  TAX category rate for tax category tax amount in accounting currency,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,ヘッダ部,UN01014650,BBIE,,,,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,,,（外貨建て仕入明細書）明細文書ヘッダ適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",0..1,,v4.1,JECxxxx,JEC, , ,,＊,＊, ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,ヘッダ部,UN01005997,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,,,,,,,,,明細文書ヘッダ決済／取引期間グループ,"明細文書ヘッダの取引期間に関する情報からなるグループ
明細文書ヘッダ、または明細行のいずれかの取引期間グループが法的必須
明細文書ヘッダ取引期間グループにデータ入力した場合は明細行取引期間グループのデータ入力は省略することができる",0..1,,v4, , , , ,,●,●,★,,IBG-14,?  INVOICING PERIOD,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,ヘッダ部,UN01005608,ABIE,,,,,,,CI_ Specified_ Period. Details,,,,,,,,明細文書ヘッダ取引期間クラス,明細文書ヘッダの取引期間に関する情報からなるクラス,－,,v4, , , , ,, , ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,ヘッダ部,UN01005612,BBIE,,,,,,,,CI_ Specified_ Period. Start. Date Time,,,,,,,明細文書ヘッダ取引開始日,この明細文書ヘッダの取引開始日,0..1,,v4,,,,,,＊,＊,★,,IBT-073,? ?  Invoicing period start date,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,ヘッダ部,UN01005613,BBIE,,,,,,,,CI_ Specified_ Period. End. Date Time,,,,,,,明細文書ヘッダ取引終了日,"この明細文書ヘッダの取引終了日
",0..1,,v4,,,,,,●,●,★,,IBT-074,? ?  Invoicing period end date,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,ヘッダ部,UN01006002,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CIIL_ Trade Settlement_ Monetary Summation,,,,,,,,,明細文書ヘッダ決済／合計金額グループ,明細文書ヘッダの合計金額に関するグループ,0..1,,v1, , , , ,,●,●,☆,,IBG-22,DOCUMENT TOTALS,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,ヘッダ部,UN01006006,ABIE,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Details,,,,,,,,明細文書ヘッダ合計金額クラス,明細文書ヘッダ合計金額に関する情報からなるクラス,－,,v1, , , , ,,　,　,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,ヘッダ部,UN01006008,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Charge Total. Amount,,,,,,,明細文書ヘッダ追加請求合計金額,"明細文書ヘッダレベルの追加請求合計金額
'=Σ明細文書ヘッダ追加請求金額",0..1,,v4,,, , ,,●,●,★,,IBT-108,?  Sum of charges on document level,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,ヘッダ部,UN01006009,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,,,,,,,明細文書ヘッダ返金合計金額,"明細文書ヘッダレベルの返金合計金額
'=Σ明細文書ヘッダ返金金額",0..1,,v4,,, , ,,●,●,★,,IBT-107,?  Sum of allowances on document level,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,ヘッダ部,UN01006011,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Tax Total. Amount,,,,,,,明細文書ヘッダ消費税合計額,"明細文書ヘッダ消費税の合計税額
'=Σ（明細文書ヘッダ課税分類課税対象合計金額（税抜き）＋明細文書ヘッダ税率別追加請求合計金額ー明細文書ヘッダ税率別返金合計金額）×税率",0..1,,v1,,,,,,●,●,☆,,IBT-110,?  Invoice total TAX amount,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,ヘッダ部,UN01006011,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Tax Total. Amount,,,,,,,"明細文書ヘッダ消費税合計額
(外貨建て仕入明細書の日本円金額)","外貨建て仕入明細書の場合の日本円に換算した消費税額。
日本円仕入明細書の場合は利用しない。",0..1,,v4.3,"通貨コード
ISO4217",ISO,"コード値
固定入力",＝JPY（日本円）,,＊,＊,★,,IBT-111,?  Invoice total TAX amount in tax accounting currency,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,ヘッダ部,UN01008455,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Gross_ Line Total. Amount,,,,,,,明細文書ヘッダ総合計金額（税抜き）,"明細文書ヘッダ総合計金額（税抜き）
'=明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額",0..1,,v1,,,,,,●,●,☆,,IBT-109,?  Invoice total amount without TAX,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,ヘッダ部,UN01008456,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,,,,,,,明細文書ヘッダ譲渡資産合計金額(税抜き),=Σ明細行譲渡資産金額（税抜き）,0..1,,v1,,,,,,●,●,☆,,IBT-106,?  Sum of Invoice line net amount,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,ヘッダ部,UN01008457,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,,,,,,,明細文書ヘッダ譲渡資産合計金額(税込み),=Σ明細文書明細行譲渡資産金額（税込み）,0..1,,v2,,,,,,□,□,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,ヘッダ部,UN01011519,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Grand Total. Amount,,,,,,,明細文書ヘッダ総合計金額（税込み）,"明細文書ヘッダ総合計金額（税込み）
'=明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額＋明細文書ヘッダ消費税合計額",0..1,,v4,,,,,,●,●,☆,,IBT-112,?  Invoice total amount with TAX,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,ヘッダ部,UN01006004,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Invoice_ Referenced. CI_ Referenced_ Document,,,,,,,,,明細文書ヘッダ決済／参照インボイス対象物グループ,"明細文書ヘッダの参照インボイス対象物に関するグループ
　→「IBT-018]へマッピング",0..n,,v4,,, , ,,●,●, ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,,,（明細文書ヘッダ参照）インボイス対象物クラス,"明細文書ヘッダの参照インボイス対象物クラス
　",－,,v4,,, , ,,　,　,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,（明細文書ヘッダ参照）インボイス対象物ID,この明細文書ヘッダが参照するインボイス対象物に記載の文書ID,1..1,,v4,,, , ,,●,●,★,,IBT-018,Invoiced object identifier,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,ヘッダ部,UN01005582,BBIE,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,（明細文書ヘッダ参照）インボイス対象物発行日,この明細文書ヘッダが参照するインボイス対象物に記載の発行日付,0..1,,v4,,, , ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,ヘッダ部,UN01005586,BBIE,,,,,,,,CI_ Referenced_ Document. Reference_ Type. Code,,,,,,,（明細文書ヘッダ参照）文書参照タイプコード,この明細文書ヘッダが参照する文書の参照タイプを識別するコード,0..1,,v4,UNCL1153,UN/CEFACT,,,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
