sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AG,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,
166,ヘッダ部,UN01005560,BBIE,,,,,,,,CI_ Note. Content. Text,,,,,,,明細文書注釈内容,"明細文書の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",0..1,,v4,"言語コード
ISO639",ISO, ,,＊,＊,＊,,, , , , ,,,,,,,,,,,,,,,,,,,,
167,ヘッダ部,UN01014895,ASBIE,,,,,,CIIL_ Document Line_ Document. Reference. CI_ Referenced_ Document,,,,,,,,,明細文書／属性参照文書グループ,この明細文書の属性参照文書に関するグループ。,0..1,,v4/v4.3, , , , ,＊,＊,＊, , , , , , ,,,,,,,,,,,,,,,,,,,,
168,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,,,明細文書属性参照文書クラス,明細文書属性参照文書に関するクラス, -,,v4/v4.3, , , , , , , ,, , , , , ,,,,,,,,,,,,,,,,,,,,
169,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,明細文書属性参照文書ID,この明細文書の属性を参照する文書の文書ID,1..1,,v4/v4.3, , , , ,○,○,○,, ,1, , , ,,,,,,,,,,,,,,,,,,,,
170,ヘッダ部,UN01005582,BBIE,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,明細文書属性参照文書発行日,この明細文書の属性を参照する文書の発行日,0..1,,v4/v4.3,日時様式 ISO8601,ISO, , ,●,●,●,, , , , , ,,,,,,,,,,,,,,,,,,,,
171,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,明細文書属性参照文書履歴ID,この明細文書の属性を参照する文書の変更履歴を管理するID。,0..1,,v4/v4.3,  ,  , ,,＊,＊,＊,, , , , , ,,,,,,,,,,,,,,,,,,,,
172,ヘッダ部,UN01009672,BBIE,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,,,明細文書属性参照文書タイプコード,この明細文書の属性を参照する文書の文書タイプを識別するコード,0..1,,v4/v4.3,UNCL1001,UN/CEFACT,"コード値
選択入力",,●,●,●,, , , , , ,,,,,,,,,,,,,,,,,,,,
173,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,明細文書属性参照文書サブタイプコード,この明細文書の属性を参照する文書の文書サブタイプを識別するコード,0..1,,v4/v4.3,JECxxxx,JEC,"コード値
選択入力",,●,●,●,, , , , , ,,,,,,,,,,,,,,,,,,,,
174,ヘッダ部,UN01005992,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_ Trade Settlement,,,,,,,,,,,明細文書ヘッダ／決済グループ,明細文書の決済に関するグループ。,0..1,,v4, , ,,     ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
175,ヘッダ部,UN01005994,ABIE,,,,,CIIL_ Supply Chain_ Trade Settlement. Details,,,,,,,,,,明細文書ヘッダ決済クラス,,－,,v4, , ,,     ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
176,ヘッダ部,UN01014647,BBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Direction. Code,,,,,,,,,明細文書ヘッダ取引方向コード,明細文書ヘッダの取引方向を識別するコード,0..1,,v4,JECxxxx,JEC,,     ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
177,ヘッダ部,UN01005998,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,,,明細文書ヘッダ決済／明細文書ヘッダ返金グループ,明細文書ヘッダの返金グループ,0..n,,v4, , , , ,＊,＊,　,,★ ,,IBG-20,DOCUMENT LEVEL ALLOWANCES,0..n,,,,,,,,,,,,,,,,,,,,
178,ヘッダ部,UN01005706,ABIE,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,,,明細文書ヘッダ返金クラス,明細文書ヘッダ返金のクラス, -,,v4, , , , ,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
179,ヘッダ部,UN01005707,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,,,"明細文書ヘッダ返金・追加請求判別子
＝返金（Allowance）","明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子
=False(Allowance)",1..1,FALSE,v4, ,UN/CEFACT,"判別子
固定入力",FALSE,△,△,　,,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
180,ヘッダ部,UN01005713,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,,,明細文書ヘッダ返金金額,"この文書の明細文書ヘッダに紐付く返金金額
源泉所得税は含まず。鑑ヘッダで対応",0..1,3490,v4.1,"通貨コード
ISO4217",ISO, , ,＊,＊,  ,,★,,IBT-092,?  Document level allowance amount,1..1,,,,,,,,,,,,,,,,,,,,
181,ヘッダ部,UN01005714,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,,,明細文書ヘッダ返金理由コード,この明細文書ヘッダ返金の理由を識別するコード,0..1,,v4.1,UNCL5189,UN/CEFACT, , ,＊,＊,  ,,★,,IBT-098,?  Document level allowance reason code,0..1,,,,,,,,,,,,,,,,,,,,
182,ヘッダ部,UN01005715,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,,,明細文書ヘッダ返金理由,この明細文書ヘッダの明細文書ヘッダに紐付く返金金額,0..1,,v4.1,"通貨コード
ISO4217",ISO,     ,     ,＊,＊,  ,,★,,IBT-097,?  Document level allowance reason,0..1,,,,,,,,,,,,,,,,,,,,
183,ヘッダ部,UN01005716,ASBIE,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,,,明細文書ヘッダ返金／明細文書ヘッダ返金税グループ,明細文書ヘッダ返金の税に関するグループ,0..n,,v4, , , , ,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
184,ヘッダ部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,,,明細文書ヘッダ返金税クラス,明細文書ヘッダ返金の税クラス,－,,v4, , , , ,＊,＊, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
185,ヘッダ部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,明細文書ヘッダ返金課税分類コード,明細文書ヘッダ返金の課税分類コード,1..1,,v4,UNCL5305,UN/CEFACT,"コード値
選択入力","デフォルト
＝S（標準税率）",＊,＊,　,,★,,IBT-096,?  Document level allowance TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
186,ヘッダ部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,明細文書ヘッダ返金税率,明細文書ヘッダ返金の税率,0..1,,v4, , , , ,＊,＊,　,,★,,IBT-095,?  Document level allowance TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
187,ヘッダ部,UN01005998,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,,,明細文書ヘッダ文書決済／明細文書ヘッダ追加請求グループ,明細文書ヘッダの明細文書ヘッダ追加請求のグループ,0..n,,v4.1, , , , ,＊,＊,　,,★,,IBG-21,DOCUMENT LEVEL CHARGES,0..1,,,,,,,,,,,,,,,,,,,,
188,ヘッダ部,UN01005706,ABIE,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,,,明細文書ヘッダ追加請求クラス,明細文書ヘッダ返金・追加請求のクラス, -,,v4.1, , , , ,＊,＊, ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
189,ヘッダ部,UN01005707,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,,,"明細文書ヘッダ返金・追加請求判別子
＝追加請求（Charge）","明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子
＝True(Charge)",1..1,,v4.1, ,UN/CEFACT,"判別子
固定入力",TRUE,△,△,　,,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
190,ヘッダ部,UN01005713,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,,,明細文書ヘッダ追加請求金額,この明細文書ヘッダの明細文書ヘッダに紐付く追加請求金額,0..1,,v4.1,"通貨コード
ISO4217",ISO,     ,     ,＊,＊,  ,,★,,IBT-099,?  Document level charge amount,1..1,,,,,,,,,,,,,,,,,,,,
191,ヘッダ部,UN01005714,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,,,明細文書ヘッダ追加請求理由コード,この明細文書ヘッダ追加請求の理由を識別するコード,0..1,,v4.1,UNCL5189,UN/CEFACT, , ,＊,＊,  ,,★,,IBT-105,?  Document level charge reason code,0..1,,,,,,,,,,,,,,,,,,,,
192,ヘッダ部,UN01005715,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,,,明細文書ヘッダ追加請求理由,この明細文書ヘッダ追加請求の理由（内容）の説明,0..1,,v4.1,"言語コード
ISO639",ISO, , ,＊,＊,  ,,★,,IBT-104,?  Document level charge reason,0..1,,,,,,,,,,,,,,,,,,,,
193,ヘッダ部,UN01005716,ASBIE,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,,,明細文書ヘッダ返金／明細文書ヘッダ追加請求税グループ,明細文書ヘッダ追加請求の税に関するグループ,0..n,,v4.1, , , , ,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
194,ヘッダ部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,,,明細文書ヘッダ追加請求税クラス,明細文書ヘッダ追加請求の税クラス,－,,v4.1, , , , ,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
195,ヘッダ部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,明細文書ヘッダ追加請求課税分類コード,明細文書ヘッダ追加請求の課税分類コード,1..1,,v4.1,UNCL5305,UN/CEFACT,"コード値
選択入力","デフォルト
＝S（標準税率）",＊,＊,　,,★,,IBT-103,?  Document level charge TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
196,ヘッダ部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,明細文書ヘッダ追加請求税率,明細文書ヘッダ追加請求の税率,0..1,,v4.1, , , , ,＊,＊,　,,★,,IBT-102,?  Document level charge TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
197,ヘッダ部,UN01005996,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,明細文書ヘッダ決済／明細文書ヘッダ税グループ,明細文書ヘッダの税に関するグループ。,1..n,,v1, , , , ,○,○,,,☆,,IBG-23,TAX BREAKDOWN,1..n,,,,,,,,,,,,,,,,,,,,
198,ヘッダ部,UN01005832,ABIE,,,,,,,CI_ Trade_ Tax. Details,,,,,,,,明細文書ヘッダ税クラス,明細文書ヘッダの税に関する情報からなるクラス, -,,v1, , , , ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
199,ヘッダ部,UN01005833,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,明細文書ヘッダ課税分類税額,"明細文書ヘッダの課税分類毎に端数処理計算した税額。
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする
＜税抜きの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率
＜税込みの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率／(１＋税率)",0..1,26000,v2,"通貨コード
ISO4217",ISO,"
属性コード値
選択入力
","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",●,◎,,※,☆,1,IBT-117,?  TAX category tax amount,1..1,,,,,,,,,,,,,,,,,,,,
200,ヘッダ部,UN01005839,BBIE,,,,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,,,明細文書ヘッダ課税分類課税対象合計金額（税抜き）,"=Σ明細行課税分類譲渡資産合計金額＋Σ明細文書ヘッダ追加請求金額ーΣ明細文書ヘッダ返金金額
「明細文書ヘッダ税計算方式」のコード値指定により税抜き、税込みを識別する",0..1,260000,v2/v4.3,"通貨コード
ISO4217",ISO,"
属性コード値
選択入力
","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",●,（◎）,,※,☆,1,IBT-116,?  TAX category taxable amount,1..1,,,,,,,,,,,,,,,,,,,,
201,ヘッダ部,UN01005841,BBIE,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,明細文書ヘッダ課税分類コード,"明細文書ヘッダの課税分類（標準税率、軽減税率、不課税、非課税、免税等）を識別するコード
課税分類ごとにクラスを設ける",1..1,S,v3,UNCL5305,UN/CEFACT,"
コード値
選択入力
","デフォルト
＝S（標準税率）",●,●,,※,☆,,IBT-118,?  TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
202,ヘッダ部,UN01007174,BBIE,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,,,明細文書ヘッダ税率,明細文書ヘッダヘッダの課税分類毎の税額計算のための率。,0..1,10,v1/v2,　,　,,,●,◎,,※,★,1,IBT-119,?  TAX category rate,0..1,,,,,,,,,,,,,,,,,,,,
203,ヘッダ部,UN01013040,BBIE,,,,,,,,CI_ Trade_ Tax. Grand Total. Amount,,,,,,,明細文書ヘッダ課税分類課税対象合計金額（税込み）,"＝明細文書ヘッダ課税分類課税対象合計金額（税抜き）＋明細文書ヘッダ課税分類税額
または
'＝明細文書ヘッダ課税分類課税対象合計金額（税込み）",0..1,,v2/v4.3,"通貨コード
ISO4217",ISO,"
属性コード値
選択入力
","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",●,（◎）,,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
204,ヘッダ部,UN01013096,BBIE,,,,,,,,CI_ Trade_ Tax. Calculation Method. Code,,,,,,,明細文書ヘッダ税計算方式,"明細文書ヘッダの金額の税込み、税抜きを指定。
デフォルトは「税抜き」",0..1,1,v2/v3,JECxxxx,JEC,"
コード値
選択入力
","デフォルト
＝１（税抜き）",□,□,,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
205,ヘッダ部,UN01006002,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CIIL_ Trade Settlement_ Monetary Summation,,,,,,,,,明細文書ヘッダ決済／合計金額グループ,明細文書ヘッダの合計金額に関するグループ,0..1,,v1, , , , ,●,●,,,☆,,IBG-22,DOCUMENT TOTALS,1..1,,,,,,,,,,,,,,,,,,,,
206,ヘッダ部,UN01006006,ABIE,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Details,,,,,,,,明細文書ヘッダ合計金額クラス,明細文書ヘッダ合計金額に関する情報からなるクラス,－,,v1, , , , , ,　,　, ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
207,ヘッダ部,UN01006008,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Charge Total. Amount,,,,,,,明細文書ヘッダ追加請求合計金額,"明細文書ヘッダレベルの追加請求合計金額
'=Σ明細文書ヘッダ追加請求金額",0..1,7679,v4,"通貨コード
ISO4217",ISO,"属性コード値
選択入力","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",＊,＊,,※,,,,,,,,,,,,,,,,,,,,,,,,,
208,ヘッダ部,UN01006009,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,,,,,,,明細文書ヘッダ返金合計金額,"明細文書ヘッダレベルの返金合計金額
'=Σ明細文書ヘッダ返金金額",0..1,-179,v4,"通貨コード
ISO4217",ISO,"属性コード値
選択入力","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",＊,＊,,※,,,,,,,,,,,,,,,,,,,,,,,,,
209,ヘッダ部,UN01006011,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Tax Total. Amount,,,,,,,明細文書ヘッダ消費税合計額,"明細文書ヘッダ消費税の合計税額
'=（明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額）×税率
（明細文書ヘッダ課税分類コード＝S/AA）",0..1,26000,v1,"通貨コード
ISO4217",ISO,"属性コード値
選択入力","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",＊,＊,,※,☆,,IBT-110,?  Invoice total TAX amount,1..1,,,,,,,,,,,,,,,,,,,,
210,ヘッダ部,UN01008456,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,,,,,,,明細文書ヘッダ譲渡資産合計金額(税抜き),=Σ明細行譲渡資産金額（税抜き）,0..1,252500,v1,"通貨コード
ISO4217",ISO,"属性コード値
選択入力","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",＊,＊,,※,☆,,IBT-106,?  Sum of Invoice line net amount,1..1,,,,,,,,,,,,,,,,,,,,
211,ヘッダ部,UN01008457,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,,,,,,,明細文書ヘッダ譲渡資産合計金額(税込み),=Σ明細文書明細行譲渡資産金額（税込み）,0..1,,v2,"通貨コード
ISO4217",ISO,"属性コード値
選択入力","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",□,□,,,  ,、。,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
212,ヘッダ部,UN01011519,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Grand Total. Amount,,,,,,,明細文書ヘッダ課税対象総合計金額（税込み）,"明細文書ヘッダ課税対象取引合計金額（税込み）
'=明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額＋明細文書ヘッダ消費税合計額
（明細文書ヘッダ課税分類コード＝S/AA）",0..1,289490,V4,"通貨コード
ISO4217",ISO,"
属性コード値
選択入力
","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",●,●,,※,☆,,IBT-112,?  Invoice total amount with TAX,1..1,,,,,,,,,,,,,,,,,,,,
213,ヘッダ部,JPSxxxxxxxx,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Tax Free Total. Amount,,,,,,,明細文書ヘッダ課税対象外合計金額,"明細文書ヘッダの課税対象外合計金額。
'=Σ明細行課税対象外取引金額
（明細行課税分類コード＝E/G/O）",0..1,3490,v4.3,"通貨コード
ISO4217",ISO,"
属性コード値
選択入力
","金額/＠通貨コード値
デフォルト
＝JPY（日本円）",＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,ヘッダ部,UN01006005,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Additional_ Referenced. CI_ Referenced_ Document,,,,,,,,,明細文書ヘッダ決済／参照文書グループ,明細文書ヘッダ決済の参照文書に関するグループ,0..n,,v4.1,  ,  , , ,● ,● ,● ,,★ ,,IBG-24,ADDITIONAL SUPPORTING DOCUMENTS,0..n,,,,,,,,,,,,,,,,,,,,
215,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,,,（明細文書ヘッダ参照）文書クラス,明細文書ヘッダの参照文書クラス,－,,v4.1,  ,  , , , , ,　, ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
216,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,（明細文書ヘッダ参照）文書ID,この明細文書ヘッダが参照する文書の文書ID,1..1,,v4.1,  ,  , , ,●,●,●,※,★,,IBT-122,?  Supporting document reference,1..1,,,,,,,,,,,,,,,,,,,,
217,ヘッダ部,UN01005581,BBIE,,,,,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,（明細文書ヘッダ参照）文書URL_ID,この文書が参照する文書が所在するURL_ID,0..1,,v4.3, , ,  ,  ,●,●,●,（※）,★,,IBT-124,?  External document location,"0,,1",,,,,,,,,,,,,,,,,,,,
218,ヘッダ部,UN01005582,BBIE,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,（明細文書ヘッダ参照）文書発行日,この明細文書ヘッダが参照する文書に記載の発行日付,0..1,,v4.1,日時様式 ISO8601,ISO, ,YYYY-MM-DD,●,●,●,※,,,,,,,,,,,,,,,,,,,,,,,,,
219,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,（明細文書ヘッダ参照）文書履歴ID,この明細文書ヘッダの参照文書の変更履歴を管理するID。,0..1,,v4.1,　,　, , ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
220,ヘッダ部,UN01006415,BBIE,,,,,,,,CI_ Referenced_ Document. Information. Text,,,,,,,（明細文書ヘッダ参照）文書説明,この明細文書ヘッダの参照文書の説明,0..n,,v4.1,"言語コード
ISO639",ISO, , ,＊,＊,＊,,★,,IBT-123,?  Supporting document description,0..1,,,,,,,,,,,,,,,,,,,,
221,ヘッダ部,UN01009672,BBIE,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,,,（明細文書ヘッダ参照）文書タイプコード,この明細文書ヘッダの参照文書の文書タイプを識別するコード,0..1,,v4.1,UNCL1001,UN/CEFACT, , ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
222,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,（明細文書ヘッダ参照）文書サブタイプコード,この明細文書ヘッダの参照文書の文書サブタイプを識別するコード,0..1,,v4.1,JECxxxx,JEC, , ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
223,ヘッダ部,UN01006079,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,,,,,,,,,明細文書ヘッダ決済／会計アカウントグループ,この明細文書ヘッダの会計アカウントに関するグループ,0..1,,v4.1,  ,  ,,  ,▽,▽,▽,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
224,ヘッダ部,UN01005680,ABIE,,,,,,,CI_ Trade_ Accounting Account. Details,,,,,,,,会計アカウントクラス,会計アカウントに関するクラス,－,,v4.1,  ,  ,,  ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
225,ヘッダ部,UN01005681,BBIE,,,,,,,,CI_ Trade_ Accounting Account. Identification. Identifier,,,,,,,明細文書ヘッダ会計アカウントID,明細文書ヘッダ会計アカウントのID,1..1,,v4.3,,,,,▽,▽,▽,※,★,,IBT-019,Buyer accounting reference,0..1,,,,,,,,,,,,,,,,,,,,
226,ヘッダ部,UN01005683,BBIE,,,,,,,,CI_ Trade_ Accounting Account. Type. Code,,,,,,,明細文書ヘッダ会計アカウントタイプコード,明細文書ヘッダ会計アカウントのタイプコード,0..1,,v4.1,,,,  ,▽,▽,▽,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
227,ヘッダ部,UN01005685,BBIE,,,,,,,,CI_ Trade_ Accounting Account. Name. Text,,,,,,,明細文書ヘッダ会計アカウント名,明細文書ヘッダ会計アカウントの名称,0..1,,v4.1,  ,  ,,  ,▽,▽,▽,,,,,,,,,,,,,,,,,,,,,,,,,,
228,明細部,UN01009669,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Subordinate. CIILB_ Subordinate_ Trade Line Item,,,,,,,,,,,明細文書ヘッダ／明細行グループ,明細文書ヘッダの明細行に関するグループ。,1..n,,v1, , ,,     ,○,○,○,,☆,,IBG-25,INVOICE LINE,1..n,,,,,,,,,,,,,,,,,,,,
229,明細部,UN01009647,ABIE,,,,,CIILB_ Subordinate_ Trade Line Item. Details,,,,,,,,,,明細行クラス,明細行に関する情報からなるクラス, -,,v1, , ,,     ,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
230,明細部,UN01009648,BBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Identification. Identifier,,,,,,,,,明細行ID,この文書の明細行に関する情報を特定するために付与した行ID。明細行をユニークに識別するために付番する場合は文書IDとの複合キーで明細行を特定する。,1..1,L1,v1, , ,,     ,△,△,△,,☆,1,IBT-126,?  Invoice line identifier,1..1,,,,,,,,,,,,,,,,,,,,
231,明細部,UN01014637,BBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Category. Code,,,,,,,,,明細行類型コード,"この明細行の取引類型（資産譲渡、返金、追加請求、調整等）を識別するコード。
デフォルトは「資産譲渡」",0..1,101,v4,JECxxxx,JEC,"
コード値
選択入力
","デフォルト
＝101（資産譲渡）",●,●,●,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
232,明細部,UN01015533,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Included. CI_ Note,,,,,,,,,明細行／注釈グループ,明細行の注釈に関するグループ,0..n,,v4.2,　,　,,　,＊,＊,＊,,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
233,明細部,UN01005557,ABIE,,,,,,,CI_ Note. Details,,,,,,,,明細行注釈クラス,明細行の注釈を記述するクラス, -,,v4.1, , ,,     ,, , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
234,明細部,UN01005560,BBIE,,,,,,,,CI_ Note. Content. Text,,,,,,,明細行注釈内容,"明細行の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",0..1,The equipment has 3 year warranty.,v4.1,"言語コード
ISO639",ISO,,     ,＊,＊,＊,,★,,IBT-127,?  Invoice line note,0..1,,,,,,,,,,,,,,,,,,,,
235,明細部,UN01009649,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Agreement,,,,,,,,,明細行／取引契約グループ,明細行の取引契約に関するグループ,1..1,,v1, , ,,     ,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
236,明細部,UN01009653,ABIE,,,,,,,CIILB_ Supply Chain_ Trade Agreement. Details,,,,,,,,取引契約クラス,取引契約に関する情報からなるクラス,－,,v1, , ,,     ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
237,明細部,UN01009656,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,,,,,,,明細行契約／明細行参照文書グループ,取引契約と明細行参照文書に関するグループ,0..1,,v4, , ,,     ,●,●,●,,★,,IBG-36,?  LINE DOCUMENT REFERENCE,0..1,,,,,,,,,,,,,,,,,,,,
238,明細部,UN01005579,ABIE,,,,,,,,,CI_ Referenced_ Document. Details,,,,,,（明細行参照）文書クラス,明細行の参照文書クラス,－,,v4, , ,,     ,,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
239,明細部,UN01005580,BBIE,,,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,（明細行参照）文書ID,この明細行が参照する文書に記載の文書ID。,1..1,D001-1,v4, , ,,     ,●,●,●,※,★,,IBT-188,? ?  Invoice line document identifier,1..1,,,,,,,,,,,,,,,,,,,,
