nr,category,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_sme,label_csv,definition_sme,multiplicity_sme,selector,fixed_value,version,code_list,issueing_agency,input_method,input_value,xml_imput_sing,selfbilling,amendment_selfbilling,single_selfbilling,core_selfbilling,accounting,JP PINT v1.0,Id,Business Term,Card.
,,UN01005670,ABIE,,,,CI_ Trade Settlement_ Payment Means. Details,,,,,,,,,,,支払手段クラス,,取引決済の目的で支払が行われる、あるいは行われた手段のクラス,,,,v4,,,,,,,,,,,,,,
288,ヘッダ部,UN01005672,BBIE,,,,,CI_ Trade Settlement_ Payment Means. Type. Code,,,,,,,,,,支払手段タイプコード,支払手段タイプコード,取引決済手段のタイプを識別するコード,0..1,,,v4,UNCL4461 D24Aと一致. / UNTDED 4461 Payment means code <Code identifying a means of payment.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred4461.htm | XMLSchema /uncefact/codelist/standard/UNECE_PaymentMeansCode_D23A.xsd,UN/CEFACT, , ,,＊,＊,＊,＊,,☆,IBT-081,> Payment means type code,1..1
289,ヘッダ部,UN01011456,BBIE,,,,,CI_ Trade Settlement_ Payment Means. Information. Text,,,,,,,,,,支払手段情報,支払手段情報,取引決済手段に関する情報,0..1,,,v4,,, , ,,＊,＊,＊,＊,,★,IBT-082,> Payment means text,0..1
290,ヘッダ部,UN01015504,BBIE,,,,,CI_ Trade Settlement_ Payment Means. Paid. Amount,,,,,,,,,,支払金額,支払金額,取引決済手段で支払う金額,0..1,,,v4.0.1,,, , ,,＊,＊,＊,＊,,,,,
,,UN01005677,ASBIE,,,,,CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account,,,,,,,,,,支払手段金融口座グループ,,取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005398,ABIE,,,,,CI_ Creditor_ Financial Account. Details,,,,,,,,,,金融口座クラス,,債権者の銀行口座のクラス,,,,v1,,,,,,,,,,,,,,
293,ヘッダ部,UN01005400,BBIE,,,,,,CI_ Creditor_ Financial Account. Account Name. Text,,,,,,,,,口座名義,口座名義,"債権者金融口座の、文字で表現された口座名。
半角カナ（日本の場合）",0..1,,,v1,,, , ,,●,●,●,●,,★,IBT-085,>> Payment account name,0..1
294,ヘッダ部,UN01005401,BBIE,,,,,,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,,,,,,,,,口座番号,口座番号,債権者金融口座の一意の所有者ID。,0..1,,,v1,D24A TDED 3492 Seller Bank Account Identifier <To identify an account with the bank designated to receive payment> (an..10) コード値不明 https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,    , , ,,●,●,●,●,,☆,IBT-084,>> Payment account identifier,1..1
295,ヘッダ部,UN01012127,BBIE,,,,,,CI_ Creditor_ Financial Account. Type. Code,,,,,,,,,口座種別コード,口座種別コード,債権者金融口座種別のコード。,0..1,,,v4,預金項目コード / D24A TDED4437,全銀協, , ,,●,●,●,●,,★ 口座番号に組込み,,,
,,UN01005679,ASBIE,,,,,CI_ Trade Settlement_ Payment Means. Payee_ Specified. CI_ Creditor_ Financial Institution,,,,,,,,,,支払手段金融機関グループ,,取引決済の支払手段に対して特定された受取人である当事者の債権者金融機関のグループ,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005402,ABIE,,,,,CI_ Creditor_ Financial Institution. Details,,,,,,,,,,金融機関クラス,,金額を受け取る当事者の銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業機関。,,,,v1,,,,,,,,,,,,,,
298,ヘッダ部,UN01005426,BBIE,,,,,,CI_ Creditor_ Financial Institution. Name. Text,,,,,,,,,金融機関名,金融機関名,債権者金融機関の、文字で表現された名前。,0..1,,,v1,D24A TDED 3432 Institution name <Name of an institution.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3432.htm,, , ,,●,●,●,●,,★ 口座番号に組込み,,,
299,ヘッダ部,UN01011521,BBIE,,,,,,CI_ Creditor_ Financial Institution. Japan Financial Institution Common_ Identification. Identifier,,,,,,,,,金融機関番号,金融機関番号,債権者の金融機関番号（日本の場合）,0..1,,,v1,D24A TDED 3433 Institution name code <Code specifying the name of an institution.> (an..11) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3433.htm,, , ,,＊,＊,＊,＊,,,,,
,,UN01005428,ASBIE,,,,,,CI_ Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution,,,,,,,,,金融機関金融機関支店グループ,,債権者金融機関の支店金融機関グループ,0..1,,,v1,,,,,,,,,,,,,,
,,UN01003138,ABIE,,,,,,Branch_ Financial Institution. Details,,,,,,,,,金融機関支店クラス,,銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門のクラス。主に金融サービスと金融取引を提供するために設立された機関の支店。,,,,v1,,,,,,,,,,,,,,
302,ヘッダ部,UN01003139,BBIE,,,,,,,Branch_ Financial Institution. Identification. Identifier,,,,,,,,金融機関支店番号,金融機関支店番号,金融機関のこの支店の一意ID,0..1,,,v1,D24A TDED 3433 Institution name code <Code specifying the name of an institution.> (an..11) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3433.htm,, , ,,＊,＊,＊,＊,,,,,
303,ヘッダ部,UN01003140,BBIE,,,,,,,Branch_ Financial Institution. Name. Text,,,,,,,,金融機関支店名,金融機関支店名,金融機関のこの支店の、文字で表現された名前,0..1,,,v1,D24A TDED 3432 Institution name <Name of an institution.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3432.htm,, , ,,●,●,●,●,,★ 口座番号に組込み,,,
,,UN01006057,ASBIE,,,,,CI_ Trade Settlement_ Payment Means. Applicable. Trade Settlement_ Financial Card,,,,,,,,,,支払手段金融カードグループ,,支払手段の金融カードに関するグループ,0..1,,,v4,,,,,,,,,,,,,,
,,UN01004493,ABIE,,,,,Trade Settlement_ Financial Card. Details,,,,,,,,,,金融カードクラス,,支払人の金融カードのクラス,,,,v4,,,,,,,,,,,,,,
306,ヘッダ部,UN01004495,BBIE,,,,,,Trade Settlement_ Financial Card. Identification. Identifier,,,,,,,,,金融カード番号,金融カード番号,支払人の金融カード番号,1..1,,,v4,,    , , ,,＊,＊,＊,＊,,★,IBT-087,>> Payment card primary account number,0..1
307,ヘッダ部,UN01004496,BBIE,,,,,,Trade Settlement_ Financial Card. Type. Code,,,,,,,,,金融カードタイプ,金融カードタイプ,金融カードのタイプ,0..1,,,v4,,    , , ,,＊,＊,＊,＊,,,,,
308,ヘッダ部,UN01004497,BBIE,,,,,,Trade Settlement_ Financial Card. Cardholder Name. Text,,,,,,,,,金融カード名義人名,金融カード名義人名,支払人の金融カード名義人名,0..1,,,v4,,,,,,＊,＊,＊,＊,,★,IBT-088,>> Payment card holder name,0..1
309,ヘッダ部,UN01009966,BBIE,,,,,,Trade Settlement_ Financial Card. Issuing Company Name. Text,,,,,,,,,金融カード発行企業名,金融カード発行企業名,金融カードの発行企業名,0..1,,,v4,,,,,,＊,＊,＊,＊,,,,,
,,UN01005924,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,,,決済税グループ,インボイス文書税,インボイス文書の鑑ヘッダの税に関するグループ,0..n,,,v4,,,,,,,,,,,,,,
,,UN01005832,ABIE,,,,CI_ Trade_ Tax. Details,,,,,,,,,,,税クラス,,鑑ヘッダの税に関する情報からなるクラス,,,,v4,,,,,,,,,,,,,,
312,ヘッダ部,UN01005833,BBIE,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,,,,鑑ヘッダ課税分類税額,インボイス文書課税分類税額,"鑑ヘッダの明細文書課税分類別税額の合計金額
鑑ヘッダでは複数明細文書税額の積み上げだけを行い、税額計算は行わない",0..1,,,v4,,, , ,,＊,＊,＊,＊,,,,,
313,ヘッダ部,UN01005841,BBIE,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,,,,鑑ヘッダ課税分類コード,インボイス文書課税分類コード,消費税[VAT」の課税分類（標準税率、軽減税率、非課税、免税、不課税）を識別するコード,0..1,,,v4,UNCL5305 D24Aと一致. / UNTDED 5305 Duty or tax or fee category code <Code specifying a duty or tax or fee category.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred5305.htm | XMLSchema /uncefact/codelist/standard/UNECE_DutyorTaxorFeeCategoryCode_D23A.xsd,UN/CEFACT, , ,,＊,＊,＊,＊,,,,,
314,ヘッダ部,UN01005850,BBIE,,,,,CI_ Trade_ Tax. Category Name. Text,,,,,,,,,,鑑ヘッダ課税分類名,インボイス文書課税分類名,消費税の課税分類（標準税率、軽減税率、非課税、免税等）の名称,0..1,,,v4,,, , ,,＊,＊,＊,＊,,,,,
315,ヘッダ部,UN01007174,BBIE,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,,,,,,鑑ヘッダ税率,インボイス文書税率,課税分類に対応する消費税率のパーセント表示,0..1,,,v4,D24A TDED 5510 Valuation Adjustment Percentage Numeric  <Percentage adjustment made to the valuation > (n..18) 数字 https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,    , , ,,＊,＊,＊,＊,,,,,
316,ヘッダ部,UN01013096,BBIE,,,,,CI_ Trade_ Tax. Calculation Method. Code,,,,,,,,,,鑑ヘッダ税計算方式,インボイス文書税計算方式コード,"インボイス文書の「税抜き」「税込み」を識別するコード
デフォルトは「税抜き」",0..1,,,v4,JECxxxx D24A定義なし,JEC, , ,,●,●,●,●,,,,,
317,ヘッダ部,UN01014650,BBIE,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,,,,,,鑑ヘッダ適用税制ID,インボイス文書適用税制ID,"地域固有の文書のタイプを識別するコード
デフォルトは「2019」",0..1,,,v4,JECxxxx D24A定義なし,JEC, , ,,＊,＊,＊,＊,,,,,
,,UN01005924,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,,,決済税グループ,明細文書税,明細文書ヘッダの税に関するグループ。,1..n,Currency Code=Invoice_ Currency. Code,,v1,,,,,,,,,,,,,,
,,UN01005832,ABIE,,,,CI_ Trade_ Tax. Details,,,,,,,,,,,税クラス,,明細文書ヘッダの税に関する情報からなるクラス,,,,v1,,,,,,,,,,,,,,
452,ヘッダ部,UN01005833,BBIE,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,,,,明細文書ヘッダ課税分類税額,明細文書課税分類税額,"明細文書ヘッダの課税分類毎に端数処理計算した税額。
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする
＜税抜きの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率
＜税込みの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率／(１＋税率)",0..1,,,v2,,,,,,◎,◎,◎,◎,,☆,IBT-117,> TAX category tax amount,1..1
453,ヘッダ部,UN01005834,BBIE,,,,,CI_ Trade_ Tax. Type. Code,,,,,,,,,,明細文書ヘッダ税タイプコード,明細文書税タイプコード,"税の種類を識別するコード。デフォルトは消費税
消費税：VAT。源泉所得税：SWT",0..1,,,v1/v2,"UNCL5153 D24Aと一致. / UNTDED 5153 Duty or tax or fee type name code <Code specifying a type of duty, tax or fee.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred5153.htm | XMLSchema /uncefact/codelist/standard/UNECE_DutyTaxFeeTypeCode_D23A.xsd",UN/CEFACT, , ,,＊,＊,＊,＊,,,,,
454,ヘッダ部,UN01005836,BBIE,,,,,CI_ Trade_ Tax. Calculated. Rate,,,,,,,,,,明細文書ヘッダ税率,明細文書税率,明細文書ヘッダの課税分類毎の税額計算のための率。,0..1,,,v1/v2,,　, , ,,◎,◎,◎,◎,,★,IBT-119,> TAX category rate,0..1
455,ヘッダ部,UN01005839,BBIE,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,,,,,,明細文書ヘッダ課税分類課税対象合計金額（税抜き／税込み）,明細文書課税分類課税対象合計金額（税抜き税込み）,"Σ明細行課税分類譲渡資産合計金額＋Σ明細文書ヘッダ追加請求金額ーΣ明細文書ヘッダ返金金額
「鑑ヘッダ税計算方式」のコード値指定により税抜き、税込みを識別する",0..1,,,v2/v4.3,,,,,,◎,◎,◎,◎,,☆,IBT-116,> TAX category taxable amount,1..1
456,ヘッダ部,UN01005841,BBIE,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,,,,明細文書ヘッダ課税分類コード,明細文書課税分類コード,"明細文書ヘッダの課税分類（標準税率、軽減税率、不課税、非課税、免税等）を識別するコード
課税分類ごとにクラスを設ける",1..1,,,v3,UNCL5305 D24Aと一致. / UNTDED 5305 Duty or tax or fee category code <Code specifying a duty or tax or fee category.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred5305.htm | XMLSchema /uncefact/codelist/standard/UNECE_DutyorTaxorFeeCategoryCode_D23A.xsd,UN/CEFACT,"
コード値
選択入力
","デフォルト
＝S（標準税率）",,●,●,●,●,,☆,IBT-118,> TAX category code,1..1
457,ヘッダ部,UN01005842,BBIE,,,,,CI_ Trade_ Tax. Currency. Code,,,,,,,,,,課税分類税通貨コード,明細文書課税分類税通貨コード,"「JPY」または「外貨」。デフォルトは「JPY」
文書通貨コード（UN01005914）の指定と合わせる。文書通貨コードが「外貨」を指定された場合は明細文書ヘッダ税クラス（外貨建て適格請求書用）とセットで利用する",0..1,,Invoice_ Currency. Code,v4,通貨コード ISO4217 / D24A TDED 6345 Currency identification code <Code specifying a monetary unit.> (an..3) ISO 4217を使用すること https://service.unece.org/trade/untdid/d23a/tred/tred6345.htm | XMLSchema /uncefact/codelist/standard/ISO_ISO3AlphaCurrencyCode_2012-08-31.xsd,ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,●,●,●,●,,,,,
458,ヘッダ部,UN01005850,BBIE,,,,,CI_ Trade_ Tax. Category Name. Text,,,,,,,,,,明細文書ヘッダ課税分類名,明細文書課税分類名,明細文書ヘッダの課税分類（標準税率、軽減税率、不課税、非課税、免税等）の名称,0..1,,,v2,,, , ,,＊,＊,＊,＊,,,,,
459,ヘッダ部,UN01013040,BBIE,,,,,CI_ Trade_ Tax. Grand Total. Amount,,,,,,,,,,明細文書ヘッダ課税分類総合計金額,明細文書課税分類総合計金額,"明細文書ヘッダ課税分類課税対象合計金額（税抜き）＋明細文書ヘッダ課税分類税額
または
明細文書ヘッダ課税分類課税対象合計金額（税込み）",0..1,,,v2/v4.3,,,,,,●,●,●,●,,,,,
460,ヘッダ部,UN01013096,BBIE,,,,,CI_ Trade_ Tax. Calculation Method. Code,,,,,,,,,,明細文書ヘッダ税計算方式,明細文書税計算方式,"仕入税額の消費税計算方式を指定
’＝外税計算（デフォルト）
　外税計算式：税率別仕入合計金額（税抜き）×税率",0..1,,,v2/v3,JECxxxx D24A定義なし,JEC,"
コード値
選択入力
","デフォルト
＝22（外税計算）",,●,●,●,●,,,,,
461,ヘッダ部,UN01014650,BBIE,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,,,,,,明細文書ヘッダ適用税制ID,明細文書適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",0..1,,,v4,JECxxxx D24A定義なし,JEC,"
コード値
選択入力
"," デフォルト
＝2019",,＊,＊,＊,＊,,,,,
,,UN01005924,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,,,決済（日本円換算）税グループ,（日本円）明細文書税,外貨建て仕入明細書の日本円税率別課税分類合計額算出のための税グループ,0..n,Currency Code=Tax_ Currency. Code,,v4.1,,,,,,,,,,,,,,
,,UN01005832,ABIE,,,,CI_ Trade_ Tax. Details,,,,,,,,,,,（日本円換算）税クラス,,"外貨建て仕入明細書の明細文書ヘッダの税に関する情報からなるクラス
UN01005914文書通貨コード＝「外貨」、UN01005913税通貨コード＝[JPY」の場合に利用する'。（円建て請求書の場合は利用しない）",,,,v4.1,,,,,,,,,,,,,,
464,ヘッダ部,UN01005833,BBIE,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,,,,（日本円換算）明細文書ヘッダ課税分類税額,（日本円）明細文書課税分類税額,"外貨建て仕入明細書の明細明細文書ヘッダの課税分類毎に日本円に換算し、端数処理計算した税額。
属性＝「JPY」
外貨建て仕入明細書の明細明細文書ヘッダ課税分類資産譲渡合計金額×税率
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする",1..1,,,v4.1,通貨コード ISO4217 D24A定義なし / UNTDED 4217,ISO,"
属性コード値
固定入力
","金額/＠通貨コード値
＝JPY（日本円）",,●,●,●,●,,★,IBT-190,>> TAX category tax amount in accounting currency,0..1
465,ヘッダ部,,SC,,,,,,Amount. Currency. Identifier,,,,,,,,,（日本円換算）金額通貨属性ID,（日本円）明細文書課税分類税額通貨コード,金額の通貨属性を指定する識別子,1..1,,,v4.3,,,,,,●,●,●,●,,,,,
466,ヘッダ部,UN01005836,BBIE,,,,,CI_ Trade_ Tax. Calculated. Rate,,,,,,,,,,（日本円換算）明細文書ヘッダ税率,（日本円）明細文書税率,外貨建て仕入明細書の明細文書ヘッダの課税分類毎の税額計算のための率。,1..1,,,v4.1,,　, , ,,●,●,●,●,,★,IBT-193,>> TAX category rate for tax category tax amount in accounting currency,0..1
467,ヘッダ部,UN01005839,BBIE,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,,,,,,（日本円換算）明細文書ヘッダ課税分類譲渡資産合計金額（税抜き）,（日本円）明細文書課税分類譲渡資産合計金額（税抜き）,"明細行の課税分類毎の税抜き譲渡資産金額の合計金額。属性＝「JPY」
「明細文書ヘッダ課税分類譲渡資産合計金額（税抜き）(外貨）」を為替レートで「JPY」に換算",1..1,,,v4.1,通貨コード ISO4217 D24A定義なし / UNTDED 4217,ISO,"
属性コード値
固定入力
","金額/＠通貨コード値
＝JPY（日本円）",,●,●,●,●,,,,,
469,ヘッダ部,UN01005841,BBIE,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,,,,（日本円換算）明細文書ヘッダ課税分類コード,（日本円）明細文書課税分類コード,外貨建て仕入明細書の明細文書ヘッダの課税分類（標準税率、軽減税率）を識別するコード,1..1,,,v4.1,UNCL5305 D24Aと一致. / UNTDED 5305 Duty or tax or fee category code <Code specifying a duty or tax or fee category.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred5305.htm | XMLSchema /uncefact/codelist/standard/UNECE_DutyorTaxorFeeCategoryCode_D23A.xsd,UN/CEFACT,"
コード値
選択入力
","デフォルト
＝S（標準税率）",,●,●,●,●,,☆,IBT-192,>> TAX category code for tax category tax amount in accounting currency,1..1
470,ヘッダ部,UN01005842,BBIE,,,,,CI_ Trade_ Tax. Currency. Code,,,,,,,,,,（日本円換算）課税分類税通貨コード,（日本円）明細文書課税分類税通貨コード,外貨建て仕入明細書の税額を日本円で表示することを指定するコード=「JPY」,0..1,,JPY'=Tax_ Currency. Code,v4.1,通貨コード ISO4217 / D24A TDED 6345 Currency identification code <Code specifying a monetary unit.> (an..3) ISO 4217を使用すること https://service.unece.org/trade/untdid/d23a/tred/tred6345.htm | XMLSchema /uncefact/codelist/standard/ISO_ISO3AlphaCurrencyCode_2012-08-31.xsd,ISO,"コード値
固定入力",=JPY(日本円),,●,●,●,●,,,,,
471,ヘッダ部,UN01014650,BBIE,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,,,,,,（日本円換算）明細文書ヘッダ適用税制ID,（日本円）明細文書適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",0..1,,,v4.1,JECxxxx D24A定義なし,JEC, , ,,＊,＊,＊,＊,,,,,
,,UN01005925,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,,,,,,,,,,,決済取引期間グループ,,インボイス文書の取引期間に関するグループ,0..1,,,v4,,,,,,,,,,,,,,
,,UN01005608,ABIE,,,,CI_ Specified_ Period. Details,,,,,,,,,,,取引期間クラス,,鑑ヘッダ取引期間に関する情報からなるクラス,,,,v4,,,,,,,,,,,,,,
320,ヘッダ部,UN01005612,BBIE,,,,,CI_ Specified_ Period. Start. Date Time,,,,,,,,,,鑑ヘッダ取引開始日,インボイス文書取引開始日,インボイス文書の取引開始日,0..1,,,v4,,,,,,＊,＊,＊,＊,,,,,
321,ヘッダ部,UN01005613,BBIE,,,,,CI_ Specified_ Period. End. Date Time,,,,,,,,,,鑑ヘッダ取引終了日,インボイス文書取引終了日,インボイス文書の取引終了日,0..1,,,v4,,,,,,＊,＊,＊,＊,,,,,
,,UN01005925,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,,,,,,,,,,,決済取引期間グループ,,"明細文書ヘッダの取引期間に関する情報からなるグループ
明細文書ヘッダ、または明細行のいずれかの取引期間グループが法的必須
明細文書ヘッダ取引期間グループにデータ入力した場合は明細行取引期間グループのデータ入力は省略することができる",0..1,,,v4,,,,,,,,,,,,,,
,,UN01005608,ABIE,,,,CI_ Specified_ Period. Details,,,,,,,,,,,取引期間クラス,,明細文書ヘッダの取引期間に関する情報からなるクラス,,,,v4,,,,,,,,,,,,,,
474,ヘッダ部,UN01005612,BBIE,,,,,CI_ Specified_ Period. Start. Date Time,,,,,,,,,,明細文書ヘッダ取引開始日,明細文書取引開始日,この明細文書ヘッダの取引開始日,0..1,,,v4,,,,,,＊,＊,＊,＊,,★,IBT-073,>> Invoicing period start date,0..1
475,ヘッダ部,UN01005613,BBIE,,,,,CI_ Specified_ Period. End. Date Time,,,,,,,,,,明細文書ヘッダ取引終了日,明細文書取引終了日,この明細文書ヘッダの取引終了日,0..1,,,v4,,,,,,●,●,●,●,,★,IBT-074,>> Invoicing period end date,0..1
,,UN01005926,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,,,,,決済返金グループ,明細文書返金,明細文書ヘッダの返金グループ,0..n,Charge. Indicator=false,,v4,,,,,,,,,,,,,,
,,UN01005706,ABIE,,,,CI_ Trade_ Allowance Charge. Details,,,,,,,,,,,返金クラス,,明細文書ヘッダ返金のクラス,,,,v4,,,,,,,,,,,,,,
478,ヘッダ部,UN01005707,BBIE,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,,,,,,"明細文書ヘッダ返金・追加請求判別子
＝返金（Allowance）",明細文書返金判別子,明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子=false(Allowance),1..1,,FALSE,v4,,UN/CEFACT,"判別子
固定入力",,,△,△,△,△,,,,,
479,ヘッダ部,UN01005710,BBIE,,,,,CI_ Trade_ Allowance Charge. Calculation. Percent,,,,,,,,,,明細文書ヘッダ返金計算率,明細文書返金計算率,この明細文書ヘッダ返金を計算するための率,0..1,,,v4.1,,  , , ,,＊,＊,＊,,,★,IBT-094,> Document level allowance percentage,0..1
480,ヘッダ部,UN01005713,BBIE,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,,,,,,明細文書ヘッダ返金金額,明細文書返金金額,"この明細文書の明細文書ヘッダに紐付く返金金額
（源泉所得税は含まず。鑑ヘッダで相殺）",0..1,,,v4.1,,, , ,,＊,＊,＊,＊,,☆,IBT-092,> Document level allowance amount,1..1
481,ヘッダ部,UN01005714,BBIE,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,,,,,,明細文書ヘッダ返金理由コード,明細文書返金理由コード,この明細文書ヘッダ返金の理由を識別するコード,0..1,,,v4.1,UNCL4465 D24Aと一致. / UNTDED 4465 Adjustment reason description code <Code specifying the adjustment reason.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred4465.htm | XMLSchema /uncefact/codelist/standard/UNECE_AllowanceChargeReasonCode_D23A.xsd,UN/CEFACT, , ,,＊,＊,＊,＊,,★,IBT-098,> Document level allowance reason code,0..1
482,ヘッダ部,UN01005715,BBIE,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,,,,,,明細文書ヘッダ返金理由,明細文書返金理由,この明細文書ヘッダに紐付く返金の返金理由（内容）の説明,0..1,,,v4.1,,,     , ,,＊,＊,＊,＊,,★,IBT-097,> Document level allowance reason,0..1
483,ヘッダ部,UN01008286,BBIE,,,,,CI_ Trade_ Allowance Charge. Basis. Amount,,,,,,,,,,明細文書ヘッダ返金計算根拠金額,明細文書返金計算根拠金額,この明細文書ヘッダ返金の計算根拠となる金額,0..1,,,v4.1,,, , ,,＊,＊,＊,,,★,IBT-093,> Document level allowance base amount,0..1
,,UN01005716,ASBIE,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,,,,,,返金税グループ,明細文書返金税,明細文書ヘッダ返金の税に関するグループ,0..n,,,v4,,,,,,,,,,,,,,
,,UN01005832,ABIE,,,,,CI_ Trade_ Tax. Details,,,,,,,,,,返金税クラス,,明細文書ヘッダ返金の税クラス,,,,v4,,,,,,,,,,,,,,
486,ヘッダ部,UN01005841,BBIE,,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,,,明細文書ヘッダ返金課税分類コード,明細文書返金課税分類コード,明細文書ヘッダ返金の課税分類コード,1..1,,,v4,UNCL5305 D24Aと一致. / UNTDED 5305 Duty or tax or fee category code <Code specifying a duty or tax or fee category.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred5305.htm | XMLSchema /uncefact/codelist/standard/UNECE_DutyorTaxorFeeCategoryCode_D23A.xsd,UN/CEFACT,"コード値
選択入力","デフォルト
＝S（標準税率）",,＊,＊,＊,＊,,★,IBT-096,> Document level allowance TAX rate,0..1
487,ヘッダ部,UN01007174,BBIE,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,,,,,明細文書ヘッダ返金税率,明細文書返金税率,明細文書ヘッダ返金の税率,0..1,,,v4,D24A TDED 5510 Valuation Adjustment Percentage Numeric  <Percentage adjustment made to the valuation > (n..18) 数字 https://unece.org/DAM/trade/untdid/UNTDED2005.pdf, , , ,,＊,＊,＊,＊,,☆,IBT-095,> Document level allowance TAX category code,1..1
,,UN01005926,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,,,,,決済追加請求グループ,明細文書追加請求,明細文書ヘッダの明細文書ヘッダ追加請求のグループ,0..n,Charge. Indicator=true,,v4.1,,,,,,,,,,,,,,
,,UN01005706,ABIE,,,,CI_ Trade_ Allowance Charge. Details,,,,,,,,,,,追加請求クラス,,明細文書ヘッダ返金・追加請求のクラス,,,,v4.1,,,,,,,,,,,,,,
490,ヘッダ部,UN01005707,BBIE,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,,,,,,"明細文書ヘッダ返金・追加請求判別子
＝追加請求（Charge）",明細文書追加請求判別子,"明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子
＝True(Charge)",1..1,,TRUE,v4.1,,UN/CEFACT,"判別子
固定入力",TRUE,,△,△,△,△,,,,,
491,ヘッダ部,UN01005710,BBIE,,,,,CI_ Trade_ Allowance Charge. Calculation. Percent,,,,,,,,,,明細文書ヘッダ追加請求計算率,明細文書追加請求計算率,この明細文書ヘッダ追加請求を計算するための率,0..1,,,v4.1,,  , , ,,＊,＊,＊,,,★,IBT-101,> Document level charge percentage,"0,,1"
492,ヘッダ部,UN01005713,BBIE,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,,,,,,明細文書ヘッダ追加請求金額,明細文書追加請求金額,この明細文書ヘッダの明細文書ヘッダに紐付く追加請求金額,0..1,,,v4.1,,,     ,     ,,＊,＊,＊,＊,,☆,IBT-099,> Document level charge amount,1..1
