sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,DEN,version
507,2,Attribute,,Referenced_ Document,Previous Revision_ Identification,Identifier,,0..n,An identifier for a previous revision of this referenced document.,BBIE,Referenced_ Document. Previous Revision_ Identification. Identifier,January 2017
508,2,Attribute,,Referenced_ Document,Formatted_ Issue,Date Time,,0..1,The formatted date or date time for the issuance of this referenced document.,BBIE,Referenced_ Document. Formatted_ Issue. Date Time,January 2017
509,2,Composition,,Referenced_ Document,Effective,,Specified_ Period,0..1,The specified period within which this referenced document is effective.,ASBIE,Referenced_ Document. Effective. Specified_ Period,January 2017
510,2,Composition,,Referenced_ Document,Issuer,,Trade_ Party,0..1,The trade related party that issues this referenced document.,ASBIE,Referenced_ Document. Issuer. Trade_ Party,January 2017
511,2,Composition,,Referenced_ Document,Attached,,Specified_ Binary File,0..n,A specified binary file attached to this referenced document.,ASBIE,Referenced_ Document. Attached. Specified_ Binary File,January 2017
512,1,Class,,Referenced_ Product,,,,,A reference to a product or service produced by human or mechanical effort or by a natural process for trading purposes.,ABIE,Referenced_ Product. Details,January 2017
513,2,Attribute,,Referenced_ Product,Identification,Identifier,,0..n,A unique identifier for this referenced product.,BBIE,Referenced_ Product. Identification. Identifier,January 2017
514,2,Attribute,,Referenced_ Product,Global_ Identification,Identifier,,0..n,A unique global identifier for this referenced product.,BBIE,Referenced_ Product. Global_ Identification. Identifier,January 2017
515,2,Attribute,,Referenced_ Product,Seller Assigned_ Identification,Identifier,,0..1,The unique seller assigned identifier for this referenced product.,BBIE,Referenced_ Product. Seller Assigned_ Identification. Identifier,January 2017
516,2,Attribute,,Referenced_ Product,Buyer Assigned_ Identification,Identifier,,0..1,The unique buyer assigned identifier for this referenced product.,BBIE,Referenced_ Product. Buyer Assigned_ Identification. Identifier,January 2017
517,2,Attribute,,Referenced_ Product,Manufacturer Assigned_ Identification,Identifier,,0..n,A unique manufacturer assigned identifier for this referenced product.,BBIE,Referenced_ Product. Manufacturer Assigned_ Identification. Identifier,January 2017
518,2,Attribute,,Referenced_ Product,Industry Assigned_ Identification,Identifier,,0..n,A unique industry assigned identifier for this referenced product.,BBIE,Referenced_ Product. Industry Assigned_ Identification. Identifier,January 2017
519,2,Attribute,,Referenced_ Product,Name,Text,,0..n,"A name, expressed as text, for this referenced product.",BBIE,Referenced_ Product. Name. Text,January 2017
520,2,Attribute,,Referenced_ Product,Description,Text,,0..n,A textual description for this referenced product.,BBIE,Referenced_ Product. Description. Text,January 2017
521,2,Attribute,,Referenced_ Product,Relationship_ Type,Code,,0..n,A code specifying a type of relationship for this referenced product.,BBIE,Referenced_ Product. Relationship_ Type. Code,January 2017
522,2,Attribute,,Referenced_ Product,Unit,Quantity,,0..n,A unit quantity of this referenced product.,BBIE,Referenced_ Product. Unit. Quantity,January 2017
523,1,Class,,Referenced_ Standard,,,,,"A referenced norm or requirement that establishes uniform criteria, methods, processes and practices, such as in engineering or technical areas.",ABIE,Referenced_ Standard. Details,January 2017
524,2,Attribute,,Referenced_ Standard,Identification,Identifier,,0..1,The identifier of this referenced standard.,BBIE,Referenced_ Standard. Identification. Identifier,January 2017
525,2,Attribute,,Referenced_ Standard,Version,Identifier,,0..1,The identifier of the version of this referenced standard.,BBIE,Referenced_ Standard. Version. Identifier,January 2017
526,2,Attribute,,Referenced_ Standard,Element Version,Identifier,,0..1,"The identifier of the version of a specific element within the referenced standard, such as the version of a data element.",BBIE,Referenced_ Standard. Element Version. Identifier,January 2017
527,2,Attribute,,Referenced_ Standard,URI,Identifier,,0..1,The Uniform Resource Identifier (URI) for this referenced standard.,BBIE,Referenced_ Standard. URI. Identifier,January 2017
528,2,Attribute,,Referenced_ Standard,Part_ Identification,Identifier,,0..1,"The identifier of a part of this referenced standard, such as a section or topic.",BBIE,Referenced_ Standard. Part_ Identification. Identifier,January 2017
529,2,Attribute,,Referenced_ Standard,Agency,Identifier,,0..1,The identifier of the agency for this referenced standard.,BBIE,Referenced_ Standard. Agency. Identifier,January 2017
530,1,Class,,Reference_ Price,,,,,A reference to a sum of money for which something is or may be bought or sold.,ABIE,Reference_ Price. Details,January 2017
531,2,Attribute,,Reference_ Price,Charge,Amount,,0..1,The monetary value of a charged reference price.,BBIE,Reference_ Price. Charge. Amount,January 2017
532,2,Attribute,,Reference_ Price,Basis,Quantity,,0..n,A quantity on which the reference price is based.,BBIE,Reference_ Price. Basis. Quantity,January 2017
533,2,Attribute,,Reference_ Price,Net Price,Indicator,,0..n,An indication of whether or not the reference price is a net price.,BBIE,Reference_ Price. Net Price. Indicator,January 2017
534,2,Attribute,,Reference_ Price,Comparison Method,Code,,0..1,The code specifying the comparison method for this reference price.,BBIE,Reference_ Price. Comparison Method. Code,January 2017
535,1,Class,,Registered_ Tax,,,,,A registered tax or duty system pertaining to an authority.,ABIE,Registered_ Tax. Details,January 2017
536,2,Attribute,,Registered_ Tax,Type,Code,,0..1,The code specifying the type of registered tax.,BBIE,Registered_ Tax. Type. Code,January 2017
537,2,Attribute,,Registered_ Tax,Exemption Reason,Code,,0..1,The code specifying the exemption reason for this registered tax.,BBIE,Registered_ Tax. Exemption Reason. Code,January 2017
538,2,Attribute,,Registered_ Tax,Exemption Reason,Text,,0..n,"A reason, expressed as text, for exemption from this registered tax.",BBIE,Registered_ Tax. Exemption Reason. Text,January 2017
539,2,Attribute,,Registered_ Tax,Currency,Code,,0..1,The code specifying the currency for this registered tax.,BBIE,Registered_ Tax. Currency. Code,January 2017
540,2,Attribute,,Registered_ Tax,Jurisdiction,Text,,0..n,"A jurisdiction, expressed as text, for this registered tax.",BBIE,Registered_ Tax. Jurisdiction. Text,January 2017
541,2,Attribute,,Registered_ Tax,Description,Text,,0..n,A textual description of this registered tax.,BBIE,Registered_ Tax. Description. Text,January 2017
542,2,Attribute,,Registered_ Tax,Customs Duty,Indicator,,0..1,The indication of whether or not this registered tax is a customs duty.,BBIE,Registered_ Tax. Customs Duty. Indicator,January 2017
543,1,Class,,Returnable Asset_ Instructions,,,,,"The procedures to follow for returnable assets, such as reusable packaging (pallets, crates).",ABIE,Returnable Asset_ Instructions. Details,January 2017
544,2,Attribute,,Returnable Asset_ Instructions,Material,Identifier,,0..n,An identifier of the material to which these returnable asset instructions apply.,BBIE,Returnable Asset_ Instructions. Material. Identifier,January 2017
545,2,Attribute,,Returnable Asset_ Instructions,Terms And Conditions_ Description,Text,,0..n,A textual description of the terms and conditions for these returnable asset instructions.,BBIE,Returnable Asset_ Instructions. Terms And Conditions_ Description. Text,January 2017
546,2,Attribute,,Returnable Asset_ Instructions,Terms And Conditions_ Description,Code,,0..1,The code specifying the description of the terms and conditions for these returnable asset instructions.,BBIE,Returnable Asset_ Instructions. Terms And Conditions_ Description. Code,January 2017
547,2,Attribute,,Returnable Asset_ Instructions,Deposit Value_ Specified,Amount,,0..n,A deposit value specified in these returnable asset instructions.,BBIE,Returnable Asset_ Instructions. Deposit Value_ Specified. Amount,January 2017
548,2,Composition,,Returnable Asset_ Instructions,Deposit Value_ Validity,,Specified_ Period,0..1,The specified period during which the deposit value specified in these returnable asset instructions is valid.,ASBIE,Returnable Asset_ Instructions. Deposit Value_ Validity. Specified_ Period,January 2017
549,1,Class,,Spatial_ Dimension,,,,,"A measure of spatial extent of an object, such as the length, breadth or height of a shipping container.",ABIE,Spatial_ Dimension. Details,January 2017
550,2,Attribute,,Spatial_ Dimension,Value,Measure,,0..1,The measure of the value of this spatial dimension.,BBIE,Spatial_ Dimension. Value. Measure,January 2017
551,2,Attribute,,Spatial_ Dimension,Type,Code,,0..1,"The code specifying the type of spatial dimension, such as thickness, area, or volume.",BBIE,Spatial_ Dimension. Type. Code,January 2017
552,2,Attribute,,Spatial_ Dimension,Description,Text,,0..n,A textual description of this spatial dimension.,BBIE,Spatial_ Dimension. Description. Text,January 2017
553,2,Attribute,,Spatial_ Dimension,Width,Measure,,0..1,The measure of the width component of this spatial dimension.,BBIE,Spatial_ Dimension. Width. Measure,January 2017
554,2,Attribute,,Spatial_ Dimension,Length,Measure,,0..1,The measure of the length component of this spatial dimension.,BBIE,Spatial_ Dimension. Length. Measure,January 2017
555,2,Attribute,,Spatial_ Dimension,Height,Measure,,0..1,The measure of the height component of this spatial dimension.,BBIE,Spatial_ Dimension. Height. Measure,January 2017
556,2,Attribute,,Spatial_ Dimension,Identification,Identifier,,0..1,The unique identifier of this spatial dimension.,BBIE,Spatial_ Dimension. Identification. Identifier,January 2017
557,2,Attribute,,Spatial_ Dimension,Diameter,Measure,,0..1,The measure of the diameter component for this spatial dimension.,BBIE,Spatial_ Dimension. Diameter. Measure,January 2017
558,1,Class,,Specification_ Query,,,,,A formally raised question or request for information about this specification.,ABIE,Specification_ Query. Details,January 2017
559,2,Attribute,,Specification_ Query,Identification,Identifier,,1..1,The unique identifier for this specification query.,BBIE,Specification_ Query. Identification. Identifier,January 2017
560,2,Attribute,,Specification_ Query,Type,Code,,0..1,The code specifying the type of specification query.,BBIE,Specification_ Query. Type. Code,January 2017
561,2,Attribute,,Specification_ Query,Content,Text,,1..1,"The content, expressed as text, of this specification query.",BBIE,Specification_ Query. Content. Text,January 2017
562,2,Attribute,,Specification_ Query,Contractual Language,Code,,0..1,The code specifying the contractual language for this specification query.,BBIE,Specification_ Query. Contractual Language. Code,January 2017
563,1,Class,,Specification_ Response,,,,,A response to a specification query.,ABIE,Specification_ Response. Details,January 2017
564,2,Attribute,,Specification_ Response,Identification,Identifier,,1..1,The unique identifier for this specification response.,BBIE,Specification_ Response. Identification. Identifier,January 2017
565,2,Attribute,,Specification_ Response,Query_ Identification,Identifier,,0..1,The unique identifier for the query to which this response refers.,BBIE,Specification_ Response. Query_ Identification. Identifier,January 2017
566,2,Attribute,,Specification_ Response,Type,Code,,0..1,The code specifying the type of this specification response.,BBIE,Specification_ Response. Type. Code,January 2017
567,2,Attribute,,Specification_ Response,Content,Text,,1..1,"The content, expressed as text, of this specification response.",BBIE,Specification_ Response. Content. Text,January 2017
568,2,Attribute,,Specification_ Response,Contractual Language,Code,,0..1,The code specifying the contractual language for this specification response.,BBIE,Specification_ Response. Contractual Language. Code,January 2017
569,1,Class,,Specified_ Binary File,,,,,A specified computer file or program stored in a binary format.,ABIE,Specified_ Binary File. Details,January 2017
570,2,Attribute,,Specified_ Binary File,Identification,Identifier,,0..n,A unique identifier for this specified binary file.,BBIE,Specified_ Binary File. Identification. Identifier,January 2017
571,2,Attribute,,Specified_ Binary File,Title,Text,,0..n,"A title, expressed as text, for this specified binary file.",BBIE,Specified_ Binary File. Title. Text,January 2017
572,2,Attribute,,Specified_ Binary File,Author Name,Text,,0..n,"A name of an author, expressed as text, of this specified binary file.",BBIE,Specified_ Binary File. Author Name. Text,January 2017
573,2,Attribute,,Specified_ Binary File,Version,Identifier,,0..1,The unique version identifier for this specified binary file.,BBIE,Specified_ Binary File. Version. Identifier,January 2017
574,2,Attribute,,Specified_ Binary File,File Name,Text,,0..1,"The file name, expressed as text, of this specified binary file.",BBIE,Specified_ Binary File. File Name. Text,January 2017
575,2,Attribute,,Specified_ Binary File,URI,Identifier,,0..1,The unique Uniform Resource Identifier (URI) for this specified binary file.,BBIE,Specified_ Binary File. URI. Identifier,January 2017
576,2,Attribute,,Specified_ Binary File,MIME,Code,,0..1,The code specifying the Multipurpose Internet Mail Extensions (MIME) type for this specified binary file.,BBIE,Specified_ Binary File. MIME. Code,January 2017
577,2,Attribute,,Specified_ Binary File,Encoding,Code,,0..1,The code specifying the encoding of this specified binary file.,BBIE,Specified_ Binary File. Encoding. Code,January 2017
578,2,Attribute,,Specified_ Binary File,Character Set,Code,,0..1,The code specifying the character set for this specified binary file.,BBIE,Specified_ Binary File. Character Set. Code,January 2017
579,2,Attribute,,Specified_ Binary File,Included,Binary Object,,0..n,A binary object included in this specified binary file.,BBIE,Specified_ Binary File. Included. Binary Object,January 2017
580,2,Attribute,,Specified_ Binary File,Access,Text,,0..n,"Access information, expressed as text, for this specified binary file, such as security and download parameters.",BBIE,Specified_ Binary File. Access. Text,January 2017
581,2,Attribute,,Specified_ Binary File,Description,Text,,0..n,A textual description of this specified binary file.,BBIE,Specified_ Binary File. Description. Text,January 2017
582,2,Attribute,,Specified_ Binary File,Size,Measure,,0..1,The measure of the size of this specified binary file.,BBIE,Specified_ Binary File. Size. Measure,January 2017
583,2,Composition,,Specified_ Binary File,Access Availability,,Specified_ Period,0..1,The specified period when access to this binary file is available.,ASBIE,Specified_ Binary File. Access Availability. Specified_ Period,January 2017
584,1,Class,,Specified_ Marketplace,,,,,"An actual or virtual place where buyers and sellers interact, directly or through intermediaries, to trade goods or services.",ABIE,Specified_ Marketplace. Details,January 2017
585,2,Attribute,,Specified_ Marketplace,Identification,Identifier,,0..1,The identifier for this specified marketplace.,BBIE,Specified_ Marketplace. Identification. Identifier,January 2017
586,2,Attribute,,Specified_ Marketplace,Name,Text,,0..1,"The name, expressed as text, for this specified marketplace.",BBIE,Specified_ Marketplace. Name. Text,January 2017
587,2,Attribute,,Specified_ Marketplace,Virtual,Indicator,,0..1,"The indication of whether or not this specified marketplace is virtual, such as a web- based marketplace.",BBIE,Specified_ Marketplace. Virtual. Indicator,January 2017
588,2,Attribute,,Specified_ Marketplace,Website_ URI,Identifier,,0..n,A website Uniform Resource Identifier (URI) for this specified marketplace.,BBIE,Specified_ Marketplace. Website_ URI. Identifier,January 2017
589,2,Attribute,,Specified_ Marketplace,Sales Method,Code,,0..1,"The code specifying a sales method, such as an auction clock or mediation, for this specified marketplace.",BBIE,Specified_ Marketplace. Sales Method. Code,January 2017
590,2,Composition,,Specified_ Marketplace,Ordering,,Available_ Period,0..n,An available ordering period for this specified marketplace.,ASBIE,Specified_ Marketplace. Ordering. Available_ Period,January 2017
591,1,Class,,Specified_ Period,,,,,A specified period of time.,ABIE,Specified_ Period. Details,January 2017
592,2,Attribute,,Specified_ Period,Duration,Measure,,0..n,"A measure of the length of time for this specified time period such as hours, days, weeks, months, years.",BBIE,Specified_ Period. Duration. Measure,January 2017
593,2,Attribute,,Specified_ Period,Inclusive,Indicator,,0..1,The indication of whether or not the start and end dates are included in this specified period.,BBIE,Specified_ Period. Inclusive. Indicator,January 2017
594,2,Attribute,,Specified_ Period,Description,Text,,0..n,A textual description of this specified period of time.,BBIE,Specified_ Period. Description. Text,January 2017
595,2,Attribute,,Specified_ Period,Start,Date Time,,0..1,"The date, time, date time or other date time value for the start of this specified period of time.",BBIE,Specified_ Period. Start. Date Time,January 2017
596,2,Attribute,,Specified_ Period,End,Date Time,,0..1,"The date, time, date time or other date time value for the end of this specified period of time.",BBIE,Specified_ Period. End. Date Time,January 2017
597,2,Attribute,,Specified_ Period,Complete,Date Time,,0..1,"The date, time, date time or other date time value for a complete specified period of time expressed as a specific month, a specific week, etc.",BBIE,Specified_ Period. Complete. Date Time,January 2017
598,2,Attribute,,Specified_ Period,Open,Indicator,,0..1,The indication of whether or not an entity is open during this specified period.,BBIE,Specified_ Period. Open. Indicator,January 2017
599,2,Attribute,,Specified_ Period,Season,Code,,0..1,The code specifying the season for this specified period.,BBIE,Specified_ Period. Season. Code,January 2017
600,2,Attribute,,Specified_ Period,Identification,Identifier,,0..1,The unique identifier of this specified period.,BBIE,Specified_ Period. Identification. Identifier,January 2017
601,2,Attribute,,Specified_ Period,Name,Text,,0..n,"A name, expressed as text, of this specified period.",BBIE,Specified_ Period. Name. Text,January 2017
602,2,Attribute,,Specified_ Period,Sequence,Numeric,,0..1,A sequence number for this specified period.,BBIE,Specified_ Period. Sequence. Numeric,January 2017
603,2,Attribute,,Specified_ Period,Start Date Flexibility,Code,,0..1,The code specifying the flexibility of the start date of this specified period.,BBIE,Specified_ Period. Start Date Flexibility. Code,January 2017
604,2,Attribute,,Specified_ Period,Continuous,Indicator,,0..1,The indication of whether or not this specified period is continuous.,BBIE,Specified_ Period. Continuous. Indicator,January 2017
605,2,Attribute,,Specified_ Period,Purpose,Code,,0..1,The code specifying the purpose of this specified period.,BBIE,Specified_ Period. Purpose. Code,January 2017
606,1,Class,,Subordinate Line_ Trade Agreement,,,,,The contractual terms of a subordinate line trade agreement.,ABIE,Subordinate Line_ Trade Agreement. Details,January 2017
607,2,Composition,,Subordinate Line_ Trade Agreement,Seller_ Order,,Referenced_ Document,0..1,The seller generated order document referenced in this subordinate line trade agreement.,ASBIE,Subordinate Line_ Trade Agreement. Seller_ Order. Referenced_ Document,January 2017
608,2,Composition,,Subordinate Line_ Trade Agreement,Buyer_ Order,,Referenced_ Document,0..1,A buyer generated order document referenced in this subordinate line trade agreement.,ASBIE,Subordinate Line_ Trade Agreement. Buyer_ Order. Referenced_ Document,January 2017
609,2,Composition,,Subordinate Line_ Trade Agreement,Additional,,Referenced_ Document,0..n,An additional document referenced in this subordinate line trade agreement.,ASBIE,Subordinate Line_ Trade Agreement. Additional. Referenced_ Document,January 2017
610,2,Composition,,Subordinate Line_ Trade Agreement,Gross Price_ Product,,Trade_ Price,0..n,A gross product price in this subordinate line trade agreement.,ASBIE,Subordinate Line_ Trade Agreement. Gross Price_ Product. Trade_ Price,January 2017
611,2,Composition,,Subordinate Line_ Trade Agreement,Net Price_ Product,,Trade_ Price,0..n,A net product price in this subordinate line trade agreement.,ASBIE,Subordinate Line_ Trade Agreement. Net Price_ Product. Trade_ Price,January 2017
612,1,Class,,Subordinate Line_ Trade Delivery,,,,,Supply chain shipping arrangements and movement of products and or services including despatch and delivery.,ABIE,Subordinate Line_ Trade Delivery. Details,January 2017
613,2,Attribute,,Subordinate Line_ Trade Delivery,Package,Quantity,,0..1,The number of packages in this subordinate line trade delivery.,BBIE,Subordinate Line_ Trade Delivery. Package. Quantity,January 2017
614,2,Attribute,,Subordinate Line_ Trade Delivery,Product_ Unit,Quantity,,0..1,The number of product units in this subordinate line trade delivery.,BBIE,Subordinate Line_ Trade Delivery. Product_ Unit. Quantity,January 2017
615,2,Attribute,,Subordinate Line_ Trade Delivery,Per Package_ Unit,Quantity,,0..1,The number of units per package in this subordinate line trade delivery.,BBIE,Subordinate Line_ Trade Delivery. Per Package_ Unit. Quantity,January 2017
616,2,Composition,,Subordinate Line_ Trade Delivery,Included,,Supply Chain_ Packaging,0..n,Packaging included in this subordinate line trade delivery.,ASBIE,Subordinate Line_ Trade Delivery. Included. Supply Chain_ Packaging,January 2017
617,1,Class,,Subordinate Line_ Trade Settlement,,,,,"The information, at a subordinate line level, that enables the reconciliation of a financial transaction with the item(s) that the financial transaction is intended to settle, for example a commercial invoice.",ABIE,Subordinate Line_ Trade Settlement. Details,January 2017
618,2,Composition,,Subordinate Line_ Trade Settlement,Applicable,,Trade_ Tax,0..1,A tax applicable to this subordinate line trade settlement.,ASBIE,Subordinate Line_ Trade Settlement. Applicable. Trade_ Tax,January 2017
619,1,Class,,Subordinate_ Trade Line Item,,,,,A collection of information specific to a subordinate item being used or reported on for trade purposes.,ABIE,Subordinate_ Trade Line Item. Details,January 2017
620,2,Attribute,,Subordinate_ Trade Line Item,Identification,Identifier,,0..n,An identifier for this subordinate trade line item.,BBIE,Subordinate_ Trade Line Item. Identification. Identifier,January 2017
621,2,Composition,,Subordinate_ Trade Line Item,Specified,,Referenced_ Product,0..1,The referenced product specified for this subordinate trade line item.,ASBIE,Subordinate_ Trade Line Item. Specified. Referenced_ Product,January 2017
622,2,Composition,,Subordinate_ Trade Line Item,Applicable,,Trade_ Product,0..n,A product applicable for this subordinate trade line item.,ASBIE,Subordinate_ Trade Line Item. Applicable. Trade_ Product,January 2017
623,2,Composition,,Subordinate_ Trade Line Item,Specified,,Subordinate Line_ Trade Agreement,0..1,The trade agreement specified for this subordinate trade line item.,ASBIE,Subordinate_ Trade Line Item. Specified. Subordinate Line_ Trade Agreement,January 2017
624,2,Composition,,Subordinate_ Trade Line Item,Specified,,Subordinate Line_ Trade Delivery,0..1,The delivery specified for this subordinate trade line item.,ASBIE,Subordinate_ Trade Line Item. Specified. Subordinate Line_ Trade Delivery,January 2017
625,2,Composition,,Subordinate_ Trade Line Item,Specified,,Subordinate Line_ Trade Settlement,0..1,A trade settlement specified for this subordinate trade line item.,ASBIE,Subordinate_ Trade Line Item. Specified. Subordinate Line_ Trade Settlement,January 2017
626,1,Class,,Supply Chain_ Consignment Item,,,,,An item within a supply chain consignment of goods separately identified for transport and customs purposes.,ABIE,Supply Chain_ Consignment Item. Details,January 2017
627,2,Attribute,,Supply Chain_ Consignment Item,Type,Code,,0..1,The code specifying the type of supply chain consignment item.,BBIE,Supply Chain_ Consignment Item. Type. Code,January 2017
628,2,Attribute,,Supply Chain_ Consignment Item,Type Extension,Code,,0..1,The code used as an extension to the type code for further specifying the type of supply chain consignment item.,BBIE,Supply Chain_ Consignment Item. Type Extension. Code,January 2017
629,2,Attribute,,Supply Chain_ Consignment Item,Declared Value For Customs,Amount,,0..1,The monetary value of this supply chain consignment item as declared for customs purposes.,BBIE,Supply Chain_ Consignment Item. Declared Value For Customs. Amount,January 2017
630,2,Attribute,,Supply Chain_ Consignment Item,Declared Value For Statistics,Amount,,0..1,The monetary value of this supply chain consignment item as declared for statistical purposes.,BBIE,Supply Chain_ Consignment Item. Declared Value For Statistics. Amount,January 2017
631,2,Attribute,,Supply Chain_ Consignment Item,Invoice,Amount,,0..n,A monetary value for an invoice for this supply chain consignment item.,BBIE,Supply Chain_ Consignment Item. Invoice. Amount,January 2017
632,2,Attribute,,Supply Chain_ Consignment Item,Gross Weight,Measure,,0..1,A measure of the gross weight (mass) of this supply chain consignment item which includes packaging but excludes any transport equipment.,BBIE,Supply Chain_ Consignment Item. Gross Weight. Measure,January 2017
633,2,Attribute,,Supply Chain_ Consignment Item,Net Weight,Measure,,0..1,A measure of the net weight (mass) of this supply chain consignment item which excludes all packaging.,BBIE,Supply Chain_ Consignment Item. Net Weight. Measure,January 2017
634,2,Attribute,,Supply Chain_ Consignment Item,Tariff,Quantity,,0..1,The tariff quantity in this supply chain consignment item.,BBIE,Supply Chain_ Consignment Item. Tariff. Quantity,January 2017
635,2,Composition,,Supply Chain_ Consignment Item,Nature Identification,,Transport_ Cargo,0..1,"Transport cargo details of this supply chain consignment item sufficient to identify its nature for customs, statistical or transport purposes.",ASBIE,Supply Chain_ Consignment Item. Nature Identification. Transport_ Cargo,January 2017
636,1,Class,,Supply Chain_ Consignment,,,,,A separately identifiable collection of goods items to be transported or available to be transported from one consignor to one consignee in a supply chain via one or more modes of transport where each consignment is the subject of one single transport contract.,ABIE,Supply Chain_ Consignment. Details,January 2017
637,2,Attribute,,Supply Chain_ Consignment,Gross Weight,Measure,,0..n,A measure of the gross weight (mass) of this supply chain consignment which includes the weight of packaging but which excludes the weight of any transport equipment.,BBIE,Supply Chain_ Consignment. Gross Weight. Measure,January 2017
638,2,Attribute,,Supply Chain_ Consignment,Net Weight,Measure,,0..n,A measure of the net weight (mass) of this consignment which excludes the weight of packaging of this supply chain consignment and that of any transport equipment.,BBIE,Supply Chain_ Consignment. Net Weight. Measure,January 2017
639,2,Attribute,,Supply Chain_ Consignment,Gross Volume,Measure,,0..n,"A measure of the gross volume, normally calculated by multiplying the maximum length, width and height of this supply chain consignment.",BBIE,Supply Chain_ Consignment. Gross Volume. Measure,January 2017
640,2,Attribute,,Supply Chain_ Consignment,Insurance Premium,Amount,,0..1,The monetary value of the insurance premium for this supply chain consignment.,BBIE,Supply Chain_ Consignment. Insurance Premium. Amount,January 2017
641,2,Attribute,,Supply Chain_ Consignment,Associated Invoice,Amount,,0..n,A monetary value of an invoice associated with this supply chain consignment.,BBIE,Supply Chain_ Consignment. Associated Invoice. Amount,January 2017
642,2,Attribute,,Supply Chain_ Consignment,Total Charge,Amount,,0..1,The total monetary value of all freight and other service charges for this supply chain consignment.,BBIE,Supply Chain_ Consignment. Total Charge. Amount,January 2017
643,2,Attribute,,Supply Chain_ Consignment,Declared Value For Customs,Amount,,0..1,The monetary value declared for customs purposes for this supply chain consignment.,BBIE,Supply Chain_ Consignment. Declared Value For Customs. Amount,January 2017
644,2,Attribute,,Supply Chain_ Consignment,Package,Quantity,,0..1,The number of packages within this supply chain consignment.,BBIE,Supply Chain_ Consignment. Package. Quantity,January 2017
645,2,Composition,,Supply Chain_ Consignment,Consignor,,Trade_ Party,0..1,The consignor party for this supply chain consignment.,ASBIE,Supply Chain_ Consignment. Consignor. Trade_ Party,January 2017
646,2,Composition,,Supply Chain_ Consignment,Consignee,,Trade_ Party,0..1,The consignee party for this supply chain consignment.,ASBIE,Supply Chain_ Consignment. Consignee. Trade_ Party,January 2017
647,2,Composition,,Supply Chain_ Consignment,Carrier,,Trade_ Party,0..1,The carrier party for this supply chain consignment.,ASBIE,Supply Chain_ Consignment. Carrier. Trade_ Party,January 2017
648,2,Composition,,Supply Chain_ Consignment,Freight Forwarder,,Trade_ Party,0..1,The freight forwarder party for this supply chain consignment.,ASBIE,Supply Chain_ Consignment. Freight Forwarder. Trade_ Party,January 2017
649,2,Composition,,Supply Chain_ Consignment,Delivery,,Trade_ Party,0..1,"The party to whom this supply chain consignment will be, or has been, delivered.",ASBIE,Supply Chain_ Consignment. Delivery. Trade_ Party,January 2017
650,2,Composition,,Supply Chain_ Consignment,Customs Import Agent,,Trade_ Party,0..1,"The party acting as an agent for, or on behalf of, the consignee with respect to the customs import procedures for this supply chain consignment.",ASBIE,Supply Chain_ Consignment. Customs Import Agent. Trade_ Party,January 2017
651,2,Composition,,Supply Chain_ Consignment,Customs Export Agent,,Trade_ Party,0..1,"The party acting as an agent for, or on behalf of, the consignor with respect to the customs export procedures for this supply chain consignment.",ASBIE,Supply Chain_ Consignment. Customs Export Agent. Trade_ Party,January 2017
652,2,Composition,,Supply Chain_ Consignment,Grouping Centre,,Trade_ Party,0..n,A grouping centre party for this supply chain consignment.,ASBIE,Supply Chain_ Consignment. Grouping Centre. Trade_ Party,January 2017
653,2,Composition,,Supply Chain_ Consignment,Transport Contract,,Referenced_ Document,0..1,"The referenced transport contract document for this supply chain consignment, such as an airwaybill or a seawaybill.",ASBIE,Supply Chain_ Consignment. Transport Contract. Referenced_ Document,January 2017
654,2,Composition,,Supply Chain_ Consignment,Associated,,Referenced_ Document,0..n,"A referenced document associated with this supply chain consignment, such as the certificate of origin or dangerous goods note.",ASBIE,Supply Chain_ Consignment. Associated. Referenced_ Document,January 2017
655,2,Composition,,Supply Chain_ Consignment,Included,,Supply Chain_ Consignment Item,0..n,A consignment item included in this supply chain consignment.,ASBIE,Supply Chain_ Consignment. Included. Supply Chain_ Consignment Item,January 2017
656,2,Composition,,Supply Chain_ Consignment,Utilized,,Logistics_ Transport Equipment,0..n,Logistics transport equipment utilized for this supply chain consignment.,ASBIE,Supply Chain_ Consignment. Utilized. Logistics_ Transport Equipment,January 2017
657,2,Composition,,Supply Chain_ Consignment,Specified,,Logistics_ Transport Movement,0..n,A logistics transport movement specified for this supply chain consignment.,ASBIE,Supply Chain_ Consignment. Specified. Logistics_ Transport Movement,January 2017
658,1,Class,,Supply Chain_ Event,,,,,A significant occurrence or happening in a supply chain.,ABIE,Supply Chain_ Event. Details,January 2017
659,2,Attribute,,Supply Chain_ Event,Identification,Identifier,,0..1,The unique identifier for this supply chain event.,BBIE,Supply Chain_ Event. Identification. Identifier,January 2017
660,2,Attribute,,Supply Chain_ Event,Occurrence,Date Time,,0..1,"A date, time, date time, or other date time value of an occurrence of this supply chain event.",BBIE,Supply Chain_ Event. Occurrence. Date Time,January 2017
661,2,Attribute,,Supply Chain_ Event,Type,Code,,0..1,A code specifying the type of supply chain event.,BBIE,Supply Chain_ Event. Type. Code,January 2017
662,2,Attribute,,Supply Chain_ Event,Description,Text,,0..n,A textual description of this supply chain event.,BBIE,Supply Chain_ Event. Description. Text,January 2017
