UNID,short_name,short_name_ja,definition,definition_ja
UN01005478,Issue Date Time,発行日時,"The date, time, date time or other date time value of issue of this CI document version.",インボイスの文書バージョンの発行日、時刻、日付時刻、またはその他の日付時刻値。
UN01005479,CI Document Context,CI文書のコンテキスト,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",取引文書のシナリオまたは設定（例：ビジネスプロセスアプリケーションコンテキスト）。
UN01005480,Transaction ID,取引ID,The identifier of a specified transaction in this CI exchanged document context.,インボイスの取引文書コンテキストにおける特定トランザクションの識別子。
UN01012746,Transaction Processing Date Time,取引処理日時,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",インボイスの取引文書コンテキストにおけるトランザクション処理の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01014648,Test Indicator,テストインジケーター,The indication of whether or not this CI exchanged document context is a test.,インボイスの取引文書コンテキストがテストであるかどうかの示唆。
UN01005481,Business Process,ビジネスプロセス,A business process CI document context parameter specified for this CI exchanged document context.,インボイスの取引文書コンテキストに対して指定されたビジネスプロセスインボイスの文書コンテキストパラメータ。
UN01005482,BIM,ビジネス情報マスター（BIM）,A Business Information Master (BIM) CI document context parameter specified for this CI exchanged document context.,インボイスの取引文書コンテキストに対して指定されたビジネス情報マスター（BIM）インボイスの文書コンテキストパラメータ。
UN01005483,Scenario,シナリオ,A scenario CI document context parameter specified for this CI exchanged document context.,インボイスの取引文書コンテキストに対して指定されたシナリオインボイスの文書コンテキストパラメータ。
UN01005484,Application,応用,An application CI document context parameter specified for this CI exchanged document context.,インボイスの取引文書コンテキストに対して指定されたアプリケーションインボイスの文書コンテキストパラメータ。
UN01005485,Guideline,ガイドライン,A guideline CI document context parameter specified for this CI exchanged document context.,インボイスの取引文書コンテキストに対して指定されたガイドラインインボイスの文書コンテキストパラメータ。
UN01005486,Subset,サブセット,A subset CI document context parameter specified for this CI exchanged document context.,インボイスの取引文書コンテキストに対して指定されたサブセットインボイスの文書コンテキストパラメータ。
UN01008333,Message Standard,メッセージ標準,The message standard CI document context parameter specified for this CI exchanged document context.,インボイスの取引文書コンテキストに対して指定されたメッセージ標準インボイスの文書コンテキストパラメータ。
UN01012742,User Specified Parameter,ユーザー指定パラメータ,A user specified document context parameter for this CI exchanged document context.,インボイスの取引文書コンテキストに対してユーザーが指定した文書コンテキストパラメータ。
UN01005487,CI Financial Adjustment,CI財務調整,A correction or modification to reflect actual Cross Industry (CI) financial conditions.,実際のインボイスの財務状況を反映するための修正または変更。
UN01005488,Reason Code,理由コード,The code specifying a reason for this CI financial adjustment.,インボイスの金額調整の理由を特定するコード。
UN01005489,Reason Text,理由テキスト,"A reason, expressed as text, for this CI financial adjustment.",インボイスの金額調整の理由（テキストで表現）。
UN01005490,Actual Amount,実際の金額,An actual monetary value added or subtracted as a result of this CI financial adjustment.,インボイスの金額調整の結果として加算または減算された実際の金額。
UN01005491,Actual Quantity,実際の数量,The actual quantity added or subtracted as a result of this CI financial adjustment.,インボイスの金額調整の結果として加算または減算された実際の数量。
UN01005492,Actual Date Time,実際の日時,"The actual date, time, date time, or other date time value of this CI financial adjustment.",インボイスの金額調整の実際の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01014649,Direction Code,方向コード,The code specifying whether the CI financial adjustment is an addition or a subtraction.,インボイスの金額調整が増額か減額かを指定するコード。
UN01009670,Claim Related Party,クレーム関連当事者,The claim related party for this CI financial adjustment.,インボイスの金額調整に関連する請求関係事業者。
UN01009671,Referenced Invoice Document,参照請求書文書,The invoice document referenced for this CI financial adjustment.,インボイスの金額調整で参照される請求書文書。
UN01014897,Related Tax,関連税,A trade tax related to this CI financial adjustment.,インボイスの金額調整に関連する取引税。
UN01005557,CI Note,CIノート,"A textual or coded Cross Industry (CI) description, such as a remark or additional information.",備考や追加情報などの、テキストまたはコード化されたインボイスの説明。
UN01005558,Subject Text,件名テキスト,"The subject, expressed as text, of this CI note.",インボイスの注記の主題（テキストで表現）。
UN01005559,Content Code,コンテンツコード,The code specifying the content of this CI note.,インボイスの注記の内容を指定するコード。
UN01005560,Content Text,コンテンツテキスト,"Content, expressed as text, of this CI note.",インボイスの注記の内容（テキストで表現）。
UN01005561,Subject Code,件名コード,The code specifying the subject of this CI note.,インボイスの注記の主題を特定するコード。
UN01005562,ID,ID,The unique identifier for this CI note.,インボイスの注記の一意の識別子。
UN01005567,CI Product Characteristic,CI製品特性,A prominent attribute or aspect of a Cross Industry (CI) product.,インボイスの製品の顕著な属性または側面。
UN01005568,ID,ID,A unique identifier for this CI product characteristic.,インボイスの製品特性の一意の識別子。
UN01005569,Type Code,タイプコード,The code specifying a type of CI product characteristic.,インボイスの製品特性の種類を指定するコード。
UN01005570,Description,説明,A textual description of this CI product characteristic.,インボイスの製品特性のテキストによる説明。
UN01005571,Value Measure,価値測定,The measure of a value for this CI product characteristic.,インボイスの製品特性の値の測定値。
UN01005572,Measurement Method Code,測定方法コード,The code specifying a measurement method for this CI product characteristic.,インボイスの製品特性の測定方法を指定するコード。
UN01008297,Content Type Code,コンテンツタイプコード,The code specifying the content type of this CI product characteristic.,インボイスの製品特性のコンテンツタイプを指定するコード。
UN01008298,Value Code,値コード,The code specifying the value of this CI product characteristic.,インボイスの製品特性の値を指定するコード。
UN01008299,Value Date Time,値日付時刻,"The value for this CI product characteristic expressed as a date, time, date time, or other date time value.",日付、時刻、日付時刻、またはその他の日付時刻値として表現された、インボイスの製品特性の値。
UN01008300,Value Indicator,価値指標,The value for this CI product characteristic expressed as an indicator.,インボイスの製品特性の値を指標として表現したもの。
UN01011457,Value Text,値テキスト,"A value, expressed as text, for this CI product characteristic.",インボイスの製品特性の値をテキストで表現したもの。
UN01008301,Applicable Referenced Standard,適用可能な参照規格,The referenced standard that is applicable to this CI product characteristic.,インボイスの製品特性に適用される参照規格。
UN01008302,Applicable Condition,適用条件,A condition applicable to this CI product characteristic.,インボイスの製品特性に適用される条件。
UN01008303,Value Binary File,値バイナリファイル,The value for this CI product characteristic expressed in a binary file.,インボイスの製品特性の値をバイナリファイルで表現したもの。
UN01005573,CI Product Classification,CI製品分類,A systematic arrangement of Cross Industry (CI) products in classes or categories according to established criteria.,確立された基準に従って、インボイスの製品をクラスまたはカテゴリーに体系的に分類したもの。
UN01005574,System ID,システムID,The unique identifier of the classification system for this CI product classification.,インボイスの製品分類の分類システムの一意の識別子。
UN01005575,System Name,システム名,"A name, expressed as text, of the classification system for this CI product classification.",インボイスの製品分類の分類システムの名称（テキストで表現）。
UN01005576,Class Code,クラスコード,The code specifying the class for this CI product classification.,インボイスの製品分類のクラスを指定するコード。
UN01005577,Class Name,クラス名,"A class name, expressed as text, for this CI product classification.",インボイスの製品分類のクラス名をテキストで表現したもの。
UN01005578,Sub-Class Code,サブクラスコード,The code specifying the sub class for this CI product classification.,インボイスの製品分類におけるサブクラスを特定するコード。
UN01007142,Product Class Characteristic,製品クラスの特性,A product characteristic for this CI product classification.,インボイスの製品分類における製品特性。
UN01008310,Applicable Referenced Standard,適用可能な参照規格,The referenced standard that is applicable to this CI product classification.,インボイスの製品分類に適用される参照規格。
UN01005579,CI Referenced Document,CI参照文書,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",インボイスの目的で参照される文書、印刷物、または電子媒体。
UN01005580,Issuer Assigned ID,発行者割り当てID,The issuer assigned identifier for this CI referenced document.,インボイスの参照文書に対して発行者が割り当てた識別子。
UN01005581,URI,URI,The unique Uniform Resource Identifier (URI) for this CI referenced document.,インボイスの参照文書に対する固有の統一リソース識別子（URI）。
UN01005582,Issue Date Time,発行日時,The date or date time for the issuance of this CI referenced document.,インボイスの参照文書の発行日または発行日時。
UN01005583,Status Code,ステータスコード,The code specifying the status for this CI referenced document.,インボイスの参照文書のステータスを指定するコード。
UN01005584,Copy Indicator,コピーインジケーター,The indication of whether or not the CI referenced document is a copy.,インボイスの参照文書が複製であるかどうかの表示。
UN01005585,Line ID,行ID,The unique identifier of a line in this CI referenced document.,インボイスの参照文書内の行の一意の識別子。
UN01005586,Reference Type Code,参照タイプコード,The code specifying the reference type of this CI referenced document.,インボイスの参照文書の参照タイプを指定するコード。
UN01005587,Global ID,グローバルID,The unique global identifier for this CI referenced document.,インボイスの参照文書に対する一意のグローバル識別子。
UN01005588,Revision ID,リビジョンID,The unique identifier for a revision of this CI referenced document.,インボイスの参照文書の改訂版に対する一意の識別子。
UN01005589,Name,名前,"A name, expressed as text, for this CI referenced document.",インボイスの参照文書の名前（テキストで表現）。
UN01006415,Information,情報,"Information, expressed as text, for this CI referenced document.",インボイスの参照文書に関する情報（テキストで表現）。
UN01007143,Previous Revision ID,前のリビジョンID,An identifier for a previous revision of this CI referenced document.,インボイスの参照文書の以前のリビジョンの識別子。
UN01007144,Section Name,セクション名,"A section name, expressed as text, for this CI referenced document.",インボイスの参照文書のセクション名をテキストで表現したもの。
UN01009672,Type Code,タイプコード,The code specifying the type of CI referenced document.,参照されるインボイスの文書のタイプを指定するコード。
UN01011455,Attached Binary Object,添付されたバイナリオブジェクト,A binary object that is attached or otherwise appended to this CI referenced document.,インボイスの参照文書に添付または付加されたバイナリオブジェクト。
UN01012725,Page ID,ページID,The identifier of the page for this CI referenced document.,インボイスの参照文書のページの識別子。
UN01012922,Receipt Date Time,受領日時,"The date, time, date time, or other date time value for the receipt of this CI referenced document.",インボイスの参照文書の受領日時、時刻、日付時刻、またはその他の日付時刻値。
UN01012923,Subordinate Line ID,従属回線ID,The identifier of the subordinate line of this CI referenced document.,インボイスの参照文書の従属行の識別子。
UN01013317,Purpose Code,目的コード,The code specifying the purpose of this CI referenced document.,インボイスの参照文書の目的を指定するコード。
UN01013318,Category Code,カテゴリーコード,The code specifying the category of this CI referenced document.,インボイスの参照文書のカテゴリを指定するコード。
UN01013374,Assigned ID,割り当てられたID,The requisitioner assigned identifier for this CI referenced document.,インボイスの参照文書に割り当てられた要求者の識別子。
UN01014899,Subtype Code,サブタイプコード,A code specifying a subtype of this CI referenced document.,インボイスの参照文書のサブタイプを指定するコード。
UN01005590,Issuer,発行者,The trade party that issued this CI referenced document.,インボイスの参照文書を発行した取引先。
UN01005591,Attached Binary File,添付されたバイナリファイル,A specified binary file attached to this CI referenced document.,インボイスの参照文書に添付された指定バイナリファイル。
UN01007145,Effective Period,有効期間,The specified period within which this CI referenced document is effective.,インボイスの参照文書が有効な指定期間。
UN01012726,Included Note,付属ノート,A note included in this CI referenced document.,インボイスの参照文書に含まれる注記。
UN01005608,CI Specified Period,CI指定期間,An interval of time specified for Cross Industry (CI) purposes.,インボイスの目的で指定された時間間隔。
UN01005609,Duration Measure,期間測定,A measure of the length of time for this CI specified period.,インボイスの指定期間の長さの尺度。
UN01005610,Inclusive Indicator,包括的指標,The indication of whether or not start and end dates are included in this CI specified period.,開始日および終了日がインボイスの指定期間に含まれるかどうかの表示。
UN01005611,Description,説明,A textual description of this CI specified period of time.,インボイスの指定期間に関するテキストによる説明。
UN01005612,Start Date Time,開始日時,"The date, time, date time or other date time value for the start of this CI specified period of time.",インボイスで指定された期間の開始日、時刻、日付時刻、またはその他の日付時刻値。
UN01005613,End Date Time,終了日時,"The date, time, date time or other date time value for the end of this CI specified period of time.",インボイスで指定された期間の終了を示す日付、時刻、日付時刻、またはその他の日付時刻値。
UN01005614,Complete Date Time,完了日時,"The date, time, date time or other date time value for a complete CI specified period of time, such as a specific month or a specific week.",特定の月や特定の週など、インボイスで指定された期間全体の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01005615,Season Code,シーズンコード,The code specifying the season for this CI specified period.,インボイスの指定期間の季節を指定するコード。
UN01005616,ID,ID,The unique identifier of this CI specified period.,インボイスの指定期間の固有識別子。
UN01005617,Name,名前,"A name, expressed as text, of this CI specified period.",インボイスの指定期間の名称（テキストで表現）。
UN01005618,Sequence Number,シーケンス番号,The sequence number for this CI specified period.,インボイスの指定期間のシーケンス番号。
UN01005619,Start Date Flexibility Code,開始日柔軟性コード,The code specifying the flexibility of the start date of this CI specified period.,インボイスの指定期間の開始日の柔軟性を指定するコード。
UN01005620,Continuous Indicator,連続インジケーター,The indication of whether or not this CI specified period is continuous.,インボイスの指定期間が連続的であるかどうかの表示。
UN01005626,CI Supply Chain Event,CIサプライチェーンイベント,An occurrence or a happening in a Cross Industry (CI) supply chain.,インボイスのサプライチェーンにおける発生または出来事。
UN01005627,ID,ID,The unique identifier for this CI supply chain event.,インボイスのサプライチェーンイベントの一意の識別子。
UN01005628,Occurrence Date Time,発生日時,"The date, time, date time, or other date time value of an occurrence of this CI supply chain event.",インボイスのサプライチェーンイベントの発生日時、日付時刻、またはその他の日付時刻値。
UN01005629,Type Code,タイプコード,The code specifying the type of CI supply chain event.,インボイスのサプライチェーンイベントのタイプを指定するコード。
UN01005630,Description,説明,A textual description of this CI supply chain event.,インボイスのサプライチェーンイベントのテキストによる説明。
UN01005631,Description Binary Object,説明バイナリオブジェクト,"Binary object data, such as a photograph, describing this CI supply chain event.",インボイスのサプライチェーンイベントを説明する写真などのバイナリオブジェクトデータ。
UN01005632,Unit Quantity,単位数量,The number of units for this CI supply chain event.,インボイスのサプライチェーンイベントの数量。
UN01006683,Latest Occurrence Date Time,最新の発生日時,"The date, time, date time, or other date time value of the latest occurrence of this CI supply chain event.",インボイスのサプライチェーンイベントの最新の発生日時、時刻、日付時刻、またはその他の日付時刻値。
UN01006684,Earliest Occurrence Date Time,最も早い発生日時,"The date, time, date time, or other date time value of the earliest occurrence of this CI supply chain event.",インボイスのサプライチェーンイベントの最も早い発生の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01011493,Occurrence Time,発生時刻,The time of an occurrence of this CI supply chain event.,インボイスのサプライチェーンイベントの発生時刻。
UN01013372,Due Date Time,期日時刻,"The due date, time, date time, or other date time value of this CI supply chain event.",インボイスのサプライチェーンイベントの期日、時刻、日付時刻、またはその他の日付時刻値。
UN01005633,Period,期間,The specified period of time during which this CI supply chain event occurs.,インボイスのサプライチェーンイベントが発生する指定期間。
UN01005634,Location,位置,The logistics location where this CI supply chain event occurs.,インボイスのサプライチェーンイベントが発生する物流拠点。
UN01005670,CI Trade Settlement Payment Means,CI取引決済支払手段,The means by which a payment will be or has been made for Cross Industry (CI) trade settlement purposes.,取引決済の目的で支払いがなされる、またはなされた手段。
UN01005671,Payment Channel Code,支払いチャネルコード,The code specifying the payment channel through which this CI trade settlement payment means is to be processed (Reference United Nations Code List (UNCL) 4435).,インボイスの取引決済の支払手段が処理される支払チャネルを指定するコード（国連コードリスト（UNCL）4435 を参照）。
UN01005672,Type Code,タイプコード,"The code specifying the type of CI trade settlement payment means, such as cash or cheque.",現金や小切手など、インボイスの取引決済の支払手段のタイプを指定するコード。
UN01005673,Guarantee Method Code,保証方法コード,The code specifying the method of guarantee for this CI trade settlement payment means.,インボイスの取引決済支払手段の保証方法を特定するコード。
UN01005674,Payment Method Code,支払い方法コード,The code specifying the method by which a payment may be made for this CI trade settlement payment means.,インボイスの取引決済支払手段に対して支払いが実行される可能性のある方法を特定するコード。
UN01005675,ID,ID,An identifier for the CI trade settlement payment means.,インボイスの取引決済支払手段の識別子。
UN01011456,Information,情報,"Information, expressed as text, for this CI trade settlement payment means.",インボイスの取引決済手段に関する情報をテキストで表現したもの。
UN01015504,Paid Amount,支払金額,The monetary value paid or to be paid by this CI trade settlement payment means.,インボイスの取引決済支払手段によって支払われた、または支払われるべき金額。
UN01005676,Payer Debtor Financial Account,支払債務者金融口座,The debtor financial account of the payer party for this CI trade settlement payment means.,インボイスの取引決済支払手段における支払者側の債務者金融口座。
UN01005677,Payee Creditor Financial Account,受取人債権者金融口座,The creditor financial account of the payee party for this CI trade settlement payment means.,インボイスの取引決済支払手段における支払先事業者の債権者金融口座。
UN01005678,Payer Debtor Financial Institution,支払人 債務者 金融機関,The debtor financial institution of the payer party specified for this CI trade settlement payment means.,インボイスの取引決済支払手段に指定された支払者側の債務者金融機関。
UN01005679,Payee Creditor Financial Institution,受取人 債権者 金融機関,The creditor financial institution of the payee party specified for this CI trade settlement payment means.,インボイスの取引決済手段に指定された支払先事業者の債権者金融機関。
UN01006057,Financial Card,金融カード,The trade settlement financial card applicable to this CI trade settlement payment means.,インボイスの取引決済支払いに適用される取引決済金融カード。
UN01005680,CI Trade Accounting Account,CI取引会計アカウント,"A specific Cross Industry (CI) trade account for recording debits and credits to general accounting, cost accounting or budget accounting.",一般会計、原価計算、または予算会計への借方および貸方を記録するための特定の取引勘定。
UN01005681,ID,ID,The unique identifier for this CI trade accounting account.,インボイスの取引会計勘定に対する固有識別子。
UN01005682,Set Trigger Code,トリガーコードの設定,The code specifying a set trigger for this CI trade accounting account to be used in response to a specific event or a set of events.,特定のイベントまたは一連のイベントに対応して使用される、インボイスの取引会計勘定に対する設定トリガーを指定するコード。
UN01005683,Type Code,タイプコード,"The code specifying the type of CI trade accounting account, such as general (main), secondary, cost accounting or budget account.",インボイスの取引会計勘定の種類（一般（メイン）、二次、原価計算、予算勘定など）を指定するコード。
UN01005684,Amount Type Code,金額種別コード,The code specifying the amount type for this CI trade accounting account.,インボイスの取引会計勘定の金額タイプを指定するコード。
UN01005685,Name,名前,"The name, expressed as text, of this CI trade accounting account.",インボイスの取引勘定の名称（テキストで表現）。
UN01005686,Cost Reference Dimension Pattern Text,コスト参照ディメンションパターンテキスト,"The cost reference dimension pattern, expressed as text, for this CI trade accounting account.",インボイスの取引会計勘定のコスト参照ディメンションパターン（テキストで表現）。
UN01015537,Sub Account ID,サブアカウントID,The identifier of the sub account for this CI trade accounting account.,インボイスの取引会計勘定のサブ勘定の識別子。
UN01005687,CI Trade Address,CI取引先住所,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,特定の取引関連組織または人物が所在し、または連絡が取れる場所。
UN01005688,ID,ID,The unique identifier for this CI trade address.,インボイスの取引先住所の一意の識別子。
UN01005689,Postcode,郵便番号,The postcode of this CI trade address.,インボイスの取引先住所の郵便番号。
UN01005690,Post Office Box,私書箱,"The identifier, expressed as text, of a post office box for this CI trade address.",インボイスの取引先住所の私書箱の識別子（テキストで表現）。
UN01005691,Building Name,建物名,"The name, expressed as text, of a building, a house or other structure on a street at this CI trade address.",インボイスの取引先住所の通りに位置する建物、家屋、その他の構造物の名称（テキスト表記）。
UN01005692,Line One,1行目,"The first free form line, expressed as text, of this CI trade address.",インボイスの取引先住所の最初の自由形式行（テキストで表現）。
UN01005693,Line Two,2行目,"The second free form line, expressed as text, of this CI trade address.",インボイスの取引先住所の2番目の自由形式行（テキストで表現）。
UN01005694,Line Three,3行目,"The third free form line, expressed as text, of this CI trade address.",インボイスの取引先住所の3番目の自由形式行（テキスト表記）。
UN01005695,Line Four,4行目,"The fourth free form line, expressed as text, of this CI trade address.",インボイスの取引先住所の4番目の自由形式行（テキスト表記）。
UN01005696,Line Five,5行目,"The fifth free form line, expressed as text, of this CI trade address.",インボイスの取引先住所の5番目の自由形式行（テキスト表記）。
UN01005697,Street Name,通り名,"The name, expressed as text, of a street or thoroughfare for this CI trade address.",インボイスの取引先住所の道路または幹線道路の名称（テキスト表記）。
UN01005698,City Name,都市名,"The name, expressed as text, of the city, town or village of this CI trade address.",インボイスの取引先住所の都市、町、または村の名称（テキスト表記）。
UN01005699,City Sub-DivisionText,市区町村区分テキスト,"The name, expressed as text, of the sub-division of a city for this CI trade address, for example a district or borough.",インボイスの取引先住所の都市の区画（例：地区、区）の名称（テキストで表現）。
UN01005700,Country Code,国コード,The unique identifier of the country for this CI trade address.,インボイスの取引先住所の国固有識別子。
UN01005701,Country Name,国名,"A name, expressed as text, of the country for this CI trade address.",インボイスの取引先住所の国名をテキストで表現したもの。
UN01005702,Country Sub-Division Code,国区分コード,The unique identifier of the sub-division of the country for this CI trade address.,インボイスの取引先住所の国における下位区分の一意の識別子。
UN01005703,Country Sub-Division Name,国区分名,"A name, expressed as text, of the sub-division of a country for this CI trade address.",インボイスの取引先住所の国の下位区分をテキストで表現した名称。
UN01005704,Attention Of,宛,"The name, expressed as text, of a person or department in the organization to whom incoming mail is marked with words such as 'for the attention of' or 'FAO' or 'ATTN' for this CI trade address.",インボイスの取引先住所宛ての郵便物に「for the attention of」「FAO」「ATTN」などの表記がされる、当該組織内の担当者または部署の名称（テキスト表記）。
UN01005705,Care Of,気付,"The name, expressed as text, of a person or organization at this CI trade address to whom incoming mail is marked with words such as 'care of' or 'C/O'.",インボイスの取引先住所において、到着郵便物に「care of」または「C/O」などの表記がされる個人または組織の名称（テキスト表記）。
UN01006054,Building Number,建物番号,"The number, expressed as text, of a building or house on a street at this CI trade address.",インボイスの取引先住所における、通り沿いの建物または家屋番号（テキスト表記）。
UN01008283,Additional Street Name,追加の通り名,"The additional name of a street, expressed as text, for this CI trade address.",インボイスの取引先住所における、テキストで表される通りの追加名称。
UN01008284,Department Name,部署名,"The name, expressed as text, of a department for this CI trade address.",インボイスの取引先住所における部署名をテキストで表記したもの。
UN01005706,CI Trade Allowance/Charge,CI 取引手当/手数料,"A component of pricing, such as a service, promotion, allowance or charge, for Cross Industry (CI) trade purposes.",取引目的の価格設定要素（サービス、プロモーション、手当、料金など）。
UN01005707,Charge Indicator,充電インジケーター,The indication of whether or not this CI trade allowance charge is a charge.,インボイスの取引手当料金が課金対象であるか否かの表示。
UN01005708,ID,ID,The unique identifier for this CI trade allowance charge.,インボイスの取引手当料金の一意の識別子。
UN01005709,Sequence Number,シーケンス番号,The sequence number for applying this CI trade allowance charge.,インボイスの取引手当料金を適用するためのシーケンス番号。
UN01005710,Calculation Percent,計算パーセント,The percentage applied to calculate this CI trade allowance charge.,インボイスの取引手当料金を計算するために適用されるパーセンテージ。
UN01005711,Basis Quantity,基準数量,The quantity on which this CI trade allowance charge is based.,インボイスの取引手当料金の計算基準となる数量。
UN01005712,Prepaid Indicator,プリペイドインジケーター,The indication of whether or not this CI trade allowance charge is prepaid.,インボイスの取引許容料が前払いであるかどうかの表示。
UN01005713,Actual Amount,実際の金額,An actual monetary value of this CI trade allowance charge.,インボイスの取引許容料の実際の金額。
UN01005714,Reason Code,理由コード,The code specifying the reason for this CI trade allowance charge.,インボイスの取引許容料の理由を特定するコード。
UN01005715,Reason Text,理由テキスト,"The reason, expressed as text, for this CI trade allowance charge.",インボイスの取引許容料の理由をテキストで表現したもの。
UN01008285,Type Code,タイプコード,The code specifying the type of this CI trade allowance or charge.,インボイスの取引手当または手数料の種類を特定するコード。
UN01008286,Basis Amount,基準額,The monetary value that is the basis on which this CI trade allowance or charge is calculated.,インボイスの取引手当または手数料の計算基準となる金額。
UN01008287,Unit Basis Amount,単位基準額,The monetary value of the unit basis on which this CI trade allowance or charge is calculated.,インボイスの取引控除額または課徴金の計算基準となる単位の金額。
UN01005716,Tax Category,税金のカテゴリ,A tax category of this CI trade allowance charge.,インボイスの取引手当課徴金の税区分。
UN01005717,Actual Currency Exchange,実際の通貨交換,The actual trade currency exchange for this CI trade allowance charge.,インボイスの取引手当課金に対する実際の取引通貨為替レート。
UN01005718,CI Trade Contact,CI取引連絡先,A person or a department that acts as a point of contact with another person or department in a Cross Industry (CI) trading relationship.,取引関係において、他の個人または部門との連絡窓口として機能する個人または部門。
UN01005719,ID,ID,The unique identifier for this CI trade contact.,インボイスの取引連絡窓口の固有識別子。
UN01005720,Person Name,人名,"The name, expressed as text, of this CI trade contact person.",インボイスの取引連絡担当者の名前（テキスト表記）。
UN01005721,Department Name,部署名,"The name, expressed as text, of the department which is this CI trade contact.",インボイスの取引連絡窓口である部署の名称（テキスト表記）。
UN01005722,Type Code,タイプコード,The code specifying the type of CI trade contact.,インボイスの取引連絡先のタイプを指定するコード。
UN01005723,Job Title,役職,"The job title, position or designation, expressed as text, of this CI trade contact.",インボイスの取引連絡先の役職名、地位、または肩書きをテキストで表したもの。
UN01005724,Responsibility Text,責任テキスト,"The responsibility, expressed as text, of this CI trade contact.",インボイスの取引連絡先の責任範囲（テキスト表記）。
UN01005725,Person ID,人物ID,A unique identifier for this CI trade contact person.,インボイスの取引連絡担当者に対する固有識別子。
UN01013394,Authorized Person Name,承認者名,"The name, expressed as text, of the authorized person for this CI trade contact.",インボイスの取引連絡先の承認者の名前（テキストで表現）。
UN01005726,Telephone,電話,The telephone communication information for this CI trade contact.,インボイスの取引連絡先の電話通信情報。
UN01005727,Direct Telephone,直通電話,The direct telephone communication information for this CI trade contact.,インボイスの取引連絡先の直通電話連絡情報。
UN01005728,Mobile Telephone,携帯電話,The mobile telephone communication information for this CI trade contact.,インボイスの取引連絡先の携帯電話通信情報。
UN01005729,Fax,ファックス,The fax communication information for this CI trade contact.,インボイスの取引連絡先のファックス通信情報。
UN01005730,Email Address,電子メールアドレス,The email URI communication information for this CI trade contact.,インボイスの取引連絡先の電子メール URI 通信情報。
UN01005731,Telex,テレックス,The telegraphy (Telex) communication information for this CI trade contact.,インボイスの取引先に関する電報（テレックス）通信情報。
UN01005732,VOIP,VOIP,The Voice Over Internet Protocol (VOIP) communication information for this CI trade contact.,インボイスの取引先に関する Voice Over Internet Protocol (VOIP) 通信情報。
UN01005733,Instant Messaging,インスタントメッセージ,The instant messaging communication information for this CI trade contact.,インボイスの取引先に関するインスタントメッセージング通信情報。
UN01005734,Note,注記,A note specified for this CI trade contact.,インボイスの取引先に対して指定されたメモ。
UN01008316,Person,人,The contact person specified for this CI trade contact.,インボイスの取引連絡先に対して指定された担当者。
UN01005735,CI Trade Country,CI 取引国,A geopolitical area used or referenced for Cross Industry (CI) trade purposes.,取引目的で使用または参照される地政学的領域。
UN01005736,Code,コード,The unique identifier for this CI trade country.,インボイスの取引先の国の固有識別子。
UN01005737,Name,名前,"A name, expressed as text, for this CI trade country.",インボイスの取引先の国の名称（テキスト表記）。
UN01007156,Subordinate Country Sub-Division,従属国区分,"A sub-division that is subordinate to this CI trade country, such as a state, a county, a canton, a province.",インボイスの取引先の国に属する州、郡、カントン、省などの下位区分。
UN01007297,ID,ID,The unique identifier for this CI trade country sub-division.,インボイスの取引先の国の下位区分に対する一意の識別子。
UN01007298,Name,名前,"A name, expressed as text, of this CI trade country sub-division.",インボイスの取引先の国の下位区分を表す名称（テキスト形式）。
UN01005738,CI Currency Exchange,CI外貨両替,The conversion of one currency to another for Cross Industry (CI) trade purposes.,取引目的における通貨間の換算。
UN01005739,Source Currency Code,ソース通貨コード,The code specifying the source currency of a CI trade currency conversion.,インボイスの取引通貨換算における基軸通貨を指定するコード。
UN01005740,Source Unit Basis,ソースユニットベース,The numeric unit basis of the source currency used in this CI trade currency exchange rate calculation.,インボイスの取引通貨為替レート計算で使用される、原通貨の数値単位ベース。
UN01005741,Target Currency Code,対象通貨コード,The code specifying the target currency of a CI trade currency conversion.,インボイスの取引通貨換算における対象通貨を指定するコード。
UN01005742,Target Unit Basis,ターゲットユニットベース,The numeric unit basis of the target currency used in this CI trade currency exchange rate calculation.,インボイスの取引通貨為替レート計算で使用される対象通貨の数値単位基準。
UN01005743,Market ID,市場ID,The unique identifier of the currency exchange market from which the exchange rate is taken for CI trade purposes.,インボイスの取引目的で為替レートを取得する為替市場の一意の識別子。
UN01005744,Conversion Rate,コンバージョン率,The rate used for conversion from the source currency to the target currency for CI trade purposes.,インボイスの取引目的で原通貨から対象通貨への変換に使用されるレート。
UN01005745,Conversion Rate Date Time,コンバージョン率 日付 時間,"The date, time, date time or other date time value of the conversion rate for this CI trade currency exchange.",インボイスの取引通貨換算の為替レートの日付、時刻、日付時刻、またはその他の日付時刻値。
UN01005746,Referenced Document,参照文書,The document referenced for this CI trade currency exchange.,インボイスの取引通貨交換で参照される文書。
UN01005756,CI Trade Party,CI取引事業者,"An individual, a group, or a body having a role in a Cross Industry (CI) trade business function.",取引業務機能において役割を持つ個人、グループ、または組織。
