sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,attribute,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AH,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,,,
170,ヘッダ部,UN01005954,BBIE,,,,,,CIIL_ Document Line_ Document. Line. Identifier,,,,,,,,,明細文書ID,明細文書を識別するID。デフォルト=1。プロバイダがセットする,1..1,,v4, ,, , ,,,△,△,△,△,,,1, , , ,,,,,,,,,,,,,,,,,,,,
171,ヘッダ部,UN01014645,BBIE,,,,,,CIIL_ Document Line_ Document. Category. Code,,,,,,,,,明細文書類型コード,この明細文書の取引類型（資産譲渡、補完、返金・追加請求等）を識別するコード。,0..1,,v4,JECxxxx,,JEC,"コード値
選択入力",,,●,●,●,●,, ,1, , , ,,,,,,,,,,,,,,,,,,,,
172,ヘッダ部,UN01005957,ASBIE,,,,,,CIIL_ Document Line_ Document. Included. CI_ Note,,,,,,,,,明細文書／注釈グループ,明細文書に関する注釈のグループ,0..n,,v4, ,, , ,,,＊,＊,＊,＊, , , , , , ,,,,,,,,,,,,,,,,,,,,
173,ヘッダ部,UN01005557,ABIE,,,,,,,CI_ Note. Details,,,,,,,,明細文書注釈クラス,明細文書に関する注釈のクラス。, -,,v4, ,, , ,,, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,
174,ヘッダ部,UN01005558,BBIE,,,,,,,,CI_ Note. Subject. Text,,,,,,,明細文書注釈表題,"明細文書の注釈内容の表題を示す。
一部に利用制限あり。標準仕様書３．３．５項参照。",0..1,,v4,,,, , ,,＊,＊,＊,＊,, , , , , ,,,,,,,,,,,,,,,,,,,,
175,ヘッダ部,UN01005560,BBIE,,,,,,,,CI_ Note. Content. Text,,,,,,,明細文書注釈内容,"明細文書の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",0..1,,v4,,,, ,,,＊,＊,＊,＊,,, , , , ,,,,,,,,,,,,,,,,,,,,
176,ヘッダ部,UN01005562,BBIE,,,,,,,,CI_ Note. Identification. Identifier,,,,,,,明細文書注釈ID,"明細文書注釈の識別ID
共通EDIプロバイダがシリアル番号をセット。標準仕様書３．３．５項参照",0..1,,v4, ,, , , ,,△,△,△,△,, , , , , ,,,,,,,,,,,,,,,,,,,,
177,ヘッダ部,UN01014895,ASBIE,,,,,,CIIL_ Document Line_ Document. Reference. CI_ Referenced_ Document,,,,,,,,,明細文書／組込み文書グループ,この明細文書の組込み文書に関するグループ。,0..1,,v4/v4.3,,,, ,,,＊,＊,＊,＊, , , , , , ,,,,,,,,,,,,,,,,,,,,
178,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,,,明細文書組込み文書クラス,明細文書組込み文書に関するクラス, -,,v4/v4.3,,,, ,,, , , , ,, , , , , ,,,,,,,,,,,,,,,,,,,,
179,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,明細文書組込み文書ID,この明細文書に組込んだ文書のID,1..1,,v4/v4.3,,,, ,,,○,○,○,○,, ,1, , , ,,,,,,,,,,,,,,,,,,,,
180,ヘッダ部,UN01005582,BBIE,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,明細文書組込み文書発行日,この明細文書に組込んだ文書の発行日,0..1,,v4/v4.3,,,, ,,,●,●,●,●,, , , , , ,,,,,,,,,,,,,,,,,,,,
181,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,明細文書組込み文書履歴ID,この明細文書に組込んだ文書の変更履歴を管理するID。,0..1,,v4/v4.3,  ,,  , ,,,＊,＊,＊,＊,, , , , , ,,,,,,,,,,,,,,,,,,,,
182,ヘッダ部,UN01009672,BBIE,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,,,明細文書組込み文書タイプコード,この明細文書に組込んだ文書の文書タイプを識別するコード,0..1,,v4/v4.3,UNCL1001,,UN/CEFACT,"コード値
選択入力",,,●,●,●,●,, , , , , ,,,,,,,,,,,,,,,,,,,,
183,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,明細文書組込み文書サブタイプコード,この明細文書に組込んだ文書の文書サブタイプを識別するコード,0..1,,v4/v4.3,JECxxxx,,JEC,"コード値
選択入力",,,●,●,●,●,, , , , , ,,,,,,,,,,,,,,,,,,,,
184,ヘッダ部,UN01005992,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_ Trade Settlement,,,,,,,,,,,明細文書ヘッダ／決済グループ,明細文書の決済に関するグループ。,0..1,,v4, ,, ,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
185,ヘッダ部,UN01005994,ABIE,,,,,CIIL_ Supply Chain_ Trade Settlement. Details,,,,,,,,,,明細文書ヘッダ決済クラス,,－,,v4, ,, ,,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
186,ヘッダ部,UN01014647,BBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Direction. Code,,,,,,,,,明細文書ヘッダ取引方向コード,明細文書ヘッダの取引方向を識別するコード,0..1,,v4,JECxxxx,,JEC,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
187,ヘッダ部,UN01005998,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,,,明細文書ヘッダ決済／明細文書ヘッダ返金グループ,明細文書ヘッダの返金グループ,0..n,,v4, ,, , ,,,＊,＊,＊,　,,★ ,,IBG-20,DOCUMENT LEVEL ALLOWANCES,0..n,,,,,,,,,,,,,,,,,,,,
188,ヘッダ部,UN01005706,ABIE,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,,,明細文書ヘッダ返金クラス,明細文書ヘッダ返金のクラス, -,,v4, ,, , ,,,＊,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
189,ヘッダ部,UN01005707,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,,,"明細文書ヘッダ返金・追加請求判別子
＝返金（Allowance）","明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子
=False(Allowance)",1..1,,v4, ,,UN/CEFACT,"判別子
固定入力",,,△,△,△,　,,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
190,ヘッダ部,UN01005713,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,,,明細文書ヘッダ返金金額,"この文書の明細文書ヘッダに紐付く返金金額
源泉所得税は含まず。鑑ヘッダで対応",0..1,,v4.1,,,, ,,,＊,＊,＊,  ,,★,,IBT-092,?  Document level allowance amount,1..1,,,,,,,,,,,,,,,,,,,,
191,ヘッダ部,UN01005714,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,,,明細文書ヘッダ返金理由コード,この明細文書ヘッダ返金の理由を識別するコード,0..1,,v4.1,UNCL5189,,UN/CEFACT, ,,,＊,＊,＊,  ,,★,,IBT-098,?  Document level allowance reason code,0..1,,,,,,,,,,,,,,,,,,,,
192,ヘッダ部,UN01005715,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,,,明細文書ヘッダ返金理由,この明細文書ヘッダの明細文書ヘッダに紐付く返金金額,0..1,,v4.1,,,,     ,,,＊,＊,＊,  ,,★,,IBT-097,?  Document level allowance reason,0..1,,,,,,,,,,,,,,,,,,,,
193,ヘッダ部,UN01005716,ASBIE,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,,,明細文書ヘッダ返金／明細文書ヘッダ返金税グループ,明細文書ヘッダ返金の税に関するグループ,0..n,,v4, ,, , ,,,＊,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
194,ヘッダ部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,,,明細文書ヘッダ返金税クラス,明細文書ヘッダ返金の税クラス,－,,v4, ,, , ,,,＊,＊,＊, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
195,ヘッダ部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,明細文書ヘッダ返金課税分類コード,明細文書ヘッダ返金の課税分類コード,1..1,,v4,UNCL5305,,UN/CEFACT,"コード値
選択入力",,,＊,＊,＊,　,,★,,IBT-096,?  Document level allowance TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
196,ヘッダ部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,明細文書ヘッダ返金税率,明細文書ヘッダ返金の税率,0..1,,v4, ,, , ,,,＊,＊,＊,　,,★,,IBT-095,?  Document level allowance TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
197,ヘッダ部,UN01005998,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,,,明細文書ヘッダ文書決済／明細文書ヘッダ追加請求グループ,明細文書ヘッダの明細文書ヘッダ追加請求のグループ,0..n,,v4.1, ,, , ,,,＊,＊,＊,　,,★,,IBG-21,DOCUMENT LEVEL CHARGES,0..1,,,,,,,,,,,,,,,,,,,,
198,ヘッダ部,UN01005706,ABIE,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,,,明細文書ヘッダ追加請求クラス,明細文書ヘッダ返金・追加請求のクラス, -,,v4.1, ,, , ,,,＊,＊,＊, ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
199,ヘッダ部,UN01005707,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,,,"明細文書ヘッダ返金・追加請求判別子
＝追加請求（Charge）","明細文書ヘッダ返金と明細文書ヘッダ追加請求を識別する判別子
＝True(Charge)",1..1,,v4.1, ,,UN/CEFACT,"判別子
固定入力",,,△,△,△,　,,　,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
200,ヘッダ部,UN01005713,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,,,明細文書ヘッダ追加請求金額,この明細文書ヘッダの明細文書ヘッダに紐付く追加請求金額,0..1,,v4.1,,,,     ,,,＊,＊,＊,  ,,★,,IBT-099,?  Document level charge amount,1..1,,,,,,,,,,,,,,,,,,,,
201,ヘッダ部,UN01005714,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,,,明細文書ヘッダ追加請求理由コード,この明細文書ヘッダ追加請求の理由を識別するコード,0..1,,v4.1,UNCL5189,,UN/CEFACT, ,,,＊,＊,＊,  ,,★,,IBT-105,?  Document level charge reason code,0..1,,,,,,,,,,,,,,,,,,,,
202,ヘッダ部,UN01005715,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,,,明細文書ヘッダ追加請求理由,この明細文書ヘッダ追加請求の理由（内容）の説明,0..1,,v4.1,,,, ,,,＊,＊,＊,  ,,★,,IBT-104,?  Document level charge reason,0..1,,,,,,,,,,,,,,,,,,,,
203,ヘッダ部,UN01005716,ASBIE,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,,,明細文書ヘッダ返金／明細文書ヘッダ追加請求税グループ,明細文書ヘッダ追加請求の税に関するグループ,0..n,,v4.1, ,, , ,,,＊,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
204,ヘッダ部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,,,明細文書ヘッダ追加請求税クラス,明細文書ヘッダ追加請求の税クラス,－,,v4.1, ,, , ,,,＊,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
205,ヘッダ部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,明細文書ヘッダ追加請求課税分類コード,明細文書ヘッダ追加請求の課税分類コード,1..1,,v4.1,UNCL5305,,UN/CEFACT,"コード値
選択入力",,,＊,＊,＊,　,,★,,IBT-103,?  Document level charge TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
206,ヘッダ部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,明細文書ヘッダ追加請求税率,明細文書ヘッダ追加請求の税率,0..1,,v4.1, ,, , ,,,＊,＊,＊,　,,★,,IBT-102,?  Document level charge TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
207,ヘッダ部,UN01005996,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,明細文書ヘッダ決済／明細文書ヘッダ税グループ,明細文書ヘッダの税に関するグループ。,1..n,,v1, ,, , ,,,○,○,○,○,,☆,,IBG-23,TAX BREAKDOWN,1..n,,,,,,,,,,,,,,,,,,,,
208,ヘッダ部,UN01005832,ABIE,,,,,,,CI_ Trade_ Tax. Details,,,,,,,,明細文書ヘッダ税クラス,明細文書ヘッダの税に関する情報からなるクラス, -,,v1, ,, , ,,,,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
209,ヘッダ部,UN01005833,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,明細文書ヘッダ課税分類税額,"明細文書ヘッダの課税分類毎に端数処理計算した税額。
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする
＜税抜きの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率
＜税込みの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率／(１＋税率)",0..1,,v2,,,,,,,●,◎,◎,◎,※,☆,1,IBT-117,?  TAX category tax amount,1..1,,,,,,,,,,,,,,,,,,,,
210,ヘッダ部,UN01005834,BBIE,,,,,,,,CI_ Trade_ Tax. Type. Code,,,,,,,明細文書ヘッダ税タイプコード,"税の種類を識別するコード。デフォルトは消費税
消費税：VAT。源泉所得税：SWT",0..1,,v1/v2,UNCL5153,,UN/CEFACT, ,,,＊,＊,＊,＊,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,
211,ヘッダ部,UN01005836,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Rate,,,,,,,明細文書ヘッダ税率,明細文書ヘッダの課税分類毎の税額計算のための率。,0..1,,v1/v2,,,　,,,,●,◎,◎,◎,※,★,1,IBT-119,?  TAX category rate,0..1,,,,,,,,,,,,,,,,,,,,
212,ヘッダ部,UN01005839,BBIE,,,,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,,,明細文書ヘッダ課税分類課税対象合計金額（税抜き）,Σ明細行課税分類譲渡資産合計金額＋Σ明細文書ヘッダ追加請求金額ーΣ明細文書ヘッダ返金金額 「明細文書ヘッダ税計算方式」のコード値指定により税抜き、税込みを識別する,0..1,,v2/v4.3,,,,,,,●,（◎）,（◎）,（◎）,※,☆,1,IBT-116,?  TAX category taxable amount,1..1,,,,,,,,,,,,,,,,,,,,
213,ヘッダ部,UN01005841,BBIE,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,明細文書ヘッダ課税分類コード,"明細文書ヘッダの課税分類（標準税率、軽減税率、不課税、非課税、免税等）を識別するコード
課税分類ごとにクラスを設ける",1..1,,v3,UNCL5305,,UN/CEFACT,"
コード値
選択入力
",,,●,●,●,●,※,☆,,IBT-118,?  TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
214,ヘッダ部,UN01005842,BBIE,,,,,,,,CI_ Trade_ Tax. Currency. Code,,,,,,,課税分類税通貨コード,"「JPY」または「外貨」。デフォルトは「JPY」
文書通貨コード（UN01005914）の指定と合わせる。
文書通貨コードが「外貨」を指定された場合は明細文書ヘッダ税クラス（外貨建て適格請求書用）とセットで利用する",0..1,,v4,,"通貨コード
ISO4217",ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,●,●,●,　,,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
215,ヘッダ部,UN01013040,BBIE,,,,,,,,CI_ Trade_ Tax. Grand Total. Amount,,,,,,,明細文書ヘッダ課税分類課税対象合計金額（税込み）,"明細文書ヘッダ課税分類課税対象合計金額（税抜き）＋明細文書ヘッダ課税分類税額
または
明細文書ヘッダ課税分類課税対象合計金額（税込み）",0..1,,v2/v4.3,,,,,,,●,（◎）,（◎）,（◎）,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
216,ヘッダ部,UN01013096,BBIE,,,,,,,,CI_ Trade_ Tax. Calculation Method. Code,,,,,,,明細文書ヘッダ税計算方式,"仕入税額の消費税計算方式を指定
’＝外税計算（デフォルト）
　外税計算式：税率別仕入合計金額（税抜き）×税率",0..1,,v2/v3,JECxxxx,,JEC,"
コード値
選択入力
",,,●,●,●,●,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
217,ヘッダ部,UN01014650,BBIE,,,,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,,,鑑ヘッダ適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",0..1,,v4,JECxxxx,,JEC,"
コード値
選択入力
",, ,●,●,●,●,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,
218,ヘッダ部,UN01005996,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,明細文書ヘッダ決済／税グループ（外貨建て）,外貨建て請求書の税率別課税分類合計額算出のための税グループ,0..n,,v4.1, ,, , , , ,●,●,●,,,★,,IBG-38,?  TAX BREAKDOWN IN ACCOUNTING CURRENCY,0..1,,,,,,,,,,,,,,,,,,,,
219,ヘッダ部,UN01005832,ABIE,,,,,,,CI_ Trade_ Tax. Details,,,,,,,,（外貨建て請求書）明細文書ヘッダ税クラス,"外貨建て請求書の明細文書ヘッダの税に関する情報からなるクラス
UN01005914文書通貨コード＝「外貨」、UN01005913税通貨コード＝[JPY」の場合に利用する'。（円建て請求書の場合は利用しない）", -,,v4.1, ,, , , , ,　,　,　,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
220,ヘッダ部,UN01005833,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,（外貨建て請求書）明細文書ヘッダ課税分類税額,"外貨建て請求書の明細文書ヘッダの課税分類毎に端数処理計算した税額。
属性＝「JPY」
外貨建て請求書の明細文書ヘッダ課税分類資産譲渡合計金額×税率
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする",0..1,,v4.1,,"通貨コード
ISO4217",ISO,"
属性コード値
固定入力
","金額/＠通貨コード値
＝JPY（日本円）",,●,●,●,,,★,,IBT-190,? ?  TAX category tax amount in accounting currency,0..1,,,,,,,,,,,,,,,,,,,,
221,ヘッダ部,UN01005839,BBIE,,,,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,,,（外貨建て請求書）明細文書ヘッダ課税分類譲渡資産合計金額（税抜き）,"明細行の課税分類毎の税抜き譲渡資産金額の合計金額。属性＝「JPY」
「明細文書ヘッダ課税分類譲渡資産合計金額（税抜き）(外貨）」を為替レートで「JPY」に換算",0..1,,v4.1,,"通貨コード
ISO4217",ISO,"
属性コード値
固定入力
","金額/＠通貨コード値
＝JPY（日本円）",,●,●,●,,, ,, , , ,,,,,,,,,,,,,,,,,,,,
222,ヘッダ部,UN01005841,BBIE,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,（外貨建て請求書）明細文書ヘッダ課税分類コード,外貨建て請求書の明細文書ヘッダの課税分類（標準税率、軽減税率）を識別するコード,1..1,,v4.1,UNCL5305,,UN/CEFACT,"
コード値
選択入力
","デフォルト
＝S（標準税率）",,●,●,●,,,☆,,IBT-192,? ?  TAX category code for tax category tax amount in accounting currency,1..1,,,,,,,,,,,,,,,,,,,,
223,ヘッダ部,UN01005842,BBIE,,,,,,,,CI_ Trade_ Tax. Currency. Code,,,,,,,（外貨建て請求書）課税分類税通貨コード,"外貨建て請求書の税額を日本円で表示することを指定するコード
=「JPY」",0..1,,v4.1,,"通貨コード
ISO4217",ISO,"コード値
固定入力",#NAME?,,●,●,●,,, ,, , , ,,,,,,,,,,,,,,,,,,,,
224,ヘッダ部,UN01007174,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Rate,,,,,,,（外貨建て請求書）明細文書ヘッダ税率,外貨建て請求書の明細文書ヘッダの課税分類毎の税額計算のための率。,0..1,,v4.1,,,　, , ,,●,●,●,,,★,,IBT-193,? ?  TAX category rate for tax category tax amount in accounting currency,0..1,,,,,,,,,,,,,,,,,,,,
225,ヘッダ部,UN01014650,BBIE,,,,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,,,明細文書ヘッダ適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",0..1,,v4.1,JECxxxx,,JEC, , ,,＊,＊,＊,,, ,, , , ,,,,,,,,,,,,,,,,,,,,
226,ヘッダ部,UN01006002,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CIIL_ Trade Settlement_ Monetary Summation,,,,,,,,,明細文書ヘッダ決済／合計金額グループ,明細文書ヘッダの合計金額に関するグループ,0..1,,v1, ,, , ,,,●,●,●,●,,☆,,IBG-22,DOCUMENT TOTALS,1..1,,,,,,,,,,,,,,,,,,,,
227,ヘッダ部,UN01006006,ABIE,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Details,,,,,,,,明細文書ヘッダ合計金額クラス,明細文書ヘッダ合計金額に関する情報からなるクラス,－,,v1, ,, , ,,, ,　,　,　, ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
228,ヘッダ部,UN01006008,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Charge Total. Amount,,,,,,,明細文書ヘッダ追加請求合計金額,"明細文書ヘッダレベルの追加請求合計金額
'=Σ明細文書ヘッダ追加請求金額",0..1,,v4,,,,,,,＊,＊,＊,,※,,,,,,,,,,,,,,,,,,,,,,,,,
229,ヘッダ部,UN01006009,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,,,,,,,明細文書ヘッダ返金合計金額,"明細文書ヘッダレベルの返金合計金額
'=Σ明細文書ヘッダ返金金額",0..1,,v4,,,,,,,＊,＊,＊,,※,,,,,,,,,,,,,,,,,,,,,,,,,
230,ヘッダ部,UN01006011,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Tax Total. Amount,,,,,,,明細文書ヘッダ消費税合計額,"明細文書ヘッダ消費税の合計税額
'=（明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額）×税率
（明細文書ヘッダ課税分類コード＝S/AA）",0..1,,v1,,,,,,,＊,＊,＊,＊,※,☆,,IBT-110,?  Invoice total TAX amount,1..1,,,,,,,,,,,,,,,,,,,,
231,ヘッダ部,UN01008456,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,,,,,,,明細文書ヘッダ譲渡資産合計金額(税抜き),Σ明細行譲渡資産金額（税抜き）,0..1,,v1,,,,,,,＊,＊,＊,＊,※,☆,,IBT-106,?  Sum of Invoice line net amount,1..1,,,,,,,,,,,,,,,,,,,,
232,ヘッダ部,UN01008457,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,,,,,,,明細文書ヘッダ譲渡資産合計金額(税込み),Σ明細文書明細行譲渡資産金額（税込み）,0..1,,v2,,,,,,,□,□,□,□,,  ,、。,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
233,ヘッダ部,UN01011519,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Grand Total. Amount,,,,,,,明細文書ヘッダ課税対象総合計金額（税込み）,"明細文書ヘッダ課税対象取引合計金額（税込み）
'=明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額＋明細文書ヘッダ消費税合計額
（明細文書ヘッダ課税分類コード＝S/AA）",0..1,,V4,,,,,,,●,●,●,●,※,☆,,IBT-112,?  Invoice total amount with TAX,1..1,,,,,,,,,,,,,,,,,,,,
234,ヘッダ部,JPSxxxxxxxx,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Tax Free Total. Amount,,,,,,,明細文書ヘッダ課税対象外合計金額,"明細文書ヘッダの課税対象外合計金額。
'=Σ明細行課税対象金額
（明細行課税分類コード＝E/G/O）",0..1,,v4.3,,,,,,,＊,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
235,ヘッダ部,UN01006002,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CIIL_ Trade Settlement_ Monetary Summation,,,,,,,,,明細文書ヘッダ決済／外貨建て請求書合計金額グループ,"外貨建て請求書明細文書ヘッダの合計金額に関するグループ。
",0..1,,v4.1, ,, , , , ,＊,＊,●,,,★,,IBG-37,DOCUMENT TOTALS IN TAX ACCOUNTING CURRENCY,0..1,,,,,,,,,,,,,,,,,,,,
236,ヘッダ部,UN01006006,ABIE,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Details,,,,,,,,（外貨建て請求書）明細文書ヘッダ合計金額クラス,外貨建て請求書)明細文書ヘッダ合計金額に関する情報からなるクラス,－,,v4.1, ,, , , , ,　,　,　,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
237,ヘッダ部,UN01006011,BBIE,,,,,,,,CIIL_ Trade Settlement_ Monetary Summation. Tax Total. Amount,,,,,,,（外貨建て請求書）明細文書ヘッダ合計税額,"外貨建て適格請求書の明細文書ヘッダの日本円合計税額。
通貨コード属性＝JPY
文書通貨コード＝「外貨」、税通貨コード＝「JPY」の場合に利用する",0..1,,v4.1,,"通貨コード
ISO4217",ISO, , , ,＊,＊,＊,,,★,,IBT-111,?  Invoice total TAX amount in tax accounting currency,0..1,,,,,,,,,,,,,,,,,,,,
238,ヘッダ部,UN01006005,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Additional_ Referenced. CI_ Referenced_ Document,,,,,,,,,明細文書ヘッダ決済／参照文書グループ,明細文書ヘッダ決済の参照文書に関するグループ,0..n,,v4.1,  ,,  , ,,,● ,● ,● ,● ,,★ ,,IBG-24,ADDITIONAL SUPPORTING DOCUMENTS,0..n,,,,,,,,,,,,,,,,,,,,
239,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,,,（明細文書ヘッダ参照）文書クラス,明細文書ヘッダの参照文書クラス,－,,v4.1,  ,,  , ,,, , ,　,　, ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
240,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,（明細文書ヘッダ参照）文書ID,この明細文書ヘッダが参照する文書のID,1..1,,v4.1,  ,,  , ,,,●,●,●,●,※,★,,IBT-122,?  Supporting document reference,1..1,,,,,,,,,,,,,,,,,,,,
241,ヘッダ部,UN01005581,BBIE,,,,,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,（明細文書ヘッダ参照）文書URL_ID,この文書が参照する文書が所在するURL_ID,0..1,,v4.3, ,, ,  ,,,●,●,●,●,（※）,★,,IBT-124,?  External document location,"0,,1",,,,,,,,,,,,,,,,,,,,
